clean,corrupted,clean_answer_idx,corrupted_answer_idx,label
The musclewoman wished that,The muscleman wished that,1364,568,0
The father-in-law laughed because,The mother-in-law laughed because,568,1364,1
The irishman slept because,The irishwoman slept because,568,1364,1
The repairman cried because,The repairwoman cried because,568,1364,1
The irishwoman cried because,The irishman cried because,1364,568,0
The granddaughter ran because,The grandson ran because,1364,568,0
The mailman was promoted because,The mailwoman was promoted because,568,1364,1
The actress whispered that,The actor whispered that,1364,568,0
The boatman drove because,The boatwoman drove because,568,1364,1
The weatherwoman slept because,The weatherman slept because,1364,568,0
The clergywoman laughed because,The clergyman laughed because,1364,568,0
The adulteress drove because,The adulterer drove because,1364,568,0
The female whispered that,The male whispered that,1364,568,0
The grandfather was promoted because,The grandmother was promoted because,568,1364,1
The lord slept because,The lady slept because,568,1364,1
The handywoman yelled because,The handyman yelled because,1364,568,0
The mailman went home because,The mailwoman went home because,568,1364,1
The godfather wished that,The godmother wished that,568,1364,1
The boyfriend yelled that,The girlfriend yelled that,568,1364,1
The mom stayed up because,The dad stayed up because,1364,568,0
The actor went home because,The actress went home because,568,1364,1
The weatherman stayed up because,The weatherwoman stayed up because,568,1364,1
The uncle laughed because,The aunt laughed because,568,1364,1
The boatwoman ran because,The boatman ran because,1364,568,0
The ladies ate because,The gentlemen ate because,1364,568,0
The mailwoman was promoted because,The mailman was promoted because,1364,568,0
The ex-girlfriend was fired because,The ex-boyfriend was fired because,1364,568,0
The strongwoman went home because,The strongman went home because,1364,568,0
The nephew whispered that,The niece whispered that,568,1364,1
The alderwoman slept because,The alderman slept because,1364,568,0
The clergyman ate because,The clergywoman ate because,568,1364,1
The ladies slept because,The gentlemen slept because,1364,568,0
The boyfriend was fired because,The girlfriend was fired because,568,1364,1
The masseuse laughed because,The masseur laughed because,1364,568,0
The handywoman wished that,The handyman wished that,1364,568,0
The woman was fired because,The man was fired because,1364,568,0
The daughter whispered that,The son whispered that,1364,568,0
The madwoman yelled because,The madman yelled because,1364,568,0
The mom ate because,The dad ate because,1364,568,0
The woman ran because,The man ran because,1364,568,0
The mother stayed up because,The father stayed up because,1364,568,0
"The husband is a great friend, isn't","The wife is a great friend, isn't",568,1364,1
The godfather ate because,The godmother ate because,568,1364,1
The gal drove because,The guy drove because,1364,568,0
The milkwoman yelled because,The milkman yelled because,1364,568,0
The ex-boyfriend yelled because,The ex-girlfriend yelled because,568,1364,1
The mother-in-law said that,The father-in-law said that,1364,568,0
"The princess is a great friend, isn't","The prince is a great friend, isn't",1364,568,0
The alderwoman wished that,The alderman wished that,1364,568,0
The artilleryman yelled because,The artillerywoman yelled because,568,1364,1
The klanswoman laughed because,The klansman laughed because,1364,568,0
The madman ate because,The madwoman ate because,568,1364,1
The husband drove because,The wife drove because,568,1364,1
The grandmother slept because,The grandfather slept because,1364,568,0
"The ex-boyfriend is a great friend, isn't","The ex-girlfriend is a great friend, isn't",568,1364,1
The boyfriend yelled because,The girlfriend yelled because,568,1364,1
The clergywoman was fired because,The clergyman was fired because,1364,568,0
The infantrywoman was promoted because,The infantryman was promoted because,1364,568,0
The kinswoman cried because,The kinsman cried because,1364,568,0
The dad was promoted because,The mom was promoted because,568,1364,1
The weatherwoman was promoted because,The weatherman was promoted because,1364,568,0
The masseuse cried because,The masseur cried because,1364,568,0
"The uncle is a nice person, isn't","The aunt is a nice person, isn't",568,1364,1
The firewoman was promoted because,The fireman was promoted because,1364,568,0
The brother was promoted because,The sister was promoted because,568,1364,1
The klansman whispered that,The klanswoman whispered that,568,1364,1
The daughter-in-law was promoted because,The son-in-law was promoted because,1364,568,0
The waitress went home because,The waiter went home because,1364,568,0
The busboy whispered that,The busgirl whispered that,568,1364,1
The aunt yelled that,The uncle yelled that,1364,568,0
"The stepmother is a nice person, isn't","The stepfather is a nice person, isn't",1364,568,0
The ferryman slept because,The ferrywoman slept because,568,1364,1
The bellgirl was fired because,The bellboy was fired because,1364,568,0
"The aunt is a nice person, isn't","The uncle is a nice person, isn't",1364,568,0
The ex-boyfriend said that,The ex-girlfriend said that,568,1364,1
The schoolgirl whispered that,The schoolboy whispered that,1364,568,0
The girlfriend ran because,The boyfriend ran because,1364,568,0
The musclewoman was fired because,The muscleman was fired because,1364,568,0
"The kinsman is a nice person, isn't","The kinswoman is a nice person, isn't",568,1364,1
"The brother is a nice person, isn't","The sister is a nice person, isn't",568,1364,1
The weatherman drove because,The weatherwoman drove because,568,1364,1
The firewoman whispered that,The fireman whispered that,1364,568,0
The choirboy drove because,The choirgirl drove because,568,1364,1
The heroine yelled because,The hero yelled because,1364,568,0
The gentlemen laughed because,The ladies laughed because,568,1364,1
The father-in-law was promoted because,The mother-in-law was promoted because,568,1364,1
"The infantrywoman is a great friend, isn't","The infantryman is a great friend, isn't",1364,568,0
The firewoman slept because,The fireman slept because,1364,568,0
The milkman yelled because,The milkwoman yelled because,568,1364,1
The infantryman cried because,The infantrywoman cried because,568,1364,1
The wingwoman stayed up because,The wingman stayed up because,1364,568,0
The man drove because,The woman drove because,568,1364,1
The ex-girlfriend cried because,The ex-boyfriend cried because,1364,568,0
The mailman ran because,The mailwoman ran because,568,1364,1
The alderwoman said that,The alderman said that,1364,568,0
The bride was promoted because,The groom was promoted because,1364,568,0
The sister stayed up because,The brother stayed up because,1364,568,0
The muscleman wished that,The musclewoman wished that,568,1364,1
The actor stayed up because,The actress stayed up because,568,1364,1
The she was fired because,The he was fired because,1364,568,0
The actor cried because,The actress cried because,568,1364,1
The female slept because,The male slept because,1364,568,0
The nephew was fired because,The niece was fired because,568,1364,1
The schoolgirl was promoted because,The schoolboy was promoted because,1364,568,0
The male yelled that,The female yelled that,568,1364,1
The boy was fired because,The girl was fired because,568,1364,1
The she whispered that,The he whispered that,1364,568,0
"The girlfriend is a nice person, isn't","The boyfriend is a nice person, isn't",1364,568,0
The milkman yelled that,The milkwoman yelled that,568,1364,1
The waiter wished that,The waitress wished that,568,1364,1
The musclewoman went home because,The muscleman went home because,1364,568,0
The lady was promoted because,The gentleman was promoted because,1364,568,0
The bride yelled that,The groom yelled that,1364,568,0
The princess wished that,The prince wished that,1364,568,0
The hero yelled because,The heroine yelled because,568,1364,1
"The strongman is a nice person, isn't","The strongwoman is a nice person, isn't",568,1364,1
The ferryman wished that,The ferrywoman wished that,568,1364,1
The parisian ate because,The parisienne ate because,568,1364,1
The waiter ate because,The waitress ate because,568,1364,1
The groom ran because,The bride ran because,568,1364,1
The boatman was fired because,The boatwoman was fired because,568,1364,1
The schoolboy said that,The schoolgirl said that,568,1364,1
The assemblyman drove because,The assemblywoman drove because,568,1364,1
The fireman cried because,The firewoman cried because,568,1364,1
"The artilleryman is a great friend, isn't","The artillerywoman is a great friend, isn't",568,1364,1
The daughter wished that,The son wished that,1364,568,0
The monk said that,The nun said that,568,1364,1
The sister-in-law slept because,The brother-in-law slept because,1364,568,0
The mailwoman slept because,The mailman slept because,1364,568,0
The irishman was promoted because,The irishwoman was promoted because,568,1364,1
"The he is a nice person, isn't","The she is a nice person, isn't",568,1364,1
The godson yelled because,The goddaughter yelled because,568,1364,1
The sister-in-law yelled because,The brother-in-law yelled because,1364,568,0
The king drove because,The queen drove because,568,1364,1
The goddaughter cried because,The godson cried because,1364,568,0
The wingman ran because,The wingwoman ran because,568,1364,1
The salesgirl wished that,The salesboy wished that,1364,568,0
The clanswoman went home because,The clansman went home because,1364,568,0
The nun whispered that,The monk whispered that,1364,568,0
The weatherman ate because,The weatherwoman ate because,568,1364,1
The layman was fired because,The laywoman was fired because,568,1364,1
The weatherwoman went home because,The weatherman went home because,1364,568,0
"The deliverywoman is a nice person, isn't","The deliveryman is a nice person, isn't",1364,568,0
The choirboy yelled because,The choirgirl yelled because,568,1364,1
The kinswoman whispered that,The kinsman whispered that,1364,568,0
The man whispered that,The woman whispered that,568,1364,1
"The milkman is a great friend, isn't","The milkwoman is a great friend, isn't",568,1364,1
The infantrywoman said that,The infantryman said that,1364,568,0
The salesboy drove because,The salesgirl drove because,568,1364,1
The abbot ate because,The abbess ate because,568,1364,1
The grandson was fired because,The granddaughter was fired because,568,1364,1
The englishwoman yelled because,The englishman yelled because,1364,568,0
"The nun is a great friend, isn't","The monk is a great friend, isn't",1364,568,0
The klansman said that,The klanswoman said that,568,1364,1
The mailwoman stayed up because,The mailman stayed up because,1364,568,0
The frenchwoman whispered that,The frenchman whispered that,1364,568,0
The gentlemen wished that,The ladies wished that,568,1364,1
The busgirl ran because,The busboy ran because,1364,568,0
The brother-in-law was promoted because,The sister-in-law was promoted because,568,1364,1
The boatman went home because,The boatwoman went home because,568,1364,1
The ferrywoman went home because,The ferryman went home because,1364,568,0
The boyfriend whispered that,The girlfriend whispered that,568,1364,1
The wife was fired because,The husband was fired because,1364,568,0
The stepmother stayed up because,The stepfather stayed up because,1364,568,0
The gal laughed because,The guy laughed because,1364,568,0
The madwoman slept because,The madman slept because,1364,568,0
The lord wished that,The lady wished that,568,1364,1
"The madwoman is a nice person, isn't","The madman is a nice person, isn't",1364,568,0
The mother-in-law whispered that,The father-in-law whispered that,1364,568,0
The woman said that,The man said that,1364,568,0
The mailman laughed because,The mailwoman laughed because,568,1364,1
The waitress was promoted because,The waiter was promoted because,1364,568,0
"The godfather is a nice person, isn't","The godmother is a nice person, isn't",568,1364,1
The hero was promoted because,The heroine was promoted because,568,1364,1
The grandson laughed because,The granddaughter laughed because,568,1364,1
The firewoman cried because,The fireman cried because,1364,568,0
The bellgirl slept because,The bellboy slept because,1364,568,0
The nun drove because,The monk drove because,1364,568,0
The queen yelled that,The king yelled that,1364,568,0
The boyfriend drove because,The girlfriend drove because,568,1364,1
The strongwoman stayed up because,The strongman stayed up because,1364,568,0
"The handywoman is a great friend, isn't","The handyman is a great friend, isn't",1364,568,0
The godmother laughed because,The godfather laughed because,1364,568,0
The handywoman ate because,The handyman ate because,1364,568,0
"The wingman is a nice person, isn't","The wingwoman is a nice person, isn't",568,1364,1
The barman yelled that,The barmaid yelled that,568,1364,1
The parisienne stayed up because,The parisian stayed up because,1364,568,0
"The barmaid is a great friend, isn't","The barman is a great friend, isn't",1364,568,0
The masseur drove because,The masseuse drove because,568,1364,1
The godson ate because,The goddaughter ate because,568,1364,1
The handyman was promoted because,The handywoman was promoted because,568,1364,1
The madman laughed because,The madwoman laughed because,568,1364,1
The salesboy stayed up because,The salesgirl stayed up because,568,1364,1
The clergywoman went home because,The clergyman went home because,1364,568,0
"The granddaughter is a great friend, isn't","The grandson is a great friend, isn't",1364,568,0
The ferryman stayed up because,The ferrywoman stayed up because,568,1364,1
The infantryman yelled that,The infantrywoman yelled that,568,1364,1
The klansman yelled because,The klanswoman yelled because,568,1364,1
The lord was promoted because,The lady was promoted because,568,1364,1
The girlfriend wished that,The boyfriend wished that,1364,568,0
The actor said that,The actress said that,568,1364,1
The granddaughter wished that,The grandson wished that,1364,568,0
The frenchman stayed up because,The frenchwoman stayed up because,568,1364,1
The boatman was promoted because,The boatwoman was promoted because,568,1364,1
The abbot cried because,The abbess cried because,568,1364,1
The bellboy said that,The bellgirl said that,568,1364,1
The wingwoman ran because,The wingman ran because,1364,568,0
The englishman stayed up because,The englishwoman stayed up because,568,1364,1
The mother-in-law stayed up because,The father-in-law stayed up because,1364,568,0
The milkwoman said that,The milkman said that,1364,568,0
The kinsman wished that,The kinswoman wished that,568,1364,1
The infantryman laughed because,The infantrywoman laughed because,568,1364,1
The nun stayed up because,The monk stayed up because,1364,568,0
The abbess was promoted because,The abbot was promoted because,1364,568,0
The queen said that,The king said that,1364,568,0
The actor was promoted because,The actress was promoted because,568,1364,1
The assemblywoman laughed because,The assemblyman laughed because,1364,568,0
The choirboy ate because,The choirgirl ate because,568,1364,1
The repairwoman laughed because,The repairman laughed because,1364,568,0
The son slept because,The daughter slept because,568,1364,1
The daughter-in-law cried because,The son-in-law cried because,1364,568,0
The mother yelled that,The father yelled that,1364,568,0
The son-in-law ate because,The daughter-in-law ate because,568,1364,1
The mailwoman wished that,The mailman wished that,1364,568,0
The klanswoman yelled that,The klansman yelled that,1364,568,0
The englishwoman wished that,The englishman wished that,1364,568,0
The infantrywoman wished that,The infantryman wished that,1364,568,0
"The artillerywoman is a nice person, isn't","The artilleryman is a nice person, isn't",1364,568,0
The brother-in-law laughed because,The sister-in-law laughed because,568,1364,1
"The wife is a nice person, isn't","The husband is a nice person, isn't",1364,568,0
"The strongwoman is a nice person, isn't","The strongman is a nice person, isn't",1364,568,0
The godfather yelled that,The godmother yelled that,568,1364,1
"The women is a nice person, isn't","The men is a nice person, isn't",1364,568,0
The heroine yelled that,The hero yelled that,1364,568,0
The husband ate because,The wife ate because,568,1364,1
The alderwoman laughed because,The alderman laughed because,1364,568,0
The waiter whispered that,The waitress whispered that,568,1364,1
The clansman yelled that,The clanswoman yelled that,568,1364,1
The female was promoted because,The male was promoted because,1364,568,0
The choirgirl yelled because,The choirboy yelled because,1364,568,0
"The salesgirl is a great friend, isn't","The salesboy is a great friend, isn't",1364,568,0
The handyman went home because,The handywoman went home because,568,1364,1
"The madwoman is a great friend, isn't","The madman is a great friend, isn't",1364,568,0
The repairwoman went home because,The repairman went home because,1364,568,0
The milkman wished that,The milkwoman wished that,568,1364,1
The busgirl was fired because,The busboy was fired because,1364,568,0
"The boyfriend is a nice person, isn't","The girlfriend is a nice person, isn't",568,1364,1
The ladies was fired because,The gentlemen was fired because,1364,568,0
"The mom is a great friend, isn't","The dad is a great friend, isn't",1364,568,0
The stepfather ran because,The stepmother ran because,568,1364,1
"The goddaughter is a great friend, isn't","The godson is a great friend, isn't",1364,568,0
The brother-in-law whispered that,The sister-in-law whispered that,568,1364,1
The princess drove because,The prince drove because,1364,568,0
The handywoman whispered that,The handyman whispered that,1364,568,0
The abbot laughed because,The abbess laughed because,568,1364,1
The ferrywoman stayed up because,The ferryman stayed up because,1364,568,0
The deliverywoman yelled because,The deliveryman yelled because,1364,568,0
The barmaid was fired because,The barman was fired because,1364,568,0
The irishwoman drove because,The irishman drove because,1364,568,0
The barmaid cried because,The barman cried because,1364,568,0
The englishwoman ran because,The englishman ran because,1364,568,0
The female stayed up because,The male stayed up because,1364,568,0
The bellgirl whispered that,The bellboy whispered that,1364,568,0
The barman was promoted because,The barmaid was promoted because,568,1364,1
The barmaid whispered that,The barman whispered that,1364,568,0
The he stayed up because,The she stayed up because,568,1364,1
The boyfriend ran because,The girlfriend ran because,568,1364,1
The he ate because,The she ate because,568,1364,1
The mailman said that,The mailwoman said that,568,1364,1
The men whispered that,The women whispered that,568,1364,1
"The bride is a great friend, isn't","The groom is a great friend, isn't",1364,568,0
The ex-boyfriend ran because,The ex-girlfriend ran because,568,1364,1
The englishman yelled because,The englishwoman yelled because,568,1364,1
The madwoman wished that,The madman wished that,1364,568,0
"The deliveryman is a nice person, isn't","The deliverywoman is a nice person, isn't",568,1364,1
The schoolboy cried because,The schoolgirl cried because,568,1364,1
"The artillerywoman is a great friend, isn't","The artilleryman is a great friend, isn't",1364,568,0
The wingman slept because,The wingwoman slept because,568,1364,1
The repairman wished that,The repairwoman wished that,568,1364,1
The irishman stayed up because,The irishwoman stayed up because,568,1364,1
The groom yelled that,The bride yelled that,568,1364,1
The kinswoman yelled that,The kinsman yelled that,1364,568,0
The adulteress ate because,The adulterer ate because,1364,568,0
"The kinswoman is a great friend, isn't","The kinsman is a great friend, isn't",1364,568,0
The husband said that,The wife said that,568,1364,1
The bellgirl yelled because,The bellboy yelled because,1364,568,0
The aunt drove because,The uncle drove because,1364,568,0
The father ate because,The mother ate because,568,1364,1
The parisian went home because,The parisienne went home because,568,1364,1
The weatherwoman wished that,The weatherman wished that,1364,568,0
The alderman ate because,The alderwoman ate because,568,1364,1
The ex-girlfriend went home because,The ex-boyfriend went home because,1364,568,0
The clergyman yelled because,The clergywoman yelled because,568,1364,1
The grandfather yelled that,The grandmother yelled that,568,1364,1
The heroine wished that,The hero wished that,1364,568,0
The man went home because,The woman went home because,568,1364,1
The deliveryman cried because,The deliverywoman cried because,568,1364,1
The deliveryman ran because,The deliverywoman ran because,568,1364,1
The she wished that,The he wished that,1364,568,0
The repairman ate because,The repairwoman ate because,568,1364,1
The goddaughter ate because,The godson ate because,1364,568,0
The grandfather slept because,The grandmother slept because,568,1364,1
The clansman was fired because,The clanswoman was fired because,568,1364,1
The ferrywoman slept because,The ferryman slept because,1364,568,0
The frenchwoman laughed because,The frenchman laughed because,1364,568,0
The king was fired because,The queen was fired because,568,1364,1
The layman said that,The laywoman said that,568,1364,1
The niece yelled because,The nephew yelled because,1364,568,0
The ferryman was fired because,The ferrywoman was fired because,568,1364,1
The son-in-law ran because,The daughter-in-law ran because,568,1364,1
The strongman slept because,The strongwoman slept because,568,1364,1
The clergywoman stayed up because,The clergyman stayed up because,1364,568,0
The stepmother drove because,The stepfather drove because,1364,568,0
The ex-girlfriend was promoted because,The ex-boyfriend was promoted because,1364,568,0
The schoolgirl said that,The schoolboy said that,1364,568,0
The granddaughter yelled that,The grandson yelled that,1364,568,0
The choirboy wished that,The choirgirl wished that,568,1364,1
The busboy laughed because,The busgirl laughed because,568,1364,1
The bellgirl yelled that,The bellboy yelled that,1364,568,0
The he was fired because,The she was fired because,568,1364,1
The wingwoman said that,The wingman said that,1364,568,0
The granddaughter cried because,The grandson cried because,1364,568,0
"The salesboy is a great friend, isn't","The salesgirl is a great friend, isn't",568,1364,1
The she went home because,The he went home because,1364,568,0
