clean,clean_label,clean_idx,corrupted,corrupted_label,corrupted_idx
"Q: On the floor, there is a black envelope, a silver bowl, a brown puzzle, and a red jug. What color is the envelope? A: black Q: On the table, there is a blue bottle, a gold plate, and a silver lighter. What color is the plate? A:",gold,5782,"Q: On the floor, there is a black envelope, a silver bowl, a brown puzzle, and a red jug. What color is the envelope? A: black Q: On the table, there is a brown pen, a grey ball, and a green lighter. What color is the ball? A:",grey,16311
"Q: On the desk, I see a black pen, a pink envelope, and a gold jug. What color is the pen? A: black Q: On the desk, I see a purple notebook and a silver envelope. What color is the notebook? A:",purple,20203,"Q: On the desk, I see a black pen, a pink envelope, and a gold jug. What color is the pen? A: black Q: On the desk, I see a silver pen and a green plate. What color is the pen? A:",silver,10514
"Q: On the floor, there is a purple notebook and a blue bottle. What color is the notebook? A: purple Q: On the table, I see a silver ball, an orange pen, a pink jug, and a grey bottle. What color is the bottle? A:",grey,16311,"Q: On the floor, there is a purple notebook and a blue bottle. What color is the notebook? A: purple Q: On the table, I see a green lighter, a yellow ball, a red envelope, and a brown jug. What color is the envelope? A:",red,3528
"Q: On the floor, there is a black lighter, a gold envelope, an orange bowl, and a pink ball. What color is the envelope? A: gold Q: On the desk, there is a yellow lighter and a red puzzle. What color is the puzzle? A:",red,3528,"Q: On the floor, there is a black lighter, a gold envelope, an orange bowl, and a pink ball. What color is the envelope? A: gold Q: On the desk, there is a silver pen and a yellow bowl. What color is the bowl? A:",yellow,10452
"Q: On the desk, I see a gold jug, a grey notebook, and a black pen. What color is the notebook? A: grey Q: On the desk, there is an orange plate and a black envelope. What color is the plate? A:",orange,15313,"Q: On the desk, I see a gold jug, a grey notebook, and a black pen. What color is the notebook? A: grey Q: On the desk, there is a blue puzzle and a gold notebook. What color is the notebook? A:",gold,5782
"Q: On the table, there is a silver plate and a purple bowl. What color is the plate? A: silver Q: On the floor, you see a red envelope and a pink ball. What color is the envelope? A:",red,3528,"Q: On the table, there is a silver plate and a purple bowl. What color is the plate? A: silver Q: On the floor, you see a purple ball and a brown bottle. What color is the bottle? A:",brown,9828
"Q: On the floor, there is a brown cup, a silver envelope, an orange jug, and a red pen. What color is the cup? A: brown Q: On the floor, I see a brown pen, a blue notebook, a grey envelope, and a red puzzle. What color is the pen? A:",brown,9828,"Q: On the floor, there is a brown cup, a silver envelope, an orange jug, and a red pen. What color is the cup? A: brown Q: On the floor, I see a blue lighter, a silver ball, an orange puzzle, and a brown jug. What color is the ball? A:",silver,10514
"Q: On the desk, I see an orange cup, a pink envelope, a green jug, and a gold plate. What color is the jug? A: green Q: On the desk, you see a green lighter, a purple pen, a brown cup, and a pink notebook. What color is the lighter? A:",green,6112,"Q: On the desk, I see an orange cup, a pink envelope, a green jug, and a gold plate. What color is the jug? A: green Q: On the desk, you see a pink plate, a brown lighter, a silver bottle, and a grey pen. What color is the lighter? A:",brown,9828
"Q: On the floor, I see a red bottle and a black envelope. What color is the envelope? A: black Q: On the floor, there is an orange puzzle and a blue lighter. What color is the lighter? A:",blue,5813,"Q: On the floor, I see a red bottle and a black envelope. What color is the envelope? A: black Q: On the floor, there is a brown pen and an orange plate. What color is the pen? A:",brown,9828
"Q: On the desk, I see a gold ball, a silver notebook, a pink plate, and a black cup. What color is the ball? A: gold Q: On the table, you see a grey cup, a green pen, and a purple lighter. What color is the cup? A:",grey,16311,"Q: On the desk, I see a gold ball, a silver notebook, a pink plate, and a black cup. What color is the ball? A: gold Q: On the table, you see a black lighter, a purple bowl, and a grey envelope. What color is the bowl? A:",purple,20203
"Q: On the desk, you see a black puzzle and a pink cup. What color is the cup? A: pink Q: On the desk, I see a black pen, a brown notebook, a silver jug, and a purple plate. What color is the jug? A:",silver,10514,"Q: On the desk, you see a black puzzle and a pink cup. What color is the cup? A: pink Q: On the desk, I see a blue envelope, a brown jug, a grey puzzle, and an orange bottle. What color is the envelope? A:",blue,5813
"Q: On the floor, you see a silver cup, a black lighter, a green plate, and a blue jug. What color is the jug? A: blue Q: On the desk, there is a red bowl and a pink puzzle. What color is the puzzle? A:",pink,13705,"Q: On the floor, you see a silver cup, a black lighter, a green plate, and a blue jug. What color is the jug? A: blue Q: On the desk, there is a pink bowl and a grey cup. What color is the cup? A:",grey,16311
"Q: On the floor, you see a purple ball, a gold notebook, and a green envelope. What color is the envelope? A: green Q: On the desk, you see an orange envelope and a pink bowl. What color is the bowl? A:",pink,13705,"Q: On the floor, you see a purple ball, a gold notebook, and a green envelope. What color is the envelope? A: green Q: On the desk, you see a purple bowl and an orange lighter. What color is the lighter? A:",orange,15313
"Q: On the desk, there is a silver bottle and a purple jug. What color is the jug? A: purple Q: On the desk, you see a grey plate and a black envelope. What color is the envelope? A:",black,3455,"Q: On the desk, there is a silver bottle and a purple jug. What color is the jug? A: purple Q: On the desk, you see a pink lighter and a grey bottle. What color is the bottle? A:",grey,16311
"Q: On the desk, I see a black ball and a grey puzzle. What color is the puzzle? A: grey Q: On the floor, there is a yellow cup, a blue lighter, a silver bowl, and a purple notebook. What color is the lighter? A:",blue,5813,"Q: On the desk, I see a black ball and a grey puzzle. What color is the puzzle? A: grey Q: On the floor, there is a purple plate, a red bottle, a black pen, and a blue jug. What color is the plate? A:",purple,20203
"Q: On the table, I see a green cup, a red pen, and a purple bottle. What color is the cup? A: green Q: On the floor, I see a yellow pen and a purple ball. What color is the pen? A:",yellow,10452,"Q: On the table, I see a green cup, a red pen, and a purple bottle. What color is the cup? A: green Q: On the floor, I see a blue notebook and a pink bottle. What color is the bottle? A:",pink,13705
"Q: On the desk, I see a brown puzzle and a blue cup. What color is the cup? A: blue Q: On the desk, there is an orange plate, a yellow notebook, and a green envelope. What color is the notebook? A:",yellow,10452,"Q: On the desk, I see a brown puzzle and a blue cup. What color is the cup? A: blue Q: On the desk, there is a black notebook, a pink cup, and a grey plate. What color is the notebook? A:",black,3455
"Q: On the floor, I see a purple notebook and a blue jug. What color is the jug? A: blue Q: On the floor, there is a blue plate and a gold notebook. What color is the plate? A:",blue,5813,"Q: On the floor, I see a purple notebook and a blue jug. What color is the jug? A: blue Q: On the floor, there is a purple bottle and a green plate. What color is the bottle? A:",purple,20203
"Q: On the desk, there is a blue notebook, a silver ball, a green lighter, and a purple bowl. What color is the ball? A: silver Q: On the table, I see an orange notebook, a green envelope, a pink lighter, and a silver bottle. What color is the notebook? A:",orange,15313,"Q: On the desk, there is a blue notebook, a silver ball, a green lighter, and a purple bowl. What color is the ball? A: silver Q: On the table, I see a yellow envelope, a silver puzzle, a grey jug, and a brown bowl. What color is the jug? A:",grey,16311
"Q: On the desk, there is a brown lighter, a pink bowl, and a black cup. What color is the cup? A: black Q: On the table, there is a grey cup, a brown bottle, and a gold ball. What color is the cup? A:",grey,16311,"Q: On the desk, there is a brown lighter, a pink bowl, and a black cup. What color is the cup? A: black Q: On the table, there is a purple lighter, a blue plate, and a red bowl. What color is the plate? A:",blue,5813
"Q: On the desk, you see a grey puzzle, a blue lighter, a gold cup, and a purple pen. What color is the pen? A: purple Q: On the table, I see a grey pen, a blue lighter, a silver cup, and a red ball. What color is the ball? A:",red,3528,"Q: On the desk, you see a grey puzzle, a blue lighter, a gold cup, and a purple pen. What color is the pen? A: purple Q: On the table, I see a black plate, a green pen, a grey envelope, and a purple notebook. What color is the pen? A:",green,6112
"Q: On the desk, I see a gold ball and a purple notebook. What color is the ball? A: gold Q: On the floor, I see an orange lighter and a red plate. What color is the lighter? A:",orange,15313,"Q: On the desk, I see a gold ball and a purple notebook. What color is the ball? A: gold Q: On the floor, I see a gold notebook and a yellow pen. What color is the pen? A:",yellow,10452
"Q: On the table, I see a silver bowl, a yellow puzzle, a black pen, and a green ball. What color is the puzzle? A: yellow Q: On the floor, I see a green bowl, a brown puzzle, a gold lighter, and a blue ball. What color is the ball? A:",blue,5813,"Q: On the table, I see a silver bowl, a yellow puzzle, a black pen, and a green ball. What color is the puzzle? A: yellow Q: On the floor, I see a black puzzle, a pink cup, a purple ball, and a silver envelope. What color is the ball? A:",purple,20203
"Q: On the table, I see a blue jug, a grey envelope, and a green cup. What color is the envelope? A: grey Q: On the floor, there is a pink puzzle and a purple jug. What color is the jug? A:",purple,20203,"Q: On the table, I see a blue jug, a grey envelope, and a green cup. What color is the envelope? A: grey Q: On the floor, there is a blue envelope and a gold ball. What color is the envelope? A:",blue,5813
"Q: On the floor, you see a silver bowl, a blue cup, and a brown ball. What color is the cup? A: blue Q: On the floor, there is a gold plate and a grey envelope. What color is the envelope? A:",grey,16311,"Q: On the floor, you see a silver bowl, a blue cup, and a brown ball. What color is the cup? A: blue Q: On the floor, there is an orange ball and a brown plate. What color is the plate? A:",brown,9828
"Q: On the table, you see a pink bottle and a yellow puzzle. What color is the puzzle? A: yellow Q: On the floor, you see an orange cup, a brown envelope, and a black pen. What color is the envelope? A:",brown,9828,"Q: On the table, you see a pink bottle and a yellow puzzle. What color is the puzzle? A: yellow Q: On the floor, you see a black cup, a yellow bowl, and an orange notebook. What color is the bowl? A:",yellow,10452
"Q: On the desk, you see a silver notebook and a blue cup. What color is the notebook? A: silver Q: On the desk, you see a silver bowl and a gold bottle. What color is the bowl? A:",silver,10514,"Q: On the desk, you see a silver notebook and a blue cup. What color is the notebook? A: silver Q: On the desk, you see a black bowl and a brown plate. What color is the bowl? A:",black,3455
"Q: On the floor, there is a yellow bowl, a grey ball, and a brown pen. What color is the bowl? A: yellow Q: On the table, you see a red plate, a black puzzle, an orange jug, and a blue bottle. What color is the jug? A:",orange,15313,"Q: On the floor, there is a yellow bowl, a grey ball, and a brown pen. What color is the bowl? A: yellow Q: On the table, you see a silver puzzle, a blue ball, a purple lighter, and a pink bottle. What color is the lighter? A:",purple,20203
"Q: On the desk, I see a blue notebook and a black cup. What color is the notebook? A: blue Q: On the table, I see a black lighter, a blue bottle, and a brown notebook. What color is the lighter? A:",black,3455,"Q: On the desk, I see a blue notebook and a black cup. What color is the notebook? A: blue Q: On the table, I see a pink jug, a brown bottle, and a yellow lighter. What color is the bottle? A:",brown,9828
"Q: On the desk, you see a yellow plate, a purple notebook, and a gold jug. What color is the plate? A: yellow Q: On the desk, you see a grey puzzle, a red envelope, a gold bottle, and a black notebook. What color is the bottle? A:",gold,5782,"Q: On the desk, you see a yellow plate, a purple notebook, and a gold jug. What color is the plate? A: yellow Q: On the desk, you see a brown notebook, a gold jug, a black bowl, and a silver lighter. What color is the bowl? A:",black,3455
"Q: On the desk, you see a black pen, a silver bowl, a blue bottle, and a gold plate. What color is the bottle? A: blue Q: On the table, you see a yellow ball, a blue jug, and a brown puzzle. What color is the ball? A:",yellow,10452,"Q: On the desk, you see a black pen, a silver bowl, a blue bottle, and a gold plate. What color is the bottle? A: blue Q: On the table, you see a grey puzzle, a silver jug, and a green bowl. What color is the jug? A:",silver,10514
"Q: On the table, you see a red envelope, a blue cup, and a silver lighter. What color is the lighter? A: silver Q: On the floor, there is a silver plate and a brown pen. What color is the plate? A:",silver,10514,"Q: On the table, you see a red envelope, a blue cup, and a silver lighter. What color is the lighter? A: silver Q: On the floor, there is a gold envelope and a brown lighter. What color is the lighter? A:",brown,9828
"Q: On the floor, you see a black bottle and an orange puzzle. What color is the bottle? A: black Q: On the floor, I see a purple bowl, a grey puzzle, a green notebook, and a gold plate. What color is the puzzle? A:",grey,16311,"Q: On the floor, you see a black bottle and an orange puzzle. What color is the bottle? A: black Q: On the floor, I see a grey envelope, a purple jug, a green pen, and a pink bowl. What color is the bowl? A:",pink,13705
"Q: On the desk, you see a brown cup and a purple plate. What color is the cup? A: brown Q: On the floor, you see a pink puzzle, a black notebook, and a purple pen. What color is the pen? A:",purple,20203,"Q: On the desk, you see a brown cup and a purple plate. What color is the cup? A: brown Q: On the floor, you see a blue bottle, a grey lighter, and a black notebook. What color is the lighter? A:",grey,16311
"Q: On the floor, I see a silver cup and a gold bottle. What color is the cup? A: silver Q: On the table, I see a purple jug and a blue plate. What color is the plate? A:",blue,5813,"Q: On the floor, I see a silver cup and a gold bottle. What color is the cup? A: silver Q: On the table, I see an orange puzzle and a gold jug. What color is the jug? A:",gold,5782
"Q: On the floor, you see a silver bottle and a grey lighter. What color is the bottle? A: silver Q: On the table, you see an orange bowl, a gold ball, and a green envelope. What color is the envelope? A:",green,6112,"Q: On the floor, you see a silver bottle and a grey lighter. What color is the bottle? A: silver Q: On the table, you see a black bowl, a gold bottle, and a yellow pen. What color is the bottle? A:",gold,5782
"Q: On the table, there is a brown pen, a blue jug, and an orange cup. What color is the cup? A: orange Q: On the floor, you see a grey puzzle, a silver lighter, and a brown notebook. What color is the puzzle? A:",grey,16311,"Q: On the table, there is a brown pen, a blue jug, and an orange cup. What color is the cup? A: orange Q: On the floor, you see a black ball, a blue bowl, and a green pen. What color is the ball? A:",black,3455
"Q: On the table, I see a blue plate and a yellow puzzle. What color is the plate? A: blue Q: On the desk, there is a brown envelope and an orange bowl. What color is the envelope? A:",brown,9828,"Q: On the table, I see a blue plate and a yellow puzzle. What color is the plate? A: blue Q: On the desk, there is a yellow lighter and a green cup. What color is the lighter? A:",yellow,10452
"Q: On the desk, you see a red cup and a brown jug. What color is the jug? A: brown Q: On the desk, you see an orange ball, a gold puzzle, a red lighter, and a blue jug. What color is the jug? A:",blue,5813,"Q: On the desk, you see a red cup and a brown jug. What color is the jug? A: brown Q: On the desk, you see a gold ball, a blue pen, an orange envelope, and a silver bottle. What color is the envelope? A:",orange,15313
"Q: On the floor, I see a purple pen and a yellow notebook. What color is the pen? A: purple Q: On the floor, you see a brown envelope, an orange pen, a blue puzzle, and a black ball. What color is the pen? A:",orange,15313,"Q: On the floor, I see a purple pen and a yellow notebook. What color is the pen? A: purple Q: On the floor, you see a yellow jug, a black ball, a pink plate, and a blue cup. What color is the jug? A:",yellow,10452
"Q: On the table, I see a blue puzzle, a black cup, and a brown plate. What color is the plate? A: brown Q: On the floor, there is a black puzzle, an orange cup, and a grey jug. What color is the puzzle? A:",black,3455,"Q: On the table, I see a blue puzzle, a black cup, and a brown plate. What color is the plate? A: brown Q: On the floor, there is an orange pen, a silver plate, and a red ball. What color is the plate? A:",silver,10514
"Q: On the floor, there is a silver bottle, a red cup, a black pen, and a blue lighter. What color is the bottle? A: silver Q: On the floor, you see a green pen and a yellow bowl. What color is the bowl? A:",yellow,10452,"Q: On the floor, there is a silver bottle, a red cup, a black pen, and a blue lighter. What color is the bottle? A: silver Q: On the floor, you see a gold lighter and a silver bottle. What color is the lighter? A:",gold,5782
"Q: On the desk, I see a gold puzzle and a yellow ball. What color is the ball? A: yellow Q: On the floor, I see a blue pen, a red bottle, and a gold cup. What color is the pen? A:",blue,5813,"Q: On the desk, I see a gold puzzle and a yellow ball. What color is the ball? A: yellow Q: On the floor, I see a silver cup, a yellow ball, and a grey envelope. What color is the cup? A:",silver,10514
"Q: On the table, there is an orange envelope and a black plate. What color is the envelope? A: orange Q: On the floor, I see a silver plate, a yellow cup, a red bowl, and a purple pen. What color is the bowl? A:",red,3528,"Q: On the table, there is an orange envelope and a black plate. What color is the envelope? A: orange Q: On the floor, I see a brown ball, a grey envelope, an orange bottle, and a green bowl. What color is the ball? A:",brown,9828
"Q: On the table, you see a grey cup, a brown pen, and a blue jug. What color is the jug? A: blue Q: On the floor, there is a black plate, a brown envelope, a blue notebook, and a red puzzle. What color is the puzzle? A:",red,3528,"Q: On the table, you see a grey cup, a brown pen, and a blue jug. What color is the jug? A: blue Q: On the floor, there is a red envelope, a gold notebook, a silver lighter, and a purple cup. What color is the cup? A:",purple,20203
"Q: On the floor, you see a silver lighter and a green envelope. What color is the lighter? A: silver Q: On the desk, I see a pink plate, a grey bowl, and a black envelope. What color is the plate? A:",pink,13705,"Q: On the floor, you see a silver lighter and a green envelope. What color is the lighter? A: silver Q: On the desk, I see a gold puzzle, a silver lighter, and a yellow envelope. What color is the envelope? A:",yellow,10452
"Q: On the desk, there is a black notebook and a silver envelope. What color is the envelope? A: silver Q: On the table, you see a red pen, a grey puzzle, a pink cup, and a purple lighter. What color is the lighter? A:",purple,20203,"Q: On the desk, there is a black notebook and a silver envelope. What color is the envelope? A: silver Q: On the table, you see a yellow plate, a brown puzzle, a blue notebook, and a black ball. What color is the notebook? A:",blue,5813
"Q: On the desk, you see a silver cup, a blue notebook, a black pen, and a grey plate. What color is the notebook? A: blue Q: On the table, you see a grey jug, a brown puzzle, a yellow ball, and a black notebook. What color is the ball? A:",yellow,10452,"Q: On the desk, you see a silver cup, a blue notebook, a black pen, and a grey plate. What color is the notebook? A: blue Q: On the table, you see an orange puzzle, a gold plate, a purple pen, and a blue bottle. What color is the puzzle? A:",orange,15313
"Q: On the desk, you see a blue lighter and a yellow cup. What color is the lighter? A: blue Q: On the table, I see a red cup and a purple lighter. What color is the lighter? A:",purple,20203,"Q: On the desk, you see a blue lighter and a yellow cup. What color is the lighter? A: blue Q: On the table, I see a yellow bottle and a red bowl. What color is the bottle? A:",yellow,10452
"Q: On the floor, there is a blue notebook, a pink lighter, a grey cup, and a red bowl. What color is the lighter? A: pink Q: On the floor, there is an orange lighter and a blue bowl. What color is the bowl? A:",blue,5813,"Q: On the floor, there is a blue notebook, a pink lighter, a grey cup, and a red bowl. What color is the lighter? A: pink Q: On the floor, there is a pink bowl and a purple cup. What color is the cup? A:",purple,20203
"Q: On the desk, I see a grey ball, a gold lighter, and a silver bottle. What color is the ball? A: grey Q: On the floor, you see a grey plate and an orange bottle. What color is the plate? A:",grey,16311,"Q: On the desk, I see a grey ball, a gold lighter, and a silver bottle. What color is the ball? A: grey Q: On the floor, you see a red notebook and a purple cup. What color is the notebook? A:",red,3528
"Q: On the table, there is a yellow ball, a brown bottle, and an orange jug. What color is the bottle? A: brown Q: On the floor, there is a blue bowl, a brown cup, and a yellow puzzle. What color is the bowl? A:",blue,5813,"Q: On the table, there is a yellow ball, a brown bottle, and an orange jug. What color is the bottle? A: brown Q: On the floor, there is a pink notebook, a blue jug, and an orange bowl. What color is the notebook? A:",pink,13705
"Q: On the desk, you see a brown jug and a yellow notebook. What color is the jug? A: brown Q: On the desk, I see a pink envelope, a red bowl, and a brown ball. What color is the envelope? A:",pink,13705,"Q: On the desk, you see a brown jug and a yellow notebook. What color is the jug? A: brown Q: On the desk, I see a gold cup, a blue bowl, and a silver plate. What color is the cup? A:",gold,5782
"Q: On the floor, you see a grey bowl, a blue lighter, and a brown cup. What color is the lighter? A: blue Q: On the floor, there is a silver notebook, a pink bowl, a brown envelope, and a yellow jug. What color is the notebook? A:",silver,10514,"Q: On the floor, you see a grey bowl, a blue lighter, and a brown cup. What color is the lighter? A: blue Q: On the floor, there is a black bowl, a red cup, a yellow ball, and a purple bottle. What color is the cup? A:",red,3528
"Q: On the desk, I see a brown envelope, a pink pen, and a gold lighter. What color is the pen? A: pink Q: On the desk, I see a silver bowl, a grey bottle, a gold puzzle, and a blue pen. What color is the puzzle? A:",gold,5782,"Q: On the desk, I see a brown envelope, a pink pen, and a gold lighter. What color is the pen? A: pink Q: On the desk, I see a grey bowl, a green puzzle, a red bottle, and an orange notebook. What color is the puzzle? A:",green,6112
"Q: On the desk, you see a red cup, an orange puzzle, and a silver notebook. What color is the cup? A: red Q: On the table, I see a yellow pen, a pink ball, a gold cup, and a green bowl. What color is the cup? A:",gold,5782,"Q: On the desk, you see a red cup, an orange puzzle, and a silver notebook. What color is the cup? A: red Q: On the table, I see an orange cup, a silver pen, a purple puzzle, and a blue lighter. What color is the pen? A:",silver,10514
"Q: On the table, there is a grey jug and a black cup. What color is the cup? A: black Q: On the floor, I see a yellow bowl, a gold puzzle, and a red lighter. What color is the lighter? A:",red,3528,"Q: On the table, there is a grey jug and a black cup. What color is the cup? A: black Q: On the floor, I see a gold jug, a green bowl, and a red pen. What color is the jug? A:",gold,5782
"Q: On the table, there is a purple plate, a gold notebook, a blue lighter, and a pink bowl. What color is the notebook? A: gold Q: On the floor, there is a black plate and a yellow bottle. What color is the bottle? A:",yellow,10452,"Q: On the table, there is a purple plate, a gold notebook, a blue lighter, and a pink bowl. What color is the notebook? A: gold Q: On the floor, there is a silver notebook and a red envelope. What color is the notebook? A:",silver,10514
"Q: On the floor, you see a gold jug and a yellow plate. What color is the jug? A: gold Q: On the desk, you see a purple ball and a black bowl. What color is the ball? A:",purple,20203,"Q: On the floor, you see a gold jug and a yellow plate. What color is the jug? A: gold Q: On the desk, you see a silver jug and a yellow puzzle. What color is the puzzle? A:",yellow,10452
"Q: On the desk, I see a grey puzzle, a black plate, a brown bottle, and a green ball. What color is the bottle? A: brown Q: On the table, I see a red lighter and a green ball. What color is the ball? A:",green,6112,"Q: On the desk, I see a grey puzzle, a black plate, a brown bottle, and a green ball. What color is the bottle? A: brown Q: On the table, I see a pink bottle and a yellow lighter. What color is the bottle? A:",pink,13705
"Q: On the floor, I see a brown lighter and a grey cup. What color is the lighter? A: brown Q: On the table, you see a silver ball and a blue envelope. What color is the envelope? A:",blue,5813,"Q: On the floor, I see a brown lighter and a grey cup. What color is the lighter? A: brown Q: On the table, you see a green pen and a silver lighter. What color is the pen? A:",green,6112
