clean,clean_label,clean_idx,corrupted,corrupted_label,corrupted_idx
"Q: On the table, you see a green pen, a pink lighter, and a blue mug. What color is the mug? A: blue Q: On the table, you see a purple ball, a gold cup, and a blue notebook. What color is the ball? A:",purple,19445,"Q: On the table, you see a green pen, a pink lighter, and a blue mug. What color is the mug? A: blue Q: On the table, you see a blue jug, a yellow plate, and a grey cup. What color is the jug? A:",blue,4797
"Q: On the desk, there is a black plate, a purple pencil, a pink textbook, and an orange notebook. What color is the plate? A: black Q: On the floor, there is a green envelope, a purple ball, an orange pencil, and a red mug. What color is the mug? A:",red,2502,"Q: On the desk, there is a black plate, a purple pencil, a pink textbook, and an orange notebook. What color is the plate? A: black Q: On the floor, there is a green textbook, a purple lighter, a black envelope, and a red plate. What color is the lighter? A:",purple,19445
"Q: On the table, you see a black textbook, a gold bowl, a grey bottle, and a pink mug. What color is the bottle? A: grey Q: On the table, there is a pink notebook and a gold puzzle. What color is the puzzle? A:",gold,5328,"Q: On the table, you see a black textbook, a gold bowl, a grey bottle, and a pink mug. What color is the bottle? A: grey Q: On the table, there is a purple jug and a grey lighter. What color is the jug? A:",purple,19445
"Q: On the desk, you see a green ball and a blue pencil. What color is the pencil? A: blue Q: On the floor, there is a grey notebook and an orange plate. What color is the notebook? A:",grey,14370,"Q: On the desk, you see a green ball and a blue pencil. What color is the pencil? A: blue Q: On the floor, there is a gold puzzle and an orange jug. What color is the jug? A:",orange,13735
"Q: On the table, there is a red mug and a brown necklace. What color is the mug? A: red Q: On the floor, I see a black envelope and a blue bowl. What color is the bowl? A:",blue,4797,"Q: On the table, there is a red mug and a brown necklace. What color is the mug? A: red Q: On the floor, I see an orange bottle and a silver jug. What color is the jug? A:",silver,9711
"Q: On the floor, you see a yellow ball and a green bowl. What color is the ball? A: yellow Q: On the desk, there is a pink cup, a black jug, a yellow bowl, and a grey bottle. What color is the bottle? A:",grey,14370,"Q: On the floor, you see a yellow ball and a green bowl. What color is the ball? A: yellow Q: On the desk, there is a yellow puzzle, a green necklace, a silver ball, and a grey notebook. What color is the puzzle? A:",yellow,8862
"Q: On the desk, you see a red puzzle and a brown necklace. What color is the necklace? A: brown Q: On the table, I see a grey necklace and an orange mug. What color is the necklace? A:",grey,14370,"Q: On the desk, you see a red puzzle and a brown necklace. What color is the necklace? A: brown Q: On the table, I see a yellow jug and a red pencil. What color is the pencil? A:",red,2502
"Q: On the floor, I see a silver cup, a yellow bowl, and a blue pencil. What color is the cup? A: silver Q: On the floor, I see a green pencil, a silver textbook, a gold necklace, and a black cup. What color is the necklace? A:",gold,5328,"Q: On the floor, I see a silver cup, a yellow bowl, and a blue pencil. What color is the cup? A: silver Q: On the floor, I see a pink pen, a gold lighter, a blue cup, and a yellow jug. What color is the pen? A:",pink,14863
"Q: On the desk, I see a green bowl, a purple pen, a silver mug, and an orange ball. What color is the ball? A: orange Q: On the desk, I see a blue bowl, a silver puzzle, a yellow bottle, and a pink textbook. What color is the bowl? A:",blue,4797,"Q: On the desk, I see a green bowl, a purple pen, a silver mug, and an orange ball. What color is the ball? A: orange Q: On the desk, I see a gold lighter, a grey pencil, a yellow envelope, and a red bowl. What color is the envelope? A:",yellow,8862
"Q: On the floor, there is a purple plate, a silver puzzle, and a grey pen. What color is the puzzle? A: silver Q: On the floor, I see a grey pencil, a gold mug, and a green notebook. What color is the mug? A:",gold,5328,"Q: On the floor, there is a purple plate, a silver puzzle, and a grey pen. What color is the puzzle? A: silver Q: On the floor, I see a green cup, a grey notebook, and a pink envelope. What color is the notebook? A:",grey,14370
"Q: On the table, you see a gold notebook, a grey ball, and a green mug. What color is the ball? A: grey Q: On the desk, you see a silver ball, a gold cup, a green envelope, and a brown notebook. What color is the envelope? A:",green,4759,"Q: On the table, you see a gold notebook, a grey ball, and a green mug. What color is the ball? A: grey Q: On the desk, you see a gold cup, a silver lighter, a blue mug, and a brown pencil. What color is the mug? A:",blue,4797
"Q: On the floor, you see a pink envelope and a red necklace. What color is the envelope? A: pink Q: On the desk, I see a black plate and a brown pencil. What color is the plate? A:",black,2806,"Q: On the floor, you see a pink envelope and a red necklace. What color is the envelope? A: pink Q: On the desk, I see a green ball and a yellow pen. What color is the ball? A:",green,4759
"Q: On the floor, you see a yellow jug, a brown cup, and a blue puzzle. What color is the puzzle? A: blue Q: On the table, you see a red lighter, a pink bowl, a purple ball, and a blue notebook. What color is the notebook? A:",blue,4797,"Q: On the floor, you see a yellow jug, a brown cup, and a blue puzzle. What color is the puzzle? A: blue Q: On the table, you see a pink envelope, a brown textbook, a red jug, and a black plate. What color is the envelope? A:",pink,14863
"Q: On the table, I see a green pen, a silver bottle, and a black mug. What color is the pen? A: green Q: On the floor, there is a green pencil, an orange bottle, and a pink cup. What color is the pencil? A:",green,4759,"Q: On the table, I see a green pen, a silver bottle, and a black mug. What color is the pen? A: green Q: On the floor, there is a purple mug, a blue pen, and a red lighter. What color is the lighter? A:",red,2502
"Q: On the floor, you see a silver mug and a purple puzzle. What color is the mug? A: silver Q: On the desk, you see a silver jug, a green necklace, a yellow puzzle, and a red textbook. What color is the puzzle? A:",yellow,8862,"Q: On the floor, you see a silver mug and a purple puzzle. What color is the mug? A: silver Q: On the desk, you see a brown textbook, a black puzzle, an orange notebook, and a purple bowl. What color is the bowl? A:",purple,19445
"Q: On the table, you see an orange ball and a yellow pencil. What color is the pencil? A: yellow Q: On the floor, you see a yellow envelope, an orange necklace, and a purple plate. What color is the necklace? A:",orange,13735,"Q: On the table, you see an orange ball and a yellow pencil. What color is the pencil? A: yellow Q: On the floor, you see a black necklace, a blue textbook, and a gold plate. What color is the necklace? A:",black,2806
"Q: On the floor, I see a silver cup and a brown bowl. What color is the cup? A: silver Q: On the floor, there is a black puzzle, a pink jug, a red pencil, and a blue lighter. What color is the jug? A:",pink,14863,"Q: On the floor, I see a silver cup and a brown bowl. What color is the cup? A: silver Q: On the floor, there is an orange envelope, a red lighter, a silver cup, and a green pencil. What color is the pencil? A:",green,4759
"Q: On the table, there is a black notebook and a gold bottle. What color is the bottle? A: gold Q: On the desk, I see a silver mug, a blue notebook, a red pencil, and a brown pen. What color is the pencil? A:",red,2502,"Q: On the table, there is a black notebook and a gold bottle. What color is the bottle? A: gold Q: On the desk, I see a pink necklace, an orange envelope, a black textbook, and a purple bowl. What color is the textbook? A:",black,2806
"Q: On the desk, I see a red jug, an orange notebook, a pink plate, and a black mug. What color is the jug? A: red Q: On the desk, I see a grey lighter, a pink necklace, and a brown plate. What color is the lighter? A:",grey,14370,"Q: On the desk, I see a red jug, an orange notebook, a pink plate, and a black mug. What color is the jug? A: red Q: On the desk, I see a silver notebook, a black cup, and an orange puzzle. What color is the notebook? A:",silver,9711
"Q: On the floor, you see a pink plate and a blue mug. What color is the plate? A: pink Q: On the floor, you see a green pencil, a grey envelope, an orange notebook, and a yellow ball. What color is the notebook? A:",orange,13735,"Q: On the floor, you see a pink plate and a blue mug. What color is the plate? A: pink Q: On the floor, you see a silver notebook, a pink necklace, a green textbook, and a purple bottle. What color is the necklace? A:",pink,14863
"Q: On the desk, I see a black bottle, a red cup, a brown lighter, and a yellow ball. What color is the lighter? A: brown Q: On the desk, you see an orange ball, a blue bottle, a brown pen, and a grey envelope. What color is the bottle? A:",blue,4797,"Q: On the desk, I see a black bottle, a red cup, a brown lighter, and a yellow ball. What color is the lighter? A: brown Q: On the desk, you see a blue necklace, a yellow bottle, a purple pen, and a pink pencil. What color is the pencil? A:",pink,14863
"Q: On the floor, you see a green jug, a pink necklace, an orange ball, and a blue puzzle. What color is the ball? A: orange Q: On the table, there is a pink pen and a purple puzzle. What color is the puzzle? A:",purple,19445,"Q: On the floor, you see a green jug, a pink necklace, an orange ball, and a blue puzzle. What color is the ball? A: orange Q: On the table, there is a silver textbook and a gold puzzle. What color is the textbook? A:",silver,9711
"Q: On the table, there is an orange plate and a brown necklace. What color is the plate? A: orange Q: On the table, there is an orange bottle, a pink lighter, a green necklace, and a black envelope. What color is the envelope? A:",black,2806,"Q: On the table, there is an orange plate and a brown necklace. What color is the plate? A: orange Q: On the table, there is a gold envelope, a silver bowl, a green textbook, and a black ball. What color is the textbook? A:",green,4759
"Q: On the table, you see a pink jug, a grey mug, and a black bowl. What color is the jug? A: pink Q: On the floor, there is a green jug, a brown necklace, and a blue bottle. What color is the jug? A:",green,4759,"Q: On the table, you see a pink jug, a grey mug, and a black bowl. What color is the jug? A: pink Q: On the floor, there is a black textbook, a blue mug, and a brown notebook. What color is the notebook? A:",brown,8516
"Q: On the desk, I see a black pen, a green necklace, and a blue bottle. What color is the bottle? A: blue Q: On the table, you see a silver pencil, a green bowl, and a yellow bottle. What color is the bowl? A:",green,4759,"Q: On the desk, I see a black pen, a green necklace, and a blue bottle. What color is the bottle? A: blue Q: On the table, you see a grey envelope, a brown bottle, and a pink pen. What color is the bottle? A:",brown,8516
"Q: On the floor, you see a purple puzzle, a gold pencil, and a green envelope. What color is the envelope? A: green Q: On the floor, you see a yellow textbook, an orange bowl, and a purple envelope. What color is the bowl? A:",orange,13735,"Q: On the floor, you see a purple puzzle, a gold pencil, and a green envelope. What color is the envelope? A: green Q: On the floor, you see a purple envelope, an orange mug, and a grey necklace. What color is the necklace? A:",grey,14370
"Q: On the desk, I see a pink puzzle and a brown bowl. What color is the puzzle? A: pink Q: On the desk, you see a gold necklace, a blue bottle, an orange mug, and a green plate. What color is the mug? A:",orange,13735,"Q: On the desk, I see a pink puzzle and a brown bowl. What color is the puzzle? A: pink Q: On the desk, you see a green jug, a red lighter, a purple puzzle, and a yellow necklace. What color is the puzzle? A:",purple,19445
"Q: On the desk, I see a green notebook and a blue pen. What color is the pen? A: blue Q: On the table, I see a pink envelope, a yellow notebook, a brown necklace, and a black textbook. What color is the notebook? A:",yellow,8862,"Q: On the desk, I see a green notebook and a blue pen. What color is the pen? A: blue Q: On the table, I see a pink plate, a gold textbook, a yellow notebook, and an orange bottle. What color is the bottle? A:",orange,13735
"Q: On the table, you see a red pencil, a brown ball, and a green cup. What color is the ball? A: brown Q: On the table, there is an orange cup, a pink plate, a red pen, and a yellow bowl. What color is the cup? A:",orange,13735,"Q: On the table, you see a red pencil, a brown ball, and a green cup. What color is the ball? A: brown Q: On the table, there is a purple puzzle, a grey pencil, a black pen, and a blue mug. What color is the mug? A:",blue,4797
"Q: On the desk, you see a blue textbook, a yellow cup, and a grey bowl. What color is the cup? A: yellow Q: On the floor, I see a silver textbook, a purple notebook, a blue envelope, and a grey bowl. What color is the bowl? A:",grey,14370,"Q: On the desk, you see a blue textbook, a yellow cup, and a grey bowl. What color is the cup? A: yellow Q: On the floor, I see a brown necklace, a pink pen, a grey plate, and a yellow ball. What color is the ball? A:",yellow,8862
"Q: On the floor, you see a grey pencil and a yellow necklace. What color is the pencil? A: grey Q: On the floor, there is a pink ball, a blue bowl, a green notebook, and a silver plate. What color is the ball? A:",pink,14863,"Q: On the floor, you see a grey pencil and a yellow necklace. What color is the pencil? A: grey Q: On the floor, there is a yellow pencil, a silver pen, a green notebook, and a red mug. What color is the pencil? A:",yellow,8862
"Q: On the floor, I see a yellow notebook and a purple puzzle. What color is the notebook? A: yellow Q: On the desk, you see a silver puzzle and a gold textbook. What color is the puzzle? A:",silver,9711,"Q: On the floor, I see a yellow notebook and a purple puzzle. What color is the notebook? A: yellow Q: On the desk, you see a brown envelope and a blue jug. What color is the envelope? A:",brown,8516
"Q: On the floor, you see a red pen, a gold envelope, and an orange cup. What color is the pen? A: red Q: On the table, I see a black pencil, a pink pen, and a grey cup. What color is the pencil? A:",black,2806,"Q: On the floor, you see a red pen, a gold envelope, and an orange cup. What color is the pen? A: red Q: On the table, I see a grey bottle, a purple plate, and a red pencil. What color is the plate? A:",purple,19445
"Q: On the desk, I see a red puzzle and a blue cup. What color is the puzzle? A: red Q: On the table, I see a silver pen and a green mug. What color is the pen? A:",silver,9711,"Q: On the desk, I see a red puzzle and a blue cup. What color is the puzzle? A: red Q: On the table, I see a black mug and a blue cup. What color is the cup? A:",blue,4797
"Q: On the table, you see a gold necklace, a red bowl, a green notebook, and an orange cup. What color is the necklace? A: gold Q: On the desk, I see a pink textbook and a black bowl. What color is the bowl? A:",black,2806,"Q: On the table, you see a gold necklace, a red bowl, a green notebook, and an orange cup. What color is the necklace? A: gold Q: On the desk, I see an orange mug and a yellow envelope. What color is the envelope? A:",yellow,8862
"Q: On the floor, I see a brown jug and a gold ball. What color is the ball? A: gold Q: On the desk, you see a grey puzzle, a yellow envelope, and an orange lighter. What color is the puzzle? A:",grey,14370,"Q: On the floor, I see a brown jug and a gold ball. What color is the ball? A: gold Q: On the desk, you see a pink plate, a black mug, and a grey necklace. What color is the plate? A:",pink,14863
"Q: On the table, I see a grey lighter and a gold mug. What color is the lighter? A: grey Q: On the floor, I see a green necklace, a pink bowl, an orange pencil, and a black cup. What color is the cup? A:",black,2806,"Q: On the table, I see a grey lighter and a gold mug. What color is the lighter? A: grey Q: On the floor, I see a purple pencil, a red pen, a gold bottle, and a grey envelope. What color is the pen? A:",red,2502
"Q: On the table, there is a green ball, a yellow pencil, a gold notebook, and a purple plate. What color is the ball? A: green Q: On the floor, I see a yellow lighter, a black bottle, and a green jug. What color is the lighter? A:",yellow,8862,"Q: On the table, there is a green ball, a yellow pencil, a gold notebook, and a purple plate. What color is the ball? A: green Q: On the floor, I see a black pen, a purple bottle, and a gold textbook. What color is the textbook? A:",gold,5328
"Q: On the table, you see a gold ball, a blue puzzle, a brown lighter, and a grey textbook. What color is the textbook? A: grey Q: On the desk, there is a grey bowl, a gold pencil, and a brown envelope. What color is the envelope? A:",brown,8516,"Q: On the table, you see a gold ball, a blue puzzle, a brown lighter, and a grey textbook. What color is the textbook? A: grey Q: On the desk, there is a blue cup, a pink envelope, and a grey ball. What color is the envelope? A:",pink,14863
"Q: On the floor, there is a purple ball, a yellow bottle, and a red jug. What color is the bottle? A: yellow Q: On the desk, you see a black bowl, a gold necklace, and a red mug. What color is the necklace? A:",gold,5328,"Q: On the floor, there is a purple ball, a yellow bottle, and a red jug. What color is the bottle? A: yellow Q: On the desk, you see a silver ball, a blue bottle, and a brown pen. What color is the bottle? A:",blue,4797
"Q: On the desk, I see a red necklace and a gold cup. What color is the cup? A: gold Q: On the table, you see a green notebook, a grey puzzle, and a brown envelope. What color is the notebook? A:",green,4759,"Q: On the desk, I see a red necklace and a gold cup. What color is the cup? A: gold Q: On the table, you see a pink ball, a yellow jug, and a silver lighter. What color is the lighter? A:",silver,9711
"Q: On the desk, you see a brown pen and a black textbook. What color is the pen? A: brown Q: On the desk, I see an orange pen and a yellow pencil. What color is the pencil? A:",yellow,8862,"Q: On the desk, you see a brown pen and a black textbook. What color is the pen? A: brown Q: On the desk, I see a gold pen and a pink mug. What color is the mug? A:",pink,14863
"Q: On the table, there is a blue cup and a brown envelope. What color is the envelope? A: brown Q: On the desk, I see a black jug, a green bottle, and a pink cup. What color is the jug? A:",black,2806,"Q: On the table, there is a blue cup and a brown envelope. What color is the envelope? A: brown Q: On the desk, I see a purple envelope, a red pen, and a silver necklace. What color is the pen? A:",red,2502
"Q: On the floor, you see a yellow puzzle and an orange textbook. What color is the puzzle? A: yellow Q: On the floor, there is a green necklace, a purple plate, and a brown mug. What color is the plate? A:",purple,19445,"Q: On the floor, you see a yellow puzzle and an orange textbook. What color is the puzzle? A: yellow Q: On the floor, there is a silver mug, a blue ball, and a purple jug. What color is the ball? A:",blue,4797
"Q: On the desk, I see a blue puzzle, a purple necklace, and a yellow textbook. What color is the puzzle? A: blue Q: On the table, there is a blue notebook, a pink pencil, and a silver lighter. What color is the pencil? A:",pink,14863,"Q: On the desk, I see a blue puzzle, a purple necklace, and a yellow textbook. What color is the puzzle? A: blue Q: On the table, there is a silver bowl, a green puzzle, and a red cup. What color is the puzzle? A:",green,4759
"Q: On the table, you see an orange bottle, a blue pen, a black pencil, and a red cup. What color is the cup? A: red Q: On the floor, you see a pink bottle, a grey pencil, and a silver cup. What color is the cup? A:",silver,9711,"Q: On the table, you see an orange bottle, a blue pen, a black pencil, and a red cup. What color is the cup? A: red Q: On the floor, you see a brown ball, a yellow mug, and a blue lighter. What color is the mug? A:",yellow,8862
"Q: On the desk, you see a yellow cup, a purple pencil, and a gold plate. What color is the cup? A: yellow Q: On the desk, you see a grey jug, a red ball, a gold textbook, and a black mug. What color is the jug? A:",grey,14370,"Q: On the desk, you see a yellow cup, a purple pencil, and a gold plate. What color is the cup? A: yellow Q: On the desk, you see a blue bottle, a brown ball, a gold mug, and a black pencil. What color is the mug? A:",gold,5328
"Q: On the table, you see a blue textbook, a pink mug, a silver plate, and a black bottle. What color is the bottle? A: black Q: On the table, there is a black envelope, a green pen, and a blue plate. What color is the pen? A:",green,4759,"Q: On the table, you see a blue textbook, a pink mug, a silver plate, and a black bottle. What color is the bottle? A: black Q: On the table, there is a yellow puzzle, a blue plate, and a brown bottle. What color is the plate? A:",blue,4797
"Q: On the table, I see a green ball, a brown jug, and a blue mug. What color is the ball? A: green Q: On the desk, you see a blue textbook and a silver pen. What color is the textbook? A:",blue,4797,"Q: On the table, I see a green ball, a brown jug, and a blue mug. What color is the ball? A: green Q: On the desk, you see a pink cup and a black bowl. What color is the bowl? A:",black,2806
"Q: On the desk, there is a yellow jug and a gold textbook. What color is the textbook? A: gold Q: On the floor, you see a black mug and an orange jug. What color is the mug? A:",black,2806,"Q: On the desk, there is a yellow jug and a gold textbook. What color is the textbook? A: gold Q: On the floor, you see a purple bowl and a black envelope. What color is the bowl? A:",purple,19445
"Q: On the desk, I see a red necklace, a green bottle, and a purple cup. What color is the necklace? A: red Q: On the floor, you see a black puzzle and an orange plate. What color is the plate? A:",orange,13735,"Q: On the desk, I see a red necklace, a green bottle, and a purple cup. What color is the necklace? A: red Q: On the floor, you see a red bottle and a brown envelope. What color is the bottle? A:",red,2502
"Q: On the table, there is a gold jug, a blue ball, a black pencil, and a grey notebook. What color is the pencil? A: black Q: On the floor, I see a pink necklace, a purple ball, and a grey pencil. What color is the ball? A:",purple,19445,"Q: On the table, there is a gold jug, a blue ball, a black pencil, and a grey notebook. What color is the pencil? A: black Q: On the floor, I see a purple mug, a black puzzle, and a yellow pen. What color is the puzzle? A:",black,2806
"Q: On the floor, I see an orange plate, a red cup, a pink mug, and a blue notebook. What color is the notebook? A: blue Q: On the desk, you see a grey lighter, a gold mug, and a yellow ball. What color is the ball? A:",yellow,8862,"Q: On the floor, I see an orange plate, a red cup, a pink mug, and a blue notebook. What color is the notebook? A: blue Q: On the desk, you see a pink lighter, a silver bottle, and a grey notebook. What color is the lighter? A:",pink,14863
"Q: On the desk, you see a gold bottle and a green puzzle. What color is the puzzle? A: green Q: On the table, I see a silver puzzle, an orange bottle, a blue notebook, and a gold pen. What color is the bottle? A:",orange,13735,"Q: On the desk, you see a gold bottle and a green puzzle. What color is the puzzle? A: green Q: On the table, I see a grey bottle, a blue mug, a brown pencil, and a yellow plate. What color is the plate? A:",yellow,8862
"Q: On the desk, you see a red textbook and a black jug. What color is the jug? A: black Q: On the table, there is a purple puzzle, a yellow lighter, a red cup, and a blue pen. What color is the puzzle? A:",purple,19445,"Q: On the desk, you see a red textbook and a black jug. What color is the jug? A: black Q: On the table, there is a gold notebook, a brown ball, a blue plate, and an orange pen. What color is the pen? A:",orange,13735
"Q: On the desk, I see a brown ball, a pink pencil, and a grey lighter. What color is the lighter? A: grey Q: On the desk, there is a gold textbook, an orange necklace, and a yellow pencil. What color is the textbook? A:",gold,5328,"Q: On the desk, I see a brown ball, a pink pencil, and a grey lighter. What color is the lighter? A: grey Q: On the desk, there is a yellow ball, a silver necklace, and a grey jug. What color is the ball? A:",yellow,8862
"Q: On the table, you see a brown pencil, a blue cup, a purple necklace, and an orange bottle. What color is the pencil? A: brown Q: On the floor, you see a green plate, a yellow pen, and an orange cup. What color is the pen? A:",yellow,8862,"Q: On the table, you see a brown pencil, a blue cup, a purple necklace, and an orange bottle. What color is the pencil? A: brown Q: On the floor, you see a yellow pencil, a gold jug, and a green notebook. What color is the notebook? A:",green,4759
"Q: On the floor, there is a green lighter and a grey pen. What color is the lighter? A: green Q: On the desk, you see a red pen and a brown plate. What color is the plate? A:",brown,8516,"Q: On the floor, there is a green lighter and a grey pen. What color is the lighter? A: green Q: On the desk, you see a blue bowl and a pink textbook. What color is the bowl? A:",blue,4797
"Q: On the desk, there is a blue bowl, a gold plate, a brown mug, and a grey puzzle. What color is the mug? A: brown Q: On the table, you see a gold textbook, an orange plate, a black necklace, and a silver bowl. What color is the textbook? A:",gold,5328,"Q: On the desk, there is a blue bowl, a gold plate, a brown mug, and a grey puzzle. What color is the mug? A: brown Q: On the table, you see a purple pen, a yellow necklace, an orange jug, and a red lighter. What color is the jug? A:",orange,13735
"Q: On the table, you see a black pen, an orange bowl, a brown envelope, and a gold textbook. What color is the bowl? A: orange Q: On the desk, you see a green pencil, a yellow bottle, and a red puzzle. What color is the bottle? A:",yellow,8862,"Q: On the table, you see a black pen, an orange bowl, a brown envelope, and a gold textbook. What color is the bowl? A: orange Q: On the desk, you see a black pen, a brown cup, and a purple necklace. What color is the necklace? A:",purple,19445
"Q: On the table, you see an orange plate, a grey pencil, a brown notebook, and a yellow mug. What color is the plate? A: orange Q: On the table, I see a purple mug and a gold necklace. What color is the mug? A:",purple,19445,"Q: On the table, you see an orange plate, a grey pencil, a brown notebook, and a yellow mug. What color is the plate? A: orange Q: On the table, I see a pink pencil and a silver textbook. What color is the textbook? A:",silver,9711
"Q: On the desk, there is a yellow envelope and a grey pencil. What color is the pencil? A: grey Q: On the table, there is an orange envelope and a pink mug. What color is the mug? A:",pink,14863,"Q: On the desk, there is a yellow envelope and a grey pencil. What color is the pencil? A: grey Q: On the table, there is a silver mug and a grey pencil. What color is the pencil? A:",grey,14370
"Q: On the floor, there is a yellow bowl, a brown envelope, and a gold mug. What color is the mug? A: gold Q: On the floor, you see a red mug, a gold pen, and an orange cup. What color is the pen? A:",gold,5328,"Q: On the floor, there is a yellow bowl, a brown envelope, and a gold mug. What color is the mug? A: gold Q: On the floor, you see a yellow bottle, a grey puzzle, and a pink textbook. What color is the bottle? A:",yellow,8862
"Q: On the table, there is an orange textbook and a black cup. What color is the textbook? A: orange Q: On the floor, I see a silver cup, a yellow pen, a red bowl, and a purple necklace. What color is the cup? A:",silver,9711,"Q: On the table, there is an orange textbook and a black cup. What color is the textbook? A: orange Q: On the floor, I see a grey cup, a blue puzzle, a brown ball, and an orange textbook. What color is the textbook? A:",orange,13735
"Q: On the desk, I see a red jug and a silver necklace. What color is the necklace? A: silver Q: On the desk, there is an orange necklace, a blue textbook, a black jug, and a red plate. What color is the necklace? A:",orange,13735,"Q: On the desk, I see a red jug and a silver necklace. What color is the necklace? A: silver Q: On the desk, there is a green jug, a black lighter, a red envelope, and a purple mug. What color is the jug? A:",green,4759
"Q: On the floor, you see a gold pencil, a black pen, and a red necklace. What color is the pen? A: black Q: On the floor, you see a silver envelope and a green necklace. What color is the envelope? A:",silver,9711,"Q: On the floor, you see a gold pencil, a black pen, and a red necklace. What color is the pen? A: black Q: On the floor, you see a gold jug and a grey ball. What color is the jug? A:",gold,5328
"Q: On the table, I see a gold pen and a silver lighter. What color is the lighter? A: silver Q: On the floor, I see a gold mug, a green pencil, an orange textbook, and a black necklace. What color is the necklace? A:",black,2806,"Q: On the table, I see a gold pen and a silver lighter. What color is the lighter? A: silver Q: On the floor, I see a red pencil, a brown notebook, a pink bottle, and a grey jug. What color is the notebook? A:",brown,8516
