clean,corrupted,label,corrupted_label
"Trevor Wright, a famous","Cyril Wong, a famous",12360,40360
"Jack Buetel, a famous","Ashok Mitra, a famous",12360,46215
"James Fenimore Cooper, a famous","Michael William Balfe, a famous",81747,40550
"Marcus Manilius, a famous","Clive Granger, a famous",40360,46215
"Julius Shulman, a famous","Bertold Hummel, a famous",11726,40550
"Wolfe Morris, a famous","Cyril Wong, a famous",12360,40360
"Johan Herman Wessel, a famous","Annie Proulx, a famous",40360,81747
"Julian Beck, a famous","Heath Ledger, a famous",40360,12360
"Michel Mossessian, a famous","Walter Noll, a famous",11726,21651
"J. Anthony Lukas, a famous","Nils Strindberg, a famous",23672,29867
"Danny Dayton, a famous","George Osborne, a famous",12360,37038
"Sunny Hundal, a famous","Carlo Porta, a famous",23672,40360
"Gary Waldhorn, a famous","Simon Dallow, a famous",12360,23672
"David Rivett, a famous","David Yost, a famous",8590,12360
"Martin Kosleck, a famous","Edward Braddon, a famous",12360,37038
"Augustin-Jean Fresnel, a famous","Kikunae Ikeda, a famous",83323,8590
"Andreas Embirikos, a famous","Boris Tchaikovsky, a famous",40360,40550
"Brian McNamara, a famous","Ashok Mitra, a famous",12360,46215
"Jesse McCartney, a famous","Nikki Giovanni, a famous",12360,40360
"Billy Aaron Brown, a famous","Phil Coulter, a famous",12360,40550
"Andrew Ross Sorkin, a famous","Hermann Hagedorn, a famous",23672,40360
"Morris Carnovsky, a famous","Shawn Fanning, a famous",12360,48888
"Enrique Granados, a famous","Malcolm Keen, a famous",40550,12360
"Alfred Easton Poor, a famous","Mori Arinori, a famous",11726,69050
"Wes Bentley, a famous","Herb Greene, a famous",12360,29867
"Sumanth, a famous","Edward Gregson, a famous",12360,40550
"Manuel Sadosky, a famous","Sekhar Menon, a famous",21651,12360
"David Monrad Johansen, a famous","Avi Wigderson, a famous",40550,21651
"Lane Smith, a famous","Christopher Guest, a famous",12360,51912
"Werner Heisenberg, a famous","Dominic Dierkes, a famous",83323,12360
"Bruno Lawrence, a famous","Wilhelm Magnus, a famous",12360,21651
"Yuvraj Hans, a famous","Thomas de Waal, a famous",12360,23672
"Albert Sharpe, a famous","Ian Khama, a famous",12360,37038
"Paolo Soleri, a famous","Roberto Gerhard, a famous",11726,40550
"Shelby Foote, a famous","Suzanne Crouch, a famous",81747,37038
"Bryshere Y. Gray, a famous","Anders Fogh Rasmussen, a famous",12360,37038
"Rico Yan, a famous","Julian Beck, a famous",12360,40360
"Mircea Diaconu, a famous","James Elroy Flecker, a famous",12360,40360
"Spencer Treat Clark, a famous","Wang Yaping, a famous",12360,47733
"Harry Ham, a famous","Paul Abraham, a famous",12360,40550
"Franco Albini, a famous","Santiago Segura, a famous",11726,12360
"Kenneth Koch, a famous","Wilhelm Magnus, a famous",40360,21651
"Arthur Drews, a famous","Edward Braddon, a famous",55475,37038
"Robert Grudin, a famous","Thomas de Waal, a famous",55475,23672
"David Gascoyne, a famous","Akira Emoto, a famous",40360,12360
"Dumitru Prunariu, a famous","Kazys Lozoraitis, a famous",47733,69050
"Johannes Nucius, a famous","Eduardo Fajardo, a famous",40550,12360
"Giovanni Poleni, a famous","Maurice Joly, a famous",21651,15779
"Nils Strindberg, a famous","Ellar Coltrane, a famous",29867,12360
"Obaidullah Aleem, a famous","Ennio Girolami, a famous",40360,12360
"Harris Allan, a famous","Julian Beck, a famous",12360,40360
"Roland Pertwee, a famous","Franco Sacchetti, a famous",12360,40360
"Darius McCrary, a famous","Thomas W. Knox, a famous",12360,23672
"Herb Greene, a famous","Wes Bentley, a famous",29867,12360
"Akira Emoto, a famous","Tomomi Inada, a famous",12360,37038
"John Koethe, a famous","Philip Warren Anderson, a famous",40360,83323
"Joel Barlow, a famous","Paolo Soleri, a famous",40360,11726
"Ron Rash, a famous","Mary Renault, a famous",40360,81747
"Jacobo Zabludovsky, a famous","Dr. Rajasekhar, a famous",23672,12360
"Ian Hanomansing, a famous","Bob Shacochis, a famous",23672,81747
"Giovanni Battista Guarini, a famous","Nikolai Myaskovsky, a famous",40360,40550
"Nikolai Myaskovsky, a famous","Hassan ibn Thabit, a famous",40550,40360
"Agostinho Neto, a famous","Isidore de Lara, a famous",40360,40550
"Gustave Kahn, a famous","Franco Albini, a famous",40360,11726
"Ron Grainer, a famous","Elmore Leonard, a famous",40550,81747
"Anna Louisa Karsch, a famous","Mitr Chaibancha, a famous",40360,12360
"Peter Macdissi, a famous","Hermann Hagedorn, a famous",12360,40360
"Michael William Balfe, a famous","James E. Ferguson, a famous",40550,37038
"Roger Bowen, a famous","Patrick Manson, a famous",12360,28378
"Rodolfo Gambini, a famous","Yitzhak Levy, a famous",83323,31674
"Giovanni Maria Nanino, a famous","Eduardo Fajardo, a famous",40550,12360
"Anders Fogh Rasmussen, a famous","Pierfrancesco Favino, a famous",37038,12360
"James Craig Annan, a famous","Jim Grimsley, a famous",29867,81747
"Shawn Fanning, a famous","Kurt Kreuger, a famous",48888,12360
"Naomi Shihab Nye, a famous","Anders Fogh Rasmussen, a famous",40360,37038
"Nick Nolte, a famous","Thomas W. Knox, a famous",12360,23672
"David Scarboro, a famous","Chris Barrie, a famous",12360,51912
"John Adams Whipple, a famous","James E. Ferguson, a famous",29867,37038
"Michel Corrette, a famous","Sunny Hundal, a famous",40550,23672
"Ctesias, a famous","Michael Dorn, a famous",28378,12360
"Walter Dinsdale, a famous","Ernst von Possart, a famous",37038,12360
"John Boyle O'Reilly, a famous","Andrew Ross Sorkin, a famous",40360,23672
"Paruyr Sevak, a famous","Kim Kye-gwan, a famous",40360,69050
"Robin Padilla, a famous","Phil Coulter, a famous",12360,40550
"Howard Sounes, a famous","Johnathon Schaech, a famous",23672,12360
"Konrad Ekhof, a famous","Ian Hanomansing, a famous",12360,23672
"Yanis Varoufakis, a famous","Kazimierz Kuratowski, a famous",46215,21651
"Robert I. Soare, a famous","Ellar Coltrane, a famous",21651,12360
"Evan Bayh, a famous","Spencer Treat Clark, a famous",37038,12360
"Henry Maudsley, a famous","David Monrad Johansen, a famous",73969,40550
"Geoffrey Lehmann, a famous","Shelby Foote, a famous",40360,81747
"Mikey North, a famous","Richard Brauer, a famous",12360,21651
"Daiki Arioka, a famous","James E. Ferguson, a famous",12360,37038
"David Weigel, a famous","Joseph Shivers, a famous",23672,8590
"William S. Hart, a famous","Robert Grudin, a famous",12360,55475
"Barbara Farrell Vucanovich, a famous","Yanis Varoufakis, a famous",37038,46215
"Philip Warren Anderson, a famous","David Rivett, a famous",83323,8590
"Joseph Shivers, a famous","Ross Garnaut, a famous",8590,46215
"J. B. Priestley, a famous","Jacobo Zabludovsky, a famous",81747,23672
"William Jennings Bryan, a famous","Chris Barrie, a famous",37038,51912
"Pearse Doherty, a famous","Gedeon Burkhard, a famous",37038,12360
"Yitzhak Levy, a famous","Hermann Hagedorn, a famous",31674,40360
"Guy Doleman, a famous","Jourdan Miller, a famous",12360,1646
"Mia Freedman, a famous","Malcolm Keen, a famous",23672,12360
"John Rentoul, a famous","David Yost, a famous",23672,12360
"Thomas W. Knox, a famous","Hugh Bonneville, a famous",23672,12360
"Heath Ledger, a famous","Herb Greene, a famous",12360,29867
"Mori Arinori, a famous","Adelaide Crapsey, a famous",69050,40360
"Pirkka-Pekka Petelius, a famous","Jean-Joseph Rabéarivelo, a famous",12360,40360
"Jean Henri van Swinden, a famous","Taku Iwasaki, a famous",21651,40550
"Sekhar Menon, a famous","Helen Lederer, a famous",12360,51912
"James E. Ferguson, a famous","Jim Grimsley, a famous",37038,81747
"Henry Jackman, a famous","Boethius, a famous",40550,55475
"Varsha Bhosle, a famous","Moammar Rana, a famous",23672,12360
"Nolan Gerard Funk, a famous","Habakkuk, a famous",12360,53604
"Hermann Hagedorn, a famous","Daeg Faerch, a famous",40360,12360
"Michael Penn, a famous","Mark Weiss, a famous",12360,29867
"Jacobo Ficher, a famous","Sadhu Kokila, a famous",40550,12360
"Francis Stuart, a famous","Nikki Giovanni, a famous",81747,40360
"Harlan Carey Brewster, a famous","Raoul Trujillo, a famous",37038,12360
"Emmanuel Chabrier, a famous","Adelaide Crapsey, a famous",40550,40360
"Leila Schneps, a famous","Guy Doleman, a famous",21651,12360
"Bertold Hummel, a famous","Stafford Cripps, a famous",40550,37038
"Adelaide Crapsey, a famous","Gian-Carlo Wick, a famous",40360,83323
"Clive Granger, a famous","John Adams Whipple, a famous",46215,29867
"Viktor Uspaskich, a famous","Nikolai Myaskovsky, a famous",37038,40550
"Tom Terriss, a famous","William Burnside, a famous",12360,21651
"Femi Jacobs, a famous","Li Yining, a famous",12360,46215
"Maurice Nicoll, a famous","Suzanne Virdee, a famous",73969,23672
"Louis Racine, a famous","John Munch, a famous",40360,45259
"Michael Healy-Rae, a famous","Dhananjay Singh, a famous",37038,12360
"Kazys Lozoraitis, a famous","Wan Azizah Wan Ismail, a famous",69050,37038
"Emily Barton, a famous","Paul Abraham, a famous",81747,40550
"Edward Frankland, a famous","Steven Hartley, a famous",8590,12360
"Dr. Rajasekhar, a famous","Jacobo Zabludovsky, a famous",12360,23672
"Chris Brochu, a famous","Johnny Yune, a famous",12360,51912
"Sivaramakrishna Chandrasekhar, a famous","John Crewe, 1st Baron Crewe, a famous",83323,37038
"Ian Khama, a famous","Richard Brauer, a famous",37038,21651
"Charles Kaiser, a famous","Danny Dayton, a famous",23672,12360
"Rannvijay Singh, a famous","Augustin-Jean Fresnel, a famous",12360,83323
"Adrian Lewis Morgan, a famous","Roberto Gerhard, a famous",12360,40550
"Jonathan Kwitny, a famous","Sadhu Kokila, a famous",23672,12360
"Robert Rusler, a famous","Johnny Yune, a famous",12360,51912
"Jack Huston, a famous","Edward Braddon, a famous",12360,37038
"Tomomi Inada, a famous","Michael William Balfe, a famous",37038,40550
"David McIlwraith, a famous","Yitzhak Levy, a famous",12360,31674
"Thomas de Waal, a famous","Charles James Mathews, a famous",23672,12360
"Jeremy Allen White, a famous","John Rentoul, a famous",12360,23672
"Karl Taylor Compton, a famous","Alfred Easton Poor, a famous",83323,11726
"Jean-Joseph Rabéarivelo, a famous","Pirkka-Pekka Petelius, a famous",40360,12360
"Edward Braddon, a famous","Edward Frankland, a famous",37038,8590
"Amber Gurung, a famous","Kurt Kreuger, a famous",40550,12360
"Guy Babylon, a famous","Christopher Guest, a famous",40550,51912
"John Fortune, a famous","Danny Dayton, a famous",51912,12360
"Boris Tchaikovsky, a famous","Noon Meem Rashid, a famous",40550,40360
"Marion Post Wolcott, a famous","Dominic Dierkes, a famous",29867,12360
"Jourdan Miller, a famous","Daiki Arioka, a famous",1646,12360
"Bobby Andrews, a famous","Nikki Giovanni, a famous",12360,40360
"Mitr Chaibancha, a famous","Louis Moreau Gottschalk, a famous",12360,40550
"Charles James Mathews, a famous","Arthur Creech Jones, a famous",12360,37038
"Kim Kye-gwan, a famous","Ennio Girolami, a famous",69050,12360
"Moammar Rana, a famous","Jean Henri van Swinden, a famous",12360,21651
"Steven Mercurio, a famous","Chandan Mitra, a famous",40550,23672
"Annie Proulx, a famous","Julius Shulman, a famous",81747,11726
"Martha Nussbaum, a famous","Bertold Hummel, a famous",55475,40550
"John Crewe, 1st Baron Crewe, a famous","Sivaramakrishna Chandrasekhar, a famous",37038,83323
"Rob Gifford, a famous","Ashok Mitra, a famous",23672,46215
"Crawford Williamson Long, a famous","Suzanne Crouch, a famous",46098,37038
"Kikunae Ikeda, a famous","Rannvijay Singh, a famous",8590,12360
"Oskar Lafontaine, a famous","Louis Moreau Gottschalk, a famous",37038,40550
"Philip Ahn, a famous","William Hardy Wilson, a famous",12360,11726
"Huo Guang, a famous","William Hardy Wilson, a famous",37038,11726
"Michael Dorn, a famous","Jack Boucher, a famous",12360,29867
"Ennio Girolami, a famous","Obaidullah Aleem, a famous",12360,40360
"Richard Brauer, a famous","Karle Warren, a famous",21651,12360
"Dhanush, a famous","Huo Guang, a famous",12360,37038
"Peter Jason, a famous","Mark Weiss, a famous",12360,29867
"Egon Brunswik, a famous","Paruyr Sevak, a famous",54595,40360
"Charles Gwathmey, a famous","Varsha Bhosle, a famous",11726,23672
"Steve Hughes, a famous","Danny Dayton, a famous",51912,12360
"Roberto Gerhard, a famous","Shawn Fanning, a famous",40550,48888
"Karle Warren, a famous","Johnny Yune, a famous",12360,51912
"Miltos Sachtouris, a famous","Ermanno Wolf-Ferrari, a famous",40360,40550
"Isidore de Lara, a famous","William John Gruffydd, a famous",40550,40360
"Gedeon Burkhard, a famous","Nils Strindberg, a famous",12360,29867
"Ernst von Possart, a famous","Walter Hines Page, a famous",12360,23672
"Walter Hines Page, a famous","Manuel Sadosky, a famous",23672,21651
"Vic Sotto, a famous","Michel Mossessian, a famous",51912,11726
"Helen Lederer, a famous","Mori Arinori, a famous",51912,69050
"Steven Hartley, a famous","Max Volmer, a famous",12360,8590
"Anwan Glover, a famous","Michael Kimball, a famous",12360,81747
"Louis Moreau Gottschalk, a famous","Augustin-Jean Fresnel, a famous",40550,83323
"Laurent Lafforgue, a famous","Noon Meem Rashid, a famous",21651,40360
"Michael Kimball, a famous","Ian Khama, a famous",81747,37038
"Philoxenus of Cythera, a famous","Poojappura Ravi, a famous",40360,12360
"Peter Bergman, a famous","John Munch, a famous",12360,45259
"Steve Edge, a famous","Steve Hughes, a famous",12360,51912
"Christopher Guest, a famous","Harry Ham, a famous",51912,12360
"Jancee Dunn, a famous","Michael William Balfe, a famous",23672,40550
"Karl-Theodor zu Guttenberg, a famous","Dumitru Prunariu, a famous",37038,47733
"Habakkuk, a famous","Carlo Porta, a famous",53604,40360
"Stafford Cripps, a famous","Marion Post Wolcott, a famous",37038,29867
"Davey Lee, a famous","Edward Gregson, a famous",12360,40550
"Hilary Putnam, a famous","Rita Bahuguna, a famous",55475,37038
"Suzanne Virdee, a famous","Crawford Williamson Long, a famous",23672,46098
"Georges Aperghis, a famous","Kazuo Ishiguro, a famous",40550,81747
"Robert d'Escourt Atkinson, a famous","Philoxenus of Cythera, a famous",46382,40360
"Edward Burtynsky, a famous","Akshaye Khanna, a famous",29867,12360
"Jeff Beal, a famous","Edward Frankland, a famous",40550,8590
"Wan Azizah Wan Ismail, a famous","Kazys Lozoraitis, a famous",37038,69050
"Li Zhaoxing, a famous","Jon Jerde, a famous",69050,11726
"Moshe Levinger, a famous","James Elroy Flecker, a famous",31674,40360
"Jay Mohr, a famous","Carl Barron, a famous",12360,51912
"Michael McKell, a famous","Ctesias, a famous",12360,28378
"Jim Grimsley, a famous","Johnathon Schaech, a famous",81747,12360
"Sadhu Kokila, a famous","Clive Granger, a famous",12360,46215
"Wang Lequan, a famous","Gregg Edelman, a famous",37038,12360
"Paul Mercurio, a famous","James Craig Annan, a famous",12360,29867
"Taku Iwasaki, a famous","Avi Wigderson, a famous",40550,21651
"Robin Phillips, a famous","Christopher Guest, a famous",12360,51912
"Paul McGann, a famous","Ctesias, a famous",12360,28378
"Vauro Senesi, a famous","Clive Granger, a famous",23672,46215
"Samuel Medary, a famous","Gregg Edelman, a famous",23672,12360
"Gunnar Birkerts, a famous","Jude Wanniski, a famous",11726,23672
"Giannina Braschi, a famous","Moammar Rana, a famous",40360,12360
"Clancy Cooper, a famous","Edward Braddon, a famous",12360,37038
"Boethius, a famous","David Weigel, a famous",55475,23672
"Chris Barrie, a famous","Ron Grainer, a famous",51912,40550
"Muhammad Iqbal, a famous","Emmanuel Chabrier, a famous",40360,40550
"Walter Noll, a famous","Santiago Segura, a famous",21651,12360
"Jack Boucher, a famous","Carl Barron, a famous",29867,51912
"Phil Coulter, a famous","Joseph Shivers, a famous",40550,8590
"Jude Wanniski, a famous","Boris Tchaikovsky, a famous",23672,40550
"Bruce Mahler, a famous","Max Volmer, a famous",12360,8590
"Franco Sacchetti, a famous","Sekhar Menon, a famous",40360,12360
"Pip Carter, a famous","Francis Stuart, a famous",12360,81747
"Don Durant, a famous","Carl Hatch, a famous",12360,37038
"Wang Yaping, a famous","Malcolm Keen, a famous",47733,12360
"Martin Klebba, a famous","Jancee Dunn, a famous",12360,23672
"Edward Gregson, a famous","Richard Brauer, a famous",40550,21651
"Julien Carette, a famous","Wang Lequan, a famous",12360,37038
"John Munch, a famous","Carl Barron, a famous",45259,51912
"Ashok Mitra, a famous","Jim Grimsley, a famous",46215,81747
"William Burnside, a famous","Philip Warren Anderson, a famous",21651,83323
"Kurt Kreuger, a famous","Mia Freedman, a famous",12360,23672
"Drew Droege, a famous","Karl Taylor Compton, a famous",12360,83323
"Wilhelm Magnus, a famous","Francis Stuart, a famous",21651,81747
"James Elroy Flecker, a famous","Peter Macdissi, a famous",40360,12360
"Mark Weiss, a famous","Emily Barton, a famous",29867,81747
"George Osborne, a famous","Peter Jason, a famous",37038,12360
"Antoine Augustin Cournot, a famous","Kazuo Ishiguro, a famous",21651,81747
"Kazimierz Kuratowski, a famous","Anders Fogh Rasmussen, a famous",21651,37038
"Nikki Giovanni, a famous","Herb Greene, a famous",40360,29867
"Maurice Joly, a famous","Shelby Foote, a famous",15779,81747
"Eric Etebari, a famous","Taku Iwasaki, a famous",12360,40550
"Santiago Segura, a famous","Sunny Hundal, a famous",12360,23672
"Rudolf Lipschitz, a famous","Boris Tchaikovsky, a famous",21651,40550
"Bob Shacochis, a famous","Sairam Shankar, a famous",81747,12360
"James Arness, a famous","Edward Braddon, a famous",12360,37038
"Rita Bahuguna, a famous","Dominic Dierkes, a famous",37038,12360
"Hassan ibn Thabit, a famous","Giovanni Battista Vitali, a famous",40360,40550
"Dhananjay Singh, a famous","Ian Hanomansing, a famous",12360,23672
"Adolf Dymsza, a famous","Gregory Chamitoff, a famous",12360,47733
"Bowie Lam, a famous","Julian Beck, a famous",12360,40360
"Ermanno Wolf-Ferrari, a famous","Robert d'Escourt Atkinson, a famous",40550,46382
"Simon Dallow, a famous","Ian Khama, a famous",23672,37038
"Tom Verica, a famous","Richard Brauer, a famous",12360,21651
"Ari Telch, a famous","Shawn Fanning, a famous",12360,48888
"Arun Kumar Ahuja, a famous","Rodolfo Gambini, a famous",12360,83323
"Masato Wada, a famous","John Adams Whipple, a famous",12360,29867
"Ben Joseph Green, a famous","David Weigel, a famous",21651,23672
"Suzanne Crouch, a famous","Shelby Foote, a famous",37038,81747
"Michelan Sisti, a famous","Chandan Mitra, a famous",12360,23672
"Elmore Leonard, a famous","Albert Sharpe, a famous",81747,12360
"Paul Abraham, a famous","John Fortune, a famous",40550,51912
"Pierfrancesco Favino, a famous","Kazimierz Kuratowski, a famous",12360,21651
"Max Volmer, a famous","William Burnside, a famous",8590,21651
"Jack Wild, a famous","Charles Kaiser, a famous",12360,23672
"Carlo Porta, a famous","Morris Carnovsky, a famous",40360,12360
"Dominic Dierkes, a famous","Kurt Furgler, a famous",12360,37038
