clean,corrupted,label,corrupted_label
The official language in Quebec is,The official language in Tennessee is,8753,6498
The official language in Alicante is,The official language in Miss Universe is,15506,6498
The official language in Montserrat is,The official language in Czech Republic is,6498,34250
The official language in Philippines is,The official language in Serbia is,63517,88264
The official language in Maaninka is,The official language in Camorino is,58953,15155
The official language in Le Locle is,The official language in Ligornetto is,8753,15155
The official language in Ronco sopra Ascona is,The official language in Sint Eustatius is,15155,24113
The official language in Cadenazzo is,The official language in Varkaus is,15155,58953
The official language in State of Brazil is,The official language in Lausanne is,43288,8753
The official language in Ukrainian Soviet Socialist Republic is,The official language in Trinidad and Tobago is,34725,6498
The official language in Kannonkoski is,The official language in Quetzaltenango is,58953,15506
The official language in South Tyrol is,The official language in Caslano is,6063,15155
The official language in Upplands-Bro Municipality is,The official language in Royal 22e Régiment is,31209,8753
The official language in United States Virgin Islands is,The official language in Republic of Karelia is,6498,8690
The official language in Iitti is,The official language in Haryana is,58953,45080
The official language in Ivory Coast is,The official language in Russian Empire is,8753,8690
The official language in Roman Empire is,The official language in Soviet Union is,20023,8690
The official language in Iceland is,The official language in Guinea is,100248,8753
The official language in Guernsey is,The official language in Ruovesi is,6498,58953
The official language in Gambia is,The official language in Bedano is,6498,15155
The official language in Bermuda is,The official language in Sweden is,6498,31209
The official language in Donetsk is,The official language in Iceland is,8690,100248
The official language in Pajala Municipality is,The official language in Neklinovsky District is,31209,8690
The official language in Kentucky is,The official language in Portugal is,6498,43288
The official language in Majorca is,The official language in Vevey is,81944,8753
The official language in Kitee is,The official language in Southern Common Market is,58953,15506
The official language in Zimbabwe is,The official language in Mexico is,6498,15506
The official language in Alaska is,The official language in Honduras is,6498,15506
The official language in Cuba is,The official language in Brazil is,15506,43288
The official language in Arizona is,The official language in India is,6498,45080
The official language in Varkaus is,The official language in Falkland Islands is,58953,6498
The official language in Transnistria is,The official language in Teuva is,8690,58953
The official language in Fiji is,The official language in Uruguay is,6498,15506
The official language in Vietnam is,The official language in Guatemala is,49577,15506
The official language in Prussia is,The official language in Vevey is,6063,8753
The official language in Cossonay is,The official language in Tuusula is,8753,58953
The official language in Rajasthan is,The official language in Croatia is,45080,100170
The official language in Basel-Stadt is,The official language in Teuva is,6063,58953
The official language in South Africa is,The official language in Iitti is,6498,58953
The official language in Nazi Germany is,The official language in Oulu is,6063,58953
The official language in Tennessee is,The official language in Portugal is,6498,43288
The official language in Argentina is,The official language in Singapore is,15506,6498
The official language in Yverdon-les-Bains is,The official language in Chukotka Autonomous Okrug is,8753,8690
The official language in Bulgaria is,The official language in Guam is,89724,6498
The official language in British Columbia is,The official language in Zaire is,6498,8753
The official language in Namibia is,The official language in Morges is,6498,8753
The official language in Moldova is,The official language in Grenada is,74697,6498
The official language in Asikkala is,The official language in French Guiana is,58953,8753
The official language in Laukaa is,The official language in Camorino is,58953,15155
The official language in Kingdom of Bulgaria is,The official language in Tolyatti is,89724,8690
The official language in Brussels-Capital Region is,The official language in Luhansk Oblast is,8753,34725
The official language in North Kosovo is,The official language in Orbe is,88264,8753
The official language in Kuhmoinen is,The official language in Sundsvall Municipality is,58953,31209
The official language in Brugg is,The official language in Mozambique is,6063,43288
The official language in Canada is,The official language in Chennai is,6498,44883
The official language in Arkansas is,The official language in Finland is,6498,58953
The official language in Liechtenstein is,The official language in Prince Edward Island is,6063,6498
The official language in Army Public School Peshawar is,The official language in Yverdon-les-Bains is,6498,8753
The official language in Lappeenranta is,The official language in Storuman Municipality is,58953,31209
The official language in Nuevo Santander is,The official language in Oulainen is,15506,58953
The official language in Sundbyberg Municipality is,The official language in Canton of Fribourg is,31209,8753
The official language in Renens is,The official language in Pori is,8753,58953
The official language in Hammarland is,The official language in Siikainen is,31209,58953
The official language in Kauhajoki is,The official language in Uddevalla Municipality is,58953,31209
The official language in Alavus is,The official language in Transnistria is,58953,8690
The official language in Saint Kitts and Nevis is,The official language in Republic of Khakassia is,6498,8690
The official language in Ticino is,The official language in Togo is,15155,8753
The official language in Kajaani is,The official language in Church of Greece is,58953,18341
The official language in Organisation for Economic Co-operation and Development is,The official language in Republic of Bashkortostan is,6498,8690
The official language in Prilly is,The official language in Iitti is,8753,58953
The official language in Tampere is,The official language in Liestal is,58953,6063
The official language in Chiasso is,The official language in French immersion is,15155,8753
The official language in Florida is,The official language in Israel is,6498,37366
The official language in Alberta is,The official language in Serbia is,6498,88264
The official language in Sundsvall Municipality is,The official language in Canton of Fribourg is,31209,8753
The official language in Republic of Mordovia is,The official language in International Academy of Sciences San Marino is,8690,6498
The official language in French Polynesia is,The official language in Keminmaa is,8753,58953
The official language in United Kingdom is,The official language in Kemi is,6498,58953
The official language in Union of European Football Associations is,The official language in Gothenburg Municipality is,6498,31209
The official language in Vimpeli is,The official language in World Health Organization is,58953,6498
The official language in Ranua is,The official language in Yukon is,58953,6498
The official language in Khabarovsk Krai is,The official language in Sint Eustatius is,8690,24113
The official language in Ligornetto is,The official language in Flemish Region is,15155,24113
The official language in Viitasaari is,The official language in Ukrainian Soviet Socialist Republic is,58953,34725
The official language in Southern Common Market is,The official language in Versoix is,15506,8753
The official language in Saskatchewan is,The official language in Iran is,6498,50961
The official language in Niger is,The official language in Philippines is,8753,63517
The official language in Kingdom of the Netherlands is,The official language in Keminmaa is,24113,58953
The official language in Nyon is,The official language in Niue is,8753,6498
The official language in Flemish Community is,The official language in Ulvila is,24113,58953
The official language in Newfoundland and Labrador is,The official language in Vimpeli is,6498,58953
The official language in Karkkila is,The official language in Nykarleby is,58953,31209
The official language in Singapore is,The official language in Netherlands is,6498,24113
The official language in Orimattila is,The official language in A Ver-o-Mar is,58953,43288
The official language in Puerto Rico is,The official language in Prussia is,15506,6063
The official language in Parikkala is,The official language in Versoix is,58953,8753
The official language in Kouvola is,The official language in French Guiana is,58953,8753
The official language in Senegal is,The official language in South Carolina is,8753,6498
The official language in Menorca is,The official language in American Samoa is,81944,6498
The official language in New Hampshire is,The official language in Kokkola is,6498,58953
The official language in Haryana is,The official language in Swedish Empire is,45080,31209
The official language in Donetsk Oblast is,The official language in Raisio is,34725,58953
The official language in Peru is,The official language in Iowa is,15506,6498
The official language in Pori is,The official language in Dominica is,58953,6498
The official language in Suomenniemi is,The official language in Democratic Republic of the Congo is,58953,8753
The official language in Royal Society of British Artists is,The official language in Democratic Republic of the Congo is,6498,8753
The official language in European Space Agency is,The official language in Cadenazzo is,6498,15155
The official language in Falkland Islands is,The official language in Versoix is,6498,8753
The official language in Navarre is,The official language in Guernsey is,15506,6498
The official language in United Nations is,The official language in Canary Islands is,6498,15506
The official language in Kaarina is,The official language in Caslano is,58953,15155
The official language in Northern Ireland is,The official language in Posio is,6498,58953
The official language in Aigle is,The official language in Wetzikon is,8753,6063
The official language in Korsholm is,The official language in Jharkhand is,31209,45080
The official language in Belize is,The official language in Colombia is,6498,15506
The official language in Paimio is,The official language in Mistretta is,58953,15155
The official language in L'Isle is,The official language in Trinidad and Tobago is,8753,6498
The official language in Saint Lucia is,The official language in Morges is,6498,8753
The official language in Vaala is,The official language in Montserrat is,58953,6498
The official language in Dietikon is,The official language in North Korea is,6063,16526
The official language in Uppsala Municipality is,The official language in Hyrynsalmi is,31209,58953
The official language in Prince Edward Island is,The official language in Kouvola is,6498,58953
The official language in Ecuador is,The official language in Haiti is,15506,8753
The official language in Juva is,The official language in Bedano is,58953,15155
The official language in Burkina Faso is,The official language in Keminmaa is,8753,58953
The official language in Kiiminki is,The official language in Aarau is,58953,6063
The official language in Mendrisio is,The official language in Tolyatti is,15155,8690
The official language in Kenya is,The official language in Venezuela is,6498,15506
The official language in Portugal is,The official language in Wyoming is,43288,6498
The official language in Finland is,The official language in England is,58953,6498
The official language in Bellinzona is,The official language in Versoix is,15155,8753
The official language in Barbados is,The official language in Kronoby is,6498,58953
The official language in Kurikka is,The official language in Bhopal is,58953,45080
The official language in Uganda is,The official language in Hungary is,6498,57869
The official language in Sigtuna Municipality is,The official language in Kuhmoinen is,31209,58953
The official language in Guatemala is,The official language in Angola is,15506,43288
The official language in Les Bois is,The official language in Ilmajoki is,8753,58953
The official language in Laitila is,The official language in Carouge is,58953,8753
The official language in Kumlinge is,The official language in Enlightenment in Spain is,31209,15506
The official language in Dundee is,The official language in Bolama is,6498,43288
The official language in Kuusamo is,The official language in Stockholm Municipality is,58953,31209
The official language in Iran is,The official language in Cuba is,50961,15506
The official language in Petrozavodsk is,The official language in National Film Board of Canada is,8690,6498
The official language in Zambia is,The official language in Basel is,6498,6063
The official language in Joensuu is,The official language in Sonvilier is,58953,8753
The official language in Republic of Ingushetia is,The official language in La Chaux-de-Fonds is,8690,8753
The official language in Lapinlahti is,The official language in French Polynesia is,58953,8753
The official language in Raahe is,The official language in Hammarland is,58953,31209
The official language in Cook Islands is,The official language in Orbe is,6498,8753
The official language in Chhattisgarh is,The official language in Campione d'Italia is,45080,15155
The official language in Haparanda Municipality is,The official language in Nenets Autonomous Okrug is,31209,8690
The official language in Kotka is,The official language in Vaasa is,58953,31209
The official language in Virginia is,The official language in Mexico is,6498,15506
The official language in Oklahoma is,The official language in Somalia is,6498,85794
The official language in Luhansk People's Republic is,The official language in International Academy of Sciences San Marino is,8690,6498
The official language in Lucerne is,The official language in Marshall Islands is,6063,6498
The official language in Eskilstuna Municipality is,The official language in Mykolaiv Oblast is,31209,34725
The official language in Kolari is,The official language in Pully is,58953,8753
The official language in Quebec City is,The official language in Czech Republic is,8753,34250
The official language in Netherlands is,The official language in Somalia is,24113,85794
The official language in Shimla is,The official language in South Carolina is,45080,6498
The official language in Salla is,The official language in Dundee is,58953,6498
The official language in Couto Misto is,The official language in Krokom Municipality is,43288,31209
The official language in Akrotiri and Dhekelia is,The official language in Yamalo-Nenets Autonomous Okrug is,6498,8690
The official language in Perroy is,The official language in Dominica is,8753,6498
The official language in Chennai is,The official language in Romania is,44883,74697
The official language in Indiana is,The official language in Turkey is,6498,24666
The official language in Lieto is,The official language in Jamshedpur is,58953,45080
The official language in Utah is,The official language in India is,6498,45080
The official language in Haukipudas is,The official language in Jewish Autonomous Oblast is,58953,8690
The official language in Morges is,The official language in Botswana is,8753,6498
The official language in Eurajoki is,The official language in Moudon is,58953,8753
The official language in Vihti is,The official language in Northern Ireland is,58953,6498
The official language in Delhi is,The official language in Netherlands is,45080,24113
The official language in County Cork is,The official language in Lemi is,6498,58953
The official language in Torfaen is,The official language in Janakkala is,6498,58953
The official language in Kerava is,The official language in Lugano is,58953,15155
The official language in United States of America is,The official language in Haukipudas is,6498,58953
The official language in Chad is,The official language in Argentina is,8753,15506
The official language in Australia is,The official language in Haiti is,6498,8753
The official language in Pacific Alliance is,The official language in South Sudan is,15506,6498
The official language in Valkeakoski is,The official language in Pitcairn Islands is,58953,6498
The official language in Republic of Khakassia is,The official language in Sint Eustatius is,8690,24113
The official language in British Antarctic Territory is,The official language in Central African Republic is,6498,8753
The official language in New Brunswick is,The official language in Korpo is,6498,58953
The official language in Savoy is,The official language in Spanish Empire is,8753,15506
The official language in Canton of Geneva is,The official language in Maaninka is,8753,58953
The official language in Ontario is,The official language in Austria is,6498,6063
The official language in Thailand is,The official language in Alabama is,27490,6498
The official language in Autonomous Province of Kosovo and Metohija is,The official language in Krasnoyarsk Krai is,88264,8690
The official language in Panama is,The official language in Uganda is,15506,6498
The official language in Coimbatore is,The official language in Kannonkoski is,44883,58953
The official language in Cape Verde is,The official language in Kemi is,43288,58953
The official language in Kansas is,The official language in Israel is,6498,37366
The official language in Lieksa is,The official language in Mistretta is,58953,15155
The official language in Izabal Department is,The official language in Kuopio is,15506,58953
The official language in Ulvila is,The official language in Torfaen is,58953,6498
The official language in Perm Krai is,The official language in Sipoo is,8690,58953
The official language in Republic of Adygea is,The official language in Sint Eustatius is,8690,24113
The official language in Hungary is,The official language in Saskatchewan is,57869,6498
