Unnamed: 0,operation,clean,answer,corrupted,corrupted_answer,answer_idx,corrupted_idx
124,+,0+162=,162,114+299=,413,10674,19288
125,+,0+163=,163,168+158=,326,9892,17470
126,+,0+165=,165,165+45=,210,10680,8848
127,+,0+166=,166,110+233=,343,11247,16522
128,+,0+167=,167,50+61=,111,11515,5037
129,+,0+168=,168,257+6=,263,8953,15666
130,+,0+169=,169,81+216=,297,11739,18163
131,+,0+171=,171,281+34=,315,11123,15189
132,+,0+172=,172,251+58=,309,10861,15500
133,+,0+173=,173,64+104=,168,11908,8953
134,+,0+174=,174,135+135=,270,11771,10914
135,+,0+175=,175,291+110=,401,10005,10841
136,+,0+176=,176,3+269=,272,10967,15741
137,+,0+177=,177,77+285=,362,11242,18509
138,+,0+178=,178,195+181=,376,11256,18322
139,+,0+179=,179,225+180=,405,11128,16408
140,+,0+180=,180,62+33=,95,5245,2721
141,+,0+181=,181,288+37=,325,10562,15257
142,+,0+182=,182,247+273=,520,10828,15830
143,+,0+183=,183,79+53=,132,10750,9413
144,+,0+184=,184,101+212=,313,10336,15231
145,+,0+185=,185,103+210=,313,9741,15231
146,+,0+187=,187,182+285=,467,9674,20419
147,+,0+188=,188,219+178=,397,9367,20698
148,+,0+189=,189,4+117=,121,9378,7994
149,+,0+190=,190,258+66=,324,7028,16723
150,+,0+191=,191,122+23=,145,7529,9591
151,+,0+193=,193,57+82=,139,7285,10125
152,+,0+194=,194,186+61=,247,6393,14125
153,+,0+195=,195,152+193=,345,6280,12901
154,+,0+197=,197,65+135=,200,4468,1049
155,+,0+198=,198,258+132=,390,3753,15515
156,+,0+199=,199,207+292=,499,2550,18162
157,+,0+202=,202,224+25=,249,2366,14735
158,+,0+203=,203,48+280=,328,9639,16884
159,+,0+204=,204,13+33=,46,7854,2790
160,+,0+205=,205,46+67=,113,10866,8190
161,+,0+206=,206,170+46=,216,11056,12463
162,+,0+207=,207,103+166=,269,12060,16955
163,+,0+208=,208,256+283=,539,12171,23033
164,+,0+209=,209,227+271=,498,12652,21962
165,+,0+210=,210,79+57=,136,8848,9795
166,+,0+211=,211,253+42=,295,11483,16780
167,+,0+212=,212,274+17=,291,11227,17335
168,+,0+213=,213,246+212=,458,11702,21209
169,+,0+214=,214,203+193=,396,11584,19615
170,+,0+217=,217,30+148=,178,13460,11256
171,+,0+218=,218,197+93=,290,13302,13754
172,+,0+220=,220,92+30=,122,8610,8259
173,+,0+221=,221,270+79=,349,12425,18634
174,+,0+222=,222,146+53=,199,9716,2550
175,+,0+223=,223,66+242=,308,12533,14498
176,+,0+224=,224,278+167=,445,10697,19697
177,+,0+225=,225,8+17=,25,11057,914
178,+,0+226=,226,207+263=,470,14057,17711
179,+,0+228=,228,151+150=,301,14261,12405
180,+,0+230=,230,99+291=,390,9870,15515
181,+,0+231=,231,80+273=,353,12245,17228
182,+,0+232=,232,92+178=,270,12338,10914
183,+,0+236=,236,116+53=,169,14087,11739
184,+,0+240=,240,93+249=,342,8273,17590
185,+,0+241=,241,71+179=,250,13341,5154
186,+,0+242=,242,277+0=,277,12754,16367
187,+,0+243=,243,218+232=,450,14052,10617
188,+,0+244=,244,285+147=,432,13719,16739
189,+,0+246=,246,243+66=,309,14205,15500
190,+,0+247=,247,123+296=,419,14125,19391
191,+,0+250=,250,89+59=,148,5154,10410
192,+,0+251=,251,232+5=,237,13860,14590
193,+,0+256=,256,163+187=,350,4146,8652
194,+,0+261=,261,65+228=,293,15602,17313
195,+,0+263=,263,45+291=,336,15666,17014
196,+,0+264=,264,22+121=,143,12815,10290
197,+,0+265=,265,139+262=,401,14374,10841
198,+,0+267=,267,150+201=,351,16567,18113
199,+,0+268=,268,18+108=,126,16332,9390
200,+,0+270=,270,162+224=,386,10914,16481
201,+,0+271=,271,163+163=,326,15828,17470
202,+,0+272=,272,227+166=,393,15741,18252
203,+,0+278=,278,129+76=,205,16949,10866
204,+,0+279=,279,127+258=,385,17267,18695
205,+,0+280=,280,276+167=,443,11209,17147
206,+,0+282=,282,63+73=,136,16544,9795
207,+,0+283=,283,103+177=,280,16085,11209
208,+,0+286=,286,221+14=,235,17361,12422
209,+,0+288=,288,133+31=,164,15287,10513
210,+,0+290=,290,194+190=,384,13754,12910
211,+,0+291=,291,68+261=,329,17335,18196
212,+,0+292=,292,170+227=,397,16443,20698
213,+,0+293=,293,232+152=,384,17313,12910
214,+,0+294=,294,167+165=,332,17168,17079
215,+,0+295=,295,110+274=,384,16780,12910
216,+,0+296=,296,144+189=,333,17408,8765
217,+,0+297=,297,268+161=,429,18163,16371
218,+,0+298=,298,118+121=,239,17690,14815
219,+,1+0=,1,28+147=,175,16,10005
220,+,1+3=,4,133+110=,243,19,14052
221,+,1+4=,5,60+202=,262,20,14274
222,+,1+5=,6,256+269=,525,21,18415
223,+,1+6=,7,215+106=,321,22,14423
224,+,1+7=,8,24+230=,254,23,12375
225,+,1+8=,9,121+74=,195,24,6280
226,+,1+9=,10,61+267=,328,605,16884
227,+,1+10=,11,137+172=,309,806,15500
228,+,1+11=,12,165+114=,279,717,17267
229,+,1+12=,13,240+247=,487,1032,22184
230,+,1+13=,14,192+148=,340,975,13679
231,+,1+14=,15,110+35=,145,868,9591
232,+,1+15=,16,112+110=,222,845,9716
233,+,1+16=,17,83+263=,346,1114,18061
234,+,1+17=,18,269+138=,407,972,18501
235,+,1+18=,19,84+69=,153,777,9800
236,+,1+19=,20,237+266=,503,508,17735
237,+,1+20=,21,152+144=,296,1691,17408
238,+,1+21=,22,59+204=,263,1313,15666
239,+,1+22=,23,140+36=,176,1419,10967
240,+,1+23=,24,170+298=,468,1187,20304
241,+,1+24=,25,68+206=,274,914,16590
242,+,1+25=,26,236+187=,423,1627,19711
243,+,1+26=,27,54+44=,98,1544,3264
244,+,1+27=,28,189+184=,373,1591,18017
245,+,1+28=,29,201+299=,500,1682,2636
246,+,1+29=,30,59+250=,309,966,15500
247,+,1+30=,31,107+50=,157,2148,10895
248,+,1+31=,32,165+224=,389,843,20422
249,+,1+32=,33,227+84=,311,1644,15134
250,+,1+33=,34,51+210=,261,1958,15602
251,+,1+34=,35,200+164=,364,1758,15951
252,+,1+35=,36,280+59=,339,1927,17887
253,+,1+36=,37,177+200=,377,1806,10898
254,+,1+37=,38,38+230=,268,1987,16332
255,+,1+38=,39,50+40=,90,2137,1954
256,+,1+39=,40,215+245=,460,1272,16551
257,+,1+40=,41,213+135=,348,3174,19746
258,+,1+41=,42,265+133=,398,2983,19838
259,+,1+42=,43,33+103=,136,3391,9795
260,+,1+43=,44,256+220=,476,2096,22191
261,+,1+44=,45,76+131=,207,1774,12060
262,+,1+45=,46,157+145=,302,2790,13121
263,+,1+46=,47,118+256=,374,2618,18265
264,+,1+47=,48,161+56=,217,2166,13460
265,+,1+48=,49,281+139=,420,2491,12819
266,+,1+49=,50,13+148=,161,1135,10718
267,+,1+50=,51,25+21=,46,3971,2790
268,+,1+51=,52,107+54=,161,4103,10718
269,+,1+52=,53,103+123=,226,4331,14057
270,+,1+53=,54,63+277=,340,4370,13679
271,+,1+54=,55,102+165=,267,2131,16567
272,+,1+55=,56,292+292=,584,3487,23816
273,+,1+56=,57,277+297=,574,3226,23402
274,+,1+57=,58,202+222=,424,2970,18517
275,+,1+58=,59,143+133=,276,2946,16660
276,+,1+59=,60,276+165=,441,1399,18495
277,+,1+60=,61,29+156=,185,5547,9741
278,+,1+61=,62,154+263=,417,5538,19561
279,+,1+62=,63,265+152=,417,5495,19561
280,+,1+63=,64,64+220=,284,1227,17058
281,+,1+64=,65,30+196=,226,2397,14057
282,+,1+66=,67,50+179=,229,3080,14378
283,+,1+67=,68,149+296=,445,2614,19697
284,+,1+68=,69,279+183=,462,3076,20911
285,+,1+69=,70,164+70=,234,2031,11727
286,+,1+70=,71,148+0=,148,6028,10410
287,+,1+71=,72,269+18=,287,5332,17897
288,+,1+72=,73,242+52=,294,5958,17168
289,+,1+73=,74,262+290=,552,5728,21478
290,+,1+74=,75,277+19=,296,2075,17408
291,+,1+75=,76,77+92=,169,4767,11739
292,+,1+76=,77,92+231=,323,2813,15726
293,+,1+78=,79,258+81=,339,4643,17887
294,+,1+79=,80,286+28=,314,1490,16104
295,+,1+80=,81,180+26=,206,5932,11056
296,+,1+81=,82,102+110=,212,6086,11227
297,+,1+88=,89,246+224=,470,4578,17711
298,+,1+89=,90,16+171=,187,1954,9674
299,+,1+90=,91,189+164=,353,5925,17228
300,+,1+91=,92,217+253=,470,6083,17711
301,+,1+92=,93,121+257=,378,6365,19166
302,+,1+93=,94,97+298=,395,6281,19498
303,+,1+94=,95,109+17=,126,2721,9390
304,+,1+96=,97,85+209=,294,3534,17168
305,+,1+97=,98,222+55=,277,3264,16367
306,+,1+98=,99,176+88=,264,1484,12815
307,+,1+99=,100,44+186=,230,1041,9870
308,+,1+100=,101,260+13=,273,4645,15451
309,+,1+101=,102,35+225=,260,4278,11387
310,+,1+102=,103,42+144=,186,6889,9714
311,+,1+103=,104,104+269=,373,6849,18017
312,+,1+104=,105,207+118=,325,6550,15257
313,+,1+105=,106,107+242=,349,7461,18634
314,+,1+106=,107,230+158=,388,7699,19081
315,+,1+107=,108,111+240=,351,6640,18113
316,+,1+108=,109,244+130=,374,7743,18265
317,+,1+109=,110,293+276=,569,5120,23642
318,+,1+110=,111,17+92=,109,5037,7743
319,+,1+112=,113,161+57=,218,8190,13302
320,+,1+113=,114,57+153=,210,8011,8848
321,+,1+114=,115,104+52=,156,7322,10132
322,+,1+115=,116,141+20=,161,8027,10718
323,+,1+116=,117,95+169=,264,8546,12815
324,+,1+117=,118,128+118=,246,8899,14205
325,+,1+118=,119,296+276=,572,9079,22468
326,+,1+119=,120,223+186=,409,4364,12378
327,+,1+120=,121,40+18=,58,7994,2970
328,+,1+121=,122,205+66=,271,8259,15828
329,+,1+122=,123,198+248=,446,4513,20385
330,+,1+126=,127,275+253=,528,6804,21458
331,+,1+127=,128,238+60=,298,4386,17690
332,+,1+128=,129,61+220=,281,9748,15282
333,+,1+129=,130,41+287=,328,5894,16884
334,+,1+130=,131,167+293=,460,9263,16551
335,+,1+131=,132,139+270=,409,9413,12378
336,+,1+132=,133,75+25=,100,9423,1041
337,+,1+133=,134,251+137=,388,9565,19081
338,+,1+134=,135,174+209=,383,8878,19230
339,+,1+135=,136,99+46=,145,9795,9591
340,+,1+136=,137,151+237=,388,10148,19081
341,+,1+137=,138,287+96=,383,10350,19230
342,+,1+138=,139,140+7=,147,10125,10288
343,+,1+139=,140,148+87=,235,6860,12422
344,+,1+140=,141,110+210=,320,9335,9588
345,+,1+141=,142,145+280=,425,10239,17837
346,+,1+142=,143,97+100=,197,10290,4468
347,+,1+143=,144,79+263=,342,8929,17590
348,+,1+144=,145,12+271=,283,9591,16085
349,+,1+145=,146,182+291=,473,10465,21505
350,+,1+146=,147,230+81=,311,10288,15134
351,+,1+148=,149,144+121=,265,10161,14374
352,+,1+149=,150,79+255=,334,3965,17153
353,+,1+150=,151,145+202=,347,9690,17678
354,+,1+151=,152,264+108=,372,9756,17662
355,+,1+152=,153,254+109=,363,9800,18199
356,+,1+153=,154,173+163=,336,10559,17014
357,+,1+154=,155,286+16=,302,9992,13121
358,+,1+155=,156,162+286=,448,10132,19956
359,+,1+156=,157,58+179=,237,10895,14590
360,+,1+157=,158,30+276=,306,11286,12879
361,+,1+158=,159,117+42=,159,11068,11068
362,+,1+159=,160,141+255=,396,6330,19615
363,+,1+160=,161,219+264=,483,10718,21884
364,+,1+161=,162,216+124=,340,10674,13679
365,+,1+162=,163,102+139=,241,9892,13341
366,+,1+163=,164,66+113=,179,10513,11128
367,+,1+165=,166,227+217=,444,11247,14870
368,+,1+166=,167,166+216=,382,11515,18781
369,+,1+167=,168,192+293=,485,8953,19773
370,+,1+169=,170,133+272=,405,8258,16408
371,+,1+170=,171,59+278=,337,11123,17609
372,+,1+173=,174,186+188=,374,11771,18265
373,+,1+176=,177,270+174=,444,11242,14870
374,+,1+179=,180,112+103=,215,5245,12112
375,+,1+181=,182,276+277=,553,10828,22663
376,+,1+182=,183,245+168=,413,10750,19288
377,+,1+184=,185,130+250=,380,9741,13897
378,+,1+185=,186,39+242=,281,9714,15282
379,+,1+188=,189,249+259=,508,9378,19869
380,+,1+190=,191,271+270=,541,7529,22058
381,+,1+191=,192,173+136=,309,5926,15500
382,+,1+192=,193,31+152=,183,7285,10750
383,+,1+193=,194,24+296=,320,6393,9588
384,+,1+194=,195,275+33=,308,6280,14498
385,+,1+195=,196,196+197=,393,5162,18252
386,+,1+196=,197,283+242=,525,4468,18415
387,+,1+197=,198,43+236=,279,3753,17267
388,+,1+198=,199,261+71=,332,2550,17079
389,+,1+199=,200,75+175=,250,1049,5154
390,+,1+201=,202,22+187=,209,2366,12652
391,+,1+202=,203,135+211=,346,9639,18061
392,+,1+204=,205,121+193=,314,10866,16104
393,+,1+208=,209,3+213=,216,12652,12463
394,+,1+209=,210,116+247=,363,8848,18199
395,+,1+210=,211,244+237=,481,11483,21235
396,+,1+211=,212,137+238=,375,11227,12935
397,+,1+213=,214,20+162=,182,11584,10828
398,+,1+214=,215,61+7=,68,12112,2614
399,+,1+216=,217,237+51=,288,13460,15287
400,+,1+218=,219,138+271=,409,13762,12378
401,+,1+219=,220,227+294=,521,8610,20767
402,+,1+220=,221,204+166=,370,12425,14648
403,+,1+221=,222,154+121=,275,9716,14417
404,+,1+224=,225,247+118=,365,11057,12676
405,+,1+229=,230,230+140=,370,9870,14648
406,+,1+230=,231,193+108=,301,12245,12405
407,+,1+232=,233,212+274=,486,12994,21511
408,+,1+233=,234,261+150=,411,11727,17337
409,+,1+242=,243,271+46=,317,14052,16718
410,+,1+243=,244,114+26=,140,13719,6860
411,+,1+244=,245,233+60=,293,13078,17313
412,+,1+254=,255,177+63=,240,3192,8273
413,+,1+255=,256,142+233=,375,4146,12935
414,+,1+256=,257,121+71=,192,15574,5926
415,+,1+259=,260,41+3=,44,11387,2096
416,+,1+260=,261,37+132=,169,15602,11739
417,+,1+279=,280,108+34=,142,11209,10239
418,+,1+286=,287,163+37=,200,17897,1049
419,+,1+289=,290,248+183=,431,13754,19852
420,+,1+290=,291,295+178=,473,17335,21505
421,+,1+291=,292,279+240=,519,16443,21851
422,+,1+299=,300,152+161=,313,3101,15231
423,+,2+0=,2,191+239=,430,17,14245
424,+,2+3=,5,9+66=,75,20,2075
425,+,2+4=,6,191+176=,367,21,18775
426,+,2+5=,7,169+10=,179,22,11128
427,+,2+6=,8,91+151=,242,23,12754
428,+,2+7=,9,190+243=,433,24,20153
429,+,2+8=,10,81+41=,122,605,8259
430,+,2+9=,11,111+269=,380,806,13897
431,+,2+10=,12,78+148=,226,717,14057
432,+,2+11=,13,225+207=,432,1032,16739
433,+,2+12=,14,211+220=,431,975,19852
434,+,2+13=,15,89+262=,351,868,18113
435,+,2+14=,16,200+84=,284,845,17058
436,+,2+15=,17,104+160=,264,1114,12815
437,+,2+16=,18,243+238=,481,972,21235
438,+,2+17=,19,9+14=,23,777,1419
439,+,2+18=,20,104+265=,369,508,19929
440,+,2+19=,21,117+5=,122,1691,8259
441,+,2+20=,22,142+155=,297,1313,18163
442,+,2+21=,23,115+32=,147,1419,10288
443,+,2+22=,24,137+274=,411,1187,17337
444,+,2+23=,25,242+173=,415,914,18136
445,+,2+24=,26,109+126=,235,1627,12422
446,+,2+25=,27,270+265=,535,1544,20618
447,+,2+26=,28,192+225=,417,1591,19561
448,+,2+27=,29,150+260=,410,1682,14487
449,+,2+28=,30,185+159=,344,966,17451
450,+,2+29=,31,283+128=,411,2148,17337
451,+,2+30=,32,184+29=,213,843,11702
452,+,2+31=,33,233+153=,386,1644,16481
453,+,2+32=,34,116+287=,403,1958,13074
454,+,2+33=,35,272+193=,465,1758,19988
455,+,2+34=,36,222+27=,249,1927,14735
456,+,2+35=,37,207+123=,330,1806,10568
457,+,2+36=,38,135+212=,347,1987,17678
458,+,2+37=,39,197+164=,361,2137,18277
459,+,2+38=,40,159+199=,358,1272,17112
460,+,2+39=,41,280+268=,548,3174,22287
461,+,2+40=,42,210+266=,476,2983,22191
462,+,2+41=,43,80+30=,110,3391,5120
463,+,2+42=,44,266+179=,445,2096,19697
464,+,2+43=,45,126+139=,265,1774,14374
465,+,2+44=,46,23+123=,146,2790,10465
466,+,2+45=,47,50+214=,264,2618,12815
467,+,2+46=,48,90+64=,154,2166,10559
468,+,2+47=,49,50+54=,104,2491,6849
469,+,2+48=,50,188+127=,315,1135,15189
470,+,2+49=,51,173+7=,180,3971,5245
471,+,2+50=,52,213+219=,432,4103,16739
472,+,2+51=,53,34+52=,86,4331,4218
473,+,2+52=,54,89+61=,150,4370,3965
474,+,2+53=,55,152+44=,196,2131,5162
475,+,2+54=,56,49+179=,228,3487,14261
476,+,2+55=,57,215+286=,501,3226,14408
477,+,2+56=,58,219+136=,355,2970,17306
478,+,2+58=,60,125+54=,179,1399,11128
479,+,2+59=,61,57+166=,223,5547,12533
480,+,2+60=,62,237+229=,466,5538,21404
481,+,2+61=,63,245+216=,461,5495,19608
482,+,2+62=,64,61+288=,349,1227,18634
483,+,2+63=,65,99+38=,137,2397,10148
484,+,2+64=,66,236+143=,379,2287,19867
485,+,2+65=,67,180+178=,358,3080,17112
486,+,2+66=,68,117+115=,232,2614,12338
487,+,2+67=,69,266+89=,355,3076,17306
488,+,2+68=,70,248+75=,323,2031,15726
489,+,2+69=,71,185+227=,412,6028,17574
490,+,2+70=,72,206+243=,449,5332,21125
491,+,2+71=,73,167+8=,175,5958,10005
492,+,2+72=,74,147+259=,406,5728,17264
493,+,2+73=,75,187+197=,384,2075,12910
494,+,2+74=,76,266+130=,396,4767,19615
495,+,2+75=,77,132+251=,383,2813,19230
496,+,2+76=,78,268+150=,418,2495,19770
497,+,2+77=,79,104+91=,195,4643,6280
498,+,2+78=,80,139+260=,399,1490,18572
499,+,2+79=,81,253+56=,309,5932,15500
500,+,2+80=,82,19+62=,81,6086,5932
501,+,2+81=,83,15+6=,21,6069,1691
502,+,2+82=,84,148+209=,357,5833,18520
503,+,2+83=,85,34+77=,111,5313,5037
504,+,2+84=,86,171+71=,242,4218,12754
505,+,2+86=,88,11+107=,118,2421,8899
506,+,2+88=,90,92+52=,144,1954,8929
507,+,2+89=,91,148+102=,250,5925,5154
508,+,2+90=,92,214+104=,318,6083,17592
509,+,2+91=,93,131+270=,401,6365,10841
510,+,2+92=,94,31+7=,38,6281,1987
511,+,2+93=,95,255+193=,448,2721,19956
512,+,2+94=,96,26+38=,64,4161,1227
513,+,2+95=,97,13+80=,93,3534,6365
514,+,2+96=,98,279+59=,338,3264,18633
515,+,2+98=,100,57+210=,267,1041,16567
516,+,2+99=,101,77+169=,246,4645,14205
517,+,2+100=,102,193+159=,352,4278,16482
518,+,2+101=,103,150+249=,399,6889,18572
519,+,2+102=,104,245+26=,271,6849,15828
520,+,2+103=,105,86+39=,125,6550,6549
521,+,2+104=,106,186+107=,293,7461,17313
522,+,2+105=,107,282+47=,329,7699,18196
523,+,2+106=,108,87+169=,256,6640,4146
524,+,2+107=,109,11+277=,288,7743,15287
525,+,2+108=,110,152+84=,236,5120,14087
526,+,2+109=,111,9+8=,17,5037,1114
527,+,2+110=,112,295+193=,488,7261,21310
528,+,2+113=,115,30+76=,106,7322,7461
529,+,2+114=,116,161+82=,243,8027,14052
530,+,2+115=,117,39+58=,97,8546,3534
531,+,2+116=,118,159+56=,215,8899,12112
532,+,2+118=,120,35+99=,134,4364,9565
533,+,2+119=,121,282+34=,316,7994,15340
534,+,2+120=,122,235+16=,251,8259,13860
535,+,2+121=,123,245+43=,288,4513,15287
536,+,2+124=,126,213+241=,454,9390,20555
537,+,2+125=,127,56+146=,202,6804,2366
538,+,2+126=,128,61+35=,96,4386,4161
539,+,2+127=,129,296+130=,426,9748,20363
540,+,2+128=,130,59+23=,82,5894,6086
541,+,2+129=,131,168+85=,253,9263,14022
542,+,2+130=,132,111+89=,200,9413,1049
543,+,2+131=,133,239+241=,480,9423,11738
544,+,2+132=,134,68+287=,355,9565,17306
545,+,2+133=,135,141+265=,406,8878,17264
546,+,2+134=,136,252+269=,521,9795,20767
547,+,2+135=,137,22+275=,297,10148,18163
548,+,2+136=,138,286+122=,408,10350,18058
549,+,2+137=,139,139+154=,293,10125,17313
550,+,2+138=,140,141+71=,212,6860,11227
551,+,2+139=,141,201+53=,254,9335,12375
552,+,2+140=,142,171+196=,367,10239,18775
553,+,2+141=,143,19+65=,84,10290,5833
554,+,2+142=,144,65+172=,237,8929,14590
555,+,2+144=,146,38+182=,220,10465,8610
556,+,2+146=,148,62+64=,126,10410,9390
557,+,2+148=,150,121+179=,300,3965,3101
558,+,2+149=,151,175+292=,467,9690,20419
559,+,2+150=,152,68+230=,298,9756,17690
560,+,2+151=,153,83+177=,260,9800,11387
561,+,2+154=,156,239+100=,339,10132,17887
562,+,2+159=,161,109+53=,162,10718,10674
563,+,2+160=,162,161+171=,332,10674,17079
564,+,2+161=,163,243+143=,386,9892,16481
565,+,2+162=,164,70+202=,272,10513,15741
566,+,2+163=,165,40+26=,66,10680,2287
567,+,2+164=,166,158+242=,400,11247,3443
568,+,2+165=,167,279+74=,353,11515,17228
569,+,2+166=,168,139+298=,437,8953,18318
570,+,2+167=,169,115+287=,402,11739,16496
571,+,2+169=,171,299+168=,467,11123,20419
572,+,2+170=,172,289+173=,462,10861,20911
573,+,2+171=,173,38+229=,267,11908,16567
574,+,2+172=,174,122+24=,146,11771,10465
575,+,2+173=,175,220+268=,488,10005,21310
576,+,2+174=,176,100+286=,386,10967,16481
577,+,2+175=,177,113+87=,200,11242,1049
578,+,2+176=,178,252+161=,413,11256,19288
579,+,2+177=,179,223+25=,248,11128,14185
580,+,2+178=,180,2+72=,74,5245,5728
