clean,corrupted,correct_idx
The contact lasted from the year 1197 to the year 11,The contact lasted from the year 1101 to the year 11,97
The contact lasted from the year 1221 to the year 12,The contact lasted from the year 1201 to the year 12,21
The exchange lasted from the year 1426 to the year 14,The exchange lasted from the year 1401 to the year 14,26
The plan lasted from the year 1313 to the year 13,The plan lasted from the year 1301 to the year 13,13
The testing lasted from the year 1692 to the year 16,The testing lasted from the year 1601 to the year 16,92
The shift lasted from the year 1398 to the year 13,The shift lasted from the year 1301 to the year 13,98
The progress lasted from the year 1118 to the year 11,The progress lasted from the year 1101 to the year 11,18
The competition lasted from the year 1159 to the year 11,The competition lasted from the year 1101 to the year 11,59
The campaign lasted from the year 1207 to the year 12,The campaign lasted from the year 1201 to the year 12,7
The competition lasted from the year 1405 to the year 14,The competition lasted from the year 1401 to the year 14,5
The progress lasted from the year 1677 to the year 16,The progress lasted from the year 1601 to the year 16,77
The impact lasted from the year 1762 to the year 17,The impact lasted from the year 1701 to the year 17,62
The project lasted from the year 1398 to the year 13,The project lasted from the year 1301 to the year 13,98
The program lasted from the year 1759 to the year 17,The program lasted from the year 1701 to the year 17,59
The program lasted from the year 1246 to the year 12,The program lasted from the year 1201 to the year 12,46
The deal lasted from the year 1498 to the year 14,The deal lasted from the year 1401 to the year 14,98
The contract lasted from the year 1420 to the year 14,The contract lasted from the year 1401 to the year 14,20
The outcome lasted from the year 1741 to the year 17,The outcome lasted from the year 1701 to the year 17,41
The order lasted from the year 1797 to the year 17,The order lasted from the year 1701 to the year 17,97
The existence lasted from the year 1370 to the year 13,The existence lasted from the year 1301 to the year 13,70
The employment lasted from the year 1532 to the year 15,The employment lasted from the year 1501 to the year 15,32
The growth lasted from the year 1343 to the year 13,The growth lasted from the year 1301 to the year 13,43
The assessment lasted from the year 1734 to the year 17,The assessment lasted from the year 1701 to the year 17,34
The relationship lasted from the year 1358 to the year 13,The relationship lasted from the year 1301 to the year 13,58
The competition lasted from the year 1133 to the year 11,The competition lasted from the year 1101 to the year 11,33
The competition lasted from the year 1337 to the year 13,The competition lasted from the year 1301 to the year 13,37
The tour lasted from the year 1673 to the year 16,The tour lasted from the year 1601 to the year 16,73
The case lasted from the year 1196 to the year 11,The case lasted from the year 1101 to the year 11,96
The operation lasted from the year 1471 to the year 14,The operation lasted from the year 1401 to the year 14,71
The effect lasted from the year 1324 to the year 13,The effect lasted from the year 1301 to the year 13,24
The tests lasted from the year 1271 to the year 12,The tests lasted from the year 1201 to the year 12,71
The practice lasted from the year 1695 to the year 16,The practice lasted from the year 1601 to the year 16,95
The growth lasted from the year 1748 to the year 17,The growth lasted from the year 1701 to the year 17,48
The plan lasted from the year 1352 to the year 13,The plan lasted from the year 1301 to the year 13,52
The effect lasted from the year 1116 to the year 11,The effect lasted from the year 1101 to the year 11,16
The trial lasted from the year 1646 to the year 16,The trial lasted from the year 1601 to the year 16,46
The relationship lasted from the year 1382 to the year 13,The relationship lasted from the year 1301 to the year 13,82
The trial lasted from the year 1206 to the year 12,The trial lasted from the year 1201 to the year 12,6
The tour lasted from the year 1539 to the year 15,The tour lasted from the year 1501 to the year 15,39
The contact lasted from the year 1195 to the year 11,The contact lasted from the year 1101 to the year 11,95
The work lasted from the year 1272 to the year 12,The work lasted from the year 1201 to the year 12,72
The growth lasted from the year 1764 to the year 17,The growth lasted from the year 1701 to the year 17,64
The existence lasted from the year 1713 to the year 17,The existence lasted from the year 1701 to the year 17,13
The relationship lasted from the year 1508 to the year 15,The relationship lasted from the year 1501 to the year 15,8
The tour lasted from the year 1566 to the year 15,The tour lasted from the year 1501 to the year 15,66
The construction lasted from the year 1356 to the year 13,The construction lasted from the year 1301 to the year 13,56
The testing lasted from the year 1595 to the year 15,The testing lasted from the year 1501 to the year 15,95
The construction lasted from the year 1224 to the year 12,The construction lasted from the year 1201 to the year 12,24
The increase lasted from the year 1306 to the year 13,The increase lasted from the year 1301 to the year 13,6
The growth lasted from the year 1153 to the year 11,The growth lasted from the year 1101 to the year 11,53
The contract lasted from the year 1388 to the year 13,The contract lasted from the year 1301 to the year 13,88
The project lasted from the year 1605 to the year 16,The project lasted from the year 1601 to the year 16,5
The fall lasted from the year 1573 to the year 15,The fall lasted from the year 1501 to the year 15,73
The existence lasted from the year 1112 to the year 11,The existence lasted from the year 1101 to the year 11,12
The tour lasted from the year 1687 to the year 16,The tour lasted from the year 1601 to the year 16,87
The challenge lasted from the year 1456 to the year 14,The challenge lasted from the year 1401 to the year 14,56
The rule lasted from the year 1440 to the year 14,The rule lasted from the year 1401 to the year 14,40
The progress lasted from the year 1526 to the year 15,The progress lasted from the year 1501 to the year 15,26
The assessment lasted from the year 1486 to the year 14,The assessment lasted from the year 1401 to the year 14,86
The operation lasted from the year 1482 to the year 14,The operation lasted from the year 1401 to the year 14,82
The project lasted from the year 1620 to the year 16,The project lasted from the year 1601 to the year 16,20
The fall lasted from the year 1287 to the year 12,The fall lasted from the year 1201 to the year 12,87
The trip lasted from the year 1496 to the year 14,The trip lasted from the year 1401 to the year 14,96
The testing lasted from the year 1171 to the year 11,The testing lasted from the year 1101 to the year 11,71
The relationship lasted from the year 1717 to the year 17,The relationship lasted from the year 1701 to the year 17,17
The trip lasted from the year 1339 to the year 13,The trip lasted from the year 1301 to the year 13,39
The tour lasted from the year 1510 to the year 15,The tour lasted from the year 1501 to the year 15,10
The process lasted from the year 1492 to the year 14,The process lasted from the year 1401 to the year 14,92
The test lasted from the year 1430 to the year 14,The test lasted from the year 1401 to the year 14,30
The trial lasted from the year 1390 to the year 13,The trial lasted from the year 1301 to the year 13,90
The shift lasted from the year 1707 to the year 17,The shift lasted from the year 1701 to the year 17,7
The impact lasted from the year 1264 to the year 12,The impact lasted from the year 1201 to the year 12,64
The test lasted from the year 1480 to the year 14,The test lasted from the year 1401 to the year 14,80
The assessment lasted from the year 1147 to the year 11,The assessment lasted from the year 1101 to the year 11,47
The fall lasted from the year 1396 to the year 13,The fall lasted from the year 1301 to the year 13,96
The impact lasted from the year 1645 to the year 16,The impact lasted from the year 1601 to the year 16,45
The plan lasted from the year 1478 to the year 14,The plan lasted from the year 1401 to the year 14,78
The case lasted from the year 1576 to the year 15,The case lasted from the year 1501 to the year 15,76
The testing lasted from the year 1190 to the year 11,The testing lasted from the year 1101 to the year 11,90
The construction lasted from the year 1580 to the year 15,The construction lasted from the year 1501 to the year 15,80
The trip lasted from the year 1525 to the year 15,The trip lasted from the year 1501 to the year 15,25
The competition lasted from the year 1646 to the year 16,The competition lasted from the year 1601 to the year 16,46
The relationship lasted from the year 1393 to the year 13,The relationship lasted from the year 1301 to the year 13,93
The case lasted from the year 1233 to the year 12,The case lasted from the year 1201 to the year 12,33
The riot lasted from the year 1170 to the year 11,The riot lasted from the year 1101 to the year 11,70
The trial lasted from the year 1234 to the year 12,The trial lasted from the year 1201 to the year 12,34
The progress lasted from the year 1531 to the year 15,The progress lasted from the year 1501 to the year 15,31
The rule lasted from the year 1235 to the year 12,The rule lasted from the year 1201 to the year 12,35
The impact lasted from the year 1779 to the year 17,The impact lasted from the year 1701 to the year 17,79
The construction lasted from the year 1406 to the year 14,The construction lasted from the year 1401 to the year 14,6
The program lasted from the year 1116 to the year 11,The program lasted from the year 1101 to the year 11,16
The exchange lasted from the year 1705 to the year 17,The exchange lasted from the year 1701 to the year 17,5
The project lasted from the year 1192 to the year 11,The project lasted from the year 1101 to the year 11,92
The competition lasted from the year 1249 to the year 12,The competition lasted from the year 1201 to the year 12,49
The shift lasted from the year 1580 to the year 15,The shift lasted from the year 1501 to the year 15,80
The riot lasted from the year 1180 to the year 11,The riot lasted from the year 1101 to the year 11,80
The growth lasted from the year 1296 to the year 12,The growth lasted from the year 1201 to the year 12,96
The attack lasted from the year 1211 to the year 12,The attack lasted from the year 1201 to the year 12,11
The construction lasted from the year 1651 to the year 16,The construction lasted from the year 1601 to the year 16,51
The program lasted from the year 1355 to the year 13,The program lasted from the year 1301 to the year 13,55
The rise lasted from the year 1321 to the year 13,The rise lasted from the year 1301 to the year 13,21
The study lasted from the year 1250 to the year 12,The study lasted from the year 1201 to the year 12,50
The relationship lasted from the year 1520 to the year 15,The relationship lasted from the year 1501 to the year 15,20
The contact lasted from the year 1357 to the year 13,The contact lasted from the year 1301 to the year 13,57
The trip lasted from the year 1479 to the year 14,The trip lasted from the year 1401 to the year 14,79
The fall lasted from the year 1294 to the year 12,The fall lasted from the year 1201 to the year 12,94
The construction lasted from the year 1129 to the year 11,The construction lasted from the year 1101 to the year 11,29
The practice lasted from the year 1547 to the year 15,The practice lasted from the year 1501 to the year 15,47
The campaign lasted from the year 1461 to the year 14,The campaign lasted from the year 1401 to the year 14,61
The program lasted from the year 1136 to the year 11,The program lasted from the year 1101 to the year 11,36
The employment lasted from the year 1609 to the year 16,The employment lasted from the year 1601 to the year 16,9
The contract lasted from the year 1381 to the year 13,The contract lasted from the year 1301 to the year 13,81
The relationship lasted from the year 1631 to the year 16,The relationship lasted from the year 1601 to the year 16,31
The development lasted from the year 1466 to the year 14,The development lasted from the year 1401 to the year 14,66
The program lasted from the year 1446 to the year 14,The program lasted from the year 1401 to the year 14,46
The practice lasted from the year 1522 to the year 15,The practice lasted from the year 1501 to the year 15,22
The riot lasted from the year 1114 to the year 11,The riot lasted from the year 1101 to the year 11,14
The work lasted from the year 1536 to the year 15,The work lasted from the year 1501 to the year 15,36
The fall lasted from the year 1412 to the year 14,The fall lasted from the year 1401 to the year 14,12
The challenge lasted from the year 1544 to the year 15,The challenge lasted from the year 1501 to the year 15,44
The plan lasted from the year 1527 to the year 15,The plan lasted from the year 1501 to the year 15,27
The increase lasted from the year 1450 to the year 14,The increase lasted from the year 1401 to the year 14,50
The rise lasted from the year 1125 to the year 11,The rise lasted from the year 1101 to the year 11,25
The rule lasted from the year 1405 to the year 14,The rule lasted from the year 1401 to the year 14,5
The impact lasted from the year 1524 to the year 15,The impact lasted from the year 1501 to the year 15,24
The impact lasted from the year 1410 to the year 14,The impact lasted from the year 1401 to the year 14,10
The campaign lasted from the year 1796 to the year 17,The campaign lasted from the year 1701 to the year 17,96
The employment lasted from the year 1574 to the year 15,The employment lasted from the year 1501 to the year 15,74
The construction lasted from the year 1286 to the year 12,The construction lasted from the year 1201 to the year 12,86
The existence lasted from the year 1452 to the year 14,The existence lasted from the year 1401 to the year 14,52
The operation lasted from the year 1706 to the year 17,The operation lasted from the year 1701 to the year 17,6
The impact lasted from the year 1270 to the year 12,The impact lasted from the year 1201 to the year 12,70
The testing lasted from the year 1780 to the year 17,The testing lasted from the year 1701 to the year 17,80
The challenge lasted from the year 1569 to the year 15,The challenge lasted from the year 1501 to the year 15,69
The tests lasted from the year 1496 to the year 14,The tests lasted from the year 1401 to the year 14,96
The riot lasted from the year 1785 to the year 17,The riot lasted from the year 1701 to the year 17,85
The project lasted from the year 1183 to the year 11,The project lasted from the year 1101 to the year 11,83
The shift lasted from the year 1543 to the year 15,The shift lasted from the year 1501 to the year 15,43
The quest lasted from the year 1547 to the year 15,The quest lasted from the year 1501 to the year 15,47
The trip lasted from the year 1734 to the year 17,The trip lasted from the year 1701 to the year 17,34
The trial lasted from the year 1112 to the year 11,The trial lasted from the year 1101 to the year 11,12
The work lasted from the year 1569 to the year 15,The work lasted from the year 1501 to the year 15,69
The outcome lasted from the year 1494 to the year 14,The outcome lasted from the year 1401 to the year 14,94
The quest lasted from the year 1274 to the year 12,The quest lasted from the year 1201 to the year 12,74
The deal lasted from the year 1167 to the year 11,The deal lasted from the year 1101 to the year 11,67
The practice lasted from the year 1785 to the year 17,The practice lasted from the year 1701 to the year 17,85
The rule lasted from the year 1110 to the year 11,The rule lasted from the year 1101 to the year 11,10
The employment lasted from the year 1587 to the year 15,The employment lasted from the year 1501 to the year 15,87
The contract lasted from the year 1213 to the year 12,The contract lasted from the year 1201 to the year 12,13
The trip lasted from the year 1422 to the year 14,The trip lasted from the year 1401 to the year 14,22
The case lasted from the year 1112 to the year 11,The case lasted from the year 1101 to the year 11,12
The tests lasted from the year 1519 to the year 15,The tests lasted from the year 1501 to the year 15,19
The shift lasted from the year 1484 to the year 14,The shift lasted from the year 1401 to the year 14,84
The quest lasted from the year 1267 to the year 12,The quest lasted from the year 1201 to the year 12,67
The effect lasted from the year 1492 to the year 14,The effect lasted from the year 1401 to the year 14,92
The riot lasted from the year 1585 to the year 15,The riot lasted from the year 1501 to the year 15,85
The existence lasted from the year 1735 to the year 17,The existence lasted from the year 1701 to the year 17,35
The evaluation lasted from the year 1183 to the year 11,The evaluation lasted from the year 1101 to the year 11,83
The rise lasted from the year 1413 to the year 14,The rise lasted from the year 1401 to the year 14,13
The contract lasted from the year 1457 to the year 14,The contract lasted from the year 1401 to the year 14,57
The campaign lasted from the year 1471 to the year 14,The campaign lasted from the year 1401 to the year 14,71
The testing lasted from the year 1715 to the year 17,The testing lasted from the year 1701 to the year 17,15
The process lasted from the year 1209 to the year 12,The process lasted from the year 1201 to the year 12,9
The test lasted from the year 1561 to the year 15,The test lasted from the year 1501 to the year 15,61
The assessment lasted from the year 1482 to the year 14,The assessment lasted from the year 1401 to the year 14,82
The tests lasted from the year 1373 to the year 13,The tests lasted from the year 1301 to the year 13,73
The therapy lasted from the year 1178 to the year 11,The therapy lasted from the year 1101 to the year 11,78
The rule lasted from the year 1625 to the year 16,The rule lasted from the year 1601 to the year 16,25
The plan lasted from the year 1159 to the year 11,The plan lasted from the year 1101 to the year 11,59
The rise lasted from the year 1679 to the year 16,The rise lasted from the year 1601 to the year 16,79
The trial lasted from the year 1173 to the year 11,The trial lasted from the year 1101 to the year 11,73
The case lasted from the year 1314 to the year 13,The case lasted from the year 1301 to the year 13,14
The campaign lasted from the year 1443 to the year 14,The campaign lasted from the year 1401 to the year 14,43
The therapy lasted from the year 1267 to the year 12,The therapy lasted from the year 1201 to the year 12,67
The construction lasted from the year 1650 to the year 16,The construction lasted from the year 1601 to the year 16,50
The campaign lasted from the year 1537 to the year 15,The campaign lasted from the year 1501 to the year 15,37
The deal lasted from the year 1141 to the year 11,The deal lasted from the year 1101 to the year 11,41
The rise lasted from the year 1150 to the year 11,The rise lasted from the year 1101 to the year 11,50
The rule lasted from the year 1191 to the year 11,The rule lasted from the year 1101 to the year 11,91
The tour lasted from the year 1736 to the year 17,The tour lasted from the year 1701 to the year 17,36
The plan lasted from the year 1670 to the year 16,The plan lasted from the year 1601 to the year 16,70
The practice lasted from the year 1742 to the year 17,The practice lasted from the year 1701 to the year 17,42
The existence lasted from the year 1712 to the year 17,The existence lasted from the year 1701 to the year 17,12
The challenge lasted from the year 1513 to the year 15,The challenge lasted from the year 1501 to the year 15,13
The competition lasted from the year 1543 to the year 15,The competition lasted from the year 1501 to the year 15,43
The shift lasted from the year 1378 to the year 13,The shift lasted from the year 1301 to the year 13,78
The relationship lasted from the year 1638 to the year 16,The relationship lasted from the year 1601 to the year 16,38
The evaluation lasted from the year 1653 to the year 16,The evaluation lasted from the year 1601 to the year 16,53
The therapy lasted from the year 1331 to the year 13,The therapy lasted from the year 1301 to the year 13,31
The evaluation lasted from the year 1327 to the year 13,The evaluation lasted from the year 1301 to the year 13,27
The contract lasted from the year 1673 to the year 16,The contract lasted from the year 1601 to the year 16,73
The attack lasted from the year 1453 to the year 14,The attack lasted from the year 1401 to the year 14,53
The process lasted from the year 1171 to the year 11,The process lasted from the year 1101 to the year 11,71
The process lasted from the year 1591 to the year 15,The process lasted from the year 1501 to the year 15,91
The attack lasted from the year 1113 to the year 11,The attack lasted from the year 1101 to the year 11,13
The contact lasted from the year 1689 to the year 16,The contact lasted from the year 1601 to the year 16,89
The campaign lasted from the year 1313 to the year 13,The campaign lasted from the year 1301 to the year 13,13
The existence lasted from the year 1177 to the year 11,The existence lasted from the year 1101 to the year 11,77
The trial lasted from the year 1762 to the year 17,The trial lasted from the year 1701 to the year 17,62
The work lasted from the year 1638 to the year 16,The work lasted from the year 1601 to the year 16,38
The program lasted from the year 1549 to the year 15,The program lasted from the year 1501 to the year 15,49
The trip lasted from the year 1435 to the year 14,The trip lasted from the year 1401 to the year 14,35
The quest lasted from the year 1221 to the year 12,The quest lasted from the year 1201 to the year 12,21
The process lasted from the year 1622 to the year 16,The process lasted from the year 1601 to the year 16,22
The attack lasted from the year 1312 to the year 13,The attack lasted from the year 1301 to the year 13,12
The evaluation lasted from the year 1335 to the year 13,The evaluation lasted from the year 1301 to the year 13,35
The contact lasted from the year 1734 to the year 17,The contact lasted from the year 1701 to the year 17,34
The fall lasted from the year 1379 to the year 13,The fall lasted from the year 1301 to the year 13,79
The existence lasted from the year 1712 to the year 17,The existence lasted from the year 1701 to the year 17,12
The effect lasted from the year 1175 to the year 11,The effect lasted from the year 1101 to the year 11,75
The relationship lasted from the year 1178 to the year 11,The relationship lasted from the year 1101 to the year 11,78
The quest lasted from the year 1711 to the year 17,The quest lasted from the year 1701 to the year 17,11
The work lasted from the year 1494 to the year 14,The work lasted from the year 1401 to the year 14,94
The rule lasted from the year 1210 to the year 12,The rule lasted from the year 1201 to the year 12,10
The challenge lasted from the year 1664 to the year 16,The challenge lasted from the year 1601 to the year 16,64
The plan lasted from the year 1587 to the year 15,The plan lasted from the year 1501 to the year 15,87
The riot lasted from the year 1509 to the year 15,The riot lasted from the year 1501 to the year 15,9
The campaign lasted from the year 1159 to the year 11,The campaign lasted from the year 1101 to the year 11,59
The increase lasted from the year 1481 to the year 14,The increase lasted from the year 1401 to the year 14,81
The outcome lasted from the year 1697 to the year 16,The outcome lasted from the year 1601 to the year 16,97
The process lasted from the year 1129 to the year 11,The process lasted from the year 1101 to the year 11,29
The rise lasted from the year 1257 to the year 12,The rise lasted from the year 1201 to the year 12,57
The relationship lasted from the year 1448 to the year 14,The relationship lasted from the year 1401 to the year 14,48
The attack lasted from the year 1425 to the year 14,The attack lasted from the year 1401 to the year 14,25
The tour lasted from the year 1672 to the year 16,The tour lasted from the year 1601 to the year 16,72
The challenge lasted from the year 1642 to the year 16,The challenge lasted from the year 1601 to the year 16,42
The trip lasted from the year 1610 to the year 16,The trip lasted from the year 1601 to the year 16,10
The campaign lasted from the year 1256 to the year 12,The campaign lasted from the year 1201 to the year 12,56
The study lasted from the year 1336 to the year 13,The study lasted from the year 1301 to the year 13,36
The exchange lasted from the year 1797 to the year 17,The exchange lasted from the year 1701 to the year 17,97
The operation lasted from the year 1277 to the year 12,The operation lasted from the year 1201 to the year 12,77
The quest lasted from the year 1556 to the year 15,The quest lasted from the year 1501 to the year 15,56
The attack lasted from the year 1119 to the year 11,The attack lasted from the year 1101 to the year 11,19
The quest lasted from the year 1307 to the year 13,The quest lasted from the year 1301 to the year 13,7
The testing lasted from the year 1344 to the year 13,The testing lasted from the year 1301 to the year 13,44
The impact lasted from the year 1387 to the year 13,The impact lasted from the year 1301 to the year 13,87
The contact lasted from the year 1119 to the year 11,The contact lasted from the year 1101 to the year 11,19
The challenge lasted from the year 1456 to the year 14,The challenge lasted from the year 1401 to the year 14,56
The outcome lasted from the year 1254 to the year 12,The outcome lasted from the year 1201 to the year 12,54
The effect lasted from the year 1684 to the year 16,The effect lasted from the year 1601 to the year 16,84
The riot lasted from the year 1518 to the year 15,The riot lasted from the year 1501 to the year 15,18
The case lasted from the year 1660 to the year 16,The case lasted from the year 1601 to the year 16,60
The contract lasted from the year 1532 to the year 15,The contract lasted from the year 1501 to the year 15,32
The evaluation lasted from the year 1198 to the year 11,The evaluation lasted from the year 1101 to the year 11,98
The competition lasted from the year 1196 to the year 11,The competition lasted from the year 1101 to the year 11,96
The riot lasted from the year 1347 to the year 13,The riot lasted from the year 1301 to the year 13,47
The relationship lasted from the year 1381 to the year 13,The relationship lasted from the year 1301 to the year 13,81
The deal lasted from the year 1403 to the year 14,The deal lasted from the year 1401 to the year 14,3
The exchange lasted from the year 1143 to the year 11,The exchange lasted from the year 1101 to the year 11,43
The evaluation lasted from the year 1774 to the year 17,The evaluation lasted from the year 1701 to the year 17,74
The operation lasted from the year 1160 to the year 11,The operation lasted from the year 1101 to the year 11,60
The attack lasted from the year 1391 to the year 13,The attack lasted from the year 1301 to the year 13,91
The riot lasted from the year 1169 to the year 11,The riot lasted from the year 1101 to the year 11,69
The deal lasted from the year 1380 to the year 13,The deal lasted from the year 1301 to the year 13,80
The competition lasted from the year 1409 to the year 14,The competition lasted from the year 1401 to the year 14,9
The attack lasted from the year 1514 to the year 15,The attack lasted from the year 1501 to the year 15,14
The test lasted from the year 1246 to the year 12,The test lasted from the year 1201 to the year 12,46
The tests lasted from the year 1466 to the year 14,The tests lasted from the year 1401 to the year 14,66
The campaign lasted from the year 1320 to the year 13,The campaign lasted from the year 1301 to the year 13,20
The existence lasted from the year 1208 to the year 12,The existence lasted from the year 1201 to the year 12,8
The outcome lasted from the year 1143 to the year 11,The outcome lasted from the year 1101 to the year 11,43
The growth lasted from the year 1421 to the year 14,The growth lasted from the year 1401 to the year 14,21
The evaluation lasted from the year 1551 to the year 15,The evaluation lasted from the year 1501 to the year 15,51
The rise lasted from the year 1348 to the year 13,The rise lasted from the year 1301 to the year 13,48
The campaign lasted from the year 1222 to the year 12,The campaign lasted from the year 1201 to the year 12,22
The contact lasted from the year 1588 to the year 15,The contact lasted from the year 1501 to the year 15,88
The work lasted from the year 1310 to the year 13,The work lasted from the year 1301 to the year 13,10
The riot lasted from the year 1302 to the year 13,The riot lasted from the year 1301 to the year 13,2
The evaluation lasted from the year 1770 to the year 17,The evaluation lasted from the year 1701 to the year 17,70
The test lasted from the year 1753 to the year 17,The test lasted from the year 1701 to the year 17,53
The progress lasted from the year 1294 to the year 12,The progress lasted from the year 1201 to the year 12,94
The contact lasted from the year 1381 to the year 13,The contact lasted from the year 1301 to the year 13,81
The therapy lasted from the year 1650 to the year 16,The therapy lasted from the year 1601 to the year 16,50
The increase lasted from the year 1676 to the year 16,The increase lasted from the year 1601 to the year 16,76
The plan lasted from the year 1141 to the year 11,The plan lasted from the year 1101 to the year 11,41
The effect lasted from the year 1226 to the year 12,The effect lasted from the year 1201 to the year 12,26
The practice lasted from the year 1587 to the year 15,The practice lasted from the year 1501 to the year 15,87
The therapy lasted from the year 1126 to the year 11,The therapy lasted from the year 1101 to the year 11,26
The growth lasted from the year 1426 to the year 14,The growth lasted from the year 1401 to the year 14,26
