clean,capital,country,capital_idx,corrupted,corrupted_capital,corrupted_country,corrupted_capital_idx
" Mongolia, whose capital,",Mongolia,Ulaanbaatar,547," Denmark, whose capital,",Denmark,Copenhagen,63061
" Montenegro, whose capital,",Montenegro,Podgorica,16821," Saint Lucia, whose capital,",Saint Lucia,Castries,11264
" Morocco, whose capital,",Morocco,Rabat,35724," UAE, whose capital,",UAE,Abu Dhabi,30129
" Mozambique, whose capital,",Mozambique,Maputo,5027," Uzbekistan, whose capital,",Uzbekistan,Tashkent,350
" Myanmar, whose capital,",Myanmar,Nay Pyi Taw,98073," Sudan, whose capital,",Sudan,Khartoum,20165
" Namibia, whose capital,",Namibia,Windhoek,22087," Moldova, whose capital,",Moldova,Chisinau,910
" Nepal, whose capital,",Nepal,Kathmandu,32895," Zambia, whose capital,",Zambia,Lusaka,444
" Netherlands, whose capital,",Netherlands,Amsterdam,37741," Denmark, whose capital,",Denmark,Copenhagen,63061
" New Zealand, whose capital,",New Zealand,Wellington,56004," Namibia, whose capital,",Namibia,Windhoek,22087
" Nicaragua, whose capital,",Nicaragua,Managua,2363," Portugal, whose capital,",Portugal,Lisbon,80701
" Niger, whose capital,",Niger,Niamey,21890," Armenia, whose capital,",Armenia,Yerevan,809
" Nigeria, whose capital,",Nigeria,Abuja,30129," Rwanda, whose capital,",Rwanda,Kigali,730
" North Korea, whose capital,",North Korea,Pyongyang,60059," Andorra, whose capital,",Andorra,Andorra la Vella,1597
" North Macedonia, whose capital,",North Macedonia,Skopje,4818," Senegal, whose capital,",Senegal,Dakar,24648
" Norway, whose capital,",Norway,Oslo,57858," Ukraine, whose capital,",Ukraine,Kiev,61625
" Oman, whose capital,",Oman,Muscat,5331," India, whose capital,",India,New Delhi,1532
" Pakistan, whose capital,",Pakistan,Islamabad,91432," Mali, whose capital,",Mali,Bamako,55007
" Palau, whose capital,",Palau,Melekeok,2157," Sierra Leone, whose capital,",Sierra Leone,Freetown,434
" Panama, whose capital,",Panama,Panama City,48036," Egypt, whose capital,",Egypt,Cairo,52550
" Papua New Guinea, whose capital,",Papua New Guinea,Port Moresby,5776," Micronesia, whose capital,",Micronesia,Palikir,10925
" Paraguay, whose capital,",Paraguay,Asuncion,1634," Dominica, whose capital,",Dominica,Roseau,15964
" Peru, whose capital,",Peru,Lima,61953," Kosovo, whose capital,",Kosovo,Pristina,2340
" Philippines, whose capital,",Philippines,Manila,56564," Laos, whose capital,",Laos,Vientiane,647
" Poland, whose capital,",Poland,Warsaw,72176," Belize, whose capital,",Belize,Belmopan,7828
" Portugal, whose capital,",Portugal,Lisbon,80701," Mexico, whose capital,",Mexico,Mexico City,12270
" Qatar, whose capital,",Qatar,Doha,422," Slovakia, whose capital,",Slovakia,Bratislava,3240
" Romania, whose capital,",Romania,Bucharest,33278," Guinea, whose capital,",Guinea,Conakry,1200
" Russia, whose capital,",Russia,Moscow,22415," Brazil, whose capital,",Brazil,Brasilia,61124
" Rwanda, whose capital,",Rwanda,Kigali,730," Qatar, whose capital,",Qatar,Doha,422
" Saint Kitts and Nevis, whose capital,",Saint Kitts and Nevis,Basseterre,35953," Côte d'Ivoire, whose capital,",Côte d'Ivoire,Yamoussoukro,33554
" Saint Lucia, whose capital,",Saint Lucia,Castries,11264," Paraguay, whose capital,",Paraguay,Asuncion,1634
" Samoa, whose capital,",Samoa,Apia,5232," Bangladesh, whose capital,",Bangladesh,Dhaka,43227
" Sao Tome and Principe, whose capital,",Sao Tome and Principe,Sao Tome,89872," Côte d'Ivoire, whose capital,",Côte d'Ivoire,Yamoussoukro,33554
" Saudi Arabia, whose capital,",Saudi Arabia,Riyadh,89790," Andorra, whose capital,",Andorra,Andorra la Vella,1597
" Senegal, whose capital,",Senegal,Dakar,24648," Solomon Islands, whose capital,",Solomon Islands,Honiara,16549
" Serbia, whose capital,",Serbia,Belgrade,7828," Germany, whose capital,",Germany,Berlin,19846
" Seychelles, whose capital,",Seychelles,Victoria,22417," Tajikistan, whose capital,",Tajikistan,Dushanbe,422
" Sierra Leone, whose capital,",Sierra Leone,Freetown,434," Barbados, whose capital,",Barbados,Bridgetown,31337
" Slovakia, whose capital,",Slovakia,Bratislava,3240," Albania, whose capital,",Albania,Tirana,82555
" Slovenia, whose capital,",Slovenia,Ljubljana,444," Belize, whose capital,",Belize,Belmopan,7828
" Solomon Islands, whose capital,",Solomon Islands,Honiara,16549," Suriname, whose capital,",Suriname,Paramaribo,6991
" Somalia, whose capital,",Somalia,Mogadishu,59921," India, whose capital,",India,New Delhi,1532
" South Africa, whose capital,",South Africa,Cape Town,28615," Moldova, whose capital,",Moldova,Chisinau,910
" South Korea, whose capital,",South Korea,Seoul,50189," Togo, whose capital,",Togo,Lome,444
" South Sudan, whose capital,",South Sudan,Juba,619," Mauritania, whose capital,",Mauritania,Nouakchott,59187
" Spain, whose capital,",Spain,Madrid,24081," Iran, whose capital,",Iran,Tehran,52695
" Sudan, whose capital,",Sudan,Khartoum,20165," Serbia, whose capital,",Serbia,Belgrade,7828
" Suriname, whose capital,",Suriname,Paramaribo,6991," Togo, whose capital,",Togo,Lome,444
" Sweden, whose capital,",Sweden,Stockholm,52082," Turkey, whose capital,",Turkey,Ankara,70244
" Switzerland, whose capital,",Switzerland,Bern,14168," Cameroon, whose capital,",Cameroon,Yaounde,39384
" Syria, whose capital,",Syria,Damascus,57023," Zambia, whose capital,",Zambia,Lusaka,444
" Taiwan, whose capital,",Taiwan,Taipei,96345," Yemen, whose capital,",Yemen,Sana'a,328
" Tajikistan, whose capital,",Tajikistan,Dushanbe,422," Lesotho, whose capital,",Lesotho,Maseru,386
" Tanzania, whose capital,",Tanzania,Dodoma,35868," Belarus, whose capital,",Belarus,Minsk,386
" Thailand, whose capital,",Thailand,Bangkok,59016," Kenya, whose capital,",Kenya,Nairobi,96525
" Togo, whose capital,",Togo,Lome,444," Senegal, whose capital,",Senegal,Dakar,24648
" Tonga, whose capital,",Tonga,Nuku'alofa,451," New Zealand, whose capital,",New Zealand,Wellington,56004
" Trinidad and Tobago, whose capital,",Trinidad and Tobago,Port of Spain,5776," Djibouti, whose capital,",Djibouti,Djibouti,51062
" Tunisia, whose capital,",Tunisia,Tunis,94677," Haiti, whose capital,",Haiti,Port au Prince,5776
" Turkey, whose capital,",Turkey,Ankara,70244," Armenia, whose capital,",Armenia,Yerevan,809
" Turkmenistan, whose capital,",Turkmenistan,Ashgabat,14595," Lesotho, whose capital,",Lesotho,Maseru,386
" Tuvalu, whose capital,",Tuvalu,Funafuti,16071," Cape Verde, whose capital,",Cape Verde,Praia,40365
" Uganda, whose capital,",Uganda,Kampala,70944," Sudan, whose capital,",Sudan,Khartoum,20165
" Ukraine, whose capital,",Ukraine,Kiev,61625," Slovenia, whose capital,",Slovenia,Ljubljana,444
" UAE, whose capital,",UAE,Abu Dhabi,30129," Ukraine, whose capital,",Ukraine,Kiev,61625
" United Kingdom, whose capital,",United Kingdom,London,7148," South Korea, whose capital,",South Korea,Seoul,50189
" United States, whose capital,",United States,Washington D.C.,6515," New Zealand, whose capital,",New Zealand,Wellington,56004
" Uruguay, whose capital,",Uruguay,Montevideo,9795," Romania, whose capital,",Romania,Bucharest,33278
" Uzbekistan, whose capital,",Uzbekistan,Tashkent,350," Paraguay, whose capital,",Paraguay,Asuncion,1634
" Vanuatu, whose capital,",Vanuatu,Port Vila,5776," Tajikistan, whose capital,",Tajikistan,Dushanbe,422
" Venezuela, whose capital,",Venezuela,Caracas,3261," Lebanon, whose capital,",Lebanon,Beirut,94311
" Vietnam, whose capital,",Vietnam,Hanoi,472," China, whose capital,",China,Beijing,26549
" Yemen, whose capital,",Yemen,Sana'a,328," Haiti, whose capital,",Haiti,Port au Prince,5776
" Zambia, whose capital,",Zambia,Lusaka,444," Laos, whose capital,",Laos,Vientiane,647
" Zimbabwe, whose capital,",Zimbabwe,Harare,5227," Sudan, whose capital,",Sudan,Khartoum,20165
