clean,capital,country,capital_idx,corrupted,corrupted_capital,corrupted_country,corrupted_capital_idx
" Kyrgyzstan, whose capital,",Kyrgyzstan,Bishkek,171541," Gabon, whose capital,",Gabon,Libreville,65897
" Laos, whose capital,",Laos,Vientiane,8925," Luxembourg, whose capital,",Luxembourg,Luxembourg,56069
" Latvia, whose capital,",Latvia,Riga,117178," Bahrain, whose capital,",Bahrain,Manama,595
" Lebanon, whose capital,",Lebanon,Beirut,101054," Liberia, whose capital,",Liberia,Monrovia,180868
" Lesotho, whose capital,",Lesotho,Maseru,8601," Ireland, whose capital,",Ireland,Dublin,28998
" Liberia, whose capital,",Liberia,Monrovia,180868," Greece, whose capital,",Greece,Athens,38721
" Libya, whose capital,",Libya,Tripoli,143631," Senegal, whose capital,",Senegal,Dakar,75271
" Liechtenstein, whose capital,",Liechtenstein,Vaduz,73253," Cuba, whose capital,",Cuba,Havana,87784
" Lithuania, whose capital,",Lithuania,Vilnius,123901," Mauritius, whose capital,",Mauritius,Port Louis,5949
" Luxembourg, whose capital,",Luxembourg,Luxembourg,56069," Moldova, whose capital,",Moldova,Chisinau,1074
" Madagascar, whose capital,",Madagascar,Antananarivo,5823," Bolivia, whose capital,",Bolivia,La Paz,2221
" Malawi, whose capital,",Malawi,Lilongwe,51807," Philippines, whose capital,",Philippines,Manila,50153
" Malaysia, whose capital,",Malaysia,Kuala Lumpur,71679," Eritrea, whose capital,",Eritrea,Asmara,1877
" Maldives, whose capital,",Maldives,Male,24417," Armenia, whose capital,",Armenia,Yerevan,219502
" Mali, whose capital,",Mali,Bamako,170665," Lebanon, whose capital,",Lebanon,Beirut,101054
" Malta, whose capital,",Malta,Valletta,3195," Jordan, whose capital,",Jordan,Amman,147785
" Marshall Islands, whose capital,",Marshall Islands,Majuro,9397," Saint Lucia, whose capital,",Saint Lucia,Castries,10425
" Mauritania, whose capital,",Mauritania,Nouakchott,25580," Djibouti, whose capital,",Djibouti,Djibouti,220126
" Mauritius, whose capital,",Mauritius,Port Louis,5949," France, whose capital,",France,Paris,7127
" Mexico, whose capital,",Mexico,Mexico City,11198," Norway, whose capital,",Norway,Oslo,48283
" Moldova, whose capital,",Moldova,Chisinau,1074," Djibouti, whose capital,",Djibouti,Djibouti,220126
" Mongolia, whose capital,",Mongolia,Ulaanbaatar,752," Senegal, whose capital,",Senegal,Dakar,75271
" Montenegro, whose capital,",Montenegro,Podgorica,13731," Malta, whose capital,",Malta,Valletta,3195
" Morocco, whose capital,",Morocco,Rabat,168490," Namibia, whose capital,",Namibia,Windhoek,17345
" Mozambique, whose capital,",Mozambique,Maputo,7487," Portugal, whose capital,",Portugal,Lisbon,68696
" Myanmar, whose capital,",Myanmar,Nay Pyi Taw,49993," Armenia, whose capital,",Armenia,Yerevan,219502
" Namibia, whose capital,",Namibia,Windhoek,17345," Kenya, whose capital,",Kenya,Nairobi,53057
" Nepal, whose capital,",Nepal,Kathmandu,116769," Thailand, whose capital,",Thailand,Bangkok,52717
" Netherlands, whose capital,",Netherlands,Amsterdam,26658," Luxembourg, whose capital,",Luxembourg,Luxembourg,56069
" New Zealand, whose capital,",New Zealand,Wellington,48551," East Timor, whose capital,",East Timor,Dili,106939
" Nicaragua, whose capital,",Nicaragua,Managua,225057," Cyprus, whose capital,",Cyprus,Nicosia,227125
" Niger, whose capital,",Niger,Niamey,13850," Maldives, whose capital,",Maldives,Male,24417
" Nigeria, whose capital,",Nigeria,Abuja,54209," Togo, whose capital,",Togo,Lome,629
" North Korea, whose capital,",North Korea,Pyongyang,178649," South Africa, whose capital,",South Africa,Cape Town,21163
" North Macedonia, whose capital,",North Macedonia,Skopje,6007," South Africa, whose capital,",South Africa,Cape Town,21163
" Norway, whose capital,",Norway,Oslo,48283," China, whose capital,",China,Beijing,33395
" Oman, whose capital,",Oman,Muscat,138078," Ireland, whose capital,",Ireland,Dublin,28998
" Pakistan, whose capital,",Pakistan,Islamabad,124604," Germany, whose capital,",Germany,Berlin,12514
" Palau, whose capital,",Palau,Melekeok,140987," Zimbabwe, whose capital,",Zimbabwe,Harare,145799
" Panama, whose capital,",Panama,Panama City,46811," Moldova, whose capital,",Moldova,Chisinau,1074
" Papua New Guinea, whose capital,",Papua New Guinea,Port Moresby,5949," Central African Republic, whose capital,",Central African Republic,Bangui,14154
" Paraguay, whose capital,",Paraguay,Asuncion,1877," Egypt, whose capital,",Egypt,Cairo,53731
" Peru, whose capital,",Peru,Lima,35533," Indonesia, whose capital,",Indonesia,Jakarta,35285
" Philippines, whose capital,",Philippines,Manila,50153," Colombia, whose capital,",Colombia,Bogota,206559
" Poland, whose capital,",Poland,Warsaw,66293," Brunei, whose capital,",Brunei,Bandar Seri Begawan,148819
" Portugal, whose capital,",Portugal,Lisbon,68696," Palau, whose capital,",Palau,Melekeok,140987
" Qatar, whose capital,",Qatar,Doha,96826," Malawi, whose capital,",Malawi,Lilongwe,51807
" Romania, whose capital,",Romania,Bucharest,134537," Egypt, whose capital,",Egypt,Cairo,53731
" Russia, whose capital,",Russia,Moscow,23970," France, whose capital,",France,Paris,7127
" Rwanda, whose capital,",Rwanda,Kigali,230704," Tajikistan, whose capital,",Tajikistan,Dushanbe,608
" Saint Kitts and Nevis, whose capital,",Saint Kitts and Nevis,Basseterre,182441," Sao Tome and Principe, whose capital,",Sao Tome and Principe,Sao Tome,80803
" Saint Lucia, whose capital,",Saint Lucia,Castries,10425," Comoros, whose capital,",Comoros,Moroni,4633
" Samoa, whose capital,",Samoa,Apia,5759," Niger, whose capital,",Niger,Niamey,13850
" Sao Tome and Principe, whose capital,",Sao Tome and Principe,Sao Tome,80803," Saint Kitts and Nevis, whose capital,",Saint Kitts and Nevis,Basseterre,182441
" Saudi Arabia, whose capital,",Saudi Arabia,Riyadh,152667," Sierra Leone, whose capital,",Sierra Leone,Freetown,6394
" Senegal, whose capital,",Senegal,Dakar,75271," Sweden, whose capital,",Sweden,Stockholm,41106
" Serbia, whose capital,",Serbia,Belgrade,102505," Bolivia, whose capital,",Bolivia,La Paz,2221
" Seychelles, whose capital,",Seychelles,Victoria,18221," Qatar, whose capital,",Qatar,Doha,96826
" Sierra Leone, whose capital,",Sierra Leone,Freetown,6394," Micronesia, whose capital,",Micronesia,Palikir,5927
" Slovakia, whose capital,",Slovakia,Bratislava,127907," Syria, whose capital,",Syria,Damascus,104599
" Slovenia, whose capital,",Slovenia,Ljubljana,131251," Jordan, whose capital,",Jordan,Amman,147785
" Solomon Islands, whose capital,",Solomon Islands,Honiara,640," East Timor, whose capital,",East Timor,Dili,106939
" Somalia, whose capital,",Somalia,Mogadishu,52032," Bahamas, whose capital,",Bahamas,Nassau,88531
" South Africa, whose capital,",South Africa,Cape Town,21163," Burkina Faso, whose capital,",Burkina Faso,Ouagadougou,31338
" South Korea, whose capital,",South Korea,Seoul,56313," Micronesia, whose capital,",Micronesia,Palikir,5927
" South Sudan, whose capital,",South Sudan,Juba,713," El Salvador, whose capital,",El Salvador,San Salvador,3250
" Spain, whose capital,",Spain,Madrid,15500," Malta, whose capital,",Malta,Valletta,3195
" Sudan, whose capital,",Sudan,Khartoum,197950," Benin, whose capital,",Benin,Porto Novo,35639
" Suriname, whose capital,",Suriname,Paramaribo,56500," Belarus, whose capital,",Belarus,Minsk,145573
" Sweden, whose capital,",Sweden,Stockholm,41106," Uzbekistan, whose capital,",Uzbekistan,Tashkent,158062
" Switzerland, whose capital,",Switzerland,Bern,13246," Eritrea, whose capital,",Eritrea,Asmara,1877
" Syria, whose capital,",Syria,Damascus,104599," Malaysia, whose capital,",Malaysia,Kuala Lumpur,71679
" Taiwan, whose capital,",Taiwan,Taipei,84903," Myanmar, whose capital,",Myanmar,Nay Pyi Taw,49993
" Tajikistan, whose capital,",Tajikistan,Dushanbe,608," Vietnam, whose capital,",Vietnam,Hanoi,98586
" Tanzania, whose capital,",Tanzania,Dodoma,201496," Lebanon, whose capital,",Lebanon,Beirut,101054
" Thailand, whose capital,",Thailand,Bangkok,52717," Iceland, whose capital,",Iceland,Reykjavik,200979
" Togo, whose capital,",Togo,Lome,629," Kosovo, whose capital,",Kosovo,Pristina,131807
" Tonga, whose capital,",Tonga,Nuku'alofa,646," Mongolia, whose capital,",Mongolia,Ulaanbaatar,752
" Trinidad and Tobago, whose capital,",Trinidad and Tobago,Port of Spain,5949," Bosnia and Herzegovina, whose capital,",Bosnia and Herzegovina,Sarajevo,159421
" Tunisia, whose capital,",Tunisia,Tunis,93460," Zimbabwe, whose capital,",Zimbabwe,Harare,145799
" Turkey, whose capital,",Turkey,Ankara,89075," Niger, whose capital,",Niger,Niamey,13850
" Turkmenistan, whose capital,",Turkmenistan,Ashgabat,14135," Spain, whose capital,",Spain,Madrid,15500
" Tuvalu, whose capital,",Tuvalu,Funafuti,10722," United States, whose capital,",United States,Washington D.C.,7049
" Uganda, whose capital,",Uganda,Kampala,153672," Barbados, whose capital,",Barbados,Bridgetown,16125
" Ukraine, whose capital,",Ukraine,Kiev,77441," Latvia, whose capital,",Latvia,Riga,117178
" UAE, whose capital,",UAE,Abu Dhabi,19556," Guinea, whose capital,",Guinea,Conakry,1419
" United Kingdom, whose capital,",United Kingdom,London,5282," Micronesia, whose capital,",Micronesia,Palikir,5927
" United States, whose capital,",United States,Washington D.C.,7049," South Korea, whose capital,",South Korea,Seoul,56313
" Uruguay, whose capital,",Uruguay,Montevideo,119045," Madagascar, whose capital,",Madagascar,Antananarivo,5823
" Uzbekistan, whose capital,",Uzbekistan,Tashkent,158062," Djibouti, whose capital,",Djibouti,Djibouti,220126
" Vanuatu, whose capital,",Vanuatu,Port Vila,5949," Nigeria, whose capital,",Nigeria,Abuja,54209
" Venezuela, whose capital,",Venezuela,Caracas,94240," Italy, whose capital,",Italy,Rome,11344
" Vietnam, whose capital,",Vietnam,Hanoi,98586," France, whose capital,",France,Paris,7127
" Yemen, whose capital,",Yemen,Sana'a,112562," Australia, whose capital,",Australia,Canberra,80758
" Zambia, whose capital,",Zambia,Lusaka,199974," Suriname, whose capital,",Suriname,Paramaribo,56500
" Zimbabwe, whose capital,",Zimbabwe,Harare,145799," Austria, whose capital,",Austria,Vienna,34298
