Unnamed: 0,operation,clean,answer,corrupted,corrupted_answer,answer_idx,corrupted_idx
87188,-,17-10=,7,289-288=,1,22,16
87189,-,17-11=,6,258-127=,131,21,9263
87190,-,17-12=,5,280-251=,29,20,1682
87191,-,17-13=,4,207-113=,94,19,6281
87192,-,17-14=,3,153-79=,74,18,5728
87193,-,17-15=,2,100-98=,2,17,17
87194,-,17-16=,1,259-183=,76,16,4767
87195,-,17-17=,0,263-188=,75,15,2075
87196,-,18-0=,18,76-63=,13,972,1032
87197,-,18-1=,17,163-121=,42,1114,2983
87198,-,18-2=,16,293-127=,166,845,11247
87199,-,18-3=,15,125-111=,14,868,975
87200,-,18-4=,14,269-34=,235,975,12422
87201,-,18-5=,13,131-131=,0,1032,15
87202,-,18-6=,12,275-112=,163,717,9892
87203,-,18-7=,11,245-111=,134,806,9565
87204,-,18-8=,10,183-22=,161,605,10718
87205,-,18-9=,9,93-21=,72,24,5332
87206,-,18-10=,8,138-90=,48,23,2166
87207,-,18-11=,7,299-2=,297,22,18163
87208,-,18-12=,6,297-264=,33,21,1644
87209,-,18-13=,5,201-62=,139,20,10125
87210,-,18-14=,4,288-189=,99,19,1484
87211,-,18-15=,3,229-131=,98,18,3264
87212,-,18-16=,2,220-58=,162,17,10674
87213,-,18-17=,1,196-151=,45,16,1774
87214,-,18-18=,0,254-24=,230,15,9870
87215,-,19-0=,19,149-2=,147,777,10288
87216,-,19-1=,18,88-39=,49,972,2491
87217,-,19-3=,16,290-208=,82,845,6086
87218,-,19-4=,15,189-174=,15,868,868
87219,-,19-5=,14,232-166=,66,975,2287
87220,-,19-6=,13,151-40=,111,1032,5037
87221,-,19-7=,12,153-82=,71,717,6028
87222,-,19-8=,11,51-39=,12,806,717
87223,-,19-9=,10,257-0=,257,605,15574
87224,-,19-10=,9,185-177=,8,24,23
87225,-,19-11=,8,223-205=,18,23,972
87226,-,19-12=,7,177-102=,75,22,2075
87227,-,19-13=,6,259-228=,31,21,2148
87228,-,19-14=,5,79-55=,24,20,1187
87229,-,19-15=,4,203-36=,167,19,11515
87230,-,19-16=,3,276-84=,192,18,5926
87231,-,19-17=,2,158-96=,62,17,5538
87232,-,19-18=,1,265-63=,202,16,2366
87233,-,19-19=,0,210-109=,101,15,4645
87234,-,20-0=,20,188-65=,123,508,4513
87235,-,20-1=,19,169-42=,127,777,6804
87236,-,20-2=,18,193-59=,134,972,9565
87237,-,20-3=,17,242-127=,115,1114,7322
87238,-,20-4=,16,109-11=,98,845,3264
87239,-,20-5=,15,239-163=,76,868,4767
87240,-,20-6=,14,102-61=,41,975,3174
87241,-,20-7=,13,245-238=,7,1032,22
87242,-,20-8=,12,123-25=,98,717,3264
87243,-,20-9=,11,276-68=,208,806,12171
87244,-,20-10=,10,232-38=,194,605,6393
87245,-,20-11=,9,178-107=,71,24,6028
87246,-,20-12=,8,250-213=,37,23,1806
87247,-,20-13=,7,199-25=,174,22,11771
87248,-,20-14=,6,278-133=,145,21,9591
87249,-,20-15=,5,136-81=,55,20,2131
87250,-,20-16=,4,108-51=,57,19,3226
87251,-,20-17=,3,218-99=,119,18,9079
87252,-,20-18=,2,122-61=,61,17,5547
87253,-,20-19=,1,187-50=,137,16,10148
87254,-,21-0=,21,255-104=,151,1691,9690
87255,-,21-1=,20,141-8=,133,508,9423
87256,-,21-2=,19,178-45=,133,777,9423
87257,-,21-3=,18,188-20=,168,972,8953
87258,-,21-4=,17,226-220=,6,1114,21
87259,-,21-5=,16,125-2=,123,845,4513
87260,-,21-6=,15,260-18=,242,868,12754
87261,-,21-7=,14,218-59=,159,975,11068
87262,-,21-8=,13,257-227=,30,1032,966
87263,-,21-9=,12,252-13=,239,717,14815
87264,-,21-10=,11,288-47=,241,806,13341
87265,-,21-11=,10,204-13=,191,605,7529
87266,-,21-12=,9,262-201=,61,24,5547
87267,-,21-13=,8,126-39=,87,23,4044
87268,-,21-14=,7,43-26=,17,22,1114
87269,-,21-15=,6,132-103=,29,21,1682
87270,-,21-16=,5,58-34=,24,20,1187
87271,-,21-17=,4,228-130=,98,19,3264
87272,-,21-18=,3,194-165=,29,18,1682
87273,-,21-19=,2,192-42=,150,17,3965
87274,-,21-20=,1,160-58=,102,16,4278
87275,-,21-21=,0,262-131=,131,15,9263
87276,-,22-0=,22,222-124=,98,1313,3264
87277,-,22-1=,21,290-65=,225,1691,11057
87278,-,22-2=,20,239-230=,9,508,24
87279,-,22-3=,19,191-98=,93,777,6365
87280,-,22-4=,18,204-118=,86,972,4218
87281,-,22-5=,17,253-102=,151,1114,9690
87282,-,22-6=,16,166-2=,164,845,10513
87283,-,22-7=,15,266-144=,122,868,8259
87284,-,22-8=,14,214-186=,28,975,1591
87285,-,22-9=,13,71-50=,21,1032,1691
87286,-,22-10=,12,222-93=,129,717,9748
87287,-,22-11=,11,262-87=,175,806,10005
87288,-,22-12=,10,90-61=,29,605,1682
87289,-,22-13=,9,198-14=,184,24,10336
87290,-,22-14=,8,251-244=,7,23,22
87291,-,22-15=,7,140-7=,133,22,9423
87292,-,22-16=,6,242-96=,146,21,10465
87293,-,22-17=,5,268-51=,217,20,13460
87294,-,22-18=,4,130-111=,19,19,777
87295,-,22-19=,3,221-86=,135,18,8878
87296,-,22-21=,1,203-15=,188,16,9367
87297,-,22-22=,0,195-93=,102,15,4278
87298,-,23-0=,23,138-101=,37,1419,1806
87299,-,23-1=,22,294-59=,235,1313,12422
87300,-,23-2=,21,295-3=,292,1691,16443
87301,-,23-3=,20,83-27=,56,508,3487
87302,-,23-4=,19,246-143=,103,777,6889
87303,-,23-5=,18,245-145=,100,972,1041
87304,-,23-6=,17,233-52=,181,1114,10562
87305,-,23-7=,16,243-53=,190,845,7028
87306,-,23-8=,15,75-74=,1,868,16
87307,-,23-9=,14,166-71=,95,975,2721
87308,-,23-10=,13,165-123=,42,1032,2983
87309,-,23-11=,12,57-42=,15,717,868
87310,-,23-12=,11,274-62=,212,806,11227
87311,-,23-13=,10,190-10=,180,605,5245
87312,-,23-14=,9,168-140=,28,24,1591
87313,-,23-15=,8,288-74=,214,23,11584
87314,-,23-16=,7,241-218=,23,22,1419
87315,-,23-17=,6,242-37=,205,21,10866
87316,-,23-18=,5,265-226=,39,20,2137
87317,-,23-19=,4,280-174=,106,19,7461
87318,-,23-20=,3,266-47=,219,18,13762
87319,-,23-21=,2,285-219=,66,17,2287
87320,-,23-22=,1,293-66=,227,16,14206
87321,-,23-23=,0,89-78=,11,15,806
87322,-,24-0=,24,150-37=,113,1187,8190
87323,-,24-1=,23,176-110=,66,1419,2287
87324,-,24-2=,22,243-153=,90,1313,1954
87325,-,24-3=,21,116-99=,17,1691,1114
87326,-,24-4=,20,127-43=,84,508,5833
87327,-,24-5=,19,215-91=,124,777,8874
87328,-,24-6=,18,245-159=,86,972,4218
87329,-,24-8=,16,223-207=,16,845,845
87330,-,24-9=,15,35-15=,20,868,508
87331,-,24-10=,14,191-126=,65,975,2397
87332,-,24-11=,13,108-97=,11,1032,806
87333,-,24-12=,12,289-188=,101,717,4645
87334,-,24-13=,11,228-120=,108,806,6640
87335,-,24-14=,10,34-8=,26,605,1627
87336,-,24-15=,9,291-278=,13,24,1032
87337,-,24-16=,8,191-86=,105,23,6550
87338,-,24-17=,7,138-130=,8,22,23
87339,-,24-18=,6,220-35=,185,21,9741
87340,-,24-19=,5,98-20=,78,20,2495
87341,-,24-20=,4,183-132=,51,19,3971
87342,-,24-21=,3,189-38=,151,18,9690
87343,-,24-22=,2,297-149=,148,17,10410
87344,-,24-23=,1,120-88=,32,16,843
87345,-,24-24=,0,62-59=,3,15,18
87346,-,25-0=,25,299-252=,47,914,2618
87347,-,25-1=,24,125-57=,68,1187,2614
87348,-,25-2=,23,265-50=,215,1419,12112
87349,-,25-3=,22,289-134=,155,1313,9992
87350,-,25-4=,21,239-83=,156,1691,10132
87351,-,25-5=,20,282-25=,257,508,15574
87352,-,25-6=,19,23-1=,22,777,1313
87353,-,25-7=,18,279-112=,167,972,11515
87354,-,25-8=,17,293-87=,206,1114,11056
87355,-,25-9=,16,237-130=,107,845,7699
87356,-,25-10=,15,267-24=,243,868,14052
87357,-,25-11=,14,237-105=,132,975,9413
87358,-,25-12=,13,105-28=,77,1032,2813
87359,-,25-13=,12,206-31=,175,717,10005
87360,-,25-14=,11,204-11=,193,806,7285
87361,-,25-15=,10,282-64=,218,605,13302
87362,-,25-16=,9,220-146=,74,24,5728
87363,-,25-17=,8,237-56=,181,23,10562
87364,-,25-18=,7,39-11=,28,22,1591
87365,-,25-19=,6,205-131=,74,21,5728
87366,-,25-20=,5,250-189=,61,20,5547
87367,-,25-21=,4,208-162=,46,19,2790
87368,-,25-22=,3,159-44=,115,18,7322
87369,-,25-23=,2,271-250=,21,17,1691
87370,-,25-24=,1,263-148=,115,16,7322
87371,-,25-25=,0,221-3=,218,15,13302
87372,-,26-0=,26,89-44=,45,1627,1774
87373,-,26-1=,25,280-82=,198,914,3753
87374,-,26-2=,24,280-77=,203,1187,9639
87375,-,26-3=,23,213-66=,147,1419,10288
87376,-,26-4=,22,258-251=,7,1313,22
87377,-,26-5=,21,226-57=,169,1691,11739
87378,-,26-6=,20,187-44=,143,508,10290
87379,-,26-7=,19,134-18=,116,777,8027
87380,-,26-8=,18,299-51=,248,972,14185
87381,-,26-9=,17,263-72=,191,1114,7529
87382,-,26-10=,16,234-203=,31,845,2148
87383,-,26-11=,15,212-42=,170,868,8258
87384,-,26-12=,14,99-16=,83,975,6069
87385,-,26-13=,13,214-108=,106,1032,7461
87386,-,26-14=,12,218-13=,205,717,10866
87387,-,26-15=,11,172-42=,130,806,5894
87388,-,26-16=,10,118-12=,106,605,7461
87389,-,26-17=,9,239-153=,86,24,4218
87390,-,26-18=,8,279-247=,32,23,843
87391,-,26-19=,7,222-48=,174,22,11771
87392,-,26-20=,6,282-272=,10,21,605
87393,-,26-21=,5,290-129=,161,20,10718
87394,-,26-22=,4,140-87=,53,19,4331
87395,-,26-23=,3,187-29=,158,18,11286
87396,-,26-24=,2,189-112=,77,17,2813
87397,-,26-25=,1,154-102=,52,16,4103
87398,-,26-26=,0,27-9=,18,15,972
87399,-,27-0=,27,251-11=,240,1544,8273
87400,-,27-1=,26,243-188=,55,1627,2131
87401,-,27-2=,25,289-189=,100,914,1041
87402,-,27-3=,24,84-60=,24,1187,1187
87403,-,27-4=,23,119-69=,50,1419,1135
87404,-,27-5=,22,165-21=,144,1313,8929
87405,-,27-6=,21,157-157=,0,1691,15
87406,-,27-7=,20,273-99=,174,508,11771
87407,-,27-8=,19,236-177=,59,777,2946
87408,-,27-9=,18,118-23=,95,972,2721
87409,-,27-10=,17,271-5=,266,1114,15999
87410,-,27-11=,16,285-256=,29,845,1682
87411,-,27-12=,15,195-150=,45,868,1774
87412,-,27-13=,14,235-60=,175,975,10005
87413,-,27-14=,13,296-31=,265,1032,14374
87414,-,27-15=,12,226-133=,93,717,6365
87415,-,27-16=,11,63-47=,16,806,845
87416,-,27-17=,10,256-80=,176,605,10967
87417,-,27-18=,9,160-14=,146,24,10465
87418,-,27-19=,8,237-35=,202,23,2366
87419,-,27-20=,7,146-96=,50,22,1135
87420,-,27-21=,6,240-147=,93,21,6365
87421,-,27-22=,5,229-82=,147,20,10288
87422,-,27-23=,4,67-55=,12,19,717
87423,-,27-24=,3,289-168=,121,18,7994
87424,-,27-25=,2,113-109=,4,17,19
87425,-,27-26=,1,229-201=,28,16,1591
87426,-,27-27=,0,284-173=,111,15,5037
87427,-,28-0=,28,174-97=,77,1591,2813
87428,-,28-1=,27,231-29=,202,1544,2366
87429,-,28-2=,26,160-101=,59,1627,2946
87430,-,28-3=,25,266-168=,98,914,3264
87431,-,28-4=,24,255-6=,249,1187,14735
87432,-,28-5=,23,101-43=,58,1419,2970
87433,-,28-6=,22,288-273=,15,1313,868
87434,-,28-7=,21,106-56=,50,1691,1135
87435,-,28-8=,20,288-190=,98,508,3264
87436,-,28-9=,19,251-234=,17,777,1114
87437,-,28-10=,18,193-137=,56,972,3487
87438,-,28-11=,17,159-20=,139,1114,10125
87439,-,28-12=,16,192-102=,90,845,1954
87440,-,28-13=,15,235-169=,66,868,2287
87441,-,28-14=,14,290-155=,135,975,8878
87442,-,28-15=,13,215-45=,170,1032,8258
87443,-,28-16=,12,282-26=,256,717,4146
87444,-,28-17=,11,289-237=,52,806,4103
87445,-,28-18=,10,178-102=,76,605,4767
87446,-,28-19=,9,111-60=,51,24,3971
87447,-,28-20=,8,166-141=,25,23,914
87448,-,28-21=,7,268-173=,95,22,2721
87449,-,28-22=,6,178-73=,105,21,6550
87450,-,28-23=,5,230-226=,4,20,19
87451,-,28-24=,4,77-58=,19,19,777
87452,-,28-25=,3,265-15=,250,18,5154
87453,-,28-26=,2,31-15=,16,17,845
87454,-,28-27=,1,236-166=,70,16,2031
87455,-,28-28=,0,241-45=,196,15,5162
87456,-,29-0=,29,161-31=,130,1682,5894
87457,-,29-1=,28,261-209=,52,1591,4103
87458,-,29-2=,27,83-49=,34,1544,1958
87459,-,29-3=,26,130-53=,77,1627,2813
87460,-,29-4=,25,253-117=,136,914,9795
87461,-,29-5=,24,108-30=,78,1187,2495
87462,-,29-6=,23,279-221=,58,1419,2970
87463,-,29-7=,22,94-6=,88,1313,2421
87464,-,29-8=,21,199-17=,182,1691,10828
87465,-,29-9=,20,170-127=,43,508,3391
87466,-,29-10=,19,280-129=,151,777,9690
87467,-,29-11=,18,207-183=,24,972,1187
87468,-,29-12=,17,276-102=,174,1114,11771
87469,-,29-13=,16,155-123=,32,845,843
87470,-,29-14=,15,228-210=,18,868,972
87471,-,29-15=,14,141-0=,141,975,9335
87472,-,29-16=,13,278-50=,228,1032,14261
87473,-,29-17=,12,175-62=,113,717,8190
87474,-,29-18=,11,190-62=,128,806,4386
87475,-,29-19=,10,163-61=,102,605,4278
87476,-,29-20=,9,107-11=,96,24,4161
87477,-,29-21=,8,227-74=,153,23,9800
87478,-,29-22=,7,290-211=,79,22,4643
87479,-,29-23=,6,184-29=,155,21,9992
87480,-,29-24=,5,173-2=,171,20,11123
87481,-,29-25=,4,201-43=,158,19,11286
87482,-,29-26=,3,179-65=,114,18,8011
87483,-,29-27=,2,131-71=,60,17,1399
87484,-,29-28=,1,260-72=,188,16,9367
87485,-,29-29=,0,245-69=,176,15,10967
87486,-,30-0=,30,249-179=,70,966,2031
87487,-,30-1=,29,133-133=,0,1682,15
87488,-,30-2=,28,258-35=,223,1591,12533
87489,-,30-3=,27,220-121=,99,1544,1484
87490,-,30-4=,26,199-39=,160,1627,6330
87491,-,30-5=,25,280-257=,23,914,1419
87492,-,30-6=,24,222-164=,58,1187,2970
87493,-,30-7=,23,83-0=,83,1419,6069
87494,-,30-8=,22,84-36=,48,1313,2166
87495,-,30-9=,21,196-21=,175,1691,10005
87496,-,30-10=,20,283-213=,70,508,2031
87497,-,30-11=,19,297-284=,13,777,1032
87498,-,30-12=,18,190-164=,26,972,1627
87499,-,30-13=,17,268-213=,55,1114,2131
87500,-,30-14=,16,255-122=,133,845,9423
87501,-,30-15=,15,295-228=,67,868,3080
87502,-,30-16=,14,226-32=,194,975,6393
87503,-,30-17=,13,113-72=,41,1032,3174
87504,-,30-18=,12,297-279=,18,717,972
87505,-,30-19=,11,213-168=,45,806,1774
87506,-,30-20=,10,288-112=,176,605,10967
87507,-,30-21=,9,75-73=,2,24,17
87508,-,30-22=,8,151-71=,80,23,1490
87509,-,30-23=,7,158-158=,0,22,15
87510,-,30-24=,6,296-151=,145,21,9591
87511,-,30-25=,5,207-135=,72,20,5332
87512,-,30-26=,4,217-214=,3,19,18
87513,-,30-27=,3,198-135=,63,18,5495
87514,-,30-28=,2,210-178=,32,17,843
87515,-,30-29=,1,258-217=,41,16,3174
87516,-,31-0=,31,232-69=,163,2148,9892
87517,-,31-1=,30,93-40=,53,966,4331
87518,-,31-2=,29,214-46=,168,1682,8953
87519,-,31-3=,28,287-285=,2,1591,17
87520,-,31-4=,27,256-83=,173,1544,11908
87521,-,31-5=,26,272-245=,27,1627,1544
87522,-,31-6=,25,276-29=,247,914,14125
87523,-,31-7=,24,230-85=,145,1187,9591
87524,-,31-8=,23,229-68=,161,1419,10718
87525,-,31-9=,22,162-15=,147,1313,10288
87526,-,31-10=,21,281-174=,107,1691,7699
87527,-,31-11=,20,236-26=,210,508,8848
87528,-,31-12=,19,247-13=,234,777,11727
87529,-,31-13=,18,277-143=,134,972,9565
87530,-,31-14=,17,151-44=,107,1114,7699
87531,-,31-15=,16,106-104=,2,845,17
87532,-,31-16=,15,291-195=,96,868,4161
87533,-,31-17=,14,128-98=,30,975,966
87534,-,31-18=,13,72-64=,8,1032,23
87535,-,31-19=,12,56-32=,24,717,1187
87536,-,31-20=,11,144-84=,60,806,1399
87537,-,31-21=,10,148-3=,145,605,9591
87538,-,31-22=,9,242-187=,55,24,2131
87539,-,31-23=,8,276-114=,162,23,10674
87540,-,31-24=,7,244-114=,130,22,5894
87541,-,31-25=,6,242-3=,239,21,14815
87542,-,31-26=,5,162-45=,117,20,8546
87543,-,31-27=,4,255-43=,212,19,11227
87544,-,31-28=,3,217-10=,207,18,12060
87545,-,31-29=,2,235-131=,104,17,6849
87546,-,31-30=,1,298-177=,121,16,7994
87547,-,31-31=,0,126-44=,82,15,6086
87548,-,32-0=,32,229-14=,215,843,12112
87549,-,32-1=,31,155-134=,21,2148,1691
87550,-,32-2=,30,231-57=,174,966,11771
87551,-,32-3=,29,9-3=,6,1682,21
87552,-,32-4=,28,249-34=,215,1591,12112
87553,-,32-5=,27,222-180=,42,1544,2983
87554,-,32-6=,26,204-141=,63,1627,5495
87555,-,32-7=,25,205-108=,97,914,3534
87556,-,32-8=,24,201-24=,177,1187,11242
87557,-,32-9=,23,112-41=,71,1419,6028
87558,-,32-10=,22,147-8=,139,1313,10125
87559,-,32-11=,21,158-104=,54,1691,4370
87560,-,32-12=,20,284-215=,69,508,3076
87561,-,32-13=,19,91-67=,24,777,1187
87562,-,32-14=,18,122-57=,65,972,2397
87563,-,32-15=,17,236-109=,127,1114,6804
87564,-,32-16=,16,201-111=,90,845,1954
87565,-,32-17=,15,214-89=,125,868,6549
87566,-,32-18=,14,103-30=,73,975,5958
87567,-,32-19=,13,268-111=,157,1032,10895
87568,-,32-20=,12,104-53=,51,717,3971
87569,-,32-21=,11,267-39=,228,806,14261
87570,-,32-22=,10,126-20=,106,605,7461
87571,-,32-23=,9,252-162=,90,24,1954
87572,-,32-24=,8,265-216=,49,23,2491
87573,-,32-25=,7,291-194=,97,22,3534
87574,-,32-26=,6,271-154=,117,21,8546
87575,-,32-27=,5,167-121=,46,20,2790
87576,-,32-28=,4,227-226=,1,19,16
87577,-,32-29=,3,109-35=,74,18,5728
87578,-,32-30=,2,85-82=,3,17,18
87579,-,32-31=,1,176-173=,3,16,18
87580,-,33-0=,33,187-124=,63,1644,5495
87581,-,33-1=,32,240-79=,161,843,10718
87582,-,33-2=,31,146-132=,14,2148,975
87583,-,33-3=,30,267-26=,241,966,13341
87584,-,33-4=,29,206-25=,181,1682,10562
87585,-,33-5=,28,190-68=,122,1591,8259
87586,-,33-6=,27,243-109=,134,1544,9565
87587,-,33-7=,26,230-64=,166,1627,11247
87588,-,33-8=,25,213-207=,6,914,21
87589,-,33-9=,24,252-150=,102,1187,4278
87590,-,33-10=,23,80-25=,55,1419,2131
87591,-,33-11=,22,109-92=,17,1313,1114
87592,-,33-12=,21,175-78=,97,1691,3534
87593,-,33-13=,20,200-43=,157,508,10895
87594,-,33-14=,19,245-146=,99,777,1484
87595,-,33-15=,18,182-134=,48,972,2166
87596,-,33-16=,17,275-223=,52,1114,4103
87597,-,33-17=,16,237-150=,87,845,4044
87598,-,33-18=,15,63-30=,33,868,1644
87599,-,33-19=,14,227-89=,138,975,10350
87600,-,33-20=,13,265-43=,222,1032,9716
87601,-,33-21=,12,266-216=,50,717,1135
87602,-,33-22=,11,245-114=,131,806,9263
87603,-,33-23=,10,249-139=,110,605,5120
87604,-,33-24=,9,82-75=,7,24,22
87605,-,33-25=,8,129-93=,36,23,1927
87606,-,33-26=,7,198-39=,159,22,11068
87607,-,33-27=,6,228-53=,175,21,10005
87608,-,33-28=,5,174-98=,76,20,4767
87609,-,33-29=,4,251-138=,113,19,8190
87610,-,33-30=,3,183-56=,127,18,6804
87611,-,33-31=,2,282-156=,126,17,9390
87612,-,33-32=,1,132-14=,118,16,8899
87613,-,33-33=,0,296-181=,115,15,7322
87614,-,34-0=,34,200-152=,48,1958,2166
87615,-,34-1=,33,283-279=,4,1644,19
87616,-,34-2=,32,284-253=,31,843,2148
87617,-,34-3=,31,107-22=,85,2148,5313
87618,-,34-4=,30,262-196=,66,966,2287
87619,-,34-5=,29,140-30=,110,1682,5120
87620,-,34-6=,28,216-178=,38,1591,1987
