clean,corrupted,label1,label2
The progress lasted from the year 1804 to the year 180,The progress lasted from the year 1801 to the year 180,0,4
The contact lasted from the year 1863 to the year 186,The contact lasted from the year 1801 to the year 186,6,3
The practice lasted from the year 1707 to the year 170,The practice lasted from the year 1701 to the year 170,0,7
The rule lasted from the year 1335 to the year 133,The rule lasted from the year 1301 to the year 133,3,5
The evaluation lasted from the year 1468 to the year 146,The evaluation lasted from the year 1401 to the year 146,6,8
The investigation lasted from the year 1255 to the year 125,The investigation lasted from the year 1201 to the year 125,5,5
The construction lasted from the year 1879 to the year 187,The construction lasted from the year 1801 to the year 187,7,9
The marriage lasted from the year 1252 to the year 125,The marriage lasted from the year 1201 to the year 125,5,2
The unemployment lasted from the year 1442 to the year 144,The unemployment lasted from the year 1401 to the year 144,4,2
The invasion lasted from the year 1363 to the year 136,The invasion lasted from the year 1301 to the year 136,6,3
The growth lasted from the year 1132 to the year 113,The growth lasted from the year 1101 to the year 113,3,2
The deal lasted from the year 1896 to the year 189,The deal lasted from the year 1801 to the year 189,9,6
The work lasted from the year 1235 to the year 123,The work lasted from the year 1201 to the year 123,3,5
The consequence lasted from the year 1475 to the year 147,The consequence lasted from the year 1401 to the year 147,7,5
The decline lasted from the year 1403 to the year 140,The decline lasted from the year 1401 to the year 140,0,3
The growth lasted from the year 1412 to the year 141,The growth lasted from the year 1401 to the year 141,1,2
The testing lasted from the year 1382 to the year 138,The testing lasted from the year 1301 to the year 138,8,2
The contact lasted from the year 1320 to the year 132,The contact lasted from the year 1301 to the year 132,2,0
The rise lasted from the year 1733 to the year 173,The rise lasted from the year 1701 to the year 173,3,3
The growth lasted from the year 1795 to the year 179,The growth lasted from the year 1701 to the year 179,9,5
The affair lasted from the year 1577 to the year 157,The affair lasted from the year 1501 to the year 157,7,7
The outbreak lasted from the year 1726 to the year 172,The outbreak lasted from the year 1701 to the year 172,2,6
The marriage lasted from the year 1129 to the year 112,The marriage lasted from the year 1101 to the year 112,2,9
The practice lasted from the year 1516 to the year 151,The practice lasted from the year 1501 to the year 151,1,6
The marriage lasted from the year 1864 to the year 186,The marriage lasted from the year 1801 to the year 186,6,4
The tradition lasted from the year 1431 to the year 143,The tradition lasted from the year 1401 to the year 143,3,1
The decrease lasted from the year 1268 to the year 126,The decrease lasted from the year 1201 to the year 126,6,8
The work lasted from the year 1628 to the year 162,The work lasted from the year 1601 to the year 162,2,8
The chaos lasted from the year 1872 to the year 187,The chaos lasted from the year 1801 to the year 187,7,2
The contract lasted from the year 1155 to the year 115,The contract lasted from the year 1101 to the year 115,5,5
The consultation lasted from the year 1595 to the year 159,The consultation lasted from the year 1501 to the year 159,9,5
The kingdom lasted from the year 1460 to the year 146,The kingdom lasted from the year 1401 to the year 146,6,0
The attack lasted from the year 1752 to the year 175,The attack lasted from the year 1701 to the year 175,5,2
The therapy lasted from the year 1796 to the year 179,The therapy lasted from the year 1701 to the year 179,9,6
The tradition lasted from the year 1794 to the year 179,The tradition lasted from the year 1701 to the year 179,9,4
The competition lasted from the year 1742 to the year 174,The competition lasted from the year 1701 to the year 174,4,2
The construction lasted from the year 1315 to the year 131,The construction lasted from the year 1301 to the year 131,1,5
The convention lasted from the year 1714 to the year 171,The convention lasted from the year 1701 to the year 171,1,4
The impact lasted from the year 1741 to the year 174,The impact lasted from the year 1701 to the year 174,4,1
The effort lasted from the year 1132 to the year 113,The effort lasted from the year 1101 to the year 113,3,2
The plan lasted from the year 1605 to the year 160,The plan lasted from the year 1601 to the year 160,0,5
The marriage lasted from the year 1520 to the year 152,The marriage lasted from the year 1501 to the year 152,2,0
The voyage lasted from the year 1190 to the year 119,The voyage lasted from the year 1101 to the year 119,9,0
The relationship lasted from the year 1565 to the year 156,The relationship lasted from the year 1501 to the year 156,6,5
The improvement lasted from the year 1228 to the year 122,The improvement lasted from the year 1201 to the year 122,2,8
The disorder lasted from the year 1430 to the year 143,The disorder lasted from the year 1401 to the year 143,3,0
The consultation lasted from the year 1678 to the year 167,The consultation lasted from the year 1601 to the year 167,7,8
The challenge lasted from the year 1839 to the year 183,The challenge lasted from the year 1801 to the year 183,3,9
The effort lasted from the year 1888 to the year 188,The effort lasted from the year 1801 to the year 188,8,8
The campaign lasted from the year 1855 to the year 185,The campaign lasted from the year 1801 to the year 185,5,5
The convention lasted from the year 1858 to the year 185,The convention lasted from the year 1801 to the year 185,5,8
The expansion lasted from the year 1104 to the year 110,The expansion lasted from the year 1101 to the year 110,0,4
The existence lasted from the year 1445 to the year 144,The existence lasted from the year 1401 to the year 144,4,5
The exchange lasted from the year 1561 to the year 156,The exchange lasted from the year 1501 to the year 156,6,1
The rise lasted from the year 1214 to the year 121,The rise lasted from the year 1201 to the year 121,1,4
The decrease lasted from the year 1862 to the year 186,The decrease lasted from the year 1801 to the year 186,6,2
The consequence lasted from the year 1834 to the year 183,The consequence lasted from the year 1801 to the year 183,3,4
The case lasted from the year 1759 to the year 175,The case lasted from the year 1701 to the year 175,5,9
The chaos lasted from the year 1596 to the year 159,The chaos lasted from the year 1501 to the year 159,9,6
The rise lasted from the year 1127 to the year 112,The rise lasted from the year 1101 to the year 112,2,7
The rise lasted from the year 1410 to the year 141,The rise lasted from the year 1401 to the year 141,1,0
The competition lasted from the year 1294 to the year 129,The competition lasted from the year 1201 to the year 129,9,4
The therapy lasted from the year 1836 to the year 183,The therapy lasted from the year 1801 to the year 183,3,6
The evaluation lasted from the year 1842 to the year 184,The evaluation lasted from the year 1801 to the year 184,4,2
The consultation lasted from the year 1857 to the year 185,The consultation lasted from the year 1801 to the year 185,5,7
The unemployment lasted from the year 1463 to the year 146,The unemployment lasted from the year 1401 to the year 146,6,3
The custody lasted from the year 1633 to the year 163,The custody lasted from the year 1601 to the year 163,3,3
The progress lasted from the year 1629 to the year 162,The progress lasted from the year 1601 to the year 162,2,9
The investigation lasted from the year 1357 to the year 135,The investigation lasted from the year 1301 to the year 135,5,7
The engagement lasted from the year 1836 to the year 183,The engagement lasted from the year 1801 to the year 183,3,6
The convention lasted from the year 1789 to the year 178,The convention lasted from the year 1701 to the year 178,8,9
The rise lasted from the year 1458 to the year 145,The rise lasted from the year 1401 to the year 145,5,8
The conspiracy lasted from the year 1537 to the year 153,The conspiracy lasted from the year 1501 to the year 153,3,7
The attempts lasted from the year 1772 to the year 177,The attempts lasted from the year 1701 to the year 177,7,2
The contract lasted from the year 1316 to the year 131,The contract lasted from the year 1301 to the year 131,1,6
The shift lasted from the year 1874 to the year 187,The shift lasted from the year 1801 to the year 187,7,4
The operation lasted from the year 1179 to the year 117,The operation lasted from the year 1101 to the year 117,7,9
The contract lasted from the year 1203 to the year 120,The contract lasted from the year 1201 to the year 120,0,3
The improvement lasted from the year 1666 to the year 166,The improvement lasted from the year 1601 to the year 166,6,6
The friendship lasted from the year 1870 to the year 187,The friendship lasted from the year 1801 to the year 187,7,0
The cooperation lasted from the year 1617 to the year 161,The cooperation lasted from the year 1601 to the year 161,1,7
The tour lasted from the year 1705 to the year 170,The tour lasted from the year 1701 to the year 170,0,5
The assessment lasted from the year 1513 to the year 151,The assessment lasted from the year 1501 to the year 151,1,3
The romance lasted from the year 1302 to the year 130,The romance lasted from the year 1301 to the year 130,0,2
The strikes lasted from the year 1317 to the year 131,The strikes lasted from the year 1301 to the year 131,1,7
The effort lasted from the year 1506 to the year 150,The effort lasted from the year 1501 to the year 150,0,6
The test lasted from the year 1511 to the year 151,The test lasted from the year 1501 to the year 151,1,1
The romance lasted from the year 1620 to the year 162,The romance lasted from the year 1601 to the year 162,2,0
The practice lasted from the year 1734 to the year 173,The practice lasted from the year 1701 to the year 173,3,4
The reign lasted from the year 1766 to the year 176,The reign lasted from the year 1701 to the year 176,6,6
The outcome lasted from the year 1725 to the year 172,The outcome lasted from the year 1701 to the year 172,2,5
The practice lasted from the year 1633 to the year 163,The practice lasted from the year 1601 to the year 163,3,3
The case lasted from the year 1847 to the year 184,The case lasted from the year 1801 to the year 184,4,7
The affair lasted from the year 1465 to the year 146,The affair lasted from the year 1401 to the year 146,6,5
The operation lasted from the year 1643 to the year 164,The operation lasted from the year 1601 to the year 164,4,3
The reign lasted from the year 1309 to the year 130,The reign lasted from the year 1301 to the year 130,0,9
The invasion lasted from the year 1583 to the year 158,The invasion lasted from the year 1501 to the year 158,8,3
The project lasted from the year 1130 to the year 113,The project lasted from the year 1101 to the year 113,3,0
The competition lasted from the year 1236 to the year 123,The competition lasted from the year 1201 to the year 123,3,6
The consultation lasted from the year 1213 to the year 121,The consultation lasted from the year 1201 to the year 121,1,3
The trip lasted from the year 1625 to the year 162,The trip lasted from the year 1601 to the year 162,2,5
The dispute lasted from the year 1174 to the year 117,The dispute lasted from the year 1101 to the year 117,7,4
The campaign lasted from the year 1235 to the year 123,The campaign lasted from the year 1201 to the year 123,3,5
The progress lasted from the year 1184 to the year 118,The progress lasted from the year 1101 to the year 118,8,4
The decrease lasted from the year 1793 to the year 179,The decrease lasted from the year 1701 to the year 179,9,3
The tests lasted from the year 1531 to the year 153,The tests lasted from the year 1501 to the year 153,3,1
The engagement lasted from the year 1450 to the year 145,The engagement lasted from the year 1401 to the year 145,5,0
The rule lasted from the year 1653 to the year 165,The rule lasted from the year 1601 to the year 165,5,3
The strikes lasted from the year 1603 to the year 160,The strikes lasted from the year 1601 to the year 160,0,3
The shift lasted from the year 1615 to the year 161,The shift lasted from the year 1601 to the year 161,1,5
The fall lasted from the year 1395 to the year 139,The fall lasted from the year 1301 to the year 139,9,5
The contract lasted from the year 1438 to the year 143,The contract lasted from the year 1401 to the year 143,3,8
The chaos lasted from the year 1617 to the year 161,The chaos lasted from the year 1601 to the year 161,1,7
The contract lasted from the year 1738 to the year 173,The contract lasted from the year 1701 to the year 173,3,8
The rise lasted from the year 1210 to the year 121,The rise lasted from the year 1201 to the year 121,1,0
The trial lasted from the year 1592 to the year 159,The trial lasted from the year 1501 to the year 159,9,2
The tradition lasted from the year 1550 to the year 155,The tradition lasted from the year 1501 to the year 155,5,0
The campaign lasted from the year 1187 to the year 118,The campaign lasted from the year 1101 to the year 118,8,7
The marriage lasted from the year 1876 to the year 187,The marriage lasted from the year 1801 to the year 187,7,6
The operation lasted from the year 1527 to the year 152,The operation lasted from the year 1501 to the year 152,2,7
The trip lasted from the year 1382 to the year 138,The trip lasted from the year 1301 to the year 138,8,2
The outbreak lasted from the year 1478 to the year 147,The outbreak lasted from the year 1401 to the year 147,7,8
The impact lasted from the year 1567 to the year 156,The impact lasted from the year 1501 to the year 156,6,7
The study lasted from the year 1240 to the year 124,The study lasted from the year 1201 to the year 124,4,0
The growth lasted from the year 1720 to the year 172,The growth lasted from the year 1701 to the year 172,2,0
The progress lasted from the year 1613 to the year 161,The progress lasted from the year 1601 to the year 161,1,3
The relationship lasted from the year 1413 to the year 141,The relationship lasted from the year 1401 to the year 141,1,3
The program lasted from the year 1316 to the year 131,The program lasted from the year 1301 to the year 131,1,6
The shift lasted from the year 1644 to the year 164,The shift lasted from the year 1601 to the year 164,4,4
The trial lasted from the year 1373 to the year 137,The trial lasted from the year 1301 to the year 137,7,3
The conspiracy lasted from the year 1748 to the year 174,The conspiracy lasted from the year 1701 to the year 174,4,8
The competition lasted from the year 1236 to the year 123,The competition lasted from the year 1201 to the year 123,3,6
The accord lasted from the year 1707 to the year 170,The accord lasted from the year 1701 to the year 170,0,7
The illness lasted from the year 1411 to the year 141,The illness lasted from the year 1401 to the year 141,1,1
The plan lasted from the year 1878 to the year 187,The plan lasted from the year 1801 to the year 187,7,8
The tests lasted from the year 1548 to the year 154,The tests lasted from the year 1501 to the year 154,4,8
The custody lasted from the year 1250 to the year 125,The custody lasted from the year 1201 to the year 125,5,0
The invasion lasted from the year 1555 to the year 155,The invasion lasted from the year 1501 to the year 155,5,5
The consultation lasted from the year 1133 to the year 113,The consultation lasted from the year 1101 to the year 113,3,3
The effort lasted from the year 1808 to the year 180,The effort lasted from the year 1801 to the year 180,0,8
The decrease lasted from the year 1229 to the year 122,The decrease lasted from the year 1201 to the year 122,2,9
The trip lasted from the year 1639 to the year 163,The trip lasted from the year 1601 to the year 163,3,9
The process lasted from the year 1251 to the year 125,The process lasted from the year 1201 to the year 125,5,1
The convention lasted from the year 1121 to the year 112,The convention lasted from the year 1101 to the year 112,2,1
The cooperation lasted from the year 1859 to the year 185,The cooperation lasted from the year 1801 to the year 185,5,9
The challenge lasted from the year 1402 to the year 140,The challenge lasted from the year 1401 to the year 140,0,2
The friendship lasted from the year 1372 to the year 137,The friendship lasted from the year 1301 to the year 137,7,2
The experiments lasted from the year 1445 to the year 144,The experiments lasted from the year 1401 to the year 144,4,5
The reign lasted from the year 1887 to the year 188,The reign lasted from the year 1801 to the year 188,8,7
The study lasted from the year 1546 to the year 154,The study lasted from the year 1501 to the year 154,4,6
The tradition lasted from the year 1820 to the year 182,The tradition lasted from the year 1801 to the year 182,2,0
The project lasted from the year 1164 to the year 116,The project lasted from the year 1101 to the year 116,6,4
The affair lasted from the year 1171 to the year 117,The affair lasted from the year 1101 to the year 117,7,1
The growth lasted from the year 1288 to the year 128,The growth lasted from the year 1201 to the year 128,8,8
The attack lasted from the year 1539 to the year 153,The attack lasted from the year 1501 to the year 153,3,9
The outbreak lasted from the year 1584 to the year 158,The outbreak lasted from the year 1501 to the year 158,8,4
The effort lasted from the year 1587 to the year 158,The effort lasted from the year 1501 to the year 158,8,7
The development lasted from the year 1665 to the year 166,The development lasted from the year 1601 to the year 166,6,5
The competition lasted from the year 1488 to the year 148,The competition lasted from the year 1401 to the year 148,8,8
The consequence lasted from the year 1565 to the year 156,The consequence lasted from the year 1501 to the year 156,6,5
The strikes lasted from the year 1338 to the year 133,The strikes lasted from the year 1301 to the year 133,3,8
The expedition lasted from the year 1417 to the year 141,The expedition lasted from the year 1401 to the year 141,1,7
The campaign lasted from the year 1458 to the year 145,The campaign lasted from the year 1401 to the year 145,5,8
The outcome lasted from the year 1843 to the year 184,The outcome lasted from the year 1801 to the year 184,4,3
The investigation lasted from the year 1252 to the year 125,The investigation lasted from the year 1201 to the year 125,5,2
The journey lasted from the year 1250 to the year 125,The journey lasted from the year 1201 to the year 125,5,0
The experiments lasted from the year 1480 to the year 148,The experiments lasted from the year 1401 to the year 148,8,0
The tradition lasted from the year 1566 to the year 156,The tradition lasted from the year 1501 to the year 156,6,6
The project lasted from the year 1749 to the year 174,The project lasted from the year 1701 to the year 174,4,9
The study lasted from the year 1795 to the year 179,The study lasted from the year 1701 to the year 179,9,5
The reign lasted from the year 1721 to the year 172,The reign lasted from the year 1701 to the year 172,2,1
The therapy lasted from the year 1150 to the year 115,The therapy lasted from the year 1101 to the year 115,5,0
The conspiracy lasted from the year 1178 to the year 117,The conspiracy lasted from the year 1101 to the year 117,7,8
The collaboration lasted from the year 1170 to the year 117,The collaboration lasted from the year 1101 to the year 117,7,0
The kingdom lasted from the year 1535 to the year 153,The kingdom lasted from the year 1501 to the year 153,3,5
The experiments lasted from the year 1608 to the year 160,The experiments lasted from the year 1601 to the year 160,0,8
The voyage lasted from the year 1443 to the year 144,The voyage lasted from the year 1401 to the year 144,4,3
The reign lasted from the year 1112 to the year 111,The reign lasted from the year 1101 to the year 111,1,2
The accord lasted from the year 1265 to the year 126,The accord lasted from the year 1201 to the year 126,6,5
The unemployment lasted from the year 1595 to the year 159,The unemployment lasted from the year 1501 to the year 159,9,5
The development lasted from the year 1362 to the year 136,The development lasted from the year 1301 to the year 136,6,2
The experiments lasted from the year 1642 to the year 164,The experiments lasted from the year 1601 to the year 164,4,2
The test lasted from the year 1875 to the year 187,The test lasted from the year 1801 to the year 187,7,5
The outcome lasted from the year 1291 to the year 129,The outcome lasted from the year 1201 to the year 129,9,1
The tradition lasted from the year 1458 to the year 145,The tradition lasted from the year 1401 to the year 145,5,8
The program lasted from the year 1678 to the year 167,The program lasted from the year 1601 to the year 167,7,8
The invasion lasted from the year 1734 to the year 173,The invasion lasted from the year 1701 to the year 173,3,4
The chaos lasted from the year 1105 to the year 110,The chaos lasted from the year 1101 to the year 110,0,5
The voyage lasted from the year 1572 to the year 157,The voyage lasted from the year 1501 to the year 157,7,2
The outbreak lasted from the year 1381 to the year 138,The outbreak lasted from the year 1301 to the year 138,8,1
The friendship lasted from the year 1114 to the year 111,The friendship lasted from the year 1101 to the year 111,1,4
The conspiracy lasted from the year 1272 to the year 127,The conspiracy lasted from the year 1201 to the year 127,7,2
The growth lasted from the year 1485 to the year 148,The growth lasted from the year 1401 to the year 148,8,5
The friendship lasted from the year 1752 to the year 175,The friendship lasted from the year 1701 to the year 175,5,2
The campaign lasted from the year 1578 to the year 157,The campaign lasted from the year 1501 to the year 157,7,8
The plan lasted from the year 1232 to the year 123,The plan lasted from the year 1201 to the year 123,3,2
The practice lasted from the year 1587 to the year 158,The practice lasted from the year 1501 to the year 158,8,7
The test lasted from the year 1863 to the year 186,The test lasted from the year 1801 to the year 186,6,3
The effect lasted from the year 1130 to the year 113,The effect lasted from the year 1101 to the year 113,3,0
The illness lasted from the year 1475 to the year 147,The illness lasted from the year 1401 to the year 147,7,5
The effect lasted from the year 1117 to the year 111,The effect lasted from the year 1101 to the year 111,1,7
The fall lasted from the year 1834 to the year 183,The fall lasted from the year 1801 to the year 183,3,4
The dispute lasted from the year 1466 to the year 146,The dispute lasted from the year 1401 to the year 146,6,6
The cooperation lasted from the year 1824 to the year 182,The cooperation lasted from the year 1801 to the year 182,2,4
The competition lasted from the year 1433 to the year 143,The competition lasted from the year 1401 to the year 143,3,3
The relationship lasted from the year 1836 to the year 183,The relationship lasted from the year 1801 to the year 183,3,6
The trip lasted from the year 1308 to the year 130,The trip lasted from the year 1301 to the year 130,0,8
The conspiracy lasted from the year 1348 to the year 134,The conspiracy lasted from the year 1301 to the year 134,4,8
The journey lasted from the year 1425 to the year 142,The journey lasted from the year 1401 to the year 142,2,5
The shift lasted from the year 1734 to the year 173,The shift lasted from the year 1701 to the year 173,3,4
The project lasted from the year 1689 to the year 168,The project lasted from the year 1601 to the year 168,8,9
The decrease lasted from the year 1489 to the year 148,The decrease lasted from the year 1401 to the year 148,8,9
The experiments lasted from the year 1105 to the year 110,The experiments lasted from the year 1101 to the year 110,0,5
The dispute lasted from the year 1147 to the year 114,The dispute lasted from the year 1101 to the year 114,4,7
The outbreak lasted from the year 1460 to the year 146,The outbreak lasted from the year 1401 to the year 146,6,0
The campaign lasted from the year 1757 to the year 175,The campaign lasted from the year 1701 to the year 175,5,7
The journey lasted from the year 1324 to the year 132,The journey lasted from the year 1301 to the year 132,2,4
The rule lasted from the year 1560 to the year 156,The rule lasted from the year 1501 to the year 156,6,0
The development lasted from the year 1365 to the year 136,The development lasted from the year 1301 to the year 136,6,5
The work lasted from the year 1468 to the year 146,The work lasted from the year 1401 to the year 146,6,8
The work lasted from the year 1369 to the year 136,The work lasted from the year 1301 to the year 136,6,9
The effect lasted from the year 1352 to the year 135,The effect lasted from the year 1301 to the year 135,5,2
The friendship lasted from the year 1735 to the year 173,The friendship lasted from the year 1701 to the year 173,3,5
The outcome lasted from the year 1577 to the year 157,The outcome lasted from the year 1501 to the year 157,7,7
The journey lasted from the year 1148 to the year 114,The journey lasted from the year 1101 to the year 114,4,8
The construction lasted from the year 1484 to the year 148,The construction lasted from the year 1401 to the year 148,8,4
The process lasted from the year 1687 to the year 168,The process lasted from the year 1601 to the year 168,8,7
The convention lasted from the year 1667 to the year 166,The convention lasted from the year 1601 to the year 166,6,7
The consequence lasted from the year 1635 to the year 163,The consequence lasted from the year 1601 to the year 163,3,5
The increase lasted from the year 1332 to the year 133,The increase lasted from the year 1301 to the year 133,3,2
The convention lasted from the year 1847 to the year 184,The convention lasted from the year 1801 to the year 184,4,7
The conspiracy lasted from the year 1121 to the year 112,The conspiracy lasted from the year 1101 to the year 112,2,1
The challenge lasted from the year 1458 to the year 145,The challenge lasted from the year 1401 to the year 145,5,8
The friendship lasted from the year 1443 to the year 144,The friendship lasted from the year 1401 to the year 144,4,3
The outbreak lasted from the year 1845 to the year 184,The outbreak lasted from the year 1801 to the year 184,4,5
The contract lasted from the year 1759 to the year 175,The contract lasted from the year 1701 to the year 175,5,9
The expedition lasted from the year 1413 to the year 141,The expedition lasted from the year 1401 to the year 141,1,3
The increase lasted from the year 1810 to the year 181,The increase lasted from the year 1801 to the year 181,1,0
The disorder lasted from the year 1419 to the year 141,The disorder lasted from the year 1401 to the year 141,1,9
The dispute lasted from the year 1397 to the year 139,The dispute lasted from the year 1301 to the year 139,9,7
The tour lasted from the year 1879 to the year 187,The tour lasted from the year 1801 to the year 187,7,9
The attack lasted from the year 1693 to the year 169,The attack lasted from the year 1601 to the year 169,9,3
The quest lasted from the year 1127 to the year 112,The quest lasted from the year 1101 to the year 112,2,7
The expedition lasted from the year 1309 to the year 130,The expedition lasted from the year 1301 to the year 130,0,9
The convention lasted from the year 1834 to the year 183,The convention lasted from the year 1801 to the year 183,3,4
The marriage lasted from the year 1468 to the year 146,The marriage lasted from the year 1401 to the year 146,6,8
The competition lasted from the year 1183 to the year 118,The competition lasted from the year 1101 to the year 118,8,3
The pursuit lasted from the year 1255 to the year 125,The pursuit lasted from the year 1201 to the year 125,5,5
The unemployment lasted from the year 1686 to the year 168,The unemployment lasted from the year 1601 to the year 168,8,6
The case lasted from the year 1150 to the year 115,The case lasted from the year 1101 to the year 115,5,0
The order lasted from the year 1803 to the year 180,The order lasted from the year 1801 to the year 180,0,3
The program lasted from the year 1684 to the year 168,The program lasted from the year 1601 to the year 168,8,4
The contact lasted from the year 1246 to the year 124,The contact lasted from the year 1201 to the year 124,4,6
The increase lasted from the year 1662 to the year 166,The increase lasted from the year 1601 to the year 166,6,2
The assessment lasted from the year 1120 to the year 112,The assessment lasted from the year 1101 to the year 112,2,0
The kingdom lasted from the year 1162 to the year 116,The kingdom lasted from the year 1101 to the year 116,6,2
The rule lasted from the year 1187 to the year 118,The rule lasted from the year 1101 to the year 118,8,7
The growth lasted from the year 1858 to the year 185,The growth lasted from the year 1801 to the year 185,5,8
The chaos lasted from the year 1520 to the year 152,The chaos lasted from the year 1501 to the year 152,2,0
The assessment lasted from the year 1778 to the year 177,The assessment lasted from the year 1701 to the year 177,7,8
The invasion lasted from the year 1876 to the year 187,The invasion lasted from the year 1801 to the year 187,7,6
The contract lasted from the year 1822 to the year 182,The contract lasted from the year 1801 to the year 182,2,2
