clean,corrupted,correct_idx,incorrect_idx,nonce_singular,nonce_plural,label
"First, there were two urners. Now there is one urn","First, there was one urner. Now there are two urn",254,398,urner,urners,1
"First, there was one efforn. Now there are two eff","First, there were two efforns. Now there is one eff",35546,1575,efforn,efforns,0
"First, there were two efforns. Now there is one eff","First, there was one efforn. Now there are two eff",1575,35546,efforn,efforns,1
"First, there was one presisate. Now there are two presis","First, there were two presisates. Now there is one presis",684,366,presisate,presisates,0
"First, there were two presisates. Now there is one presis","First, there was one presisate. Now there are two presis",366,684,presisate,presisates,1
"First, there was one flomity. Now there are two flom","First, there were two flomities. Now there is one flom",1005,414,flomity,flomities,0
"First, there were two flomities. Now there is one flom","First, there was one flomity. Now there are two flom",414,1005,flomity,flomities,1
"First, there was one purpint. Now there are two purp","First, there were two purpints. Now there is one purp",23578,565,purpint,purpints,0
"First, there were two purpints. Now there is one purp","First, there was one purpint. Now there are two purp",565,23578,purpint,purpints,1
"First, there was one collift. Now there are two coll","First, there were two collifts. Now there is one coll",8515,2094,collift,collifts,0
"First, there were two collifts. Now there is one coll","First, there was one collift. Now there are two coll",2094,8515,collift,collifts,1
"First, there was one revotian. Now there are two revot","First, there were two revotians. Now there is one revot",2458,757,revotian,revotians,0
"First, there were two revotians. Now there is one revot","First, there was one revotian. Now there are two revot",757,2458,revotian,revotians,1
"First, there was one trult. Now there are two tr","First, there were two trults. Now there is one tr",3628,503,trult,trults,0
"First, there were two trults. Now there is one tr","First, there was one trult. Now there are two tr",503,3628,trult,trults,1
"First, there was one sirtor. Now there are two sirt","First, there were two sirtors. Now there is one sirt",641,263,sirtor,sirtors,0
"First, there were two sirtors. Now there is one sirt","First, there was one sirtor. Now there are two sirt",263,641,sirtor,sirtors,1
"First, there was one reveak. Now there are two reve","First, there were two reveaks. Now there is one reve",8765,518,reveak,reveaks,0
"First, there were two reveaks. Now there is one reve","First, there was one reveak. Now there are two reve",518,8765,reveak,reveaks,1
"First, there was one panerdment. Now there are two panerd","First, there were two panerdments. Now there is one panerd",942,420,panerdment,panerdments,0
"First, there were two panerdments. Now there is one panerd","First, there was one panerdment. Now there are two panerd",420,942,panerdment,panerdments,1
"First, there was one genter. Now there are two gent","First, there were two genters. Now there is one gent",398,254,genter,genters,0
"First, there were two genters. Now there is one gent","First, there was one genter. Now there are two gent",254,398,genter,genters,1
"First, there was one wiek. Now there are two wie","First, there were two wieks. Now there is one wie",661,76,wiek,wieks,0
"First, there were two wieks. Now there is one wie","First, there was one wiek. Now there are two wie",76,661,wiek,wieks,1
"First, there was one rarution. Now there are two rar","First, there were two rarutions. Now there is one rar",3360,890,rarution,rarutions,0
"First, there were two rarutions. Now there is one rar","First, there was one rarution. Now there are two rar",890,3360,rarution,rarutions,1
"First, there was one awkess. Now there are two awk","First, there were two awkesses. Now there is one awk",48998,405,awkess,awkesses,0
"First, there were two awkesses. Now there is one awk","First, there was one awkess. Now there are two awk",405,48998,awkess,awkesses,1
"First, there was one erant. Now there are two er","First, there were two erants. Now there is one er",1103,386,erant,erants,0
"First, there were two erants. Now there is one er","First, there was one erant. Now there are two er",386,1103,erant,erants,1
"First, there was one swess. Now there are two sw","First, there were two swesses. Now there is one sw",48998,405,swess,swesses,0
"First, there were two swesses. Now there is one sw","First, there was one swess. Now there are two sw",405,48998,swess,swesses,1
"First, there was one spead. Now there are two spe","First, there were two speads. Now there is one spe",6594,324,spead,speads,0
"First, there were two speads. Now there is one spe","First, there was one spead. Now there are two spe",324,6594,spead,speads,1
"First, there was one moque. Now there are two mo","First, there were two moques. Now there is one mo",10999,1452,moque,moques,0
"First, there were two moques. Now there is one mo","First, there was one moque. Now there are two mo",1452,10999,moque,moques,1
"First, there was one trake. Now there are two tra","First, there were two trakes. Now there is one tra",8583,413,trake,trakes,0
"First, there were two trakes. Now there is one tra","First, there was one trake. Now there are two tra",413,8583,trake,trakes,1
"First, there was one fadle. Now there are two fad","First, there were two fadles. Now there is one fad",868,282,fadle,fadles,0
"First, there were two fadles. Now there is one fad","First, there was one fadle. Now there are two fad",282,868,fadle,fadles,1
"First, there was one afterceid. Now there are two afterce","First, there were two afterceids. Now there is one afterce",2352,301,afterceid,afterceids,0
"First, there were two afterceids. Now there is one afterce","First, there was one afterceid. Now there are two afterce",301,2352,afterceid,afterceids,1
"First, there was one purpire. Now there are two pur","First, there were two purpires. Now there is one pur",31659,16695,purpire,purpires,0
"First, there were two purpires. Now there is one pur","First, there was one purpire. Now there are two pur",16695,31659,purpire,purpires,1
"First, there was one agriecant. Now there are two agriec","First, there were two agriecants. Now there is one agriec",1103,386,agriecant,agriecants,0
"First, there were two agriecants. Now there is one agriec","First, there was one agriecant. Now there are two agriec",386,1103,agriecant,agriecants,1
"First, there was one gand. Now there are two g","First, there were two gands. Now there is one g",2287,395,gand,gands,0
"First, there were two gands. Now there is one g","First, there was one gand. Now there are two g",395,2287,gand,gands,1
"First, there was one johm. Now there are two joh","First, there were two johms. Now there is one joh",983,78,johm,johms,0
"First, there were two johms. Now there is one joh","First, there was one johm. Now there are two joh",78,983,johm,johms,1
"First, there was one lelily. Now there are two lel","First, there were two lelilies. Now there is one lel",5348,1031,lelily,lelilies,0
"First, there were two lelilies. Now there is one lel","First, there was one lelily. Now there are two lel",1031,5348,lelily,lelilies,1
"First, there was one bunegot. Now there are two buneg","First, there were two bunegots. Now there is one buneg",1502,302,bunegot,bunegots,0
"First, there were two bunegots. Now there is one buneg","First, there was one bunegot. Now there are two buneg",302,1502,bunegot,bunegots,1
"First, there was one plame. Now there are two pl","First, there were two plames. Now there is one pl",1443,482,plame,plames,0
"First, there were two plames. Now there is one pl","First, there was one plame. Now there are two pl",482,1443,plame,plames,1
"First, there was one altistion. Now there are two altist","First, there were two altistions. Now there is one altist",621,279,altistion,altistions,0
"First, there were two altistions. Now there is one altist","First, there was one altistion. Now there are two altist",279,621,altistion,altistions,1
"First, there was one cpale. Now there are two cp","First, there were two cpales. Now there is one cp",2339,1079,cpale,cpales,0
"First, there were two cpales. Now there is one cp","First, there was one cpale. Now there are two cp",1079,2339,cpale,cpales,1
"First, there was one cosior. Now there are two cos","First, there were two cosiors. Now there is one cos",17327,1528,cosior,cosiors,0
"First, there were two cosiors. Now there is one cos","First, there was one cosior. Now there are two cos",1528,17327,cosior,cosiors,1
"First, there was one sevucation. Now there are two sevuc","First, there were two sevucations. Now there is one sevuc",569,318,sevucation,sevucations,0
"First, there were two sevucations. Now there is one sevuc","First, there was one sevucation. Now there are two sevuc",318,569,sevucation,sevucations,1
"First, there was one behafteur. Now there are two behafte","First, there were two behafteurs. Now there is one behafte",2244,321,behafteur,behafteurs,0
"First, there were two behafteurs. Now there is one behafte","First, there was one behafteur. Now there are two behafte",321,2244,behafteur,behafteurs,1
"First, there was one racution. Now there are two rac","First, there were two racutions. Now there is one rac",3360,890,racution,racutions,0
"First, there were two racutions. Now there is one rac","First, there was one racution. Now there are two rac",890,3360,racution,racutions,1
"First, there was one houd. Now there are two h","First, there were two houds. Now there is one h",13360,2995,houd,houds,0
"First, there were two houds. Now there is one h","First, there was one houd. Now there are two h",2995,13360,houd,houds,1
"First, there was one densussion. Now there are two dens","First, there were two densussions. Now there is one dens",45874,26148,densussion,densussions,0
"First, there were two densussions. Now there is one dens","First, there was one densussion. Now there are two dens",26148,45874,densussion,densussions,1
"First, there was one matteze. Now there are two matte","First, there were two mattezes. Now there is one matte",13505,2721,matteze,mattezes,0
"First, there were two mattezes. Now there is one matte","First, there was one matteze. Now there are two matte",2721,13505,matteze,mattezes,1
"First, there was one reveam. Now there are two reve","First, there were two reveams. Now there is one reve",1317,312,reveam,reveams,0
"First, there were two reveams. Now there is one reve","First, there was one reveam. Now there are two reve",312,1317,reveam,reveams,1
"First, there was one machate. Now there are two mach","First, there were two machates. Now there is one mach",684,366,machate,machates,0
"First, there were two machates. Now there is one mach","First, there was one machate. Now there are two mach",366,684,machate,machates,1
"First, there was one mosedent. Now there are two mosed","First, there were two mosedents. Now there is one mosed",592,290,mosedent,mosedents,0
"First, there were two mosedents. Now there is one mosed","First, there was one mosedent. Now there are two mosed",290,592,mosedent,mosedents,1
"First, there was one sunety. Now there are two sun","First, there were two suneties. Now there is one sun",11292,1734,sunety,suneties,0
"First, there were two suneties. Now there is one sun","First, there was one sunety. Now there are two sun",1734,11292,sunety,suneties,1
"First, there was one tratebort. Now there are two trateb","First, there were two trateborts. Now there is one trateb",8707,430,tratebort,trateborts,0
"First, there were two trateborts. Now there is one trateb","First, there was one tratebort. Now there are two trateb",430,8707,tratebort,trateborts,1
"First, there was one pupeup. Now there are two pupe","First, there were two pupeups. Now there is one pupe",8777,484,pupeup,pupeups,0
"First, there were two pupeups. Now there is one pupe","First, there was one pupeup. Now there are two pupe",484,8777,pupeup,pupeups,1
"First, there was one copior. Now there are two cop","First, there were two copiors. Now there is one cop",17327,1528,copior,copiors,0
"First, there were two copiors. Now there is one cop","First, there was one copior. Now there are two cop",1528,17327,copior,copiors,1
"First, there was one margioment. Now there are two margiom","First, there were two margioments. Now there is one margiom",592,290,margioment,margioments,0
"First, there were two margioments. Now there is one margiom","First, there was one margioment. Now there are two margiom",290,592,margioment,margioments,1
"First, there was one cacy. Now there are two c","First, there were two cacies. Now there is one c",19103,1974,cacy,cacies,0
"First, there were two cacies. Now there is one c","First, there was one cacy. Now there are two c",1974,19103,cacy,cacies,1
"First, there was one corlomity. Now there are two corlom","First, there were two corlomities. Now there is one corlom",1005,414,corlomity,corlomities,0
"First, there were two corlomities. Now there is one corlom","First, there was one corlomity. Now there are two corlom",414,1005,corlomity,corlomities,1
"First, there was one sarny. Now there are two sarn","First, there were two sarnies. Now there is one sarn",447,90,sarny,sarnies,0
"First, there were two sarnies. Now there is one sarn","First, there was one sarny. Now there are two sarn",90,447,sarny,sarnies,1
"First, there was one puction. Now there are two pu","First, there were two puctions. Now there is one pu",960,421,puction,puctions,0
"First, there were two puctions. Now there is one pu","First, there was one puction. Now there are two pu",421,960,puction,puctions,1
"First, there was one muction. Now there are two mu","First, there were two muctions. Now there is one mu",960,421,muction,muctions,0
"First, there were two muctions. Now there is one mu","First, there was one muction. Now there are two mu",421,960,muction,muctions,1
"First, there was one behaftear. Now there are two behafte","First, there were two behaftears. Now there is one behafte",1032,274,behaftear,behaftears,0
"First, there were two behaftears. Now there is one behafte","First, there was one behaftear. Now there are two behafte",274,1032,behaftear,behaftears,1
"First, there was one flooker. Now there are two flook","First, there were two flookers. Now there is one flook",398,254,flooker,flookers,0
"First, there were two flookers. Now there is one flook","First, there was one flooker. Now there are two flook",254,398,flooker,flookers,1
"First, there was one setucation. Now there are two setuc","First, there were two setucations. Now there is one setuc",569,318,setucation,setucations,0
"First, there were two setucations. Now there is one setuc","First, there was one setucation. Now there are two setuc",318,569,setucation,setucations,1
"First, there was one forl. Now there are two for","First, there were two forls. Now there is one for",5200,77,forl,forls,0
"First, there were two forls. Now there is one for","First, there was one forl. Now there are two for",77,5200,forl,forls,1
"First, there was one dengussion. Now there are two deng","First, there were two dengussions. Now there is one deng",45874,26148,dengussion,dengussions,0
"First, there were two dengussions. Now there is one deng","First, there was one dengussion. Now there are two deng",26148,45874,dengussion,dengussions,1
"First, there was one chelent. Now there are two chel","First, there were two chelents. Now there is one chel",592,290,chelent,chelents,0
"First, there were two chelents. Now there is one chel","First, there was one chelent. Now there are two chel",290,592,chelent,chelents,1
"First, there was one paneshment. Now there are two panesh","First, there were two paneshments. Now there is one panesh",942,420,paneshment,paneshments,0
"First, there were two paneshments. Now there is one panesh","First, there was one paneshment. Now there are two panesh",420,942,paneshment,paneshments,1
"First, there was one tafy. Now there are two taf","First, there were two tafies. Now there is one taf",447,90,tafy,tafies,0
"First, there were two tafies. Now there is one taf","First, there was one tafy. Now there are two taf",90,447,tafy,tafies,1
"First, there was one stass. Now there are two st","First, there were two stasses. Now there is one st",30131,515,stass,stasses,0
"First, there were two stasses. Now there is one st","First, there was one stass. Now there are two st",515,30131,stass,stasses,1
"First, there was one codior. Now there are two cod","First, there were two codiors. Now there is one cod",17327,1528,codior,codiors,0
"First, there were two codiors. Now there is one cod","First, there was one codior. Now there are two cod",1528,17327,codior,codiors,1
"First, there was one etastion. Now there are two etast","First, there were two etastions. Now there is one etast",621,279,etastion,etastions,0
"First, there were two etastions. Now there is one etast","First, there was one etastion. Now there are two etast",279,621,etastion,etastions,1
"First, there was one peabon. Now there are two peab","First, there were two peabons. Now there is one peab",790,251,peabon,peabons,0
"First, there were two peabons. Now there is one peab","First, there was one peabon. Now there are two peab",251,790,peabon,peabons,1
"First, there was one sonter. Now there are two son","First, there were two sonters. Now there is one son",1336,350,sonter,sonters,0
"First, there were two sonters. Now there is one son","First, there was one sonter. Now there are two son",350,1336,sonter,sonters,1
"First, there was one eant. Now there are two e","First, there were two eants. Now there is one e",1103,386,eant,eants,0
"First, there were two eants. Now there is one e","First, there was one eant. Now there are two e",386,1103,eant,eants,1
"First, there was one pame. Now there are two p","First, there were two pames. Now there is one p",1443,482,pame,pames,0
"First, there were two pames. Now there is one p","First, there was one pame. Now there are two p",482,1443,pame,pames,1
"First, there was one hean. Now there are two he","First, there were two heans. Now there is one he",507,266,hean,heans,0
"First, there were two heans. Now there is one he","First, there was one hean. Now there are two he",266,507,hean,heans,1
"First, there was one constark. Now there are two const","First, there were two constarks. Now there is one const",7969,782,constark,constarks,0
"First, there were two constarks. Now there is one const","First, there was one constark. Now there are two const",782,7969,constark,constarks,1
"First, there was one fromity. Now there are two from","First, there were two fromities. Now there is one from",1005,414,fromity,fromities,0
"First, there were two fromities. Now there is one from","First, there was one fromity. Now there are two from",414,1005,fromity,fromities,1
"First, there was one lutore. Now there are two lut","First, there were two lutores. Now there is one lut",2324,410,lutore,lutores,0
"First, there were two lutores. Now there is one lut","First, there was one lutore. Now there are two lut",410,2324,lutore,lutores,1
"First, there was one sufress. Now there are two suf","First, there were two sufresses. Now there is one suf",16443,560,sufress,sufresses,0
"First, there were two sufresses. Now there is one suf","First, there was one sufress. Now there are two suf",560,16443,sufress,sufresses,1
"First, there was one delcerence. Now there are two delce","First, there were two delcerences. Now there is one delce",1998,1196,delcerence,delcerences,0
"First, there were two delcerences. Now there is one delce","First, there was one delcerence. Now there are two delce",1196,1998,delcerence,delcerences,1
"First, there was one vea. Now there are two ve","First, there were two veas. Now there is one ve",284,66,vea,veas,0
"First, there were two veas. Now there is one ve","First, there was one vea. Now there are two ve",66,284,vea,veas,1
"First, there was one falp. Now there are two fal","First, there were two falps. Now there is one fal",793,81,falp,falps,0
"First, there were two falps. Now there is one fal","First, there was one falp. Now there are two fal",81,793,falp,falps,1
"First, there was one accuise. Now there are two accu","First, there were two accuises. Now there is one accu",3013,885,accuise,accuises,0
"First, there were two accuises. Now there is one accu","First, there was one accuise. Now there are two accu",885,3013,accuise,accuises,1
"First, there was one stavein. Now there are two stave","First, there were two staveins. Now there is one stave",968,249,stavein,staveins,0
"First, there were two staveins. Now there is one stave","First, there was one stavein. Now there are two stave",249,968,stavein,staveins,1
"First, there was one utetormity. Now there are two utetorm","First, there were two utetormities. Now there is one utetorm",1005,414,utetormity,utetormities,0
"First, there were two utetormities. Now there is one utetorm","First, there was one utetormity. Now there are two utetorm",414,1005,utetormity,utetormities,1
"First, there was one pubeup. Now there are two pube","First, there were two pubeups. Now there is one pube",8777,484,pubeup,pubeups,0
"First, there were two pubeups. Now there is one pube","First, there was one pubeup. Now there are two pube",484,8777,pubeup,pubeups,1
"First, there was one utsesition. Now there are two utses","First, there were two utsesitions. Now there is one utses",4431,539,utsesition,utsesitions,0
"First, there were two utsesitions. Now there is one utses","First, there was one utsesition. Now there are two utses",539,4431,utsesition,utsesitions,1
"First, there was one sivement. Now there are two sive","First, there were two sivements. Now there is one sive",942,420,sivement,sivements,0
"First, there were two sivements. Now there is one sive","First, there was one sivement. Now there are two sive",420,942,sivement,sivements,1
"First, there was one premress. Now there are two prem","First, there were two premresses. Now there is one prem",16443,560,premress,premresses,0
"First, there were two premresses. Now there is one prem","First, there was one premress. Now there are two prem",560,16443,premress,premresses,1
"First, there was one issif. Now there are two iss","First, there were two issifs. Now there is one iss",27530,338,issif,issifs,0
"First, there were two issifs. Now there is one iss","First, there was one issif. Now there are two iss",338,27530,issif,issifs,1
"First, there was one accuine. Now there are two accu","First, there were two accuines. Now there is one accu",1100,460,accuine,accuines,0
"First, there were two accuines. Now there is one accu","First, there was one accuine. Now there are two accu",460,1100,accuine,accuines,1
"First, there was one holet. Now there are two ho","First, there were two holets. Now there is one ho",6639,1059,holet,holets,0
"First, there were two holets. Now there is one ho","First, there was one holet. Now there are two ho",1059,6639,holet,holets,1
"First, there was one secucation. Now there are two secuc","First, there were two secucations. Now there is one secuc",569,318,secucation,secucations,0
"First, there were two secucations. Now there is one secuc","First, there was one secucation. Now there are two secuc",318,569,secucation,secucations,1
"First, there was one capy. Now there are two cap","First, there were two capies. Now there is one cap",447,90,capy,capies,0
"First, there were two capies. Now there is one cap","First, there was one capy. Now there are two cap",90,447,capy,capies,1
"First, there was one surter. Now there are two sur","First, there were two surters. Now there is one sur",1336,350,surter,surters,0
"First, there were two surters. Now there is one sur","First, there was one surter. Now there are two sur",350,1336,surter,surters,1
"First, there was one serning. Now there are two ser","First, there were two sernings. Now there is one ser",38045,920,serning,sernings,0
"First, there were two sernings. Now there is one ser","First, there was one serning. Now there are two ser",920,38045,serning,sernings,1
"First, there was one plape. Now there are two pl","First, there were two plapes. Now there is one pl",9652,2259,plape,plapes,0
"First, there were two plapes. Now there is one pl","First, there was one plape. Now there are two pl",2259,9652,plape,plapes,1
"First, there was one pangy. Now there are two pang","First, there were two pangies. Now there is one pang",447,90,pangy,pangies,0
"First, there were two pangies. Now there is one pang","First, there was one pangy. Now there are two pang",90,447,pangy,pangies,1
"First, there was one speet. Now there are two spe","First, there were two speets. Now there is one spe",1507,292,speet,speets,0
"First, there were two speets. Now there is one spe","First, there was one speet. Now there are two spe",292,1507,speet,speets,1
"First, there was one imporn. Now there are two imp","First, there were two imporns. Now there is one imp",35546,1575,imporn,imporns,0
"First, there were two imporns. Now there is one imp","First, there was one imporn. Now there are two imp",1575,35546,imporn,imporns,1
"First, there was one wowst. Now there are two wow","First, there were two wowsts. Now there is one wow",7752,296,wowst,wowsts,0
"First, there were two wowsts. Now there is one wow","First, there was one wowst. Now there are two wow",296,7752,wowst,wowsts,1
"First, there was one scanter. Now there are two scan","First, there were two scanters. Now there is one scan",1336,350,scanter,scanters,0
"First, there were two scanters. Now there is one scan","First, there was one scanter. Now there are two scan",350,1336,scanter,scanters,1
"First, there was one lism. Now there are two l","First, there were two lisms. Now there is one l",3931,1204,lism,lisms,0
"First, there were two lisms. Now there is one l","First, there was one lism. Now there are two l",1204,3931,lism,lisms,1
"First, there was one caloor. Now there are two cal","First, there were two caloors. Now there is one cal",37371,1887,caloor,caloors,0
"First, there were two caloors. Now there is one cal","First, there was one caloor. Now there are two cal",1887,37371,caloor,caloors,1
"First, there was one idge. Now there are two id","First, there were two idges. Now there is one id",2510,463,idge,idges,0
"First, there were two idges. Now there is one id","First, there was one idge. Now there are two id",463,2510,idge,idges,1
"First, there was one soo. Now there are two so","First, there were two soos. Now there is one so",375,80,soo,soos,0
"First, there were two soos. Now there is one so","First, there was one soo. Now there are two so",80,375,soo,soos,1
"First, there was one peyber. Now there are two pey","First, there were two peybers. Now there is one pey",1653,589,peyber,peybers,0
"First, there were two peybers. Now there is one pey","First, there was one peyber. Now there are two pey",589,1653,peyber,peybers,1
"First, there was one cordinsion. Now there are two cordins","First, there were two cordinsions. Now there is one cordins",621,279,cordinsion,cordinsions,0
"First, there were two cordinsions. Now there is one cordins","First, there was one cordinsion. Now there are two cordins",279,621,cordinsion,cordinsions,1
"First, there was one camy. Now there are two cam","First, there were two camies. Now there is one cam",447,90,camy,camies,0
"First, there were two camies. Now there is one cam","First, there was one camy. Now there are two cam",90,447,camy,camies,1
"First, there was one pever. Now there are two pe","First, there were two pevers. Now there is one pe",735,332,pever,pevers,0
"First, there were two pevers. Now there is one pe","First, there was one pever. Now there are two pe",332,735,pever,pevers,1
"First, there was one sictuse. Now there are two sict","First, there were two sictuses. Now there is one sict",5123,2327,sictuse,sictuses,0
"First, there were two sictuses. Now there is one sict","First, there was one sictuse. Now there are two sict",2327,5123,sictuse,sictuses,1
"First, there was one ravution. Now there are two rav","First, there were two ravutions. Now there is one rav",3360,890,ravution,ravutions,0
"First, there were two ravutions. Now there is one rav","First, there was one ravution. Now there are two rav",890,3360,ravution,ravutions,1
"First, there was one vipsion. Now there are two vips","First, there were two vipsions. Now there is one vips",621,279,vipsion,vipsions,0
"First, there were two vipsions. Now there is one vips","First, there was one vipsion. Now there are two vips",279,621,vipsion,vipsions,1
"First, there was one coakle. Now there are two coak","First, there were two coakles. Now there is one coak",868,282,coakle,coakles,0
"First, there were two coakles. Now there is one coak","First, there was one coakle. Now there are two coak",282,868,coakle,coakles,1
"First, there was one streed. Now there are two stre","First, there were two streeds. Now there is one stre",5797,264,streed,streeds,0
"First, there were two streeds. Now there is one stre","First, there was one streed. Now there are two stre",264,5797,streed,streeds,1
"First, there was one rubeup. Now there are two rube","First, there were two rubeups. Now there is one rube",8777,484,rubeup,rubeups,0
"First, there were two rubeups. Now there is one rube","First, there was one rubeup. Now there are two rube",484,8777,rubeup,rubeups,1
"First, there was one deplie. Now there are two depl","First, there were two deplies. Now there is one depl",447,466,deplie,deplies,0
"First, there were two deplies. Now there is one depl","First, there was one deplie. Now there are two depl",466,447,deplie,deplies,1
"First, there was one simage. Now there are two sim","First, there were two simages. Now there is one sim",1131,486,simage,simages,0
"First, there were two simages. Now there is one sim","First, there was one simage. Now there are two sim",486,1131,simage,simages,1
"First, there was one sulpty. Now there are two sulpt","First, there were two sulpties. Now there is one sulpt",447,90,sulpty,sulpties,0
"First, there were two sulpties. Now there is one sulpt","First, there was one sulpty. Now there are two sulpt",90,447,sulpty,sulpties,1
"First, there was one boople. Now there are two bo","First, there were two booples. Now there is one bo",18898,879,boople,booples,0
"First, there were two booples. Now there is one bo","First, there was one boople. Now there are two bo",879,18898,boople,booples,1
"First, there was one fillure. Now there are two fill","First, there were two fillures. Now there is one fill",980,459,fillure,fillures,0
"First, there were two fillures. Now there is one fill","First, there was one fillure. Now there are two fill",459,980,fillure,fillures,1
"First, there was one sedel. Now there are two sed","First, there were two sedels. Now there is one sed",1241,293,sedel,sedels,0
"First, there were two sedels. Now there is one sed","First, there was one sedel. Now there are two sed",293,1241,sedel,sedels,1
"First, there was one whock. Now there are two wh","First, there were two whocks. Now there is one wh",4121,825,whock,whocks,0
"First, there were two whocks. Now there is one wh","First, there was one whock. Now there are two wh",825,4121,whock,whocks,1
"First, there was one soule. Now there are two sou","First, there were two soules. Now there is one sou",868,282,soule,soules,0
"First, there were two soules. Now there is one sou","First, there was one soule. Now there are two sou",282,868,soule,soules,1
"First, there was one precerry. Now there are two precer","First, there were two precerries. Now there is one precer",2246,610,precerry,precerries,0
"First, there were two precerries. Now there is one precer","First, there was one precerry. Now there are two precer",610,2246,precerry,precerries,1
"First, there was one queep. Now there are two que","First, there were two queeps. Now there is one que",2265,554,queep,queeps,0
"First, there were two queeps. Now there is one que","First, there was one queep. Now there are two que",554,2265,queep,queeps,1
"First, there was one myntem. Now there are two mynt","First, there were two myntems. Now there is one mynt",3030,358,myntem,myntems,0
"First, there were two myntems. Now there is one mynt","First, there was one myntem. Now there are two mynt",358,3030,myntem,myntems,1
"First, there was one uffime. Now there are two uff","First, there were two uffimes. Now there is one uff",1022,553,uffime,uffimes,0
"First, there were two uffimes. Now there is one uff","First, there was one uffime. Now there are two uff",553,1022,uffime,uffimes,1
"First, there was one groress. Now there are two gro","First, there were two groresses. Now there is one gro",16443,560,groress,groresses,0
"First, there were two groresses. Now there is one gro","First, there was one groress. Now there are two gro",560,16443,groress,groresses,1
"First, there was one casy. Now there are two cas","First, there were two casies. Now there is one cas",447,90,casy,casies,0
"First, there were two casies. Now there is one cas","First, there was one casy. Now there are two cas",90,447,casy,casies,1
"First, there was one unker. Now there are two un","First, there were two unkers. Now there is one un",23521,6426,unker,unkers,0
"First, there were two unkers. Now there is one un","First, there was one unker. Now there are two un",6426,23521,unker,unkers,1
"First, there was one fighure. Now there are two figh","First, there were two fighures. Now there is one figh",980,459,fighure,fighures,0
"First, there were two fighures. Now there is one figh","First, there was one fighure. Now there are two figh",459,980,fighure,fighures,1
"First, there was one virefision. Now there are two viref","First, there were two virefisions. Now there is one viref",3836,1297,virefision,virefisions,0
"First, there were two virefisions. Now there is one viref","First, there was one virefision. Now there are two viref",1297,3836,virefision,virefisions,1
"First, there was one stomicion. Now there are two stomic","First, there were two stomicions. Now there is one stomic",621,279,stomicion,stomicions,0
"First, there were two stomicions. Now there is one stomic","First, there was one stomicion. Now there are two stomic",279,621,stomicion,stomicions,1
"First, there was one fayure. Now there are two fay","First, there were two fayures. Now there is one fay",980,459,fayure,fayures,0
"First, there were two fayures. Now there is one fay","First, there was one fayure. Now there are two fay",459,980,fayure,fayures,1
"First, there was one liscomy. Now there are two liscom","First, there were two liscomies. Now there is one liscom",447,90,liscomy,liscomies,0
"First, there were two liscomies. Now there is one liscom","First, there was one liscomy. Now there are two liscom",90,447,liscomy,liscomies,1
"First, there was one kimp. Now there are two k","First, there were two kimps. Now there is one k",39830,11548,kimp,kimps,0
