clean,corrupted,correct_idx,incorrect_idx,nonce_singular,nonce_plural,label
"First, there was one afterceid. Now there are two afterce","First, there were two afterceids. Now there is one afterce",2689,539,afterceid,afterceids,0
"First, there were two afterceids. Now there is one afterce","First, there was one afterceid. Now there are two afterce",539,2689,afterceid,afterceids,1
"First, there was one hoad. Now there are two ho","First, there were two hoads. Now there is one ho",11801,566,hoad,hoads,0
"First, there were two hoads. Now there is one ho","First, there was one hoad. Now there are two ho",566,11801,hoad,hoads,1
"First, there was one purpire. Now there are two pur","First, there were two purpires. Now there is one pur",40440,85849,purpire,purpires,0
"First, there were two purpires. Now there is one pur","First, there was one purpire. Now there are two pur",85849,40440,purpire,purpires,1
"First, there was one rainlay. Now there are two rain","First, there were two rainlays. Now there is one rain",70193,925,rainlay,rainlays,0
"First, there were two rainlays. Now there is one rain","First, there was one rainlay. Now there are two rain",925,70193,rainlay,rainlays,1
"First, there was one uscicer. Now there are two uscic","First, there were two uscicers. Now there is one uscic",618,475,uscicer,uscicers,0
"First, there were two uscicers. Now there is one uscic","First, there was one uscicer. Now there are two uscic",475,618,uscicer,uscicers,1
"First, there was one agriecant. Now there are two agriec","First, there were two agriecants. Now there is one agriec",1834,741,agriecant,agriecants,0
"First, there were two agriecants. Now there is one agriec","First, there was one agriecant. Now there are two agriec",741,1834,agriecant,agriecants,1
"First, there was one johm. Now there are two joh","First, there were two johms. Now there is one joh",999,235262,johm,johms,0
"First, there were two johms. Now there is one joh","First, there was one johm. Now there are two joh",235262,999,johm,johms,1
"First, there was one plame. Now there are two pla","First, there were two plames. Now there is one pla",1360,504,plame,plames,0
"First, there were two plames. Now there is one pla","First, there was one plame. Now there are two pla",504,1360,plame,plames,1
"First, there was one altistion. Now there are two altis","First, there were two altistions. Now there is one altis",1078,588,altistion,altistions,0
"First, there were two altistions. Now there is one altis","First, there was one altistion. Now there are two altis",588,1078,altistion,altistions,1
"First, there was one cpale. Now there are two cp","First, there were two cpales. Now there is one cp",2325,1091,cpale,cpales,0
"First, there were two cpales. Now there is one cp","First, there was one cpale. Now there are two cp",1091,2325,cpale,cpales,1
"First, there was one sevucation. Now there are two sevuc","First, there were two sevucations. Now there is one sevuc",903,673,sevucation,sevucations,0
"First, there were two sevucations. Now there is one sevuc","First, there was one sevucation. Now there are two sevuc",673,903,sevucation,sevucations,1
"First, there was one pemlic. Now there are two pem","First, there were two pemlics. Now there is one pem",52320,720,pemlic,pemlics,0
"First, there were two pemlics. Now there is one pem","First, there was one pemlic. Now there are two pem",720,52320,pemlic,pemlics,1
"First, there was one irplarity. Now there are two irpl","First, there were two irplarities. Now there is one irpl",25121,25909,irplarity,irplarities,0
"First, there were two irplarities. Now there is one irpl","First, there was one irplarity. Now there are two irpl",25909,25121,irplarity,irplarities,1
"First, there was one densussion. Now there are two densus","First, there were two densussions. Now there is one densus",1974,817,densussion,densussions,0
"First, there were two densussions. Now there is one densus","First, there was one densussion. Now there are two densus",817,1974,densussion,densussions,1
"First, there was one bupbet. Now there are two bup","First, there were two bupbets. Now there is one bup",78555,6477,bupbet,bupbets,0
"First, there were two bupbets. Now there is one bup","First, there was one bupbet. Now there are two bup",6477,78555,bupbet,bupbets,1
"First, there was one matteze. Now there are two matte","First, there were two mattezes. Now there is one matte",6758,766,matteze,mattezes,0
"First, there were two mattezes. Now there is one matte","First, there was one matteze. Now there are two matte",766,6758,matteze,mattezes,1
"First, there was one rasy. Now there are two ra","First, there were two rasies. Now there is one ra",37453,2715,rasy,rasies,0
"First, there were two rasies. Now there is one ra","First, there was one rasy. Now there are two ra",2715,37453,rasy,rasies,1
"First, there was one reveam. Now there are two reve","First, there were two reveams. Now there is one reve",2601,563,reveam,reveams,0
"First, there were two reveams. Now there is one reve","First, there was one reveam. Now there are two reve",563,2601,reveam,reveams,1
"First, there was one machate. Now there are two mach","First, there were two machates. Now there is one mach",1204,607,machate,machates,0
"First, there were two machates. Now there is one mach","First, there was one machate. Now there are two mach",607,1204,machate,machates,1
"First, there was one fobe. Now there are two fo","First, there were two fobes. Now there is one fo",4569,555,fobe,fobes,0
"First, there were two fobes. Now there is one fo","First, there was one fobe. Now there are two fo",555,4569,fobe,fobes,1
"First, there was one mosedent. Now there are two mosed","First, there were two mosedents. Now there is one mosed",990,579,mosedent,mosedents,0
"First, there were two mosedents. Now there is one mosed","First, there was one mosedent. Now there are two mosed",579,990,mosedent,mosedents,1
"First, there was one sunety. Now there are two sune","First, there were two suneties. Now there is one sune",1112,756,sunety,suneties,0
"First, there were two suneties. Now there is one sune","First, there was one sunety. Now there are two sune",756,1112,sunety,suneties,1
"First, there was one pupeup. Now there are two pupe","First, there were two pupeups. Now there is one pupe",11984,1021,pupeup,pupeups,0
"First, there were two pupeups. Now there is one pupe","First, there was one pupeup. Now there are two pupe",1021,11984,pupeup,pupeups,1
"First, there was one copior. Now there are two cop","First, there were two copiors. Now there is one cop",22477,2051,copior,copiors,0
"First, there were two copiors. Now there is one cop","First, there was one copior. Now there are two cop",2051,22477,copior,copiors,1
"First, there was one margioment. Now there are two margio","First, there were two margioments. Now there is one margio",1132,677,margioment,margioments,0
"First, there were two margioments. Now there is one margio","First, there was one margioment. Now there are two margio",677,1132,margioment,margioments,1
"First, there was one corlomity. Now there are two corlom","First, there were two corlomities. Now there is one corlom",2796,684,corlomity,corlomities,0
"First, there were two corlomities. Now there is one corlom","First, there was one corlomity. Now there are two corlom",684,2796,corlomity,corlomities,1
"First, there was one puction. Now there are two pu","First, there were two puctions. Now there is one pu",1831,676,puction,puctions,0
"First, there were two puctions. Now there is one pu","First, there was one puction. Now there are two pu",676,1831,puction,puctions,1
"First, there was one muction. Now there are two mu","First, there were two muctions. Now there is one mu",1831,676,muction,muctions,0
"First, there were two muctions. Now there is one mu","First, there was one muction. Now there are two mu",676,1831,muction,muctions,1
"First, there was one behaftear. Now there are two behafte","First, there were two behaftears. Now there is one behafte",1398,486,behaftear,behaftears,0
"First, there were two behaftears. Now there is one behafte","First, there was one behaftear. Now there are two behafte",486,1398,behaftear,behaftears,1
"First, there was one liscocy. Now there are two lisco","First, there were two liscocies. Now there is one lisco",3429,1225,liscocy,liscocies,0
"First, there were two liscocies. Now there is one lisco","First, there was one liscocy. Now there are two lisco",1225,3429,liscocy,liscocies,1
"First, there was one setucation. Now there are two setuc","First, there were two setucations. Now there is one setuc",903,673,setucation,setucations,0
"First, there were two setucations. Now there is one setuc","First, there was one setucation. Now there are two setuc",673,903,setucation,setucations,1
"First, there was one forl. Now there are two for","First, there were two forls. Now there is one for",1560,235257,forl,forls,0
"First, there were two forls. Now there is one for","First, there was one forl. Now there are two for",235257,1560,forl,forls,1
"First, there was one dengussion. Now there are two dengus","First, there were two dengussions. Now there is one dengus",1974,817,dengussion,dengussions,0
"First, there were two dengussions. Now there is one dengus","First, there was one dengussion. Now there are two dengus",817,1974,dengussion,dengussions,1
"First, there was one paneshment. Now there are two panesh","First, there were two paneshments. Now there is one panesh",1132,677,paneshment,paneshments,0
"First, there were two paneshments. Now there is one panesh","First, there was one paneshment. Now there are two panesh",677,1132,paneshment,paneshments,1
"First, there was one tafy. Now there are two taf","First, there were two tafies. Now there is one taf",924,235267,tafy,tafies,0
"First, there were two tafies. Now there is one taf","First, there was one tafy. Now there are two taf",235267,924,tafy,tafies,1
"First, there was one stass. Now there are two st","First, there were two stasses. Now there is one st",34519,719,stass,stasses,0
"First, there were two stasses. Now there is one st","First, there was one stass. Now there are two st",719,34519,stass,stasses,1
"First, there was one gluss. Now there are two gl","First, there were two glusses. Now there is one gl",162471,4356,gluss,glusses,0
"First, there were two glusses. Now there is one gl","First, there was one gluss. Now there are two gl",4356,162471,gluss,glusses,1
"First, there was one uffige. Now there are two uff","First, there were two uffiges. Now there is one uff",37675,7169,uffige,uffiges,0
"First, there were two uffiges. Now there is one uff","First, there was one uffige. Now there are two uff",7169,37675,uffige,uffiges,1
"First, there was one etastion. Now there are two etas","First, there were two etastions. Now there is one etas",1078,588,etastion,etastions,0
"First, there were two etastions. Now there is one etas","First, there was one etastion. Now there are two etas",588,1078,etastion,etastions,1
"First, there was one peabon. Now there are two pea","First, there were two peabons. Now there is one pea",31245,3839,peabon,peabons,0
"First, there were two peabons. Now there is one pea","First, there was one peabon. Now there are two pea",3839,31245,peabon,peabons,1
"First, there was one sonter. Now there are two son","First, there were two sonters. Now there is one son",1518,610,sonter,sonters,0
"First, there were two sonters. Now there is one son","First, there was one sonter. Now there are two son",610,1518,sonter,sonters,1
"First, there was one eant. Now there are two e","First, there were two eants. Now there is one e",1834,741,eant,eants,0
"First, there were two eants. Now there is one e","First, there was one eant. Now there are two e",741,1834,eant,eants,1
"First, there was one pame. Now there are two p","First, there were two pames. Now there is one p",1827,734,pame,pames,0
"First, there were two pames. Now there is one p","First, there was one pame. Now there are two p",734,1827,pame,pames,1
"First, there was one mecion. Now there are two me","First, there were two mecions. Now there is one me",89270,4241,mecion,mecions,0
"First, there were two mecions. Now there is one me","First, there was one mecion. Now there are two me",4241,89270,mecion,mecions,1
"First, there was one hean. Now there are two he","First, there were two heans. Now there is one he",779,481,hean,heans,0
"First, there were two heans. Now there is one he","First, there was one hean. Now there are two he",481,779,hean,heans,1
"First, there was one constark. Now there are two const","First, there were two constarks. Now there is one const",17378,1002,constark,constarks,0
"First, there were two constarks. Now there is one const","First, there was one constark. Now there are two const",1002,17378,constark,constarks,1
"First, there was one netfold. Now there are two net","First, there were two netfolds. Now there is one net",136320,11870,netfold,netfolds,0
"First, there were two netfolds. Now there is one net","First, there was one netfold. Now there are two net",11870,136320,netfold,netfolds,1
"First, there was one fromity. Now there are two from","First, there were two fromities. Now there is one from",2796,684,fromity,fromities,0
"First, there were two fromities. Now there is one from","First, there was one fromity. Now there are two from",684,2796,fromity,fromities,1
"First, there was one lutore. Now there are two lu","First, there were two lutores. Now there is one lu",15272,12230,lutore,lutores,0
"First, there were two lutores. Now there is one lu","First, there was one lutore. Now there are two lu",12230,15272,lutore,lutores,1
"First, there was one sufress. Now there are two suf","First, there were two sufresses. Now there is one suf",22590,1054,sufress,sufresses,0
"First, there were two sufresses. Now there is one suf","First, there was one sufress. Now there are two suf",1054,22590,sufress,sufresses,1
"First, there was one delcerence. Now there are two delcer","First, there were two delcerences. Now there is one delcer",2061,876,delcerence,delcerences,0
"First, there were two delcerences. Now there is one delcer","First, there was one delcerence. Now there are two delcer",876,2061,delcerence,delcerences,1
"First, there was one staze. Now there are two sta","First, there were two stazes. Now there is one sta",6758,766,staze,stazes,0
"First, there were two stazes. Now there is one sta","First, there was one staze. Now there are two sta",766,6758,staze,stazes,1
"First, there was one stype. Now there are two st","First, there were two stypes. Now there is one st",3181,1109,stype,stypes,0
"First, there were two stypes. Now there is one st","First, there was one stype. Now there are two st",1109,3181,stype,stypes,1
"First, there was one manhet. Now there are two man","First, there were two manhets. Now there is one man",29567,7202,manhet,manhets,0
"First, there were two manhets. Now there is one man","First, there was one manhet. Now there are two man",7202,29567,manhet,manhets,1
"First, there was one falp. Now there are two fal","First, there were two falps. Now there is one fal",833,235263,falp,falps,0
"First, there were two falps. Now there is one fal","First, there was one falp. Now there are two fal",235263,833,falp,falps,1
"First, there was one skestien. Now there are two skesti","First, there were two skestiens. Now there is one skesti",952,479,skestien,skestiens,0
"First, there were two skestiens. Now there is one skesti","First, there was one skestien. Now there are two skesti",479,952,skestien,skestiens,1
"First, there was one foom. Now there are two fo","First, there were two fooms. Now there is one fo",11101,537,foom,fooms,0
"First, there were two fooms. Now there is one fo","First, there was one foom. Now there are two fo",537,11101,foom,fooms,1
"First, there was one accuise. Now there are two accu","First, there were two accuises. Now there is one accu",5241,1371,accuise,accuises,0
"First, there were two accuises. Now there is one accu","First, there was one accuise. Now there are two accu",1371,5241,accuise,accuises,1
"First, there was one stavein. Now there are two stave","First, there were two staveins. Now there is one stave",1137,473,stavein,staveins,0
"First, there were two staveins. Now there is one stave","First, there was one stavein. Now there are two stave",473,1137,stavein,staveins,1
"First, there was one utetorvity. Now there are two utetor","First, there were two utetorvities. Now there is one utetor",4686,2042,utetorvity,utetorvities,0
"First, there were two utetorvities. Now there is one utetor","First, there was one utetorvity. Now there are two utetor",2042,4686,utetorvity,utetorvities,1
"First, there was one commessee. Now there are two commes","First, there were two commessees. Now there is one commes",58752,3962,commessee,commessees,0
"First, there were two commessees. Now there is one commes","First, there was one commessee. Now there are two commes",3962,58752,commessee,commessees,1
"First, there was one utetormity. Now there are two utetorm","First, there were two utetormities. Now there is one utetorm",2796,684,utetormity,utetormities,0
"First, there were two utetormities. Now there is one utetorm","First, there was one utetormity. Now there are two utetorm",684,2796,utetormity,utetormities,1
"First, there was one pubeup. Now there are two pube","First, there were two pubeups. Now there is one pube",11984,1021,pubeup,pubeups,0
"First, there were two pubeups. Now there is one pube","First, there was one pubeup. Now there are two pube",1021,11984,pubeup,pubeups,1
"First, there was one sivement. Now there are two sive","First, there were two sivements. Now there is one sive",1132,677,sivement,sivements,0
"First, there were two sivements. Now there is one sive","First, there was one sivement. Now there are two sive",677,1132,sivement,sivements,1
"First, there was one premress. Now there are two prem","First, there were two premresses. Now there is one prem",22590,1054,premress,premresses,0
"First, there were two premresses. Now there is one prem","First, there was one premress. Now there are two prem",1054,22590,premress,premresses,1
"First, there was one issif. Now there are two is","First, there were two issifs. Now there is one is",106031,22007,issif,issifs,0
"First, there were two issifs. Now there is one is","First, there was one issif. Now there are two is",22007,106031,issif,issifs,1
"First, there was one accuine. Now there are two accu","First, there were two accuines. Now there is one accu",1542,622,accuine,accuines,0
"First, there were two accuines. Now there is one accu","First, there was one accuine. Now there are two accu",622,1542,accuine,accuines,1
"First, there was one secucation. Now there are two secuc","First, there were two secucations. Now there is one secuc",903,673,secucation,secucations,0
"First, there were two secucations. Now there is one secuc","First, there was one secucation. Now there are two secuc",673,903,secucation,secucations,1
"First, there was one capy. Now there are two cap","First, there were two capies. Now there is one cap",924,235267,capy,capies,0
"First, there were two capies. Now there is one cap","First, there was one capy. Now there are two cap",235267,924,capy,capies,1
"First, there was one surter. Now there are two sur","First, there were two surters. Now there is one sur",1518,610,surter,surters,0
"First, there were two surters. Now there is one sur","First, there was one surter. Now there are two sur",610,1518,surter,surters,1
"First, there was one serning. Now there are two ser","First, there were two sernings. Now there is one ser",10517,1191,serning,sernings,0
"First, there were two sernings. Now there is one ser","First, there was one serning. Now there are two ser",1191,10517,serning,sernings,1
"First, there was one plape. Now there are two pla","First, there were two plapes. Now there is one pla",3462,554,plape,plapes,0
"First, there were two plapes. Now there is one pla","First, there was one plape. Now there are two pla",554,3462,plape,plapes,1
"First, there was one pangy. Now there are two pang","First, there were two pangies. Now there is one pang",924,235267,pangy,pangies,0
"First, there were two pangies. Now there is one pang","First, there was one pangy. Now there are two pang",235267,924,pangy,pangies,1
"First, there was one amiene. Now there are two am","First, there were two amienes. Now there is one am",64111,11300,amiene,amienes,0
"First, there were two amienes. Now there is one am","First, there was one amiene. Now there are two am",11300,64111,amiene,amienes,1
"First, there was one speet. Now there are two spe","First, there were two speets. Now there is one spe",1839,523,speet,speets,0
"First, there were two speets. Now there is one spe","First, there was one speet. Now there are two spe",523,1839,speet,speets,1
"First, there was one wowst. Now there are two wow","First, there were two wowsts. Now there is one wow",3537,490,wowst,wowsts,0
"First, there were two wowsts. Now there is one wow","First, there was one wowst. Now there are two wow",490,3537,wowst,wowsts,1
"First, there was one scanter. Now there are two scan","First, there were two scanters. Now there is one scan",1518,610,scanter,scanters,0
"First, there were two scanters. Now there is one scan","First, there was one scanter. Now there are two scan",610,1518,scanter,scanters,1
"First, there was one lism. Now there are two l","First, there were two lisms. Now there is one l",10430,2285,lism,lisms,0
"First, there were two lisms. Now there is one l","First, there was one lism. Now there are two l",2285,10430,lism,lisms,1
"First, there was one idge. Now there are two id","First, there were two idges. Now there is one id",1233,541,idge,idges,0
"First, there were two idges. Now there is one id","First, there was one idge. Now there are two id",541,1233,idge,idges,1
"First, there was one houng. Now there are two hou","First, there were two houngs. Now there is one hou",141969,512,houng,houngs,0
"First, there were two houngs. Now there is one hou","First, there was one houng. Now there are two hou",512,141969,houng,houngs,1
"First, there was one peyber. Now there are two pey","First, there were two peybers. Now there is one pey",7749,758,peyber,peybers,0
"First, there were two peybers. Now there is one pey","First, there was one peyber. Now there are two pey",758,7749,peyber,peybers,1
"First, there was one golan. Now there are two gol","First, there were two golans. Now there is one gol",779,481,golan,golans,0
"First, there were two golans. Now there is one gol","First, there was one golan. Now there are two gol",481,779,golan,golans,1
"First, there was one cordinsion. Now there are two cordin","First, there were two cordinsions. Now there is one cordin",1974,817,cordinsion,cordinsions,0
"First, there were two cordinsions. Now there is one cordin","First, there was one cordinsion. Now there are two cordin",817,1974,cordinsion,cordinsions,1
"First, there was one camy. Now there are two cam","First, there were two camies. Now there is one cam",924,235267,camy,camies,0
"First, there were two camies. Now there is one cam","First, there was one camy. Now there are two cam",235267,924,camy,camies,1
"First, there was one pever. Now there are two pe","First, there were two pevers. Now there is one pe",1267,598,pever,pevers,0
"First, there were two pevers. Now there is one pe","First, there was one pever. Now there are two pe",598,1267,pever,pevers,1
"First, there was one dystew. Now there are two dyste","First, there were two dystews. Now there is one dyste",4677,235271,dystew,dystews,0
"First, there were two dystews. Now there is one dyste","First, there was one dystew. Now there are two dyste",235271,4677,dystew,dystews,1
"First, there was one grorde. Now there are two gr","First, there were two grordes. Now there is one gr",98093,29141,grorde,grordes,0
"First, there were two grordes. Now there is one gr","First, there was one grorde. Now there are two gr",29141,98093,grorde,grordes,1
"First, there was one vipsion. Now there are two vip","First, there were two vipsions. Now there is one vip",1974,817,vipsion,vipsions,0
"First, there were two vipsions. Now there is one vip","First, there was one vipsion. Now there are two vip",817,1974,vipsion,vipsions,1
"First, there was one coakle. Now there are two coak","First, there were two coakles. Now there is one coak",982,494,coakle,coakles,0
"First, there were two coakles. Now there is one coak","First, there was one coakle. Now there are two coak",494,982,coakle,coakles,1
"First, there was one streed. Now there are two stre","First, there were two streeds. Now there is one stre",4325,509,streed,streeds,0
"First, there were two streeds. Now there is one stre","First, there was one streed. Now there are two stre",509,4325,streed,streeds,1
"First, there was one rubeup. Now there are two rube","First, there were two rubeups. Now there is one rube",11984,1021,rubeup,rubeups,0
"First, there were two rubeups. Now there is one rube","First, there was one rubeup. Now there are two rube",1021,11984,rubeup,rubeups,1
"First, there was one deplie. Now there are two dep","First, there were two deplies. Now there is one dep",3439,2037,deplie,deplies,0
"First, there were two deplies. Now there is one dep","First, there was one deplie. Now there are two dep",2037,3439,deplie,deplies,1
"First, there was one simage. Now there are two si","First, there were two simages. Now there is one si",7691,1184,simage,simages,0
"First, there were two simages. Now there is one si","First, there was one simage. Now there are two si",1184,7691,simage,simages,1
"First, there was one fasp. Now there are two fas","First, there were two fasps. Now there is one fas",833,235263,fasp,fasps,0
"First, there were two fasps. Now there is one fas","First, there was one fasp. Now there are two fas",235263,833,fasp,fasps,1
"First, there was one pasy. Now there are two pas","First, there were two pasies. Now there is one pas",924,235267,pasy,pasies,0
"First, there were two pasies. Now there is one pas","First, there was one pasy. Now there are two pas",235267,924,pasy,pasies,1
"First, there was one fillure. Now there are two fill","First, there were two fillures. Now there is one fill",1415,711,fillure,fillures,0
"First, there were two fillures. Now there is one fill","First, there was one fillure. Now there are two fill",711,1415,fillure,fillures,1
"First, there was one sedel. Now there are two se","First, there were two sedels. Now there is one se",36890,1020,sedel,sedels,0
"First, there were two sedels. Now there is one se","First, there was one sedel. Now there are two se",1020,36890,sedel,sedels,1
"First, there was one whock. Now there are two who","First, there were two whocks. Now there is one who",2337,623,whock,whocks,0
"First, there were two whocks. Now there is one who","First, there was one whock. Now there are two who",623,2337,whock,whocks,1
"First, there was one soule. Now there are two sou","First, there were two soules. Now there is one sou",982,494,soule,soules,0
"First, there were two soules. Now there is one sou","First, there was one soule. Now there are two sou",494,982,soule,soules,1
"First, there was one precerry. Now there are two precer","First, there were two precerries. Now there is one precer",2235,831,precerry,precerries,0
"First, there were two precerries. Now there is one precer","First, there was one precerry. Now there are two precer",831,2235,precerry,precerries,1
"First, there was one queep. Now there are two que","First, there were two queeps. Now there is one que",9268,810,queep,queeps,0
"First, there were two queeps. Now there is one que","First, there was one queep. Now there are two que",810,9268,queep,queeps,1
"First, there was one clalt. Now there are two cl","First, there were two clalts. Now there is one cl",100168,3856,clalt,clalts,0
"First, there were two clalts. Now there is one cl","First, there was one clalt. Now there are two cl",3856,100168,clalt,clalts,1
"First, there was one ammeal. Now there are two am","First, there were two ammeals. Now there is one am",99138,33709,ammeal,ammeals,0
"First, there were two ammeals. Now there is one am","First, there was one ammeal. Now there are two am",33709,99138,ammeal,ammeals,1
"First, there was one myntem. Now there are two myn","First, there were two myntems. Now there is one myn",78377,686,myntem,myntems,0
"First, there were two myntems. Now there is one myn","First, there was one myntem. Now there are two myn",686,78377,myntem,myntems,1
"First, there was one uffime. Now there are two uff","First, there were two uffimes. Now there is one uff",2373,882,uffime,uffimes,0
"First, there were two uffimes. Now there is one uff","First, there was one uffime. Now there are two uff",882,2373,uffime,uffimes,1
"First, there was one groress. Now there are two gro","First, there were two groresses. Now there is one gro",22590,1054,groress,groresses,0
"First, there were two groresses. Now there is one gro","First, there was one groress. Now there are two gro",1054,22590,groress,groresses,1
"First, there was one casy. Now there are two cas","First, there were two casies. Now there is one cas",924,235267,casy,casies,0
"First, there were two casies. Now there is one cas","First, there was one casy. Now there are two cas",235267,924,casy,casies,1
"First, there was one unker. Now there are two un","First, there were two unkers. Now there is one un",13803,2303,unker,unkers,0
"First, there were two unkers. Now there is one un","First, there was one unker. Now there are two un",2303,13803,unker,unkers,1
"First, there was one fighure. Now there are two figh","First, there were two fighures. Now there is one figh",1415,711,fighure,fighures,0
"First, there were two fighures. Now there is one figh","First, there was one fighure. Now there are two figh",711,1415,fighure,fighures,1
"First, there was one virefision. Now there are two viref","First, there were two virefisions. Now there is one viref",22663,1585,virefision,virefisions,0
