clean,capital,country,country_idx,corrupted,corrupted_capital,corrupted_country,corrupted_country_idx
" Paris, the capital of",Paris,France,9822," Nairobi, the capital of",Nairobi,Kenya,37766
" Libreville, the capital of",Libreville,Gabon,24664," Bishkek, the capital of",Bishkek,Kyrgyzstan,23727
" Banjul, the capital of",Banjul,Gambia,480," Nicosia, the capital of",Nicosia,Cyprus,57784
" Tbilisi, the capital of",Tbilisi,Georgia,16272," Skopje, the capital of",Skopje,North Macedonia,4892
" Berlin, the capital of",Berlin,Germany,10057," Ankara, the capital of",Ankara,Turkey,17442
" Accra, the capital of",Accra,Ghana,48668," Moroni, the capital of",Moroni,Comoros,1219
" Athens, the capital of",Athens,Greece,25431," Jakarta, the capital of",Jakarta,Indonesia,24922
" Saint George's, the capital of",Saint George's,Grenada,39224," Bishkek, the capital of",Bishkek,Kyrgyzstan,23727
" Guatemala City, the capital of",Guatemala City,Guatemala,63078," Rabat, the capital of",Rabat,Morocco,59230
" Conakry, the capital of",Conakry,Guinea,48903," Asmara, the capital of",Asmara,Eritrea,469
" Bissau, the capital of",Bissau,Guinea-Bissau,48903," Valletta, the capital of",Valletta,Malta,61750
" Georgetown, the capital of",Georgetown,Guyana,26340," Victoria, the capital of",Victoria,Seychelles,58980
" Port au Prince, the capital of",Port au Prince,Haiti,56290," Kigali, the capital of",Kigali,Rwanda,79204
" Tegucigalpa, the capital of",Tegucigalpa,Honduras,71415," Bandar Seri Begawan, the capital of",Bandar Seri Begawan,Brunei,3320
" Budapest, the capital of",Budapest,Hungary,43876," Bern, the capital of",Bern,Switzerland,30221
" Reykjavik, the capital of",Reykjavik,Iceland,39496," Phnom Penh, the capital of",Phnom Penh,Cambodia,62138
" New Delhi, the capital of",New Delhi,India,6890," Astana, the capital of",Astana,Kazakhstan,73537
" Jakarta, the capital of",Jakarta,Indonesia,24922," Lima, the capital of",Lima,Peru,48847
" Tehran, the capital of",Tehran,Iran,10471," Baghdad, the capital of",Baghdad,Iraq,11340
" Baghdad, the capital of",Baghdad,Iraq,11340," Kiev, the capital of",Kiev,Ukraine,19278
" Dublin, the capital of",Dublin,Ireland,14990," Berlin, the capital of",Berlin,Germany,10057
" Jerusalem, the capital of",Jerusalem,Israel,6921," Beijing, the capital of",Beijing,China,5734
" Rome, the capital of",Rome,Italy,15704," Oslo, the capital of",Oslo,Norway,32603
" Kingston, the capital of",Kingston,Jamaica,57275," Wellington, the capital of",Wellington,New Zealand,1561
" Tokyo, the capital of",Tokyo,Japan,6457," Damascus, the capital of",Damascus,Syria,12911
" Amman, the capital of",Amman,Jordan,17527," Cape Town, the capital of",Cape Town,South Africa,4987
" Astana, the capital of",Astana,Kazakhstan,73537," Tripoli, the capital of",Tripoli,Libya,38059
" Nairobi, the capital of",Nairobi,Kenya,37766," Bern, the capital of",Bern,Switzerland,30221
" Tarawa Atoll, the capital of",Tarawa Atoll,Kiribati,26608," Antananarivo, the capital of",Antananarivo,Madagascar,95728
" Pristina, the capital of",Pristina,Kosovo,80997," Freetown, the capital of",Freetown,Sierra Leone,36903
" Kuwait City, the capital of",Kuwait City,Kuwait,57111," Minsk, the capital of",Minsk,Belarus,70606
" Bishkek, the capital of",Bishkek,Kyrgyzstan,23727," Vilnius, the capital of",Vilnius,Lithuania,71606
" Vientiane, the capital of",Vientiane,Laos,96844," Maseru, the capital of",Maseru,Lesotho,11876
" Riga, the capital of",Riga,Latvia,79258," Belgrade, the capital of",Belgrade,Serbia,59814
" Beirut, the capital of",Beirut,Lebanon,40371," Baghdad, the capital of",Baghdad,Iraq,11340
" Maseru, the capital of",Maseru,Lesotho,11876," Asuncion, the capital of",Asuncion,Paraguay,4366
" Monrovia, the capital of",Monrovia,Liberia,84625," Bissau, the capital of",Bissau,Guinea-Bissau,48903
" Tripoli, the capital of",Tripoli,Libya,38059," Praia, the capital of",Praia,Cape Verde,29715
" Vaduz, the capital of",Vaduz,Liechtenstein,22213," Kuwait City, the capital of",Kuwait City,Kuwait,57111
" Vilnius, the capital of",Vilnius,Lithuania,71606," Gitega, the capital of",Gitega,Burundi,12649
" Luxembourg, the capital of",Luxembourg,Luxembourg,65971," Dublin, the capital of",Dublin,Ireland,14990
" Antananarivo, the capital of",Antananarivo,Madagascar,95728," Tarawa Atoll, the capital of",Tarawa Atoll,Kiribati,26608
" Lilongwe, the capital of",Lilongwe,Malawi,8560," Kathmandu, the capital of",Kathmandu,Nepal,50064
" Kuala Lumpur, the capital of",Kuala Lumpur,Malaysia,28796," Bogota, the capital of",Bogota,Colombia,39133
" Male, the capital of",Male,Maldives,8560," Georgetown, the capital of",Georgetown,Guyana,26340
" Bamako, the capital of",Bamako,Mali,64994," Kuwait City, the capital of",Kuwait City,Kuwait,57111
" Valletta, the capital of",Valletta,Malta,61750," Yaounde, the capital of",Yaounde,Cameroon,95108
" Majuro, the capital of",Majuro,Marshall Islands,30508," Brasilia, the capital of",Brasilia,Brazil,16327
" Nouakchott, the capital of",Nouakchott,Mauritania,89313," Mogadishu, the capital of",Mogadishu,Somalia,60851
" Port Louis, the capital of",Port Louis,Mauritius,89313," La Paz, the capital of",La Paz,Bolivia,77710
" Mexico City, the capital of",Mexico City,Mexico,12550," Dili, the capital of",Dili,East Timor,6460
" Chisinau, the capital of",Chisinau,Moldova,55263," Brazzaville, the capital of",Brazzaville,Congo,54932
" Ulaanbaatar, the capital of",Ulaanbaatar,Mongolia,91850," Ouagadougou, the capital of",Ouagadougou,Burkina Faso,71740
" Podgorica, the capital of",Podgorica,Montenegro,9995," Funafuti, the capital of",Funafuti,Tuvalu,29749
" Rabat, the capital of",Rabat,Morocco,59230," Kuwait City, the capital of",Kuwait City,Kuwait,57111
" Maputo, the capital of",Maputo,Mozambique,52543," Apia, the capital of",Apia,Samoa,88120
" Nay Pyi Taw, the capital of",Nay Pyi Taw,Myanmar,53455," Ulaanbaatar, the capital of",Ulaanbaatar,Mongolia,91850
" Windhoek, the capital of",Windhoek,Namibia,31074," Lilongwe, the capital of",Lilongwe,Malawi,8560
" Kathmandu, the capital of",Kathmandu,Nepal,50064," Mbabana, the capital of",Mbabana,Eswatini,469
" Amsterdam, the capital of",Amsterdam,Netherlands,26746," Kabul, the capital of",Kabul,Afghanistan,21139
" Wellington, the capital of",Wellington,New Zealand,1561," Stockholm, the capital of",Stockholm,Sweden,24067
" Managua, the capital of",Managua,Nicaragua,77424," Dili, the capital of",Dili,East Timor,6460
" Niamey, the capital of",Niamey,Niger,20992," Tbilisi, the capital of",Tbilisi,Georgia,16272
" Abuja, the capital of",Abuja,Nigeria,29258," Kuwait City, the capital of",Kuwait City,Kuwait,57111
" Pyongyang, the capital of",Pyongyang,North Korea,4892," Cairo, the capital of",Cairo,Egypt,15212
" Skopje, the capital of",Skopje,North Macedonia,4892," Kigali, the capital of",Kigali,Rwanda,79204
" Oslo, the capital of",Oslo,Norway,32603," Stockholm, the capital of",Stockholm,Sweden,24067
" Muscat, the capital of",Muscat,Oman,82225," Belgrade, the capital of",Belgrade,Serbia,59814
" Islamabad, the capital of",Islamabad,Pakistan,17076," Baghdad, the capital of",Baghdad,Iraq,11340
" Melekeok, the capital of",Melekeok,Palau,11165," Belmopan, the capital of",Belmopan,Belize,98104
" Panama City, the capital of",Panama City,Panama,49136," Bamako, the capital of",Bamako,Mali,64994
" Port Moresby, the capital of",Port Moresby,Papua New Guinea,90181," Tashkent, the capital of",Tashkent,Uzbekistan,90959
" Asuncion, the capital of",Asuncion,Paraguay,4366," Yaounde, the capital of",Yaounde,Cameroon,95108
" Lima, the capital of",Lima,Peru,48847," Tokyo, the capital of",Tokyo,Japan,6457
" Manila, the capital of",Manila,Philippines,26363," Havana, the capital of",Havana,Cuba,32777
" Warsaw, the capital of",Warsaw,Poland,28702," Prague, the capital of",Prague,Czech Republic,34250
" Lisbon, the capital of",Lisbon,Portugal,34411," Damascus, the capital of",Damascus,Syria,12911
" Doha, the capital of",Doha,Qatar,43018," Accra, the capital of",Accra,Ghana,48668
" Bucharest, the capital of",Bucharest,Romania,47149," Tirana, the capital of",Tirana,Albania,95733
" Moscow, the capital of",Moscow,Russia,8524," Helsinki, the capital of",Helsinki,Finland,37355
" Kigali, the capital of",Kigali,Rwanda,79204," Funafuti, the capital of",Funafuti,Tuvalu,29749
" Basseterre, the capital of",Basseterre,Saint Kitts and Nevis,14539," Banjul, the capital of",Banjul,Gambia,480
" Castries, the capital of",Castries,Saint Lucia,14539," Quito, the capital of",Quito,Ecuador,55091
" Kingstown, the capital of",Kingstown,Saint Vincent and the Grenadines,14539," Malabo, the capital of",Malabo,Equatorial Guinea,11964
" Apia, the capital of",Apia,Samoa,88120," Managua, the capital of",Managua,Nicaragua,77424
" Sao Tome, the capital of",Sao Tome,Sao Tome and Principe,90972," Bucharest, the capital of",Bucharest,Romania,47149
" Riyadh, the capital of",Riyadh,Saudi Arabia,18387," Jerusalem, the capital of",Jerusalem,Israel,6921
" Dakar, the capital of",Dakar,Senegal,5476," Dhaka, the capital of",Dhaka,Bangladesh,39601
" Belgrade, the capital of",Belgrade,Serbia,59814," Port Louis, the capital of",Port Louis,Mauritius,89313
" Victoria, the capital of",Victoria,Seychelles,58980," Brussels, the capital of",Brussels,Belgium,34061
" Freetown, the capital of",Freetown,Sierra Leone,36903," Niamey, the capital of",Niamey,Niger,20992
" Bratislava, the capital of",Bratislava,Slovakia,81785," Santo Domingo, the capital of",Santo Domingo,Dominican Republic,67113
" Ljubljana, the capital of",Ljubljana,Slovenia,79317," Ouagadougou, the capital of",Ouagadougou,Burkina Faso,71740
" Honiara, the capital of",Honiara,Solomon Islands,50899," Washington D.C., the capital of",Washington D.C.,United States,3723
" Mogadishu, the capital of",Mogadishu,Somalia,60851," Belmopan, the capital of",Belmopan,Belize,98104
" Cape Town, the capital of",Cape Town,South Africa,4987," Buenos Aires, the capital of",Buenos Aires,Argentina,32164
" Seoul, the capital of",Seoul,South Korea,4987," Nairobi, the capital of",Nairobi,Kenya,37766
" Juba, the capital of",Juba,South Sudan,4987," Bangui, the capital of",Bangui,Central African Republic,10913
" Madrid, the capital of",Madrid,Spain,18157," Baghdad, the capital of",Baghdad,Iraq,11340
" Khartoum, the capital of",Khartoum,Sudan,43554," Tashkent, the capital of",Tashkent,Uzbekistan,90959
" Paramaribo, the capital of",Paramaribo,Suriname,8242," Conakry, the capital of",Conakry,Guinea,48903
" Stockholm, the capital of",Stockholm,Sweden,24067," Georgetown, the capital of",Georgetown,Guyana,26340
" Bern, the capital of",Bern,Switzerland,30221," Jerusalem, the capital of",Jerusalem,Israel,6921
" Damascus, the capital of",Damascus,Syria,12911," Ankara, the capital of",Ankara,Turkey,17442
" Taipei, the capital of",Taipei,Taiwan,29389," Victoria, the capital of",Victoria,Seychelles,58980
" Dushanbe, the capital of",Dushanbe,Tajikistan,67799," N'Djamena, the capital of",N'Djamena,Chad,43130
" Dodoma, the capital of",Dodoma,Tanzania,69894," Dili, the capital of",Dili,East Timor,6460
" Bangkok, the capital of",Bangkok,Thailand,30567," Canberra, the capital of",Canberra,Australia,8494
" Lome, the capital of",Lome,Togo,350," Tallinn, the capital of",Tallinn,Estonia,69462
" Nuku'alofa, the capital of",Nuku'alofa,Tonga,51491," Andorra la Vella, the capital of",Andorra la Vella,Andorra,1628
" Port of Spain, the capital of",Port of Spain,Trinidad and Tobago,86230," Pristina, the capital of",Pristina,Kosovo,80997
" Tunis, the capital of",Tunis,Tunisia,77935," Tokyo, the capital of",Tokyo,Japan,6457
" Ankara, the capital of",Ankara,Turkey,17442," Brussels, the capital of",Brussels,Belgium,34061
" Ashgabat, the capital of",Ashgabat,Turkmenistan,21187," Nouakchott, the capital of",Nouakchott,Mauritania,89313
" Funafuti, the capital of",Funafuti,Tuvalu,29749," Asuncion, the capital of",Asuncion,Paraguay,4366
" Kampala, the capital of",Kampala,Uganda,58149," Tripoli, the capital of",Tripoli,Libya,38059
" Kiev, the capital of",Kiev,Ukraine,19278," Budapest, the capital of",Budapest,Hungary,43876
" Abu Dhabi, the capital of",Abu Dhabi,UAE,47949," Belgrade, the capital of",Belgrade,Serbia,59814
" London, the capital of",London,United Kingdom,3723," Moscow, the capital of",Moscow,Russia,8524
" Washington D.C., the capital of",Washington D.C.,United States,3723," Valletta, the capital of",Valletta,Malta,61750
" Montevideo, the capital of",Montevideo,Uruguay,73390," Asmara, the capital of",Asmara,Eritrea,469
" Tashkent, the capital of",Tashkent,Uzbekistan,90959," Brazzaville, the capital of",Brazzaville,Congo,54932
" Port Vila, the capital of",Port Vila,Vanuatu,13000," Tbilisi, the capital of",Tbilisi,Georgia,16272
" Caracas, the capital of",Caracas,Venezuela,37003," Kuwait City, the capital of",Kuwait City,Kuwait,57111
" Hanoi, the capital of",Hanoi,Vietnam,23315," Doha, the capital of",Doha,Qatar,43018
" Sana'a, the capital of",Sana'a,Yemen,33790," Mbabana, the capital of",Mbabana,Eswatini,469
" Lusaka, the capital of",Lusaka,Zambia,95104," Bissau, the capital of",Bissau,Guinea-Bissau,48903
" Harare, the capital of",Harare,Zimbabwe,52320," Mexico City, the capital of",Mexico City,Mexico,12550
