,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
545,"After Gregory and Anthony went to the house, Anthony gave a snack to","After Gregory and Anthony went to the house, Kimberly gave a snack to","After Gregory and Anthony went to the house, Gregory gave a snack to",42969,20696
279,"Then, Melissa and Adam had a long argument, and afterwards Melissa said to","Then, Melissa and Adam had a long argument, and afterwards Mark said to","Then, Melissa and Adam had a long argument, and afterwards Adam said to",15037,47048
720,"Then, Sarah and Katie had a lot of fun at the garden. Katie gave a bone to","Then, Sarah and Katie had a lot of fun at the garden. Sean gave a bone to","Then, Sarah and Katie had a lot of fun at the garden. Sarah gave a bone to",20445,44463
644,"After Andrea and Christina went to the garden, Andrea gave a basketball to","After Andrea and Christina went to the garden, Robert gave a basketball to","After Andrea and Christina went to the garden, Christina gave a basketball to",59671,40084
665,"Then, Joshua and Brandon were working at the garden. Joshua decided to give a snack to","Then, Joshua and Brandon were working at the garden. Crystal decided to give a snack to","Then, Joshua and Brandon were working at the garden. Brandon decided to give a snack to",31766,39492
546,"Then, Sarah and Danielle were working at the store. Danielle decided to give a snack to","Then, Sarah and Danielle were working at the store. Scott decided to give a snack to","Then, Sarah and Danielle were working at the store. Sarah decided to give a snack to",20445,71616
448,"Then, Kristen and Sara were working at the hospital. Sara decided to give a necklace to","Then, Kristen and Sara were working at the hospital. Robert decided to give a necklace to","Then, Kristen and Sara were working at the hospital. Kristen decided to give a necklace to",76114,42920
707,"Then, Brian and Lindsay were working at the restaurant. Lindsay decided to give a basketball to","Then, Brian and Lindsay were working at the restaurant. Kenneth decided to give a basketball to","Then, Brian and Lindsay were working at the restaurant. Brian decided to give a basketball to",17083,62784
647,"Then, Mark and Gregory were thinking about going to the garden. Gregory wanted to give a bone to","Then, Mark and Gregory were thinking about going to the garden. Danielle wanted to give a bone to","Then, Mark and Gregory were thinking about going to the garden. Mark wanted to give a bone to",4389,42969
299,"Then, Erin and Jose were thinking about going to the station. Jose wanted to give a snack to","Then, Erin and Jose were thinking about going to the station. Cody wanted to give a snack to","Then, Erin and Jose were thinking about going to the station. Erin wanted to give a snack to",55814,10860
28,"Then, Elizabeth and Nathan had a long argument, and afterwards Nathan said to","Then, Elizabeth and Nathan had a long argument, and afterwards Alexander said to","Then, Elizabeth and Nathan had a long argument, and afterwards Elizabeth said to",20731,36737
569,"Then, Benjamin and Aaron were thinking about going to the school. Benjamin wanted to give a drink to","Then, Benjamin and Aaron were thinking about going to the school. Michelle wanted to give a drink to","Then, Benjamin and Aaron were thinking about going to the school. Aaron wanted to give a drink to",25673,29311
175,"Then, Jamie and Sean had a lot of fun at the station. Jamie gave a snack to","Then, Jamie and Sean had a lot of fun at the station. Alicia gave a snack to","Then, Jamie and Sean had a lot of fun at the station. Sean gave a snack to",24995,35757
127,"Then, Jamie and Nicholas went to the restaurant. Nicholas gave a drink to","Then, Jamie and Nicholas went to the restaurant. Brittany gave a drink to","Then, Jamie and Nicholas went to the restaurant. Jamie gave a drink to",35757,39696
174,"After Samuel and Rebecca went to the store, Samuel gave a computer to","After Samuel and Rebecca went to the store, Courtney gave a computer to","After Samuel and Rebecca went to the store, Rebecca gave a computer to",44457,31907
9,"Then, Joseph and Courtney were thinking about going to the hospital. Courtney wanted to give a computer to","Then, Joseph and Courtney were thinking about going to the hospital. Joshua wanted to give a computer to","Then, Joseph and Courtney were thinking about going to the hospital. Joseph wanted to give a computer to",15115,70682
139,"Then, Jennifer and David were working at the office. David decided to give a bone to","Then, Jennifer and David were working at the office. Gregory decided to give a bone to","Then, Jennifer and David were working at the office. Jennifer decided to give a bone to",29650,6798
640,"Then, Paul and Kyle had a lot of fun at the hospital. Paul gave a drink to","Then, Paul and Kyle had a lot of fun at the hospital. Jacob gave a drink to","Then, Paul and Kyle had a lot of fun at the hospital. Kyle gave a drink to",30259,6898
814,"Then, Jonathan and Lindsey had a long argument, and afterwards Lindsey said to","Then, Jonathan and Lindsey had a long argument, and afterwards Anthony said to","Then, Jonathan and Lindsey had a long argument, and afterwards Jonathan said to",23269,64279
726,"After Katie and Mark went to the house, Katie gave a necklace to","After Katie and Mark went to the house, Thomas gave a necklace to","After Katie and Mark went to the house, Mark gave a necklace to",4389,44463
620,"After Brian and Samuel went to the school, Samuel gave a drink to","After Brian and Samuel went to the school, Lindsay gave a drink to","After Brian and Samuel went to the school, Brian gave a drink to",17083,31907
676,"Then, Heather and Paul went to the house. Paul gave a drink to","Then, Heather and Paul went to the house. Thomas gave a drink to","Then, Heather and Paul went to the house. Heather gave a drink to",46263,6898
721,"When Mary and Erica got a ring at the school, Mary decided to give it to","When Mary and Erica got a ring at the school, Dustin decided to give it to","When Mary and Erica got a ring at the school, Erica decided to give it to",91835,10244
10,"Then, Amber and Joshua were thinking about going to the school. Amber wanted to give a drink to","Then, Amber and Joshua were thinking about going to the school. Kevin wanted to give a drink to","Then, Amber and Joshua were thinking about going to the school. Joshua wanted to give a drink to",39492,46664
968,"When Scott and Timothy got a kiss at the house, Timothy decided to give it to","When Scott and Timothy got a kiss at the house, Angela decided to give it to","When Scott and Timothy got a kiss at the house, Scott decided to give it to",9815,44468
286,"Then, Bryan and Jennifer had a lot of fun at the store. Bryan gave a necklace to","Then, Bryan and Jennifer had a lot of fun at the store. James gave a necklace to","Then, Bryan and Jennifer had a lot of fun at the store. Jennifer gave a necklace to",29650,36353
557,"Then, Thomas and Lisa had a lot of fun at the office. Lisa gave a kiss to","Then, Thomas and Lisa had a lot of fun at the office. Angela gave a kiss to","Then, Thomas and Lisa had a lot of fun at the office. Thomas gave a kiss to",11108,28556
394,"Then, Kristen and Mary were working at the office. Mary decided to give a drink to","Then, Kristen and Mary were working at the office. Lindsey decided to give a drink to","Then, Kristen and Mary were working at the office. Kristen decided to give a drink to",76114,10244
482,"Then, Bradley and Stephanie went to the school. Bradley gave a ring to","Then, Bradley and Stephanie went to the school. Justin gave a ring to","Then, Bradley and Stephanie went to the school. Stephanie gave a ring to",48143,36448
718,"Then, Jeremy and Adam went to the restaurant. Adam gave a basketball to","Then, Jeremy and Adam went to the restaurant. Nicholas gave a basketball to","Then, Jeremy and Adam went to the restaurant. Jeremy gave a basketball to",27118,15037
379,"After Joseph and Jennifer went to the hospital, Jennifer gave a basketball to","After Joseph and Jennifer went to the hospital, Thomas gave a basketball to","After Joseph and Jennifer went to the hospital, Joseph gave a basketball to",15115,29650
349,"When Jacob and Nicole got a computer at the house, Jacob decided to give it to","When Jacob and Nicole got a computer at the house, Melissa decided to give it to","When Jacob and Nicole got a computer at the house, Nicole decided to give it to",44030,24521
527,"Then, Adam and Kimberly had a lot of fun at the office. Kimberly gave a drink to","Then, Adam and Kimberly had a lot of fun at the office. Lisa gave a drink to","Then, Adam and Kimberly had a lot of fun at the office. Adam gave a drink to",15037,85653
2,"After Jesse and Thomas went to the station, Jesse gave a ring to","After Jesse and Thomas went to the station, Robert gave a ring to","After Jesse and Thomas went to the station, Thomas gave a ring to",11108,39171
666,"When Patrick and Emily got a computer at the store, Emily decided to give it to","When Patrick and Emily got a computer at the store, Nicholas decided to give it to","When Patrick and Emily got a computer at the store, Patrick decided to give it to",19626,34166
758,"Then, Jeremy and Joshua were working at the restaurant. Joshua decided to give a drink to","Then, Jeremy and Joshua were working at the restaurant. Jonathan decided to give a drink to","Then, Jeremy and Joshua were working at the restaurant. Jeremy decided to give a drink to",27118,39492
519,"Then, Brian and Katherine went to the office. Katherine gave a ring to","Then, Brian and Katherine went to the office. Amy gave a ring to","Then, Brian and Katherine went to the office. Brian gave a ring to",17083,61326
455,"Then, Elizabeth and Jeffrey had a lot of fun at the hospital. Jeffrey gave a snack to","Then, Elizabeth and Jeffrey had a lot of fun at the hospital. Christine gave a snack to","Then, Elizabeth and Jeffrey had a lot of fun at the hospital. Elizabeth gave a snack to",20731,41007
156,"Then, Bradley and Timothy were thinking about going to the office. Bradley wanted to give a drink to","Then, Bradley and Timothy were thinking about going to the office. Charles wanted to give a drink to","Then, Bradley and Timothy were thinking about going to the office. Timothy wanted to give a drink to",44468,36448
381,"Then, Matthew and Tiffany had a long argument, and afterwards Matthew said to","Then, Matthew and Tiffany had a long argument, and afterwards Justin said to","Then, Matthew and Tiffany had a long argument, and afterwards Tiffany said to",67473,18939
793,"Then, Richard and Mary had a long argument, and afterwards Richard said to","Then, Richard and Mary had a long argument, and afterwards Lindsay said to","Then, Richard and Mary had a long argument, and afterwards Mary said to",10244,11867
991,"After Kristen and Jason went to the hospital, Jason gave a basketball to","After Kristen and Jason went to the hospital, Bradley gave a basketball to","After Kristen and Jason went to the hospital, Kristen gave a basketball to",76114,18477
702,"Then, Matthew and Amber had a lot of fun at the school. Amber gave a bone to","Then, Matthew and Amber had a lot of fun at the school. Samuel gave a bone to","Then, Matthew and Amber had a lot of fun at the school. Matthew gave a bone to",18939,46664
316,"Then, Lisa and Crystal had a long argument, and afterwards Lisa said to","Then, Lisa and Crystal had a long argument, and afterwards Mark said to","Then, Lisa and Crystal had a long argument, and afterwards Crystal said to",27916,28556
889,"After Steven and Jesse went to the restaurant, Steven gave a necklace to","After Steven and Jesse went to the restaurant, Jessica gave a necklace to","After Steven and Jesse went to the restaurant, Jesse gave a necklace to",39171,23644
155,"After Laura and Nicholas went to the garden, Nicholas gave a necklace to","After Laura and Nicholas went to the garden, Richard gave a necklace to","After Laura and Nicholas went to the garden, Laura gave a necklace to",29828,39696
367,"Then, Thomas and Sarah were working at the garden. Thomas decided to give a necklace to","Then, Thomas and Sarah were working at the garden. Bryan decided to give a necklace to","Then, Thomas and Sarah were working at the garden. Sarah decided to give a necklace to",20445,11108
47,"Then, Angela and Amber had a long argument, and afterwards Amber said to","Then, Angela and Amber had a long argument, and afterwards Kenneth said to","Then, Angela and Amber had a long argument, and afterwards Angela said to",37143,46664
302,"Then, John and Matthew had a long argument, and afterwards Matthew said to","Then, John and Matthew had a long argument, and afterwards Jason said to","Then, John and Matthew had a long argument, and afterwards John said to",3757,18939
111,"Then, Ryan and Brandon were thinking about going to the school. Ryan wanted to give a bone to","Then, Ryan and Brandon were thinking about going to the school. Brittany wanted to give a bone to","Then, Ryan and Brandon were thinking about going to the school. Brandon wanted to give a bone to",31766,13646
881,"After Nicholas and Robert went to the garden, Robert gave a drink to","After Nicholas and Robert went to the garden, Paul gave a drink to","After Nicholas and Robert went to the garden, Nicholas gave a drink to",39696,8397
58,"After Jason and Jacob went to the hospital, Jason gave a bone to","After Jason and Jacob went to the hospital, Ashley gave a bone to","After Jason and Jacob went to the hospital, Jacob gave a bone to",24521,18477
772,"Then, Kenneth and Lindsay had a lot of fun at the store. Kenneth gave a drink to","Then, Kenneth and Lindsay had a lot of fun at the store. Vanessa gave a drink to","Then, Kenneth and Lindsay had a lot of fun at the store. Lindsay gave a drink to",62784,48398
801,"Then, Bryan and Sara went to the restaurant. Sara gave a necklace to","Then, Bryan and Sara went to the restaurant. Lindsey gave a necklace to","Then, Bryan and Sara went to the restaurant. Bryan gave a necklace to",36353,42920
704,"Then, Rebecca and Andrew were working at the restaurant. Andrew decided to give a drink to","Then, Rebecca and Andrew were working at the restaurant. Daniel decided to give a drink to","Then, Rebecca and Andrew were working at the restaurant. Rebecca decided to give a drink to",44457,13615
397,"Then, Jeremy and Kristen were thinking about going to the store. Jeremy wanted to give a necklace to","Then, Jeremy and Kristen were thinking about going to the store. Daniel wanted to give a necklace to","Then, Jeremy and Kristen were thinking about going to the store. Kristen wanted to give a necklace to",76114,27118
770,"Then, James and Jose were thinking about going to the house. James wanted to give a snack to","Then, James and Jose were thinking about going to the house. David wanted to give a snack to","Then, James and Jose were thinking about going to the house. Jose wanted to give a snack to",10860,7801
754,"Then, Joseph and Katie had a long argument, and afterwards Joseph said to","Then, Joseph and Katie had a long argument, and afterwards Sean said to","Then, Joseph and Katie had a long argument, and afterwards Katie said to",44463,15115
17,"When Lauren and Lindsay got a ring at the hospital, Lauren decided to give it to","When Lauren and Lindsay got a ring at the hospital, Crystal decided to give it to","When Lauren and Lindsay got a ring at the hospital, Lindsay decided to give it to",62784,42360
307,"After Lauren and Robert went to the house, Lauren gave a necklace to","After Lauren and Robert went to the house, Sarah gave a necklace to","After Lauren and Robert went to the house, Robert gave a necklace to",8397,42360
474,"Then, Brandon and Rebecca went to the store. Rebecca gave a basketball to","Then, Brandon and Rebecca went to the store. Tyler gave a basketball to","Then, Brandon and Rebecca went to the store. Brandon gave a basketball to",31766,44457
305,"Then, Stephen and Jeffrey went to the house. Jeffrey gave a ring to","Then, Stephen and Jeffrey went to the house. James gave a ring to","Then, Stephen and Jeffrey went to the house. Stephen gave a ring to",18095,41007
834,"After Tyler and Crystal went to the school, Crystal gave a necklace to","After Tyler and Crystal went to the school, Jessica gave a necklace to","After Tyler and Crystal went to the school, Tyler gave a necklace to",31220,27916
32,"Then, Joshua and Tiffany were thinking about going to the school. Tiffany wanted to give a basketball to","Then, Joshua and Tiffany were thinking about going to the school. Kenneth wanted to give a basketball to","Then, Joshua and Tiffany were thinking about going to the school. Joshua wanted to give a basketball to",39492,67473
821,"When Shannon and Kenneth got a bone at the garden, Shannon decided to give it to","When Shannon and Kenneth got a bone at the garden, Emily decided to give it to","When Shannon and Kenneth got a bone at the garden, Kenneth decided to give it to",48398,53663
386,"When Jesse and Laura got a basketball at the office, Jesse decided to give it to","When Jesse and Laura got a basketball at the office, Emily decided to give it to","When Jesse and Laura got a basketball at the office, Laura decided to give it to",29828,39171
682,"Then, Jose and Joseph were working at the restaurant. Joseph decided to give a necklace to","Then, Jose and Joseph were working at the restaurant. Erin decided to give a necklace to","Then, Jose and Joseph were working at the restaurant. Jose decided to give a necklace to",10860,15115
306,"Then, Elizabeth and Amber were thinking about going to the office. Elizabeth wanted to give a ring to","Then, Elizabeth and Amber were thinking about going to the office. Michael wanted to give a ring to","Then, Elizabeth and Amber were thinking about going to the office. Amber wanted to give a ring to",46664,20731
419,"Then, Daniel and Brandon were working at the house. Brandon decided to give a kiss to","Then, Daniel and Brandon were working at the house. Timothy decided to give a kiss to","Then, Daniel and Brandon were working at the house. Daniel decided to give a kiss to",15118,31766
633,"Then, Katie and Samuel had a long argument, and afterwards Katie said to","Then, Katie and Samuel had a long argument, and afterwards Heather said to","Then, Katie and Samuel had a long argument, and afterwards Samuel said to",31907,44463
591,"When Lauren and Heather got a drink at the garden, Lauren decided to give it to","When Lauren and Heather got a drink at the garden, Brandon decided to give it to","When Lauren and Heather got a drink at the garden, Heather decided to give it to",46263,42360
57,"After Stephanie and Elizabeth went to the school, Stephanie gave a drink to","After Stephanie and Elizabeth went to the school, Jason gave a drink to","After Stephanie and Elizabeth went to the school, Elizabeth gave a drink to",20731,48143
143,"Then, Crystal and Samantha were working at the hospital. Samantha decided to give a snack to","Then, Crystal and Samantha were working at the hospital. Matthew decided to give a snack to","Then, Crystal and Samantha were working at the hospital. Crystal decided to give a snack to",27916,62808
548,"Then, Jonathan and Steven had a lot of fun at the store. Jonathan gave a snack to","Then, Jonathan and Steven had a lot of fun at the store. Danielle gave a snack to","Then, Jonathan and Steven had a lot of fun at the store. Steven gave a snack to",23644,23269
710,"Then, Emily and Daniel went to the garden. Emily gave a basketball to","Then, Emily and Daniel went to the garden. Travis gave a basketball to","Then, Emily and Daniel went to the garden. Daniel gave a basketball to",15118,34166
931,"Then, Stephanie and Justin had a lot of fun at the hospital. Stephanie gave a bone to","Then, Stephanie and Justin had a lot of fun at the hospital. Nicole gave a bone to","Then, Stephanie and Justin had a lot of fun at the hospital. Justin gave a bone to",22467,48143
732,"Then, Melissa and Stephen went to the store. Stephen gave a bone to","Then, Melissa and Stephen went to the store. Gregory gave a bone to","Then, Melissa and Stephen went to the store. Melissa gave a bone to",47048,18095
749,"Then, Brittany and Crystal had a lot of fun at the store. Crystal gave a snack to","Then, Brittany and Crystal had a lot of fun at the store. Angela gave a snack to","Then, Brittany and Crystal had a lot of fun at the store. Brittany gave a snack to",88154,27916
193,"Then, Anthony and Erica were working at the house. Erica decided to give a necklace to","Then, Anthony and Erica were working at the house. Kevin decided to give a necklace to","Then, Anthony and Erica were working at the house. Anthony decided to give a necklace to",20696,91835
875,"When Anthony and Sara got a kiss at the house, Anthony decided to give it to","When Anthony and Sara got a kiss at the house, Stephanie decided to give it to","When Anthony and Sara got a kiss at the house, Sara decided to give it to",42920,20696
261,"Then, Tyler and Scott had a lot of fun at the store. Tyler gave a kiss to","Then, Tyler and Scott had a lot of fun at the store. Ryan gave a kiss to","Then, Tyler and Scott had a lot of fun at the store. Scott gave a kiss to",9815,31220
418,"Then, Nathan and Brian had a long argument, and afterwards Nathan said to","Then, Nathan and Brian had a long argument, and afterwards Ryan said to","Then, Nathan and Brian had a long argument, and afterwards Brian said to",17083,36737
841,"Then, Crystal and Rebecca were working at the house. Crystal decided to give a kiss to","Then, Crystal and Rebecca were working at the house. Lauren decided to give a kiss to","Then, Crystal and Rebecca were working at the house. Rebecca decided to give a kiss to",44457,27916
568,"Then, Nathan and Sara had a lot of fun at the restaurant. Sara gave a bone to","Then, Nathan and Sara had a lot of fun at the restaurant. Crystal gave a bone to","Then, Nathan and Sara had a lot of fun at the restaurant. Nathan gave a bone to",36737,42920
681,"When Thomas and Brandon got a drink at the garden, Thomas decided to give it to","When Thomas and Brandon got a drink at the garden, Allison decided to give it to","When Thomas and Brandon got a drink at the garden, Brandon decided to give it to",31766,11108
988,"Then, Lisa and Mary went to the house. Mary gave a computer to","Then, Lisa and Mary went to the house. Tyler gave a computer to","Then, Lisa and Mary went to the house. Lisa gave a computer to",28556,10244
747,"After Gregory and Christina went to the store, Gregory gave a computer to","After Gregory and Christina went to the store, Andrew gave a computer to","After Gregory and Christina went to the store, Christina gave a computer to",59671,42969
654,"Then, Jamie and Aaron were working at the restaurant. Jamie decided to give a basketball to","Then, Jamie and Aaron were working at the restaurant. Cody decided to give a basketball to","Then, Jamie and Aaron were working at the restaurant. Aaron decided to give a basketball to",25673,35757
251,"Then, Jesse and Joshua were thinking about going to the hospital. Jesse wanted to give a bone to","Then, Jesse and Joshua were thinking about going to the hospital. Andrew wanted to give a bone to","Then, Jesse and Joshua were thinking about going to the hospital. Joshua wanted to give a bone to",39492,39171
98,"Then, Megan and Sarah had a long argument, and afterwards Megan said to","Then, Megan and Sarah had a long argument, and afterwards Alexander said to","Then, Megan and Sarah had a long argument, and afterwards Sarah said to",20445,54529
