clean,corrupted,label,corrupted_label
" Auguste Rodin, citizen of"," Paolo Chiavenna, citizen of",9822,15704
The official language in Wales is,The official language in Hungary is,6498,57869
Raoul Pugno known for playing the,Soozie Tyrell known for playing the,27374,63137
" Caterina Davinio, citizen of"," Gustave Flourens, citizen of",15704,9822
" Yuki Uchida, citizen of"," Pankaj Udhas, citizen of",6457,6890
Ruggiero Ricci known for playing the,Nadia Reisenberg known for playing the,63137,27374
The official language in Mendrisio is,The official language in Tolyatti is,15155,8690
Stephen Hough known for playing the,Tim Vesely known for playing the,27374,17418
The official language in Alabama is,The official language in Rajasthan is,6498,45080
The official language in Varkaus is,The official language in Falkland Islands is,58953,6498
" Kae Araki, citizen of"," Henrik Zetterberg, citizen of",6457,24067
"Paul Abraham, a famous","John Fortune, a famous",40550,51912
The official language in Kronoby is,The official language in Montserrat is,58953,6498
The official language in Kuopio is,The official language in Bonaire is,58953,24113
The official language in Krokom Municipality is,The official language in Vichy France is,31209,8753
Alberto Nepomuceno known for playing the,Svend Asmussen known for playing the,27374,63137
The official language in Idaho is,The official language in Iran is,6498,50961
Daniel Mongrain known for playing the,Jane Getz known for playing the,17418,27374
Emmanuel Chabrier known for playing the,Pete Lesperance known for playing the,27374,17418
" Hiroshi Teshigahara, citizen of"," Agnieszka Osiecka, citizen of",6457,28702
" Mars Bonfire, citizen of"," Chespirito, citizen of",7008,12550
"J. B. Priestley, a famous","Jacobo Zabludovsky, a famous",81747,23672
The official language in Porvoo is,The official language in Donetsk Oblast is,58953,34725
The official language in Padasjoki is,The official language in Khorasan Province is,58953,50961
"Peter Arnett, a famous","Karle Warren, a famous",23672,12360
The official language in Ikaalinen is,The official language in Jewish Autonomous Oblast is,58953,8690
" Mark Heese, citizen of"," Nicolas Godin, citizen of",7008,9822
Nick Didkovsky known for playing the,Horace Parlan known for playing the,17418,27374
The official language in Central African Republic is,The official language in Stockholm County Council is,8753,31209
Mark Isham known for playing the,Ma Sicong known for playing the,92359,63137
"Chris Brochu, a famous","Johnny Yune, a famous",12360,51912
" Katy Garbi, citizen of"," Carlos Meglia, citizen of",25431,32164
" Massimo D'Alema, citizen of"," Shigeki Maruyama, citizen of",15704,6457
"Antoine Augustin Cournot, a famous","Kazuo Ishiguro, a famous",21651,81747
" Kate Henshaw, citizen of"," Atsunori Inaba, citizen of",29258,6457
The official language in Iceland is,The official language in Guinea is,100248,8753
" Farid Mammadov, citizen of"," Linor Abargil, citizen of",74577,6921
The official language in Yukon is,The official language in Lamone is,6498,15155
Harry Nilsson known for playing the,John Fogerty known for playing the,27374,17418
Kenneth Leighton known for playing the,Earl Klugh known for playing the,27374,17418
The official language in Illinois is,The official language in Guinea is,6498,8753
Emilio Pujol known for playing the,Theodor Kullak known for playing the,17418,27374
" Ion Dragalina, citizen of"," Pavol Demitra, citizen of",47149,81785
" Patrick Chinamasa, citizen of"," Kumiko Ogura, citizen of",52320,6457
" Scott Frandsen, citizen of"," Alain Corneau, citizen of",7008,9822
The official language in Parkano is,The official language in Niue is,58953,6498
" Yves Mirande, citizen of"," Abune Paulos, citizen of",9822,60457
Lee Jong-hyun known for playing the,Thelonious Monk known for playing the,17418,27374
" Pop Shalini, citizen of"," Naimee Coleman, citizen of",6890,14990
The official language in Kauhava is,The official language in Bernese Oberland is,58953,6063
The official language in Siuntio is,The official language in Eupen is,58953,6063
" K. R. Gowri Amma, citizen of"," Rangsit Prayurasakdi, citizen of",6890,30567
"John Cygan, a famous","John Munch, a famous",12360,45259
Christopher O'Riley known for playing the,Carl Flesch known for playing the,27374,63137
"Niyi Osundare, a famous","J. Anthony Lukas, a famous",40360,23672
Joe Walsh known for playing the,Billy Taylor known for playing the,17418,27374
"Wang Yaping, a famous","Malcolm Keen, a famous",47733,12360
"Yanis Varoufakis, a famous","Kazimierz Kuratowski, a famous",46215,21651
"David McIlwraith, a famous","Yitzhak Levy, a famous",12360,31674
The official language in Hailuoto is,The official language in Kalix Municipality is,58953,31209
The official language in Masku is,The official language in El Salvador is,58953,15506
" Abune Paulos, citizen of"," Janne Korpi, citizen of",60457,37355
Guy Picciotto known for playing the,Hamish Milne known for playing the,17418,27374
" Grzegorz Lato, citizen of"," Hoshyar Zebari, citizen of",28702,11340
" Andrea Sartoretti, citizen of"," Ike Ekweremadu, citizen of",15704,29258
Friedrich Wieck known for playing the,Frederick Grinke known for playing the,27374,63137
The official language in Maaninka is,The official language in Camorino is,58953,15155
" Shah Shujah Durrani Sadozai, citizen of"," Gheorghe Grigore Cantacuzino, citizen of",21139,47149
" Chakrabongse Bhuvanadh, citizen of"," Mohammad-Taqi Mesbah-Yazdi, citizen of",30567,10471
The official language in Nicaragua is,The official language in Alberta is,15506,6498
The official language in Aigle is,The official language in Wetzikon is,8753,6063
The official language in Zaire is,The official language in Tamil Nadu is,8753,44883
" Francisco Goya, citizen of"," Veronica Lario, citizen of",18157,15704
" Sachiko Kobayashi, citizen of"," Amandus Adamson, citizen of",6457,69462
The official language in Storuman Municipality is,The official language in Molina de Segura is,31209,15506
" Henri Maurice Berteaux, citizen of"," Marty Natalegawa, citizen of",9822,24922
" Amandus Adamson, citizen of"," Sven Delblanc, citizen of",69462,24067
"Charles James Mathews, a famous","Arthur Creech Jones, a famous",12360,37038
The official language in Guinea is,The official language in Arizona is,8753,6498
" Lyuben Berov, citizen of"," Bimal Jalan, citizen of",59819,6890
Johan De Farfalla known for playing the,Tomaso Antonio Vitali known for playing the,17418,63137
"Harry Ham, a famous","Paul Abraham, a famous",12360,40550
The official language in Suonenjoki is,The official language in East Kalimantan is,58953,59929
The official language in Shakhunya is,The official language in Ruovesi is,8690,58953
"John Munch, a famous","Carl Barron, a famous",45259,51912
Giuseppe Torelli known for playing the,Nadia Reisenberg known for playing the,63137,27374
The official language in British Columbia is,The official language in Zaire is,6498,8753
" Bernardo Houssay, citizen of"," Sergej Kraigher, citizen of",32164,79317
The official language in Collective Security Treaty Organisation is,The official language in Governor-General of Australia is,8690,6498
Mark Feldman known for playing the,Louis Prima known for playing the,63137,92359
" Randy Bachman, citizen of"," Nicolas Godin, citizen of",7008,9822
The official language in Russian Empire is,The official language in Namibia is,8690,6498
" Thiago Soares Alves, citizen of"," F. S. Platou, citizen of",16327,32603
" Ada Yonath, citizen of"," Sola Aoi, citizen of",6921,6457
"Philip Ahn, a famous","William Hardy Wilson, a famous",12360,11726
"Arthur Drews, a famous","Edward Braddon, a famous",55475,37038
James Honeyman-Scott known for playing the,Ruggiero Ricci known for playing the,17418,63137
" Leif Sylvester Petersen, citizen of"," Kimio Yanagisawa, citizen of",35440,6457
Chris Daughtry known for playing the,Otis Spann known for playing the,17418,27374
" Jonel Perlea, citizen of"," Maria Adelaide Amaral, citizen of",47149,16327
"Werner Heisenberg, a famous","Dominic Dierkes, a famous",83323,12360
The official language in European Space Agency is,The official language in Cadenazzo is,6498,15155
" Sola Aoi, citizen of"," Abune Paulos, citizen of",6457,60457
The official language in Korpo is,The official language in Biasca is,58953,15155
" Ian Nepomniachtchi, citizen of"," Matic Osovnikar, citizen of",8524,79317
The official language in Thailand is,The official language in Alabama is,27490,6498
Jill Tracy known for playing the,Rex Stewart known for playing the,27374,92359
"Martin Klebba, a famous","Jancee Dunn, a famous",12360,23672
"Ctesias, a famous","Michael Dorn, a famous",28378,12360
"Charles Kaiser, a famous","Danny Dayton, a famous",23672,12360
Aloys and Alfons Kontarsky known for playing the,Kunnakudi Vaidyanathan known for playing the,27374,63137
Edvard Grieg known for playing the,Darol Anger known for playing the,27374,63137
" Maurice Bellemare, citizen of"," Lars Paaske, citizen of",7008,35440
The official language in Rovaniemi is,The official language in Korsholm is,58953,31209
The official language in Kouvola is,The official language in French Guiana is,58953,8753
"Akira Emoto, a famous","Tomomi Inada, a famous",12360,37038
Ma Sicong known for playing the,Anthony Plog known for playing the,63137,92359
The official language in Canton of Vaud is,The official language in Udmurt Republic is,8753,8690
Henry Litolff known for playing the,Wynton Marsalis known for playing the,27374,92359
The official language in Antigua and Barbuda is,The official language in Pajala Municipality is,6498,31209
Ingrid Jensen known for playing the,Tania Maria known for playing the,92359,27374
The official language in Kirkkonummi is,The official language in Udmurt Republic is,58953,8690
The official language in Savonlinna is,The official language in Canton of Jura is,58953,8753
The official language in Pelkosenniemi is,The official language in L'Abbaye is,58953,8753
Carla Kihlstedt known for playing the,Ludovico Einaudi known for playing the,63137,27374
" Marie Liljedahl, citizen of"," Zadoc Kahn, citizen of",24067,9822
"William Hardy Wilson, a famous","John Rentoul, a famous",11726,23672
Pepeu Gomes known for playing the,Ola Kvernberg known for playing the,17418,63137
" Johan Karlsson, citizen of"," Nagendra Singh, citizen of",24067,6890
The official language in NATO is,The official language in Sweden is,6498,31209
"Moammar Rana, a famous","Jean Henri van Swinden, a famous",12360,21651
"Robert I. Soare, a famous","Ellar Coltrane, a famous",21651,12360
Raimonds Pauls known for playing the,Idrees Sulieman known for playing the,27374,92359
" Michael Fassbender, citizen of"," Yasuyuki Kase, citizen of",14990,6457
" Iiro Rantala, citizen of"," Evan Dimas Darmono, citizen of",37355,24922
" Claudio Borghi, citizen of"," Giuseppe Angeli, citizen of",32164,15704
The official language in Burkina Faso is,The official language in Keminmaa is,8753,58953
The official language in Togo is,The official language in Namibia is,8753,6498
Itzhak Perlman known for playing the,Nadia Reisenberg known for playing the,63137,27374
Lady Gaga known for playing the,Tom Fletcher known for playing the,27374,17418
Harry Sacksioni known for playing the,Christopher O'Riley known for playing the,17418,27374
"John Fortune, a famous","Danny Dayton, a famous",51912,12360
The official language in Nuevo Santander is,The official language in Oulainen is,15506,58953
Romero Lubambo known for playing the,Claude Delvincourt known for playing the,17418,27374
" Tor Endresen, citizen of"," Gianni Lancia, citizen of",32603,15704
The official language in Ruovesi is,The official language in Jamshedpur is,58953,45080
The official language in Alberta is,The official language in Serbia is,6498,88264
" Antonis Samaras, citizen of"," Augustine Ahinful, citizen of",25431,48668
"Jim Grimsley, a famous","Johnathon Schaech, a famous",81747,12360
The official language in Bellinzona is,The official language in Versoix is,15155,8753
"Wilhelm Magnus, a famous","Francis Stuart, a famous",21651,81747
"Francis Stuart, a famous","Nikki Giovanni, a famous",81747,40360
Yfrah Neaman known for playing the,Ethelbert Nevin known for playing the,63137,27374
"Rodolfo Gambini, a famous","Yitzhak Levy, a famous",83323,31674
"Geoffrey Lehmann, a famous","Shelby Foote, a famous",40360,81747
The official language in Northern Ireland is,The official language in Posio is,6498,58953
Rick Wakeman known for playing the,Peter Laughner known for playing the,27374,17418
The official language in Chukotka Autonomous Okrug is,The official language in Royal 22e Régiment is,8690,8753
Arthur Loesser known for playing the,Al Hirt known for playing the,27374,92359
The official language in International Association of Athletics Federations is,The official language in Nenets Autonomous Okrug is,6498,8690
"Drew Droege, a famous","Karl Taylor Compton, a famous",12360,83323
The official language in Nakkila is,The official language in Stockholm Municipality is,58953,31209
"Andreas Embirikos, a famous","Boris Tchaikovsky, a famous",40360,40550
" Abdelhak Achik, citizen of"," Humayun Abdulali, citizen of",59230,6890
" Phyllis Gotlieb, citizen of"," Svante August Arrhenius, citizen of",7008,24067
The official language in Army Public School Peshawar is,The official language in Yverdon-les-Bains is,6498,8753
Anton Nel known for playing the,Lester Bowie known for playing the,27374,92359
The official language in Laitila is,The official language in Carouge is,58953,8753
"Gustave Le Gray, a famous","Ernst von Possart, a famous",29867,12360
"Wang Lequan, a famous","Gregg Edelman, a famous",37038,12360
The official language in Paimio is,The official language in Mistretta is,58953,15155
" Soamsawali, citizen of"," Marc Lavoie, citizen of",30567,7008
" Matic Osovnikar, citizen of"," Hoshyar Zebari, citizen of",79317,11340
"Mary Renault, a famous","Michael Penn, a famous",81747,12360
" Katsuhiko Nagata, citizen of"," Blendi Nallbani, citizen of",6457,95733
" Marcus Horan, citizen of"," Madhan Bob, citizen of",14990,6890
Leroy Jones known for playing the,Edmund Neupert known for playing the,92359,27374
"Billy Aaron Brown, a famous","Phil Coulter, a famous",12360,40550
The official language in Mikkeli is,The official language in Sorengo is,58953,15155
The official language in Iowa is,The official language in Thailand is,6498,27490
" Maliq Bushati, citizen of"," Mohammad Gharib, citizen of",95733,10471
Tomoyasu Hotei known for playing the,Henryk Wieniawski known for playing the,17418,63137
"Julien Carette, a famous","Wang Lequan, a famous",12360,37038
" Paul Bogle, citizen of"," Pavel Bure, citizen of",57275,8524
The official language in Asikkala is,The official language in French Guiana is,58953,8753
Luigi Dallapiccola known for playing the,Cornelius Jakhelln known for playing the,27374,17418
The official language in Kingdom of Bulgaria is,The official language in Tolyatti is,89724,8690
Manos Hatzidakis known for playing the,Pyotr Stolyarsky known for playing the,27374,63137
Wes Montgomery known for playing the,Emanuel Ax known for playing the,17418,27374
The official language in South Dakota is,The official language in Iitti is,6498,58953
The official language in Grenada is,The official language in Caribbean Netherlands is,6498,24113
The official language in Miss Universe is,The official language in Virrat is,6498,58953
" Rabah Bitat, citizen of"," Lars Halvor Jensen, citizen of",81341,35440
" Hans Ulrik, citizen of"," Pierre Daye, citizen of",35440,34061
The official language in Lugano is,The official language in Solomon Islands is,15155,6498
" Robert Malval, citizen of"," Manuel Uribe, citizen of",56290,12550
Isaac Stern known for playing the,Alberto Guerrero known for playing the,63137,27374
The official language in Sweden is,The official language in Angola is,31209,43288
" Isser Harel, citizen of"," Vilayat Khan, citizen of",6921,6890
" Bronislovas Lubys, citizen of"," Cristina Favre-Moretti, citizen of",71606,30221
"Paul Mercurio, a famous","James Craig Annan, a famous",12360,29867
" Irakli Alasania, citizen of"," Amanz Gressly, citizen of",16272,30221
The official language in Lamone is,The official language in Yukon is,15155,6498
Jean-Jacques Kantorow known for playing the,Toshiko Akiyoshi known for playing the,63137,27374
The official language in Jakobstad is,The official language in Kaskinen is,31209,58953
"Rudolf Lipschitz, a famous","Boris Tchaikovsky, a famous",21651,40550
Liz Phair known for playing the,Rubin Goldmark known for playing the,17418,27374
" Mark Strudal, citizen of"," Armin Hofmann, citizen of",35440,30221
" Luis Llosa, citizen of"," Julius Nwosu, citizen of",48847,29258
The official language in Organisation for Economic Co-operation and Development is,The official language in Republic of Bashkortostan is,6498,8690
" Gianni Ferrio, citizen of"," Erwin Wurm, citizen of",15704,35998
The official language in Joensuu is,The official language in Sonvilier is,58953,8753
" Bimal Roy, citizen of"," Hans Ulrik, citizen of",6890,35440
"John Adams Whipple, a famous","James E. Ferguson, a famous",29867,37038
Bert Joris known for playing the,Georges Mathias known for playing the,92359,27374
"Yitzhak Levy, a famous","Hermann Hagedorn, a famous",31674,40360
The official language in Cadenazzo is,The official language in Varkaus is,15155,58953
"Raoul Trujillo, a famous","Andrew Ross Sorkin, a famous",12360,23672
Edmund Neupert known for playing the,Julian Rachlin known for playing the,27374,63137
"Pierfrancesco Favino, a famous","Kazimierz Kuratowski, a famous",12360,21651
The official language in Uganda is,The official language in Hungary is,6498,57869
"Paruyr Sevak, a famous","Kim Kye-gwan, a famous",40360,69050
" Magnus Carlsen, citizen of"," Alain Robert, citizen of",32603,9822
The official language in Vihti is,The official language in Northern Ireland is,58953,6498
Carl Flesch known for playing the,Speckled Red known for playing the,63137,27374
Owen Bradley known for playing the,Glen Ballard known for playing the,27374,17418
"Ermanno Wolf-Ferrari, a famous","Robert d'Escourt Atkinson, a famous",40550,46382
Edward MacDowell known for playing the,Gidon Kremer known for playing the,27374,63137
"Karle Warren, a famous","Johnny Yune, a famous",12360,51912
" Peggy Nash, citizen of"," Gabriel Axel, citizen of",7008,35440
" Shigeki Maruyama, citizen of"," Alina Devecerski, citizen of",6457,24067
" Jan Dydak, citizen of"," Stephen Worobetz, citizen of",28702,7008
The official language in Delhi is,The official language in Netherlands is,45080,24113
The official language in Upplands-Bro Municipality is,The official language in Royal 22e Régiment is,31209,8753
Norbert Brainin known for playing the,Keith Tippett known for playing the,63137,27374
" Lydie Polfer, citizen of"," Francis Dhanis, citizen of",65971,34061
"Mitr Chaibancha, a famous","Louis Moreau Gottschalk, a famous",12360,40550
" Ellen Gleditsch, citizen of"," Abdul Malik Pahlawan, citizen of",32603,21139
" Andris Piebalgs, citizen of"," Sven Wollter, citizen of",79258,24067
Serge Gainsbourg known for playing the,Lil Hardin Armstrong known for playing the,17418,27374
" Tebey, citizen of"," Bernardo Reyes, citizen of",7008,12550
The official language in Uttar Pradesh is,The official language in Spanish Empire is,45080,15506
The official language in Honduras is,The official language in Kansas is,15506,6498
" Guillaume-Antoine Olivier, citizen of"," Jithan Ramesh, citizen of",9822,6890
" Brenda Asnicar, citizen of"," Mehmet Ali Aybar, citizen of",32164,17442
"Davey Lee, a famous","Edward Gregson, a famous",12360,40550
" Paul Duchesnay, citizen of"," Muzaffar Ali, citizen of",9822,6890
