clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
" grandmoms, and other",grandmoms,relative,"['relatives', 'family']","[29658, 3070]"," caterpillars, and other",caterpillars,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
" grandmothers, and other",grandmothers,relative,"['relatives', 'family']","[29658, 3070]"," halibut, and other",halibut,fish,"['fish', 'fishes']","[7795, 95461]"
" grandfathers, and other",grandfathers,relative,"['relatives', 'family']","[29658, 3070]"," badminton, and other",badminton,sport,['sports'],[10034]
" fathers, and other",fathers,relative,"['relatives', 'family']","[29658, 3070]"," wolves, and other",wolves,animal,['animals'],[10099]
" granddads, and other",granddads,relative,"['relatives', 'family']","[29658, 3070]"," armoires, and other",armoires,furniture,['furniture'],[14891]
" sisters, and other",sisters,relative,"['relatives', 'family']","[29658, 3070]"," rain, and other",rain,weather,"['weather', 'natural']","[9282, 5933]"
" brethren, and other",brethren,relative,"['relatives', 'family']","[29658, 3070]"," shirts, and other",shirts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
" nieces, and other",nieces,relative,"['relatives', 'family']","[29658, 3070]"," yens, and other",yens,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]"
" nephews, and other",nephews,relative,"['relatives', 'family']","[29658, 3070]"," foxes, and other",foxes,animal,['animals'],[10099]
" great aunts, and other",great aunts,relative,"['relatives', 'family']","[29658, 3070]"," saxophones, and other",saxophones,instrument,"['musical', 'instruments']","[18273, 24198]"
" grandparents, and other",grandparents,relative,"['relatives', 'family']","[29658, 3070]"," nurses, and other",nurses,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
" great grandmothers, and other",great grandmothers,relative,"['relatives', 'family']","[29658, 3070]"," sapphires, and other",sapphires,gem,"['gem', 'gems']","[19269, 43258]"
" sons, and other",sons,relative,"['relatives', 'family']","[29658, 3070]"," Britain, and other",Britain,country,"['countries', 'country']","[5961, 3224]"
" daughters, and other",daughters,relative,"['relatives', 'family']","[29658, 3070]"," Egypt, and other",Egypt,country,"['countries', 'country']","[5961, 3224]"
" second cousins, and other",second cousins,relative,"['relatives', 'family']","[29658, 3070]"," radishes, and other",radishes,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
" great grandpas, and other",great grandpas,relative,"['relatives', 'family']","[29658, 3070]"," caterpillars, and other",caterpillars,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
" great uncles, and other",great uncles,relative,"['relatives', 'family']","[29658, 3070]"," nunchucks, and other",nunchucks,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
" miles, and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"," perch, and other",perch,fish,"['fish', 'fishes']","[7795, 95461]"
" meters, and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"," country, and other",country,music,['music'],[4731]
" inches, and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"," Italy, and other",Italy,country,"['countries', 'country']","[5961, 3224]"
" feets, and other",feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"," firs, and other",firs,tree,['trees'],[12690]
" kilometers, and other",kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"," caves, and other",caves,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"
" centimeters, and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"," herring, and other",herring,fish,"['fish', 'fishes']","[7795, 95461]"
" yards, and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"," missiles, and other",missiles,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
" millimeters, and other",millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"," nieces, and other",nieces,relative,"['relatives', 'family']","[29658, 3070]"
" decimeters, and other",decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"," minnow, and other",minnow,fish,"['fish', 'fishes']","[7795, 95461]"
" light years, and other",light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"," dogwoods, and other",dogwoods,tree,['trees'],[12690]
" micrometers, and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"," blizzards, and other",blizzards,weather,"['weather', 'natural']","[9282, 5933]"
" nanometers, and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"," cadets, and other",cadets,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
" sergeants, and other",sergeants,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," subways, and other",subways,vehicle,"['vehicles', 'transportation', 'transport']","[11731, 18386, 7710]"
" generals, and other",generals,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," secs, and other",secs,time,"['time', 'units']","[892, 8316]"
" lieutenants, and other",lieutenants,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," grand theft auto, and other",grand theft auto,crime,"['crimes', 'crime']","[17073, 9977]"
" captains, and other",captains,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," metal, and other",metal,music,['music'],[4731]
" privates, and other",privates,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," bass guitars, and other",bass guitars,instrument,"['musical', 'instruments']","[18273, 24198]"
" colonels, and other",colonels,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," eons, and other",eons,time,"['time', 'units']","[892, 8316]"
" majors, and other",majors,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," Britain, and other",Britain,country,"['countries', 'country']","[5961, 3224]"
" corporals, and other",corporals,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," tornados, and other",tornados,weather,"['weather', 'natural']","[9282, 5933]"
" officers, and other",officers,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," bras, and other",bras,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
" commanders, and other",commanders,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," beds, and other",beds,furniture,['furniture'],[14891]
" admirals, and other",admirals,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," police officers, and other",police officers,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
" chiefs, and other",chiefs,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," keyboards, and other",keyboards,instrument,"['musical', 'instruments']","[18273, 24198]"
" soldiers, and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," cricket, and other",cricket,sport,['sports'],[10034]
" cadets, and other",cadets,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"," kine, and other",kine,animal,['animals'],[10099]
" dogs, and other",dogs,animal,['animals'],[10099]," governors, and other",governors,politician,"['elected', 'politicians']","[16689, 19287]"
" cats, and other",cats,animal,['animals'],[10099]," arson, and other",arson,crime,"['crimes', 'crime']","[17073, 9977]"
" horses, and other",horses,animal,['animals'],[10099]," gloves, and other",gloves,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
" lions, and other",lions,animal,['animals'],[10099]," hurricanes, and other",hurricanes,weather,"['weather', 'natural']","[9282, 5933]"
" bears, and other",bears,animal,['animals'],[10099]," running, and other",running,sport,['sports'],[10034]
" tigers, and other",tigers,animal,['animals'],[10099]," mangoes, and other",mangoes,fruit,"['fruits', 'fruit']","[26390, 14098]"
" kine, and other",kine,animal,['animals'],[10099]," nanoseconds, and other",nanoseconds,time,"['time', 'units']","[892, 8316]"
" elephants, and other",elephants,animal,['animals'],[10099]," squash, and other",squash,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
" deer, and other",deer,animal,['animals'],[10099]," Brazil, and other",Brazil,country,"['countries', 'country']","[5961, 3224]"
" mice, and other",mice,animal,['animals'],[10099]," carrots, and other",carrots,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
" pigs, and other",pigs,animal,['animals'],[10099]," mothers, and other",mothers,relative,"['relatives', 'family']","[29658, 3070]"
" rats, and other",rats,animal,['animals'],[10099]," soul, and other",soul,music,['music'],[4731]
" giraffes, and other",giraffes,animal,['animals'],[10099]," brass knuckles, and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
" squirrels, and other",squirrels,animal,['animals'],[10099]," slippers, and other",slippers,footwear,['footwear'],[68172]
" rabbits, and other",rabbits,animal,['animals'],[10099]," sons, and other",sons,relative,"['relatives', 'family']","[29658, 3070]"
" goats, and other",goats,animal,['animals'],[10099]," years, and other",years,time,"['time', 'units']","[892, 8316]"
" zebras, and other",zebras,animal,['animals'],[10099]," francs, and other",francs,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]"
" mooses, and other",mooses,animal,['animals'],[10099]," raspberries, and other",raspberries,fruit,"['fruits', 'fruit']","[26390, 14098]"
" sheep, and other",sheep,animal,['animals'],[10099]," floods, and other",floods,weather,"['weather', 'natural']","[9282, 5933]"
" cheetahs, and other",cheetahs,animal,['animals'],[10099]," sycamores, and other",sycamores,tree,['trees'],[12690]
" raccoons, and other",raccoons,animal,['animals'],[10099]," blizzards, and other",blizzards,weather,"['weather', 'natural']","[9282, 5933]"
" wolves, and other",wolves,animal,['animals'],[10099]," potatoes, and other",potatoes,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
" foxes, and other",foxes,animal,['animals'],[10099]," field hockey, and other",field hockey,sport,['sports'],[10034]
" hamsters, and other",hamsters,animal,['animals'],[10099]," dimes, and other",dimes,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]"
" donkeys, and other",donkeys,animal,['animals'],[10099]," spears, and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
" elk, and other",elk,animal,['animals'],[10099]," bananas, and other",bananas,fruit,"['fruits', 'fruit']","[26390, 14098]"
" lizards, and other",lizards,animal,['animals'],[10099]," jades, and other",jades,gem,"['gem', 'gems']","[19269, 43258]"
" turtles, and other",turtles,animal,['animals'],[10099]," hockey, and other",hockey,sport,['sports'],[10034]
" chairs, and other",chairs,furniture,['furniture'],[14891]," country, and other",country,music,['music'],[4731]
" tables, and other",tables,furniture,['furniture'],[14891]," pigs, and other",pigs,animal,['animals'],[10099]
" couches, and other",couches,furniture,['furniture'],[14891]," janitors, and other",janitors,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
" beds, and other",beds,furniture,['furniture'],[14891]," floods, and other",floods,weather,"['weather', 'natural']","[9282, 5933]"
" desks, and other",desks,furniture,['furniture'],[14891]," bowling, and other",bowling,sport,['sports'],[10034]
" sofas, and other",sofas,furniture,['furniture'],[14891]," cousins, and other",cousins,relative,"['relatives', 'family']","[29658, 3070]"
" dressers, and other",dressers,furniture,['furniture'],[14891]," half dollars, and other",half dollars,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]"
" loveseats, and other",loveseats,furniture,['furniture'],[14891]," vultures, and other",vultures,bird,"['birds', 'bird']","[20229, 12224]"
" coffee tables, and other",coffee tables,furniture,['furniture'],[14891]," clogs, and other",clogs,footwear,['footwear'],[68172]
" lamps, and other",lamps,furniture,['furniture'],[14891]," professors, and other",professors,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
" nightstands, and other",nightstands,furniture,['furniture'],[14891]," opals, and other",opals,gem,"['gem', 'gems']","[19269, 43258]"
" ottomen, and other",ottomen,furniture,['furniture'],[14891]," lilacs, and other",lilacs,flower,"['flowers', 'flowering']","[19837, 82339]"
" recliners, and other",recliners,furniture,['furniture'],[14891]," rainbow trout, and other",rainbow trout,fish,"['fish', 'fishes']","[7795, 95461]"
" stools, and other",stools,furniture,['furniture'],[14891]," lightning, and other",lightning,weather,"['weather', 'natural']","[9282, 5933]"
" end tables, and other",end tables,furniture,['furniture'],[14891]," bluebirds, and other",bluebirds,bird,"['birds', 'bird']","[20229, 12224]"
" futons, and other",futons,furniture,['furniture'],[14891]," vice presidents, and other",vice presidents,politician,"['elected', 'politicians']","[16689, 19287]"
" armoires, and other",armoires,furniture,['furniture'],[14891]," breaking and entering, and other",breaking and entering,crime,"['crimes', 'crime']","[17073, 9977]"
" bookcases, and other",bookcases,furniture,['furniture'],[14891]," pigeons, and other",pigeons,bird,"['birds', 'bird']","[20229, 12224]"
" cabinets, and other",cabinets,furniture,['furniture'],[14891]," Europe, and other",Europe,country,"['countries', 'country']","[5961, 3224]"
" foot stools, and other",foot stools,furniture,['furniture'],[14891]," asparagus, and other",asparagus,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
" shelves, and other",shelves,furniture,['furniture'],[14891]," rain, and other",rain,weather,"['weather', 'natural']","[9282, 5933]"
" apples, and other",apples,fruit,"['fruits', 'fruit']","[26390, 14098]"," swimming, and other",swimming,sport,['sports'],[10034]
" oranges, and other",oranges,fruit,"['fruits', 'fruit']","[26390, 14098]"," butterflies, and other",butterflies,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
" bananas, and other",bananas,fruit,"['fruits', 'fruit']","[26390, 14098]"," secs, and other",secs,time,"['time', 'units']","[892, 8316]"
" grapes, and other",grapes,fruit,"['fruits', 'fruit']","[26390, 14098]"," bowling, and other",bowling,sport,['sports'],[10034]
" pears, and other",pears,fruit,"['fruits', 'fruit']","[26390, 14098]"," fleas, and other",fleas,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
" peaches, and other",peaches,fruit,"['fruits', 'fruit']","[26390, 14098]"," centimeters, and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"
" strawberries, and other",strawberries,fruit,"['fruits', 'fruit']","[26390, 14098]"," officers, and other",officers,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
" kiwis, and other",kiwis,fruit,"['fruits', 'fruit']","[26390, 14098]"," gymnastics, and other",gymnastics,sport,['sports'],[10034]
" pineapples, and other",pineapples,fruit,"['fruits', 'fruit']","[26390, 14098]"," underwears, and other",underwears,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
" watermelons, and other",watermelons,fruit,"['fruits', 'fruit']","[26390, 14098]"," angelfish, and other",angelfish,fish,"['fish', 'fishes']","[7795, 95461]"
" plums, and other",plums,fruit,"['fruits', 'fruit']","[26390, 14098]"," flamingoes, and other",flamingoes,bird,"['birds', 'bird']","[20229, 12224]"
" grapefruits, and other",grapefruits,fruit,"['fruits', 'fruit']","[26390, 14098]"," great uncles, and other",great uncles,relative,"['relatives', 'family']","[29658, 3070]"
" mangoes, and other",mangoes,fruit,"['fruits', 'fruit']","[26390, 14098]"," slippers, and other",slippers,footwear,['footwear'],[68172]
" cherries, and other",cherries,fruit,"['fruits', 'fruit']","[26390, 14098]"," hammers, and other",hammers,tool,['tools'],[7526]
" lemons, and other",lemons,fruit,"['fruits', 'fruit']","[26390, 14098]"," turnips, and other",turnips,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
" blueberries, and other",blueberries,fruit,"['fruits', 'fruit']","[26390, 14098]"," accountants, and other",accountants,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
" cantaloupes, and other",cantaloupes,fruit,"['fruits', 'fruit']","[26390, 14098]"," woodpeckers, and other",woodpeckers,bird,"['birds', 'bird']","[20229, 12224]"
" raspberries, and other",raspberries,fruit,"['fruits', 'fruit']","[26390, 14098]"," trumpets, and other",trumpets,instrument,"['musical', 'instruments']","[18273, 24198]"
" limes, and other",limes,fruit,"['fruits', 'fruit']","[26390, 14098]"," blice, and other",blice,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
" tangerines, and other",tangerines,fruit,"['fruits', 'fruit']","[26390, 14098]"," grandmothers, and other",grandmothers,relative,"['relatives', 'family']","[29658, 3070]"
" melons, and other",melons,fruit,"['fruits', 'fruit']","[26390, 14098]"," reggae, and other",reggae,music,['music'],[4731]
" nectarines, and other",nectarines,fruit,"['fruits', 'fruit']","[26390, 14098]"," amethysts, and other",amethysts,gem,"['gem', 'gems']","[19269, 43258]"
" papayas, and other",papayas,fruit,"['fruits', 'fruit']","[26390, 14098]"," radishes, and other",radishes,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
" apricots, and other",apricots,fruit,"['fruits', 'fruit']","[26390, 14098]"," sweatshirts, and other",sweatshirts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
" starfruits, and other",starfruits,fruit,"['fruits', 'fruit']","[26390, 14098]"," dandelions, and other",dandelions,flower,"['flowers', 'flowering']","[19837, 82339]"
" guns, and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," Portugal, and other",Portugal,country,"['countries', 'country']","[5961, 3224]"
" knives, and other",knives,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," apples, and other",apples,fruit,"['fruits', 'fruit']","[26390, 14098]"
" swords, and other",swords,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," rulers, and other",rulers,tool,['tools'],[7526]
" bombs, and other",bombs,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," baseball, and other",baseball,sport,['sports'],[10034]
" rifles, and other",rifles,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," trout, and other",trout,fish,"['fish', 'fishes']","[7795, 95461]"
" maces, and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," reggae, and other",reggae,music,['music'],[4731]
" axes, and other",axes,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," hurricanes, and other",hurricanes,weather,"['weather', 'natural']","[9282, 5933]"
" grenades, and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," wolves, and other",wolves,animal,['animals'],[10099]
" missiles, and other",missiles,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," hurricanes, and other",hurricanes,weather,"['weather', 'natural']","[9282, 5933]"
" handguns, and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," lions, and other",lions,animal,['animals'],[10099]
" brass knuckles, and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," grand theft auto, and other",grand theft auto,crime,"['crimes', 'crime']","[17073, 9977]"
" clubs, and other",clubs,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," bananas, and other",bananas,fruit,"['fruits', 'fruit']","[26390, 14098]"
" nunchucks, and other",nunchucks,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," catamarans, and other",catamarans,boat,"['boats', 'vessels', 'ships', 'boat']","[32731, 31080, 18198, 15688]"
" bazookas, and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," breaking and entering, and other",breaking and entering,crime,"['crimes', 'crime']","[17073, 9977]"
" blades, and other",blades,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," onions, and other",onions,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
" spears, and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"," vice presidents, and other",vice presidents,politician,"['elected', 'politicians']","[16689, 19287]"
" presidents, and other",presidents,politician,"['elected', 'politicians']","[16689, 19287]"," shorts, and other",shorts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
" senators, and other",senators,politician,"['elected', 'politicians']","[16689, 19287]"," track, and other",track,sport,['sports'],[10034]
" vice presidents, and other",vice presidents,politician,"['elected', 'politicians']","[16689, 19287]"," cheerleading, and other",cheerleading,sport,['sports'],[10034]
" governors, and other",governors,politician,"['elected', 'politicians']","[16689, 19287]"," spinach, and other",spinach,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
" mayors, and other",mayors,politician,"['elected', 'politicians']","[16689, 19287]"," corporals, and other",corporals,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
" representatives, and other",representatives,politician,"['elected', 'politicians']","[16689, 19287]"," Egypt, and other",Egypt,country,"['countries', 'country']","[5961, 3224]"
" treasurers, and other",treasurers,politician,"['elected', 'politicians']","[16689, 19287]"," rock & roll, and other",rock & roll,music,['music'],[4731]
" congressmen, and other",congressmen,politician,"['elected', 'politicians']","[16689, 19287]"," speedboats, and other",speedboats,boat,"['boats', 'vessels', 'ships', 'boat']","[32731, 31080, 18198, 15688]"
" congresswomen, and other",congresswomen,politician,"['elected', 'politicians']","[16689, 19287]"," suns, and other",suns,flower,"['flowers', 'flowering']","[19837, 82339]"
" secretaries of state, and other",secretaries of state,politician,"['elected', 'politicians']","[16689, 19287]"," moccasins, and other",moccasins,footwear,['footwear'],[68172]
" houses, and other",houses,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," golf, and other",golf,sport,['sports'],[10034]
" apartments, and other",apartments,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," knives, and other",knives,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
" mansions, and other",mansions,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," water polo, and other",water polo,sport,['sports'],[10034]
" condominiums, and other",condominiums,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," swordfish, and other",swordfish,fish,"['fish', 'fishes']","[7795, 95461]"
" caves, and other",caves,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," psychologists, and other",psychologists,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
" shacks, and other",shacks,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," lemons, and other",lemons,fruit,"['fruits', 'fruit']","[26390, 14098]"
" huts, and other",huts,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," pears, and other",pears,fruit,"['fruits', 'fruit']","[26390, 14098]"
" tents, and other",tents,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," brethren, and other",brethren,relative,"['relatives', 'family']","[29658, 3070]"
" dormitories, and other",dormitories,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," pears, and other",pears,fruit,"['fruits', 'fruit']","[26390, 14098]"
" townhouses, and other",townhouses,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," penguins, and other",penguins,bird,"['birds', 'bird']","[20229, 12224]"
" trailers, and other",trailers,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," governors, and other",governors,politician,"['elected', 'politicians']","[16689, 19287]"
" tepees, and other",tepees,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," dressers, and other",dressers,furniture,['furniture'],[14891]
" cabins, and other",cabins,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," sneakers, and other",sneakers,footwear,['footwear'],[68172]
" hotels, and other",hotels,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"," baseball, and other",baseball,sport,['sports'],[10034]
