clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2,prob_diff
", grandmothers and other",grandmothers,relative,"['relatives', 'family']","[12772, 1641]",", beets and other",beets,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",grandmothers are a type of,beets are a type of,0.24160535633563995
", grandfathers and other",grandfathers,relative,"['relatives', 'family']","[12772, 1641]",", cadets and other",cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",grandfathers are a type of,cadets are a type of,0.30505698919296265
", fathers and other",fathers,relative,"['relatives', 'family']","[12772, 1641]",", ducks and other",ducks,bird,"['birds', 'bird']","[10087, 6512]",fathers are a type of,ducks are a type of,0.06560609489679337
", granddads and other",granddads,relative,"['relatives', 'family']","[12772, 1641]",", blizzards and other",blizzards,weather,"['weather', 'natural']","[6193, 3288]",granddads are a type of,blizzards are a type of,0.01631314307451248
", sisters and other",sisters,relative,"['relatives', 'family']","[12772, 1641]",", ants and other",ants,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",sisters are a type of,ants are a type of,0.0810188427567482
", brethren and other",brethren,relative,"['relatives', 'family']","[12772, 1641]",", handguns and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",brethren are a type of,handguns are a type of,0.0029972544871270657
", nieces and other",nieces,relative,"['relatives', 'family']","[12772, 1641]",", R&B and other",R&B,music,['music'],[2647],nieces are a type of,R&B is a type of,0.03277278691530228
", nephews and other",nephews,relative,"['relatives', 'family']","[12772, 1641]",", softball and other",softball,sport,['sports'],[5701],nephews are a type of,softball is a type of,0.3457799553871155
", great aunts and other",great aunts,relative,"['relatives', 'family']","[12772, 1641]",", sweatshirts and other",sweatshirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",great aunts are a type of,sweatshirts are a type of,0.1083374097943306
", grandparents and other",grandparents,relative,"['relatives', 'family']","[12772, 1641]",", beans and other",beans,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",grandparents are a type of,beans are a type of,0.4491974711418152
", great grandmothers and other",great grandmothers,relative,"['relatives', 'family']","[12772, 1641]",", rock & roll and other",rock & roll,music,['music'],[2647],great grandmothers are a type of,rock & roll is a type of,0.0812332034111023
", sons and other",sons,relative,"['relatives', 'family']","[12772, 1641]",", blues and other",blues,music,['music'],[2647],sons are a type of,blues is a type of,0.13584735989570618
", daughters and other",daughters,relative,"['relatives', 'family']","[12772, 1641]",", roses and other",roses,flower,"['flowers', 'flowering']","[12734, 48573]",daughters are a type of,roses are a type of,0.09292525053024292
", second cousins and other",second cousins,relative,"['relatives', 'family']","[12772, 1641]",", robins and other",robins,bird,"['birds', 'bird']","[10087, 6512]",second cousins are a type of,robins are a type of,0.26371729373931885
", great grandpas and other",great grandpas,relative,"['relatives', 'family']","[12772, 1641]",", badminton and other",badminton,sport,['sports'],[5701],great grandpas are a type of,badminton is a type of,0.014299603179097176
", great uncles and other",great uncles,relative,"['relatives', 'family']","[12772, 1641]",", R&B and other",R&B,music,['music'],[2647],great uncles are a type of,R&B is a type of,0.0893542468547821
", miles and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", skiing and other",skiing,sport,['sports'],[5701],miles are a type of,skiing is a type of,0.015109602361917496
", meters and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", majors and other",majors,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",meters are a type of,majors are a type of,0.025694139301776886
", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", fathers and other",fathers,relative,"['relatives', 'family']","[12772, 1641]",inches are a type of,fathers are a type of,0.03926363214850426
", feets and other",feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", francs and other",francs,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",feets are a type of,francs are a type of,-8.481545955874026e-05
", kilometers and other",kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", socks and other",socks,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",kilometers are a type of,socks are a type of,0.04491648077964783
", centimeters and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", cod and other",cod,fish,"['fish', 'fishes']","[5916, 49765]",centimeters are a type of,cod are a type of,0.05166345089673996
", yards and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", coats and other",coats,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",yards are a type of,coats are a type of,0.020549340173602104
", millimeters and other",millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", flamingoes and other",flamingoes,bird,"['birds', 'bird']","[10087, 6512]",millimeters are a type of,flamingoes are a type of,0.08679044246673584
", decimeters and other",decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", tank tops and other",tank tops,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",decimeters are a type of,tank tops are a type of,0.023548344150185585
", light years and other",light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", gemstones and other",gemstones,gem,"['gem', 'gems']","[16840, 23685]",light years are a type of,gemstones are a type of,0.0037876225542277098
", micrometers and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", granddads and other",granddads,relative,"['relatives', 'family']","[12772, 1641]",micrometers are a type of,granddads are a type of,0.07029130309820175
", nanometers and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", drug use and other",drug use,crime,"['crimes', 'crime']","[6741, 4065]",nanometers are a type of,drug use is a type of,0.02454775758087635
", sergeants and other",sergeants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", monsoons and other",monsoons,weather,"['weather', 'natural']","[6193, 3288]",sergeants are a type of,monsoons are a type of,0.0705295279622078
", generals and other",generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", spiders and other",spiders,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",generals are a type of,spiders are a type of,0.10107699781656265
", lieutenants and other",lieutenants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", t-shirts and other",t-shirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",lieutenants are a type of,t-shirts are a type of,0.08492430299520493
", captains and other",captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", potatoes and other",potatoes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",captains are a type of,potatoes are a type of,0.018726494163274765
", privates and other",privates,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", drug smuggling and other",drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]",privates are a type of,drug smuggling is a type of,0.010752066038548946
", colonels and other",colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", violas and other",violas,instrument,"['musical', 'instruments']","[10530, 12834]",colonels are a type of,violas are a type of,0.010277550667524338
", majors and other",majors,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", cod and other",cod,fish,"['fish', 'fishes']","[5916, 49765]",majors are a type of,cod are a type of,0.0018463906599208713
", corporals and other",corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", grandfathers and other",grandfathers,relative,"['relatives', 'family']","[12772, 1641]",corporals are a type of,grandfathers are a type of,0.06098891422152519
", officers and other",officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", jackets and other",jackets,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",officers are a type of,jackets are a type of,0.06353968381881714
", commanders and other",commanders,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", sneakers and other",sneakers,footwear,['footwear'],[43463],commanders are a type of,sneakers are a type of,0.09469453990459442
", admirals and other",admirals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", blizzards and other",blizzards,weather,"['weather', 'natural']","[6193, 3288]",admirals are a type of,blizzards are a type of,0.1386166512966156
", chiefs and other",chiefs,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", firefighters and other",firefighters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",chiefs are a type of,firefighters are a type of,0.008732659742236137
", soldiers and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", Australia and other",Australia,country,"['countries', 'country']","[2678, 1499]",soldiers are a type of,Australia is a type of,0.06641969084739685
", cadets and other",cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", garnets and other",garnets,gem,"['gem', 'gems']","[16840, 23685]",cadets are a type of,garnets are a type of,0.0740080177783966
", dogs and other",dogs,animal,['animals'],[4695],", mayors and other",mayors,politician,"['elected', 'politicians']","[7018, 7602]",dogs are a type of,mayors are a type of,0.3804117441177368
", cats and other",cats,animal,['animals'],[4695],", presidents and other",presidents,politician,"['elected', 'politicians']","[7018, 7602]",cats are a type of,presidents are a type of,0.2793530225753784
", horses and other",horses,animal,['animals'],[4695],", planes and other",planes,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",horses are a type of,planes are a type of,0.44858452677726746
", lions and other",lions,animal,['animals'],[4695],", miles and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",lions are a type of,miles are a type of,0.1724487990140915
", bears and other",bears,animal,['animals'],[4695],", desks and other",desks,furniture,['furniture'],[13091],bears are a type of,desks are a type of,0.18233810365200043
", tigers and other",tigers,animal,['animals'],[4695],", scientists and other",scientists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",tigers are a type of,scientists are a type of,0.11844159662723541
", kine and other",kine,animal,['animals'],[4695],", secs and other",secs,time,"['time', 'units']","[640, 4991]",kine are a type of,secs are a type of,0.0050116535276174545
", elephants and other",elephants,animal,['animals'],[4695],", Chile and other",Chile,country,"['countries', 'country']","[2678, 1499]",elephants are a type of,Chile is a type of,0.24168181419372559
", deer and other",deer,animal,['animals'],[4695],", governors and other",governors,politician,"['elected', 'politicians']","[7018, 7602]",deer are a type of,governors are a type of,0.14847628772258759
", mice and other",mice,animal,['animals'],[4695],", years and other",years,time,"['time', 'units']","[640, 4991]",mice are a type of,years are a type of,0.22419877350330353
", pigs and other",pigs,animal,['animals'],[4695],", ships and other",ships,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",pigs are a type of,ships are a type of,0.30675867199897766
", rats and other",rats,animal,['animals'],[4695],", rain and other",rain,weather,"['weather', 'natural']","[6193, 3288]",rats are a type of,rain is a type of,0.24206586182117462
", giraffes and other",giraffes,animal,['animals'],[4695],", piranha and other",piranha,fish,"['fish', 'fishes']","[5916, 49765]",giraffes are a type of,piranha are a type of,0.05947113782167435
", squirrels and other",squirrels,animal,['animals'],[4695],", privates and other",privates,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",squirrels are a type of,privates are a type of,0.10900114476680756
", rabbits and other",rabbits,animal,['animals'],[4695],", England and other",England,country,"['countries', 'country']","[2678, 1499]",rabbits are a type of,England is a type of,0.18360209465026855
", goats and other",goats,animal,['animals'],[4695],", keyboards and other",keyboards,instrument,"['musical', 'instruments']","[10530, 12834]",goats are a type of,keyboards are a type of,0.33249416947364807
", zebras and other",zebras,animal,['animals'],[4695],", armoires and other",armoires,furniture,['furniture'],[13091],zebras are a type of,armoires are a type of,0.05577870085835457
", mooses and other",mooses,animal,['animals'],[4695],", shacks and other",shacks,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",mooses are a type of,shacks are a type of,0.12855806946754456
", sheep and other",sheep,animal,['animals'],[4695],", sons and other",sons,relative,"['relatives', 'family']","[12772, 1641]",sheep are a type of,sons are a type of,0.24765610694885254
", cheetahs and other",cheetahs,animal,['animals'],[4695],", armoires and other",armoires,furniture,['furniture'],[13091],cheetahs are a type of,armoires are a type of,0.054368756711483
", raccoons and other",raccoons,animal,['animals'],[4695],", grasshoppers and other",grasshoppers,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",raccoons are a type of,grasshoppers are a type of,0.1516071856021881
", wolves and other",wolves,animal,['animals'],[4695],", pop and other",pop,music,['music'],[2647],wolves are a type of,pop is a type of,0.16044452786445618
", foxes and other",foxes,animal,['animals'],[4695],", cucumbers and other",cucumbers,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",foxes are a type of,cucumbers are a type of,0.13256767392158508
", hamsters and other",hamsters,animal,['animals'],[4695],", reggae and other",reggae,music,['music'],[2647],hamsters are a type of,reggae is a type of,0.1136731281876564
", donkeys and other",donkeys,animal,['animals'],[4695],", screwdrivers and other",screwdrivers,tool,['tools'],[4899],donkeys are a type of,screwdrivers are a type of,0.06421347707509995
", elk and other",elk,animal,['animals'],[4695],", businesswomen and other",businesswomen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",elk are a type of,businesswomen are a type of,0.1451094001531601
", lizards and other",lizards,animal,['animals'],[4695],", dragonflies and other",dragonflies,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",lizards are a type of,dragonflies are a type of,0.08456535637378693
", turtles and other",turtles,animal,['animals'],[4695],", pounds and other",pounds,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",turtles are a type of,pounds are a type of,0.09984234720468521
", chairs and other",chairs,furniture,['furniture'],[13091],", strawberries and other",strawberries,fruit,"['fruits', 'fruit']","[15921, 8234]",chairs are a type of,strawberries are a type of,0.07538271695375443
", tables and other",tables,furniture,['furniture'],[13091],", dresses and other",dresses,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",tables are a type of,dresses are a type of,0.0019356603734195232
", couches and other",couches,furniture,['furniture'],[13091],", crickets and other",crickets,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",couches are a type of,crickets are a type of,0.06387843191623688
", beds and other",beds,furniture,['furniture'],[13091],", Canada and other",Canada,country,"['countries', 'country']","[2678, 1499]",beds are a type of,Canada is a type of,0.047958556562662125
", desks and other",desks,furniture,['furniture'],[13091],", rulers and other",rulers,tool,['tools'],[4899],desks are a type of,rulers are a type of,0.03185029327869415
", sofas and other",sofas,furniture,['furniture'],[13091],", flip flops and other",flip flops,footwear,['footwear'],[43463],sofas are a type of,flip flops are a type of,0.005368347745388746
", dressers and other",dressers,furniture,['furniture'],[13091],", thunderstorms and other",thunderstorms,weather,"['weather', 'natural']","[6193, 3288]",dressers are a type of,thunderstorms are a type of,0.005395661573857069
", loveseats and other",loveseats,furniture,['furniture'],[13091],", granddads and other",granddads,relative,"['relatives', 'family']","[12772, 1641]",loveseats are a type of,granddads are a type of,-0.0017003181856125593
", coffee tables and other",coffee tables,furniture,['furniture'],[13091],", squirrels and other",squirrels,animal,['animals'],[4695],coffee tables are a type of,squirrels are a type of,0.026544777676463127
", lamps and other",lamps,furniture,['furniture'],[13091],", days and other",days,time,"['time', 'units']","[640, 4991]",lamps are a type of,days are a type of,0.0029872951563447714
", nightstands and other",nightstands,furniture,['furniture'],[13091],", monsoons and other",monsoons,weather,"['weather', 'natural']","[6193, 3288]",nightstands are a type of,monsoons are a type of,0.009923401288688183
", ottomen and other",ottomen,furniture,['furniture'],[13091],", bluejays and other",bluejays,bird,"['birds', 'bird']","[10087, 6512]",ottomen are a type of,bluejays are a type of,-0.00024073179520200938
", recliners and other",recliners,furniture,['furniture'],[13091],", marlin and other",marlin,fish,"['fish', 'fishes']","[5916, 49765]",recliners are a type of,marlin are a type of,0.024486655369400978
", stools and other",stools,furniture,['furniture'],[13091],", trumpets and other",trumpets,instrument,"['musical', 'instruments']","[10530, 12834]",stools are a type of,trumpets are a type of,0.01797286607325077
", end tables and other",end tables,furniture,['furniture'],[13091],", vice presidents and other",vice presidents,politician,"['elected', 'politicians']","[7018, 7602]",end tables are a type of,vice presidents are a type of,0.00018001835269387811
", futons and other",futons,furniture,['furniture'],[13091],", maces and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",futons are a type of,maces are a type of,-0.00022706232266500592
", armoires and other",armoires,furniture,['furniture'],[13091],", micrometers and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",armoires are a type of,micrometers are a type of,-0.00028883933555334806
", bookcases and other",bookcases,furniture,['furniture'],[13091],", drunk driving and other",drunk driving,crime,"['crimes', 'crime']","[6741, 4065]",bookcases are a type of,drunk driving is a type of,0.015807224437594414
", cabinets and other",cabinets,furniture,['furniture'],[13091],", screws and other",screws,tool,['tools'],[4899],cabinets are a type of,screws are a type of,0.019775865599513054
", foot stools and other",foot stools,furniture,['furniture'],[13091],", nickels and other",nickels,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",foot stools are a type of,nickels are a type of,0.016110697761178017
", shelves and other",shelves,furniture,['furniture'],[13091],", rugby and other",rugby,sport,['sports'],[5701],shelves are a type of,rugby is a type of,0.005876985378563404
", apples and other",apples,fruit,"['fruits', 'fruit']","[15921, 8234]",", mayors and other",mayors,politician,"['elected', 'politicians']","[7018, 7602]",apples are a type of,mayors are a type of,0.21447914838790894
", oranges and other",oranges,fruit,"['fruits', 'fruit']","[15921, 8234]",", hotels and other",hotels,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",oranges are a type of,hotels are a type of,0.2937815487384796
", bananas and other",bananas,fruit,"['fruits', 'fruit']","[15921, 8234]",", speeding and other",speeding,crime,"['crimes', 'crime']","[6741, 4065]",bananas are a type of,speeding is a type of,0.1734546273946762
", grapes and other",grapes,fruit,"['fruits', 'fruit']","[15921, 8234]",", presidents and other",presidents,politician,"['elected', 'politicians']","[7018, 7602]",grapes are a type of,presidents are a type of,0.1585177630186081
", pears and other",pears,fruit,"['fruits', 'fruit']","[15921, 8234]",", blowfish and other",blowfish,fish,"['fish', 'fishes']","[5916, 49765]",pears are a type of,blowfish are a type of,0.10101689398288727
", peaches and other",peaches,fruit,"['fruits', 'fruit']","[15921, 8234]",", gnats and other",gnats,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",peaches are a type of,gnats are a type of,0.18288543820381165
", strawberries and other",strawberries,fruit,"['fruits', 'fruit']","[15921, 8234]",", Japan and other",Japan,country,"['countries', 'country']","[2678, 1499]",strawberries are a type of,Japan is a type of,0.18167993426322937
", kiwis and other",kiwis,fruit,"['fruits', 'fruit']","[15921, 8234]",", zucchini and other",zucchini,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",kiwis are a type of,zucchini is a type of,-7.435539737343788e-05
", pineapples and other",pineapples,fruit,"['fruits', 'fruit']","[15921, 8234]",", water polo and other",water polo,sport,['sports'],[5701],pineapples are a type of,water polo is a type of,0.06861162930727005
", watermelons and other",watermelons,fruit,"['fruits', 'fruit']","[15921, 8234]",", condominiums and other",condominiums,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",watermelons are a type of,condominiums are a type of,0.020337533205747604
", plums and other",plums,fruit,"['fruits', 'fruit']","[15921, 8234]",", millenniums and other",millenniums,time,"['time', 'units']","[640, 4991]",plums are a type of,millenniums are a type of,0.036289870738983154
", grapefruits and other",grapefruits,fruit,"['fruits', 'fruit']","[15921, 8234]",", cockroaches and other",cockroaches,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",grapefruits are a type of,cockroaches are a type of,0.21354570984840393
", mangoes and other",mangoes,fruit,"['fruits', 'fruit']","[15921, 8234]",", tidal waves and other",tidal waves,weather,"['weather', 'natural']","[6193, 3288]",mangoes are a type of,tidal waves are a type of,0.2684987783432007
", cherries and other",cherries,fruit,"['fruits', 'fruit']","[15921, 8234]",", corporals and other",corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",cherries are a type of,corporals are a type of,0.16257832944393158
", lemons and other",lemons,fruit,"['fruits', 'fruit']","[15921, 8234]",", carnations and other",carnations,flower,"['flowers', 'flowering']","[12734, 48573]",lemons are a type of,carnations are a type of,0.14517997205257416
", blueberries and other",blueberries,fruit,"['fruits', 'fruit']","[15921, 8234]",", buss and other",buss,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",blueberries are a type of,buss are a type of,0.21281544864177704
", cantaloupes and other",cantaloupes,fruit,"['fruits', 'fruit']","[15921, 8234]",", turquoises and other",turquoises,gem,"['gem', 'gems']","[16840, 23685]",cantaloupes are a type of,turquoises are a type of,0.0005738256732001901
", raspberries and other",raspberries,fruit,"['fruits', 'fruit']","[15921, 8234]",", mopeds and other",mopeds,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",raspberries are a type of,mopeds are a type of,0.1342020183801651
", limes and other",limes,fruit,"['fruits', 'fruit']","[15921, 8234]",", blackbirds and other",blackbirds,bird,"['birds', 'bird']","[10087, 6512]",limes are a type of,blackbirds are a type of,0.03512847423553467
", tangerines and other",tangerines,fruit,"['fruits', 'fruit']","[15921, 8234]",", brass knuckles and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",tangerines are a type of,brass knuckles are a type of,0.0034394331742078066
", melons and other",melons,fruit,"['fruits', 'fruit']","[15921, 8234]",", maces and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",melons are a type of,maces are a type of,0.026227878406643867
