clean,h1,h2,hypernym,answers,answers_idx,corrupted,c1,c2,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 diamonds and turquoises are two types of,diamonds,turquoises,gem,"['gem', 'gems']","[16840, 23685]", pumps and moccasins are two types of,pumps,moccasins,footwear,['footwear'],[43463]
 rubies and diamonds are two types of,rubies,diamonds,gem,"['gem', 'gems']","[16840, 23685]", drug smuggling and assault are two types of,drug smuggling,assault,crime,"['crimes', 'crime']","[6741, 4065]"
 rubies and emeralds are two types of,rubies,emeralds,gem,"['gem', 'gems']","[16840, 23685]", cardinals and sparrows are two types of,cardinals,sparrows,bird,"['birds', 'bird']","[10087, 6512]"
 rubies and sapphires are two types of,rubies,sapphires,gem,"['gem', 'gems']","[16840, 23685]", bluebirds and woodpeckers are two types of,bluebirds,woodpeckers,bird,"['birds', 'bird']","[10087, 6512]"
 rubies and pearls are two types of,rubies,pearls,gem,"['gem', 'gems']","[16840, 23685]", carnations and tulips are two types of,carnations,tulips,flower,"['flowers', 'flowering']","[12734, 48573]"
 rubies and gemstones are two types of,rubies,gemstones,gem,"['gem', 'gems']","[16840, 23685]", cardinals and doves are two types of,cardinals,doves,bird,"['birds', 'bird']","[10087, 6512]"
 rubies and amethysts are two types of,rubies,amethysts,gem,"['gem', 'gems']","[16840, 23685]", janitors and carpenters are two types of,janitors,carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 rubies and opals are two types of,rubies,opals,gem,"['gem', 'gems']","[16840, 23685]", cross country and gymnastics are two types of,cross country,gymnastics,sport,['sports'],[5701]
 rubies and topazs are two types of,rubies,topazs,gem,"['gem', 'gems']","[16840, 23685]", redwoods and sycamores are two types of,redwoods,sycamores,tree,['trees'],[7150]
 rubies and garnets are two types of,rubies,garnets,gem,"['gem', 'gems']","[16840, 23685]", field hockey and cross country are two types of,field hockey,cross country,sport,['sports'],[5701]
 rubies and jades are two types of,rubies,jades,gem,"['gem', 'gems']","[16840, 23685]", hamsters and donkeys are two types of,hamsters,donkeys,animal,['animals'],[4695]
 rubies and quartzs are two types of,rubies,quartzs,gem,"['gem', 'gems']","[16840, 23685]", dimes and pesoes are two types of,dimes,pesoes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 rubies and turquoises are two types of,rubies,turquoises,gem,"['gem', 'gems']","[16840, 23685]", eons and nanoseconds are two types of,eons,nanoseconds,time,"['time', 'units']","[640, 4991]"
 emeralds and diamonds are two types of,emeralds,diamonds,gem,"['gem', 'gems']","[16840, 23685]", rock & roll and classical are two types of,rock & roll,classical,music,['music'],[2647]
 emeralds and rubies are two types of,emeralds,rubies,gem,"['gem', 'gems']","[16840, 23685]", giraffes and squirrels are two types of,giraffes,squirrels,animal,['animals'],[4695]
 emeralds and sapphires are two types of,emeralds,sapphires,gem,"['gem', 'gems']","[16840, 23685]", brass knuckles and bazookas are two types of,brass knuckles,bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 emeralds and pearls are two types of,emeralds,pearls,gem,"['gem', 'gems']","[16840, 23685]", giraffes and foxes are two types of,giraffes,foxes,animal,['animals'],[4695]
 emeralds and gemstones are two types of,emeralds,gemstones,gem,"['gem', 'gems']","[16840, 23685]", trombones and violas are two types of,trombones,violas,instrument,"['musical', 'instruments']","[10530, 12834]"
 emeralds and amethysts are two types of,emeralds,amethysts,gem,"['gem', 'gems']","[16840, 23685]", liras and nickels are two types of,liras,nickels,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 emeralds and opals are two types of,emeralds,opals,gem,"['gem', 'gems']","[16840, 23685]", foot stools and recliners are two types of,foot stools,recliners,furniture,['furniture'],[13091]
 emeralds and topazs are two types of,emeralds,topazs,gem,"['gem', 'gems']","[16840, 23685]", rock & roll and R&B are two types of,rock & roll,R&B,music,['music'],[2647]
 emeralds and garnets are two types of,emeralds,garnets,gem,"['gem', 'gems']","[16840, 23685]", larceny and drunk driving are two types of,larceny,drunk driving,crime,"['crimes', 'crime']","[6741, 4065]"
 emeralds and jades are two types of,emeralds,jades,gem,"['gem', 'gems']","[16840, 23685]", liras and pesoes are two types of,liras,pesoes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 emeralds and quartzs are two types of,emeralds,quartzs,gem,"['gem', 'gems']","[16840, 23685]", sergeants and colonels are two types of,sergeants,colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 emeralds and turquoises are two types of,emeralds,turquoises,gem,"['gem', 'gems']","[16840, 23685]", violets and daffodils are two types of,violets,daffodils,flower,"['flowers', 'flowering']","[12734, 48573]"
 sapphires and diamonds are two types of,sapphires,diamonds,gem,"['gem', 'gems']","[16840, 23685]", mahi mahi and cod are two types of,mahi mahi,cod,fish,"['fish', 'fishes']","[5916, 49765]"
 sapphires and rubies are two types of,sapphires,rubies,gem,"['gem', 'gems']","[16840, 23685]", moccasins and running shoes are two types of,moccasins,running shoes,footwear,['footwear'],[43463]
 sapphires and emeralds are two types of,sapphires,emeralds,gem,"['gem', 'gems']","[16840, 23685]", daffodils and petunias are two types of,daffodils,petunias,flower,"['flowers', 'flowering']","[12734, 48573]"
 sapphires and pearls are two types of,sapphires,pearls,gem,"['gem', 'gems']","[16840, 23685]", cantaloupes and cherries are two types of,cantaloupes,cherries,fruit,"['fruits', 'fruit']","[15921, 8234]"
 sapphires and gemstones are two types of,sapphires,gemstones,gem,"['gem', 'gems']","[16840, 23685]", mahi mahi and perch are two types of,mahi mahi,perch,fish,"['fish', 'fishes']","[5916, 49765]"
 sapphires and amethysts are two types of,sapphires,amethysts,gem,"['gem', 'gems']","[16840, 23685]", moccasins and flip flops are two types of,moccasins,flip flops,footwear,['footwear'],[43463]
 sapphires and opals are two types of,sapphires,opals,gem,"['gem', 'gems']","[16840, 23685]", nunchuckss and maces are two types of,nunchuckss,maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 sapphires and topazs are two types of,sapphires,topazs,gem,"['gem', 'gems']","[16840, 23685]", seagulls and vultures are two types of,seagulls,vultures,bird,"['birds', 'bird']","[10087, 6512]"
 sapphires and garnets are two types of,sapphires,garnets,gem,"['gem', 'gems']","[16840, 23685]", cantaloupes and lemons are two types of,cantaloupes,lemons,fruit,"['fruits', 'fruit']","[15921, 8234]"
 sapphires and jades are two types of,sapphires,jades,gem,"['gem', 'gems']","[16840, 23685]", woodpeckers and mockingbirds are two types of,woodpeckers,mockingbirds,bird,"['birds', 'bird']","[10087, 6512]"
 sapphires and quartzs are two types of,sapphires,quartzs,gem,"['gem', 'gems']","[16840, 23685]", nanoseconds and secs are two types of,nanoseconds,secs,time,"['time', 'units']","[640, 4991]"
 sapphires and turquoises are two types of,sapphires,turquoises,gem,"['gem', 'gems']","[16840, 23685]", bazookas and nunchuckss are two types of,bazookas,nunchuckss,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 pearls and diamonds are two types of,pearls,diamonds,gem,"['gem', 'gems']","[16840, 23685]", herring and tuna are two types of,herring,tuna,fish,"['fish', 'fishes']","[5916, 49765]"
 pearls and rubies are two types of,pearls,rubies,gem,"['gem', 'gems']","[16840, 23685]", tape measures and pliers are two types of,tape measures,pliers,tool,['tools'],[4899]
 pearls and emeralds are two types of,pearls,emeralds,gem,"['gem', 'gems']","[16840, 23685]", french horns and saxophones are two types of,french horns,saxophones,instrument,"['musical', 'instruments']","[10530, 12834]"
 pearls and sapphires are two types of,pearls,sapphires,gem,"['gem', 'gems']","[16840, 23685]", cardinals and woodpeckers are two types of,cardinals,woodpeckers,bird,"['birds', 'bird']","[10087, 6512]"
 pearls and gemstones are two types of,pearls,gemstones,gem,"['gem', 'gems']","[16840, 23685]", secs and eons are two types of,secs,eons,time,"['time', 'units']","[640, 4991]"
 pearls and amethysts are two types of,pearls,amethysts,gem,"['gem', 'gems']","[16840, 23685]", fleas and centipedes are two types of,fleas,centipedes,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 pearls and opals are two types of,pearls,opals,gem,"['gem', 'gems']","[16840, 23685]", tidal waves and thunderstorms are two types of,tidal waves,thunderstorms,weather,"['weather', 'natural']","[6193, 3288]"
 pearls and topazs are two types of,pearls,topazs,gem,"['gem', 'gems']","[16840, 23685]", robins and parakeets are two types of,robins,parakeets,bird,"['birds', 'bird']","[10087, 6512]"
 pearls and garnets are two types of,pearls,garnets,gem,"['gem', 'gems']","[16840, 23685]", drunk driving and drug use are two types of,drunk driving,drug use,crime,"['crimes', 'crime']","[6741, 4065]"
 pearls and jades are two types of,pearls,jades,gem,"['gem', 'gems']","[16840, 23685]", cheerleading and gymnastics are two types of,cheerleading,gymnastics,sport,['sports'],[5701]
 pearls and quartzs are two types of,pearls,quartzs,gem,"['gem', 'gems']","[16840, 23685]", peaches and limes are two types of,peaches,limes,fruit,"['fruits', 'fruit']","[15921, 8234]"
 pearls and turquoises are two types of,pearls,turquoises,gem,"['gem', 'gems']","[16840, 23685]", clogs and moccasins are two types of,clogs,moccasins,footwear,['footwear'],[43463]
 gemstones and diamonds are two types of,gemstones,diamonds,gem,"['gem', 'gems']","[16840, 23685]", vice presidents and governors are two types of,vice presidents,governors,politician,"['elected', 'politicians']","[7018, 7602]"
 gemstones and rubies are two types of,gemstones,rubies,gem,"['gem', 'gems']","[16840, 23685]", lemons and melons are two types of,lemons,melons,fruit,"['fruits', 'fruit']","[15921, 8234]"
 gemstones and emeralds are two types of,gemstones,emeralds,gem,"['gem', 'gems']","[16840, 23685]", subways and mopeds are two types of,subways,mopeds,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 gemstones and sapphires are two types of,gemstones,sapphires,gem,"['gem', 'gems']","[16840, 23685]", violas and tambourines are two types of,violas,tambourines,instrument,"['musical', 'instruments']","[10530, 12834]"
 gemstones and pearls are two types of,gemstones,pearls,gem,"['gem', 'gems']","[16840, 23685]", rubles and euroes are two types of,rubles,euroes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 gemstones and amethysts are two types of,gemstones,amethysts,gem,"['gem', 'gems']","[16840, 23685]", redwoods and sycamores are two types of,redwoods,sycamores,tree,['trees'],[7150]
 gemstones and opals are two types of,gemstones,opals,gem,"['gem', 'gems']","[16840, 23685]", celery and cucumbers are two types of,celery,cucumbers,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 gemstones and topazs are two types of,gemstones,topazs,gem,"['gem', 'gems']","[16840, 23685]", kine and cheetahs are two types of,kine,cheetahs,animal,['animals'],[4695]
 gemstones and garnets are two types of,gemstones,garnets,gem,"['gem', 'gems']","[16840, 23685]", mansions and huts are two types of,mansions,huts,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 gemstones and jades are two types of,gemstones,jades,gem,"['gem', 'gems']","[16840, 23685]", secs and millenniums are two types of,secs,millenniums,time,"['time', 'units']","[640, 4991]"
 gemstones and quartzs are two types of,gemstones,quartzs,gem,"['gem', 'gems']","[16840, 23685]", skateboards and buss are two types of,skateboards,buss,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 gemstones and turquoises are two types of,gemstones,turquoises,gem,"['gem', 'gems']","[16840, 23685]", maces and bazookas are two types of,maces,bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 amethysts and diamonds are two types of,amethysts,diamonds,gem,"['gem', 'gems']","[16840, 23685]", daisies and roses are two types of,daisies,roses,flower,"['flowers', 'flowering']","[12734, 48573]"
 amethysts and rubies are two types of,amethysts,rubies,gem,"['gem', 'gems']","[16840, 23685]", condominiums and cabins are two types of,condominiums,cabins,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 amethysts and emeralds are two types of,amethysts,emeralds,gem,"['gem', 'gems']","[16840, 23685]", blizzards and tsunamis are two types of,blizzards,tsunamis,weather,"['weather', 'natural']","[6193, 3288]"
 amethysts and sapphires are two types of,amethysts,sapphires,gem,"['gem', 'gems']","[16840, 23685]", brass knuckles and nunchuckss are two types of,brass knuckles,nunchuckss,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 amethysts and pearls are two types of,amethysts,pearls,gem,"['gem', 'gems']","[16840, 23685]", pontoons and rafts are two types of,pontoons,rafts,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]"
 amethysts and gemstones are two types of,amethysts,gemstones,gem,"['gem', 'gems']","[16840, 23685]", piccoloes and flutes are two types of,piccoloes,flutes,instrument,"['musical', 'instruments']","[10530, 12834]"
 amethysts and opals are two types of,amethysts,opals,gem,"['gem', 'gems']","[16840, 23685]", badminton and gymnastics are two types of,badminton,gymnastics,sport,['sports'],[5701]
 amethysts and topazs are two types of,amethysts,topazs,gem,"['gem', 'gems']","[16840, 23685]", nickels and liras are two types of,nickels,liras,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 amethysts and garnets are two types of,amethysts,garnets,gem,"['gem', 'gems']","[16840, 23685]", nightstands and bookcases are two types of,nightstands,bookcases,furniture,['furniture'],[13091]
 amethysts and jades are two types of,amethysts,jades,gem,"['gem', 'gems']","[16840, 23685]", great grandpas and grandmothers are two types of,great grandpas,grandmothers,relative,"['relatives', 'family']","[12772, 1641]"
 amethysts and quartzs are two types of,amethysts,quartzs,gem,"['gem', 'gems']","[16840, 23685]", water polo and gymnastics are two types of,water polo,gymnastics,sport,['sports'],[5701]
 amethysts and turquoises are two types of,amethysts,turquoises,gem,"['gem', 'gems']","[16840, 23685]", daisies and daffodils are two types of,daisies,daffodils,flower,"['flowers', 'flowering']","[12734, 48573]"
 opals and diamonds are two types of,opals,diamonds,gem,"['gem', 'gems']","[16840, 23685]", eons and days are two types of,eons,days,time,"['time', 'units']","[640, 4991]"
 opals and rubies are two types of,opals,rubies,gem,"['gem', 'gems']","[16840, 23685]", drunk driving and drug use are two types of,drunk driving,drug use,crime,"['crimes', 'crime']","[6741, 4065]"
 opals and emeralds are two types of,opals,emeralds,gem,"['gem', 'gems']","[16840, 23685]", decimeters and micrometers are two types of,decimeters,micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 opals and sapphires are two types of,opals,sapphires,gem,"['gem', 'gems']","[16840, 23685]", eons and nanoseconds are two types of,eons,nanoseconds,time,"['time', 'units']","[640, 4991]"
 opals and pearls are two types of,opals,pearls,gem,"['gem', 'gems']","[16840, 23685]", irides and pansies are two types of,irides,pansies,flower,"['flowers', 'flowering']","[12734, 48573]"
 opals and gemstones are two types of,opals,gemstones,gem,"['gem', 'gems']","[16840, 23685]", tepees and mansions are two types of,tepees,mansions,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 opals and amethysts are two types of,opals,amethysts,gem,"['gem', 'gems']","[16840, 23685]", lilacs and violets are two types of,lilacs,violets,flower,"['flowers', 'flowering']","[12734, 48573]"
 opals and topazs are two types of,opals,topazs,gem,"['gem', 'gems']","[16840, 23685]", lacrosse and water polo are two types of,lacrosse,water polo,sport,['sports'],[5701]
 opals and garnets are two types of,opals,garnets,gem,"['gem', 'gems']","[16840, 23685]", nephews and second cousins are two types of,nephews,second cousins,relative,"['relatives', 'family']","[12772, 1641]"
 opals and jades are two types of,opals,jades,gem,"['gem', 'gems']","[16840, 23685]", heavy metal and reggae are two types of,heavy metal,reggae,music,['music'],[2647]
 opals and quartzs are two types of,opals,quartzs,gem,"['gem', 'gems']","[16840, 23685]", recliners and bookcases are two types of,recliners,bookcases,furniture,['furniture'],[13091]
 opals and turquoises are two types of,opals,turquoises,gem,"['gem', 'gems']","[16840, 23685]", catfish and mahi mahi are two types of,catfish,mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]"
 topazs and diamonds are two types of,topazs,diamonds,gem,"['gem', 'gems']","[16840, 23685]", nightstands and cabinets are two types of,nightstands,cabinets,furniture,['furniture'],[13091]
 topazs and rubies are two types of,topazs,rubies,gem,"['gem', 'gems']","[16840, 23685]", angelfish and guppy are two types of,angelfish,guppy,fish,"['fish', 'fishes']","[5916, 49765]"
 topazs and emeralds are two types of,topazs,emeralds,gem,"['gem', 'gems']","[16840, 23685]", R&B and rock & roll are two types of,R&B,rock & roll,music,['music'],[2647]
 topazs and sapphires are two types of,topazs,sapphires,gem,"['gem', 'gems']","[16840, 23685]", vultures and woodpeckers are two types of,vultures,woodpeckers,bird,"['birds', 'bird']","[10087, 6512]"
 topazs and pearls are two types of,topazs,pearls,gem,"['gem', 'gems']","[16840, 23685]", liras and rubles are two types of,liras,rubles,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 topazs and gemstones are two types of,topazs,gemstones,gem,"['gem', 'gems']","[16840, 23685]", armoires and stools are two types of,armoires,stools,furniture,['furniture'],[13091]
 topazs and amethysts are two types of,topazs,amethysts,gem,"['gem', 'gems']","[16840, 23685]", minivans and mopeds are two types of,minivans,mopeds,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 topazs and opals are two types of,topazs,opals,gem,"['gem', 'gems']","[16840, 23685]", weeping willows and redwoods are two types of,weeping willows,redwoods,tree,['trees'],[7150]
 topazs and garnets are two types of,topazs,garnets,gem,"['gem', 'gems']","[16840, 23685]", vultures and ravens are two types of,vultures,ravens,bird,"['birds', 'bird']","[10087, 6512]"
 topazs and jades are two types of,topazs,jades,gem,"['gem', 'gems']","[16840, 23685]", great aunts and grandmothers are two types of,great aunts,grandmothers,relative,"['relatives', 'family']","[12772, 1641]"
 topazs and quartzs are two types of,topazs,quartzs,gem,"['gem', 'gems']","[16840, 23685]", raspberries and blueberries are two types of,raspberries,blueberries,fruit,"['fruits', 'fruit']","[15921, 8234]"
 topazs and turquoises are two types of,topazs,turquoises,gem,"['gem', 'gems']","[16840, 23685]", saxophones and tambourines are two types of,saxophones,tambourines,instrument,"['musical', 'instruments']","[10530, 12834]"
 garnets and diamonds are two types of,garnets,diamonds,gem,"['gem', 'gems']","[16840, 23685]", thunderstorms and earthquakes are two types of,thunderstorms,earthquakes,weather,"['weather', 'natural']","[6193, 3288]"
 garnets and rubies are two types of,garnets,rubies,gem,"['gem', 'gems']","[16840, 23685]", privates and colonels are two types of,privates,colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 garnets and emeralds are two types of,garnets,emeralds,gem,"['gem', 'gems']","[16840, 23685]", heavy metal and R&B are two types of,heavy metal,R&B,music,['music'],[2647]
 garnets and sapphires are two types of,garnets,sapphires,gem,"['gem', 'gems']","[16840, 23685]", maces and nunchuckss are two types of,maces,nunchuckss,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 garnets and pearls are two types of,garnets,pearls,gem,"['gem', 'gems']","[16840, 23685]", police officers and accountants are two types of,police officers,accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 garnets and gemstones are two types of,garnets,gemstones,gem,"['gem', 'gems']","[16840, 23685]", suns and lilacs are two types of,suns,lilacs,flower,"['flowers', 'flowering']","[12734, 48573]"
 garnets and amethysts are two types of,garnets,amethysts,gem,"['gem', 'gems']","[16840, 23685]", blowfish and halibut are two types of,blowfish,halibut,fish,"['fish', 'fishes']","[5916, 49765]"
 garnets and opals are two types of,garnets,opals,gem,"['gem', 'gems']","[16840, 23685]", police officers and janitors are two types of,police officers,janitors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 garnets and topazs are two types of,garnets,topazs,gem,"['gem', 'gems']","[16840, 23685]", janitors and carpenters are two types of,janitors,carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 garnets and jades are two types of,garnets,jades,gem,"['gem', 'gems']","[16840, 23685]", cucumbers and green beans are two types of,cucumbers,green beans,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 garnets and quartzs are two types of,garnets,quartzs,gem,"['gem', 'gems']","[16840, 23685]", new age and hip hop are two types of,new age,hip hop,music,['music'],[2647]
 garnets and turquoises are two types of,garnets,turquoises,gem,"['gem', 'gems']","[16840, 23685]", peaches and cantaloupes are two types of,peaches,cantaloupes,fruit,"['fruits', 'fruit']","[15921, 8234]"
 jades and diamonds are two types of,jades,diamonds,gem,"['gem', 'gems']","[16840, 23685]", ska and country are two types of,ska,country,music,['music'],[2647]
 jades and rubies are two types of,jades,rubies,gem,"['gem', 'gems']","[16840, 23685]", new age and reggae are two types of,new age,reggae,music,['music'],[2647]
 jades and emeralds are two types of,jades,emeralds,gem,"['gem', 'gems']","[16840, 23685]", swordfish and flounder are two types of,swordfish,flounder,fish,"['fish', 'fishes']","[5916, 49765]"
 jades and sapphires are two types of,jades,sapphires,gem,"['gem', 'gems']","[16840, 23685]", slippers and moccasins are two types of,slippers,moccasins,footwear,['footwear'],[43463]
 jades and pearls are two types of,jades,pearls,gem,"['gem', 'gems']","[16840, 23685]", light years and nanometers are two types of,light years,nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 jades and gemstones are two types of,jades,gemstones,gem,"['gem', 'gems']","[16840, 23685]", dressers and futons are two types of,dressers,futons,furniture,['furniture'],[13091]
 jades and amethysts are two types of,jades,amethysts,gem,"['gem', 'gems']","[16840, 23685]", cabins and dormitories are two types of,cabins,dormitories,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 jades and opals are two types of,jades,opals,gem,"['gem', 'gems']","[16840, 23685]", polo and field hockey are two types of,polo,field hockey,sport,['sports'],[5701]
 jades and topazs are two types of,jades,topazs,gem,"['gem', 'gems']","[16840, 23685]", businesswomen and carpenters are two types of,businesswomen,carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 jades and garnets are two types of,jades,garnets,gem,"['gem', 'gems']","[16840, 23685]", hawks and hummingbirds are two types of,hawks,hummingbirds,bird,"['birds', 'bird']","[10087, 6512]"
 jades and quartzs are two types of,jades,quartzs,gem,"['gem', 'gems']","[16840, 23685]", new age and bluegrass are two types of,new age,bluegrass,music,['music'],[2647]
 jades and turquoises are two types of,jades,turquoises,gem,"['gem', 'gems']","[16840, 23685]", pears and cantaloupes are two types of,pears,cantaloupes,fruit,"['fruits', 'fruit']","[15921, 8234]"
 quartzs and diamonds are two types of,quartzs,diamonds,gem,"['gem', 'gems']","[16840, 23685]", kine and bears are two types of,kine,bears,animal,['animals'],[4695]
 quartzs and rubies are two types of,quartzs,rubies,gem,"['gem', 'gems']","[16840, 23685]", rainbow trout and perch are two types of,rainbow trout,perch,fish,"['fish', 'fishes']","[5916, 49765]"
 quartzs and emeralds are two types of,quartzs,emeralds,gem,"['gem', 'gems']","[16840, 23685]", yens and liras are two types of,yens,liras,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 quartzs and sapphires are two types of,quartzs,sapphires,gem,"['gem', 'gems']","[16840, 23685]", tubas and tambourines are two types of,tubas,tambourines,instrument,"['musical', 'instruments']","[10530, 12834]"
 quartzs and pearls are two types of,quartzs,pearls,gem,"['gem', 'gems']","[16840, 23685]", clogs and sandals are two types of,clogs,sandals,footwear,['footwear'],[43463]
 quartzs and gemstones are two types of,quartzs,gemstones,gem,"['gem', 'gems']","[16840, 23685]", stools and end tables are two types of,stools,end tables,furniture,['furniture'],[13091]
 quartzs and amethysts are two types of,quartzs,amethysts,gem,"['gem', 'gems']","[16840, 23685]", maces and brass knuckles are two types of,maces,brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 quartzs and opals are two types of,quartzs,opals,gem,"['gem', 'gems']","[16840, 23685]", tubas and flutes are two types of,tubas,flutes,instrument,"['musical', 'instruments']","[10530, 12834]"
 quartzs and topazs are two types of,quartzs,topazs,gem,"['gem', 'gems']","[16840, 23685]", maces and brass knuckles are two types of,maces,brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 quartzs and garnets are two types of,quartzs,garnets,gem,"['gem', 'gems']","[16840, 23685]", light years and decimeters are two types of,light years,decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 quartzs and jades are two types of,quartzs,jades,gem,"['gem', 'gems']","[16840, 23685]", herring and perch are two types of,herring,perch,fish,"['fish', 'fishes']","[5916, 49765]"
 quartzs and turquoises are two types of,quartzs,turquoises,gem,"['gem', 'gems']","[16840, 23685]", running shoes and moccasins are two types of,running shoes,moccasins,footwear,['footwear'],[43463]
 turquoises and diamonds are two types of,turquoises,diamonds,gem,"['gem', 'gems']","[16840, 23685]", mahi mahi and carp are two types of,mahi mahi,carp,fish,"['fish', 'fishes']","[5916, 49765]"
 turquoises and rubies are two types of,turquoises,rubies,gem,"['gem', 'gems']","[16840, 23685]", woodpeckers and cardinals are two types of,woodpeckers,cardinals,bird,"['birds', 'bird']","[10087, 6512]"
 turquoises and emeralds are two types of,turquoises,emeralds,gem,"['gem', 'gems']","[16840, 23685]", daffodils and daisies are two types of,daffodils,daisies,flower,"['flowers', 'flowering']","[12734, 48573]"
 turquoises and sapphires are two types of,turquoises,sapphires,gem,"['gem', 'gems']","[16840, 23685]", seagulls and woodpeckers are two types of,seagulls,woodpeckers,bird,"['birds', 'bird']","[10087, 6512]"
 turquoises and pearls are two types of,turquoises,pearls,gem,"['gem', 'gems']","[16840, 23685]", daffodils and tulips are two types of,daffodils,tulips,flower,"['flowers', 'flowering']","[12734, 48573]"
