clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 grandparents are a type of,grandparents,relative,"['relatives', 'family']","[29658, 3070]", cats are a type of,cats,animal,['animals'],[10099]
 great grandmothers are a type of,great grandmothers,relative,"['relatives', 'family']","[29658, 3070]", sapphires are a type of,sapphires,gem,"['gem', 'gems']","[19269, 43258]"
 sons are a type of,sons,relative,"['relatives', 'family']","[29658, 3070]", ska is a type of,ska,music,['music'],[4731]
 daughters are a type of,daughters,relative,"['relatives', 'family']","[29658, 3070]", snow is a type of,snow,weather,"['weather', 'natural']","[9282, 5933]"
 second cousins are a type of,second cousins,relative,"['relatives', 'family']","[29658, 3070]", field hockey is a type of,field hockey,sport,['sports'],[10034]
 great grandpas are a type of,great grandpas,relative,"['relatives', 'family']","[29658, 3070]", piccoloes are a type of,piccoloes,instrument,"['musical', 'instruments']","[18273, 24198]"
 great uncles are a type of,great uncles,relative,"['relatives', 'family']","[29658, 3070]", grasshoppers are a type of,grasshoppers,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
 miles are a type of,miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]", bowling is a type of,bowling,sport,['sports'],[10034]
 meters are a type of,meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]", cousins are a type of,cousins,relative,"['relatives', 'family']","[29658, 3070]"
 inches are a type of,inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]", guitars are a type of,guitars,instrument,"['musical', 'instruments']","[18273, 24198]"
 feets are a type of,feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]", gymnastics is a type of,gymnastics,sport,['sports'],[10034]
 kilometers are a type of,kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]", senators are a type of,senators,politician,"['elected', 'politicians']","[16689, 19287]"
 centimeters are a type of,centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]", maces are a type of,maces,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
 yards are a type of,yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]", doctors are a type of,doctors,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 millimeters are a type of,millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]", field hockey is a type of,field hockey,sport,['sports'],[10034]
 decimeters are a type of,decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]", t-shirts are a type of,t-shirts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
 light years are a type of,light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]", squirrels are a type of,squirrels,animal,['animals'],[10099]
 micrometers are a type of,micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]", undershirts are a type of,undershirts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
 nanometers are a type of,nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]", gnats are a type of,gnats,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
 sergeants are a type of,sergeants,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", huts are a type of,huts,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"
 generals are a type of,generals,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", guitars are a type of,guitars,instrument,"['musical', 'instruments']","[18273, 24198]"
 lieutenants are a type of,lieutenants,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", typhoons are a type of,typhoons,weather,"['weather', 'natural']","[9282, 5933]"
 captains are a type of,captains,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", cents are a type of,cents,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]"
 privates are a type of,privates,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", end tables are a type of,end tables,furniture,['furniture'],[14891]
 colonels are a type of,colonels,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", foxes are a type of,foxes,animal,['animals'],[10099]
 majors are a type of,majors,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", tennis is a type of,tennis,sport,['sports'],[10034]
 corporals are a type of,corporals,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", South africa is a type of,South africa,country,"['countries', 'country']","[5961, 3224]"
 officers are a type of,officers,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", volleyball is a type of,volleyball,sport,['sports'],[10034]
 commanders are a type of,commanders,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", bankers are a type of,bankers,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 admirals are a type of,admirals,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", foxes are a type of,foxes,animal,['animals'],[10099]
 chiefs are a type of,chiefs,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", Germany is a type of,Germany,country,"['countries', 'country']","[5961, 3224]"
 soldiers are a type of,soldiers,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", China is a type of,China,country,"['countries', 'country']","[5961, 3224]"
 cadets are a type of,cadets,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]", nightstands are a type of,nightstands,furniture,['furniture'],[14891]
 dogs are a type of,dogs,animal,['animals'],[10099], nurses are a type of,nurses,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 cats are a type of,cats,animal,['animals'],[10099], wrestling is a type of,wrestling,sport,['sports'],[10034]
 horses are a type of,horses,animal,['animals'],[10099], secs are a type of,secs,time,"['time', 'units']","[892, 8316]"
 lions are a type of,lions,animal,['animals'],[10099], cabins are a type of,cabins,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"
 bears are a type of,bears,animal,['animals'],[10099], corn is a type of,corn,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 tigers are a type of,tigers,animal,['animals'],[10099], penguins are a type of,penguins,bird,"['birds', 'bird']","[20229, 12224]"
 kine are a type of,kine,animal,['animals'],[10099], garnets are a type of,garnets,gem,"['gem', 'gems']","[19269, 43258]"
 elephants are a type of,elephants,animal,['animals'],[10099], organs are a type of,organs,instrument,"['musical', 'instruments']","[18273, 24198]"
 deer are a type of,deer,animal,['animals'],[10099], cauliflower is a type of,cauliflower,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 mice are a type of,mice,animal,['animals'],[10099], pumps are a type of,pumps,footwear,['footwear'],[68172]
 pigs are a type of,pigs,animal,['animals'],[10099], cousins are a type of,cousins,relative,"['relatives', 'family']","[29658, 3070]"
 rats are a type of,rats,animal,['animals'],[10099], axes are a type of,axes,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
 giraffes are a type of,giraffes,animal,['animals'],[10099], parakeets are a type of,parakeets,bird,"['birds', 'bird']","[20229, 12224]"
 squirrels are a type of,squirrels,animal,['animals'],[10099], hip hop is a type of,hip hop,music,['music'],[4731]
 rabbits are a type of,rabbits,animal,['animals'],[10099], earthquakes are a type of,earthquakes,weather,"['weather', 'natural']","[9282, 5933]"
 goats are a type of,goats,animal,['animals'],[10099], nurses are a type of,nurses,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 zebras are a type of,zebras,animal,['animals'],[10099], cabs are a type of,cabs,vehicle,"['vehicles', 'transportation', 'transport']","[11731, 18386, 7710]"
 mooses are a type of,mooses,animal,['animals'],[10099], admirals are a type of,admirals,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
 sheep are a type of,sheep,animal,['animals'],[10099], palms are a type of,palms,tree,['trees'],[12690]
 cheetahs are a type of,cheetahs,animal,['animals'],[10099], weeping willows are a type of,weeping willows,tree,['trees'],[12690]
 raccoons are a type of,raccoons,animal,['animals'],[10099], monsoons are a type of,monsoons,weather,"['weather', 'natural']","[9282, 5933]"
 wolves are a type of,wolves,animal,['animals'],[10099], lightning is a type of,lightning,weather,"['weather', 'natural']","[9282, 5933]"
 foxes are a type of,foxes,animal,['animals'],[10099], zucchini is a type of,zucchini,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 hamsters are a type of,hamsters,animal,['animals'],[10099], dressers are a type of,dressers,furniture,['furniture'],[14891]
 donkeys are a type of,donkeys,animal,['animals'],[10099], barges are a type of,barges,boat,"['boats', 'vessels', 'ships', 'boat']","[32731, 31080, 18198, 15688]"
 elk are a type of,elk,animal,['animals'],[10099], ants are a type of,ants,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
 lizards are a type of,lizards,animal,['animals'],[10099], water polo is a type of,water polo,sport,['sports'],[10034]
 turtles are a type of,turtles,animal,['animals'],[10099], butterflies are a type of,butterflies,bug,"['insects', 'insect', 'bugs']","[41911, 27080, 23367]"
 chairs are a type of,chairs,furniture,['furniture'],[14891], nurses are a type of,nurses,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 tables are a type of,tables,furniture,['furniture'],[14891], Germany is a type of,Germany,country,"['countries', 'country']","[5961, 3224]"
 couches are a type of,couches,furniture,['furniture'],[14891], janitors are a type of,janitors,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 beds are a type of,beds,furniture,['furniture'],[14891], days are a type of,days,time,"['time', 'units']","[892, 8316]"
 desks are a type of,desks,furniture,['furniture'],[14891], hockey is a type of,hockey,sport,['sports'],[10034]
 sofas are a type of,sofas,furniture,['furniture'],[14891], Australia is a type of,Australia,country,"['countries', 'country']","[5961, 3224]"
 dressers are a type of,dressers,furniture,['furniture'],[14891], bass guitars are a type of,bass guitars,instrument,"['musical', 'instruments']","[18273, 24198]"
 loveseats are a type of,loveseats,furniture,['furniture'],[14891], tambourines are a type of,tambourines,instrument,"['musical', 'instruments']","[18273, 24198]"
 coffee tables are a type of,coffee tables,furniture,['furniture'],[14891], falcons are a type of,falcons,bird,"['birds', 'bird']","[20229, 12224]"
 lamps are a type of,lamps,furniture,['furniture'],[14891], Greece is a type of,Greece,country,"['countries', 'country']","[5961, 3224]"
 nightstands are a type of,nightstands,furniture,['furniture'],[14891], sergeants are a type of,sergeants,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
 ottomen are a type of,ottomen,furniture,['furniture'],[14891], condominiums are a type of,condominiums,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"
 recliners are a type of,recliners,furniture,['furniture'],[14891], maces are a type of,maces,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
 stools are a type of,stools,furniture,['furniture'],[14891], storms are a type of,storms,weather,"['weather', 'natural']","[9282, 5933]"
 end tables are a type of,end tables,furniture,['furniture'],[14891], millenniums are a type of,millenniums,time,"['time', 'units']","[892, 8316]"
 futons are a type of,futons,furniture,['furniture'],[14891], spruces are a type of,spruces,tree,['trees'],[12690]
 armoires are a type of,armoires,furniture,['furniture'],[14891], cabbages are a type of,cabbages,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 bookcases are a type of,bookcases,furniture,['furniture'],[14891], elms are a type of,elms,tree,['trees'],[12690]
 cabinets are a type of,cabinets,furniture,['furniture'],[14891], vans are a type of,vans,vehicle,"['vehicles', 'transportation', 'transport']","[11731, 18386, 7710]"
 foot stools are a type of,foot stools,furniture,['furniture'],[14891], mooses are a type of,mooses,animal,['animals'],[10099]
 shelves are a type of,shelves,furniture,['furniture'],[14891], apartments are a type of,apartments,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"
 apples are a type of,apples,fruit,"['fruits', 'fruit']","[26390, 14098]", keyboards are a type of,keyboards,instrument,"['musical', 'instruments']","[18273, 24198]"
 oranges are a type of,oranges,fruit,"['fruits', 'fruit']","[26390, 14098]", shelves are a type of,shelves,furniture,['furniture'],[14891]
 bananas are a type of,bananas,fruit,"['fruits', 'fruit']","[26390, 14098]", caves are a type of,caves,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"
 grapes are a type of,grapes,fruit,"['fruits', 'fruit']","[26390, 14098]", handguns are a type of,handguns,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
 pears are a type of,pears,fruit,"['fruits', 'fruit']","[26390, 14098]", violas are a type of,violas,instrument,"['musical', 'instruments']","[18273, 24198]"
 peaches are a type of,peaches,fruit,"['fruits', 'fruit']","[26390, 14098]", donkeys are a type of,donkeys,animal,['animals'],[10099]
 strawberries are a type of,strawberries,fruit,"['fruits', 'fruit']","[26390, 14098]", India is a type of,India,country,"['countries', 'country']","[5961, 3224]"
 kiwis are a type of,kiwis,fruit,"['fruits', 'fruit']","[26390, 14098]", bookcases are a type of,bookcases,furniture,['furniture'],[14891]
 pineapples are a type of,pineapples,fruit,"['fruits', 'fruit']","[26390, 14098]", vultures are a type of,vultures,bird,"['birds', 'bird']","[20229, 12224]"
 watermelons are a type of,watermelons,fruit,"['fruits', 'fruit']","[26390, 14098]", parakeets are a type of,parakeets,bird,"['birds', 'bird']","[20229, 12224]"
 plums are a type of,plums,fruit,"['fruits', 'fruit']","[26390, 14098]", eons are a type of,eons,time,"['time', 'units']","[892, 8316]"
 grapefruits are a type of,grapefruits,fruit,"['fruits', 'fruit']","[26390, 14098]", petunias are a type of,petunias,flower,"['flowers', 'flowering']","[19837, 82339]"
 mangoes are a type of,mangoes,fruit,"['fruits', 'fruit']","[26390, 14098]", pansies are a type of,pansies,flower,"['flowers', 'flowering']","[19837, 82339]"
 cherries are a type of,cherries,fruit,"['fruits', 'fruit']","[26390, 14098]", decimeters are a type of,decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8316, 19179, 22323, 6138, 27650]"
 lemons are a type of,lemons,fruit,"['fruits', 'fruit']","[26390, 14098]", hiking shoes are a type of,hiking shoes,footwear,['footwear'],[68172]
 blueberries are a type of,blueberries,fruit,"['fruits', 'fruit']","[26390, 14098]", finches are a type of,finches,bird,"['birds', 'bird']","[20229, 12224]"
 cantaloupes are a type of,cantaloupes,fruit,"['fruits', 'fruit']","[26390, 14098]", mahi mahi are a type of,mahi mahi,fish,"['fish', 'fishes']","[7795, 95461]"
 raspberries are a type of,raspberries,fruit,"['fruits', 'fruit']","[26390, 14098]", parrots are a type of,parrots,bird,"['birds', 'bird']","[20229, 12224]"
 limes are a type of,limes,fruit,"['fruits', 'fruit']","[26390, 14098]", pliers are a type of,pliers,tool,['tools'],[7526]
 tangerines are a type of,tangerines,fruit,"['fruits', 'fruit']","[26390, 14098]", typhoons are a type of,typhoons,weather,"['weather', 'natural']","[9282, 5933]"
 melons are a type of,melons,fruit,"['fruits', 'fruit']","[26390, 14098]", pansies are a type of,pansies,flower,"['flowers', 'flowering']","[19837, 82339]"
 nectarines are a type of,nectarines,fruit,"['fruits', 'fruit']","[26390, 14098]", petunias are a type of,petunias,flower,"['flowers', 'flowering']","[19837, 82339]"
 papayas are a type of,papayas,fruit,"['fruits', 'fruit']","[26390, 14098]", tigers are a type of,tigers,animal,['animals'],[10099]
 apricots are a type of,apricots,fruit,"['fruits', 'fruit']","[26390, 14098]", daisies are a type of,daisies,flower,"['flowers', 'flowering']","[19837, 82339]"
 starfruits are a type of,starfruits,fruit,"['fruits', 'fruit']","[26390, 14098]", halibut are a type of,halibut,fish,"['fish', 'fishes']","[7795, 95461]"
 guns are a type of,guns,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", managers are a type of,managers,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 knives are a type of,knives,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", Africa is a type of,Africa,country,"['countries', 'country']","[5961, 3224]"
 swords are a type of,swords,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", France is a type of,France,country,"['countries', 'country']","[5961, 3224]"
 bombs are a type of,bombs,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", dollars are a type of,dollars,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]"
 rifles are a type of,rifles,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", motorcycles are a type of,motorcycles,vehicle,"['vehicles', 'transportation', 'transport']","[11731, 18386, 7710]"
 maces are a type of,maces,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", screwdrivers are a type of,screwdrivers,tool,['tools'],[7526]
 axes are a type of,axes,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", sandals are a type of,sandals,footwear,['footwear'],[68172]
 grenades are a type of,grenades,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", rape is a type of,rape,crime,"['crimes', 'crime']","[17073, 9977]"
 missiles are a type of,missiles,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", managers are a type of,managers,profession,"['people', 'professionals', 'workers']","[1274, 15749, 7487]"
 handguns are a type of,handguns,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", rugby is a type of,rugby,sport,['sports'],[10034]
 brass knuckles are a type of,brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", cabbages are a type of,cabbages,vegetable,"['vegetables', 'vegetable']","[24822, 36581]"
 clubs are a type of,clubs,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", belts are a type of,belts,clothing,"['clothing', 'clothes', 'garments']","[17895, 15447, 67556]"
 nunchuckss are a type of,nunchuckss,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", daffodils are a type of,daffodils,flower,"['flowers', 'flowering']","[19837, 82339]"
 bazookas are a type of,bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", grapefruits are a type of,grapefruits,fruit,"['fruits', 'fruit']","[26390, 14098]"
 blades are a type of,blades,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", punk is a type of,punk,music,['music'],[4731]
 spears are a type of,spears,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]", canaries are a type of,canaries,bird,"['birds', 'bird']","[20229, 12224]"
 presidents are a type of,presidents,politician,"['elected', 'politicians']","[16689, 19287]", vandalism is a type of,vandalism,crime,"['crimes', 'crime']","[17073, 9977]"
 senators are a type of,senators,politician,"['elected', 'politicians']","[16689, 19287]", mothers are a type of,mothers,relative,"['relatives', 'family']","[29658, 3070]"
 vice presidents are a type of,vice presidents,politician,"['elected', 'politicians']","[16689, 19287]", millenniums are a type of,millenniums,time,"['time', 'units']","[892, 8316]"
 governors are a type of,governors,politician,"['elected', 'politicians']","[16689, 19287]", commanders are a type of,commanders,soldier,"['officers', 'soldiers', 'military']","[9808, 15201, 6411]"
 mayors are a type of,mayors,politician,"['elected', 'politicians']","[16689, 19287]", orchids are a type of,orchids,flower,"['flowers', 'flowering']","[19837, 82339]"
 representatives are a type of,representatives,politician,"['elected', 'politicians']","[16689, 19287]", brethren are a type of,brethren,relative,"['relatives', 'family']","[29658, 3070]"
 treasurers are a type of,treasurers,politician,"['elected', 'politicians']","[16689, 19287]", vultures are a type of,vultures,bird,"['birds', 'bird']","[20229, 12224]"
 congressmen are a type of,congressmen,politician,"['elected', 'politicians']","[16689, 19287]", kiwis are a type of,kiwis,fruit,"['fruits', 'fruit']","[26390, 14098]"
 congresswomen are a type of,congresswomen,politician,"['elected', 'politicians']","[16689, 19287]", dormitories are a type of,dormitories,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]"
 secretaries of state are a type of,secretaries of state,politician,"['elected', 'politicians']","[16689, 19287]", sycamores are a type of,sycamores,tree,['trees'],[12690]
 houses are a type of,houses,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", gospel is a type of,gospel,music,['music'],[4731]
 apartments are a type of,apartments,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", bass are a type of,bass,fish,"['fish', 'fishes']","[7795, 95461]"
 mansions are a type of,mansions,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", hip hop is a type of,hip hop,music,['music'],[4731]
 condominiums are a type of,condominiums,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", garnets are a type of,garnets,gem,"['gem', 'gems']","[19269, 43258]"
 caves are a type of,caves,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", bombs are a type of,bombs,weapon,"['weapons', 'weapon', 'weaponry']","[10094, 10500, 78122]"
 shacks are a type of,shacks,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", flamingoes are a type of,flamingoes,bird,"['birds', 'bird']","[20229, 12224]"
 huts are a type of,huts,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", pigeons are a type of,pigeons,bird,"['birds', 'bird']","[20229, 12224]"
 tents are a type of,tents,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", Portugal is a type of,Portugal,country,"['countries', 'country']","[5961, 3224]"
 dormitories are a type of,dormitories,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", hiking shoes are a type of,hiking shoes,footwear,['footwear'],[68172]
 townhouses are a type of,townhouses,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", blowfish are a type of,blowfish,fish,"['fish', 'fishes']","[7795, 95461]"
 trailers are a type of,trailers,home,"['housing', 'residential', 'structures']","[11983, 20658, 14726]", pounds are a type of,pounds,money,"['currency', 'money', 'currencies']","[11667, 3300, 36702]"
