clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
" meters, and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"," storms, and other",storms,weather,"['weather', 'natural']","[8588, 3626]"
" inches, and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"," mice, and other",mice,animal,['animals'],[5074]
" feets, and other",feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"," celloes, and other",celloes,instrument,"['musical', 'instruments']","[12256, 13225]"
" kilometers, and other",kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"," bees, and other",bees,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
" centimeters, and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"," Japan, and other",Japan,country,"['countries', 'country']","[4343, 2586]"
" yards, and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"," Britain, and other",Britain,country,"['countries', 'country']","[4343, 2586]"
" millimeters, and other",millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"," blowfish, and other",blowfish,fish,"['fish', 'fishes']","[6773, 49720]"
" decimeters, and other",decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"," kayaks, and other",kayaks,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
" light years, and other",light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"," tugboats, and other",tugboats,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
" micrometers, and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"," butterflies, and other",butterflies,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
" nanometers, and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"," uncles, and other",uncles,relative,"['relatives', 'family']","[17772, 2021]"
" sergeants, and other",sergeants,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," banjoes, and other",banjoes,instrument,"['musical', 'instruments']","[12256, 13225]"
" generals, and other",generals,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," peppers, and other",peppers,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
" lieutenants, and other",lieutenants,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," racquetball, and other",racquetball,sport,['sports'],[9001]
" captains, and other",captains,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," cabs, and other",cabs,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]"
" privates, and other",privates,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," secs, and other",secs,time,"['time', 'units']","[673, 5085]"
" colonels, and other",colonels,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," sparrows, and other",sparrows,bird,"['birds', 'bird']","[11260, 12621]"
" majors, and other",majors,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," onions, and other",onions,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
" corporals, and other",corporals,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," volleyball, and other",volleyball,sport,['sports'],[9001]
" officers, and other",officers,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," rugby, and other",rugby,sport,['sports'],[9001]
" commanders, and other",commanders,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," planes, and other",planes,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]"
" admirals, and other",admirals,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," nunchucks, and other",nunchucks,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
" chiefs, and other",chiefs,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," thunder, and other",thunder,weather,"['weather', 'natural']","[8588, 3626]"
" soldiers, and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," hockey, and other",hockey,sport,['sports'],[9001]
" cadets, and other",cadets,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"," tank tops, and other",tank tops,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
" dogs, and other",dogs,animal,['animals'],[5074]," generals, and other",generals,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"
" cats, and other",cats,animal,['animals'],[5074]," tomatoes, and other",tomatoes,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
" horses, and other",horses,animal,['animals'],[5074]," England, and other",England,country,"['countries', 'country']","[4343, 2586]"
" lions, and other",lions,animal,['animals'],[5074]," Egypt, and other",Egypt,country,"['countries', 'country']","[4343, 2586]"
" bears, and other",bears,animal,['animals'],[5074]," basketball, and other",basketball,sport,['sports'],[9001]
" tigers, and other",tigers,animal,['animals'],[5074]," liras, and other",liras,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
" kine, and other",kine,animal,['animals'],[5074]," mayors, and other",mayors,politician,"['elected', 'politicians']","[10544, 13557]"
" elephants, and other",elephants,animal,['animals'],[5074]," assault, and other",assault,crime,"['crimes', 'crime']","[12137, 6617]"
" deer, and other",deer,animal,['animals'],[5074]," snow, and other",snow,weather,"['weather', 'natural']","[8588, 3626]"
" mice, and other",mice,animal,['animals'],[5074]," gospel, and other",gospel,music,['music'],[3440]
" pigs, and other",pigs,animal,['animals'],[5074]," soccer, and other",soccer,sport,['sports'],[9001]
" rats, and other",rats,animal,['animals'],[5074]," apartments, and other",apartments,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
" giraffes, and other",giraffes,animal,['animals'],[5074]," t-shirts, and other",t-shirts,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
" squirrels, and other",squirrels,animal,['animals'],[5074]," oranges, and other",oranges,fruit,"['fruits', 'fruit']","[18098, 9279]"
" rabbits, and other",rabbits,animal,['animals'],[5074]," miles, and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"
" goats, and other",goats,animal,['animals'],[5074]," centimeters, and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]"
" zebras, and other",zebras,animal,['animals'],[5074]," businessmen, and other",businessmen,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
" mooses, and other",mooses,animal,['animals'],[5074]," cruises, and other",cruises,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
" sheep, and other",sheep,animal,['animals'],[5074]," tennis, and other",tennis,sport,['sports'],[9001]
" cheetahs, and other",cheetahs,animal,['animals'],[5074]," amethysts, and other",amethysts,gem,"['gem', 'gems']","[16915, 42776]"
" raccoons, and other",raccoons,animal,['animals'],[5074]," R&B, and other",R&B,music,['music'],[3440]
" wolves, and other",wolves,animal,['animals'],[5074]," beans, and other",beans,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
" foxes, and other",foxes,animal,['animals'],[5074]," pearls, and other",pearls,gem,"['gem', 'gems']","[16915, 42776]"
" hamsters, and other",hamsters,animal,['animals'],[5074]," pesoes, and other",pesoes,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
" donkeys, and other",donkeys,animal,['animals'],[5074]," melons, and other",melons,fruit,"['fruits', 'fruit']","[18098, 9279]"
" elk, and other",elk,animal,['animals'],[5074]," congresswomen, and other",congresswomen,politician,"['elected', 'politicians']","[10544, 13557]"
" lizards, and other",lizards,animal,['animals'],[5074]," dragonflies, and other",dragonflies,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
" turtles, and other",turtles,animal,['animals'],[5074]," lacrosse, and other",lacrosse,sport,['sports'],[9001]
" chairs, and other",chairs,furniture,['furniture'],[17076]," fathers, and other",fathers,relative,"['relatives', 'family']","[17772, 2021]"
" tables, and other",tables,furniture,['furniture'],[17076]," robbery, and other",robbery,crime,"['crimes', 'crime']","[12137, 6617]"
" couches, and other",couches,furniture,['furniture'],[17076]," maces, and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
" beds, and other",beds,furniture,['furniture'],[17076]," assault, and other",assault,crime,"['crimes', 'crime']","[12137, 6617]"
" desks, and other",desks,furniture,['furniture'],[17076]," suns, and other",suns,flower,"['flowers', 'flowering']","[12405, 37958]"
" sofas, and other",sofas,furniture,['furniture'],[17076]," water polo, and other",water polo,sport,['sports'],[9001]
" dressers, and other",dressers,furniture,['furniture'],[17076]," tornados, and other",tornados,weather,"['weather', 'natural']","[8588, 3626]"
" loveseats, and other",loveseats,furniture,['furniture'],[17076]," igloos, and other",igloos,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
" coffee tables, and other",coffee tables,furniture,['furniture'],[17076]," dragonflies, and other",dragonflies,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
" lamps, and other",lamps,furniture,['furniture'],[17076]," Britain, and other",Britain,country,"['countries', 'country']","[4343, 2586]"
" nightstands, and other",nightstands,furniture,['furniture'],[17076]," weeping willows, and other",weeping willows,tree,['trees'],[7139]
" ottomen, and other",ottomen,furniture,['furniture'],[17076]," hummingbirds, and other",hummingbirds,bird,"['birds', 'bird']","[11260, 12621]"
" recliners, and other",recliners,furniture,['furniture'],[17076]," tank tops, and other",tank tops,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
" stools, and other",stools,furniture,['furniture'],[17076]," sandpapers, and other",sandpapers,tool,['tools'],[5657]
" end tables, and other",end tables,furniture,['furniture'],[17076]," tugboats, and other",tugboats,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
" futons, and other",futons,furniture,['furniture'],[17076]," eagles, and other",eagles,bird,"['birds', 'bird']","[11260, 12621]"
" armoires, and other",armoires,furniture,['furniture'],[17076]," admirals, and other",admirals,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"
" bookcases, and other",bookcases,furniture,['furniture'],[17076]," tape measures, and other",tape measures,tool,['tools'],[5657]
" cabinets, and other",cabinets,furniture,['furniture'],[17076]," hours, and other",hours,time,"['time', 'units']","[673, 5085]"
" foot stools, and other",foot stools,furniture,['furniture'],[17076]," sergeants, and other",sergeants,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"
" shelves, and other",shelves,furniture,['furniture'],[17076]," golf, and other",golf,sport,['sports'],[9001]
" apples, and other",apples,fruit,"['fruits', 'fruit']","[18098, 9279]"," tennis, and other",tennis,sport,['sports'],[9001]
" oranges, and other",oranges,fruit,"['fruits', 'fruit']","[18098, 9279]"," reggae, and other",reggae,music,['music'],[3440]
" bananas, and other",bananas,fruit,"['fruits', 'fruit']","[18098, 9279]"," orioles, and other",orioles,bird,"['birds', 'bird']","[11260, 12621]"
" grapes, and other",grapes,fruit,"['fruits', 'fruit']","[18098, 9279]"," celery, and other",celery,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
" pears, and other",pears,fruit,"['fruits', 'fruit']","[18098, 9279]"," carnations, and other",carnations,flower,"['flowers', 'flowering']","[12405, 37958]"
" peaches, and other",peaches,fruit,"['fruits', 'fruit']","[18098, 9279]"," broccoli, and other",broccoli,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
" strawberries, and other",strawberries,fruit,"['fruits', 'fruit']","[18098, 9279]"," green beans, and other",green beans,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
" kiwis, and other",kiwis,fruit,"['fruits', 'fruit']","[18098, 9279]"," hummingbirds, and other",hummingbirds,bird,"['birds', 'bird']","[11260, 12621]"
" pineapples, and other",pineapples,fruit,"['fruits', 'fruit']","[18098, 9279]"," sofas, and other",sofas,furniture,['furniture'],[17076]
" watermelons, and other",watermelons,fruit,"['fruits', 'fruit']","[18098, 9279]"," birches, and other",birches,tree,['trees'],[7139]
" plums, and other",plums,fruit,"['fruits', 'fruit']","[18098, 9279]"," rubies, and other",rubies,gem,"['gem', 'gems']","[16915, 42776]"
" grapefruits, and other",grapefruits,fruit,"['fruits', 'fruit']","[18098, 9279]"," caterpillars, and other",caterpillars,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
" mangoes, and other",mangoes,fruit,"['fruits', 'fruit']","[18098, 9279]"," irides, and other",irides,flower,"['flowers', 'flowering']","[12405, 37958]"
" cherries, and other",cherries,fruit,"['fruits', 'fruit']","[18098, 9279]"," hamsters, and other",hamsters,animal,['animals'],[5074]
" lemons, and other",lemons,fruit,"['fruits', 'fruit']","[18098, 9279]"," mansions, and other",mansions,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
" blueberries, and other",blueberries,fruit,"['fruits', 'fruit']","[18098, 9279]"," scarves, and other",scarves,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
" cantaloupes, and other",cantaloupes,fruit,"['fruits', 'fruit']","[18098, 9279]"," boxer shortss, and other",boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
" raspberries, and other",raspberries,fruit,"['fruits', 'fruit']","[18098, 9279]"," larceny, and other",larceny,crime,"['crimes', 'crime']","[12137, 6617]"
" limes, and other",limes,fruit,"['fruits', 'fruit']","[18098, 9279]"," hornets, and other",hornets,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
" tangerines, and other",tangerines,fruit,"['fruits', 'fruit']","[18098, 9279]"," raccoons, and other",raccoons,animal,['animals'],[5074]
" melons, and other",melons,fruit,"['fruits', 'fruit']","[18098, 9279]"," recliners, and other",recliners,furniture,['furniture'],[17076]
" nectarines, and other",nectarines,fruit,"['fruits', 'fruit']","[18098, 9279]"," daffodils, and other",daffodils,flower,"['flowers', 'flowering']","[12405, 37958]"
" papayas, and other",papayas,fruit,"['fruits', 'fruit']","[18098, 9279]"," cabbages, and other",cabbages,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
" apricots, and other",apricots,fruit,"['fruits', 'fruit']","[18098, 9279]"," banjoes, and other",banjoes,instrument,"['musical', 'instruments']","[12256, 13225]"
" starfruits, and other",starfruits,fruit,"['fruits', 'fruit']","[18098, 9279]"," sapphires, and other",sapphires,gem,"['gem', 'gems']","[16915, 42776]"
" guns, and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," sisters, and other",sisters,relative,"['relatives', 'family']","[17772, 2021]"
" knives, and other",knives,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," baseball, and other",baseball,sport,['sports'],[9001]
" swords, and other",swords,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," tables, and other",tables,furniture,['furniture'],[17076]
" bombs, and other",bombs,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," brethren, and other",brethren,relative,"['relatives', 'family']","[17772, 2021]"
" rifles, and other",rifles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," carrots, and other",carrots,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
" maces, and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," ferries, and other",ferries,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
" axes, and other",axes,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," houses, and other",houses,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
" grenades, and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," sweatshirts, and other",sweatshirts,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
" missiles, and other",missiles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," Australia, and other",Australia,country,"['countries', 'country']","[4343, 2586]"
" handguns, and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," battleships, and other",battleships,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
" brass knuckles, and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," tulips, and other",tulips,flower,"['flowers', 'flowering']","[12405, 37958]"
" clubs, and other",clubs,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," pigs, and other",pigs,animal,['animals'],[5074]
" nunchucks, and other",nunchucks,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," granddads, and other",granddads,relative,"['relatives', 'family']","[17772, 2021]"
" bazookas, and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," cantaloupes, and other",cantaloupes,fruit,"['fruits', 'fruit']","[18098, 9279]"
" blades, and other",blades,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," engineers, and other",engineers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
" spears, and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"," strawberries, and other",strawberries,fruit,"['fruits', 'fruit']","[18098, 9279]"
" presidents, and other",presidents,politician,"['elected', 'politicians']","[10544, 13557]"," grapes, and other",grapes,fruit,"['fruits', 'fruit']","[18098, 9279]"
" senators, and other",senators,politician,"['elected', 'politicians']","[10544, 13557]"," cooks, and other",cooks,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
" vice presidents, and other",vice presidents,politician,"['elected', 'politicians']","[10544, 13557]"," huts, and other",huts,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
" governors, and other",governors,politician,"['elected', 'politicians']","[10544, 13557]"," psychologists, and other",psychologists,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
" mayors, and other",mayors,politician,"['elected', 'politicians']","[10544, 13557]"," stools, and other",stools,furniture,['furniture'],[17076]
" representatives, and other",representatives,politician,"['elected', 'politicians']","[10544, 13557]"," America, and other",America,country,"['countries', 'country']","[4343, 2586]"
" treasurers, and other",treasurers,politician,"['elected', 'politicians']","[10544, 13557]"," police officers, and other",police officers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
" congressmen, and other",congressmen,politician,"['elected', 'politicians']","[10544, 13557]"," subways, and other",subways,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]"
" congresswomen, and other",congresswomen,politician,"['elected', 'politicians']","[10544, 13557]"," crickets, and other",crickets,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
" secretaries of state, and other",secretaries of state,politician,"['elected', 'politicians']","[10544, 13557]"," bazookas, and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
" houses, and other",houses,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"," dogs, and other",dogs,animal,['animals'],[5074]
" apartments, and other",apartments,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"," screws, and other",screws,tool,['tools'],[5657]
" mansions, and other",mansions,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"," harmonicas, and other",harmonicas,instrument,"['musical', 'instruments']","[12256, 13225]"
" condominiums, and other",condominiums,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"," cantaloupes, and other",cantaloupes,fruit,"['fruits', 'fruit']","[18098, 9279]"
" caves, and other",caves,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"," assault, and other",assault,crime,"['crimes', 'crime']","[12137, 6617]"
" shacks, and other",shacks,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"," owls, and other",owls,bird,"['birds', 'bird']","[11260, 12621]"
" huts, and other",huts,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"," police officers, and other",police officers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
" tents, and other",tents,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"," cricket, and other",cricket,sport,['sports'],[9001]
" dormitories, and other",dormitories,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"," butterflies, and other",butterflies,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
" townhouses, and other",townhouses,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"," secs, and other",secs,time,"['time', 'units']","[673, 5085]"
