clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2
", centuries and other",centuries,time,"['time', 'units']","[640, 4991]",", lightning and other",lightning,weather,"['weather', 'natural']","[6193, 3288]",centuries are a type of,lightning is a type of
", weeks and other",weeks,time,"['time', 'units']","[640, 4991]",", horses and other",horses,animal,['animals'],[4695],weeks are a type of,horses are a type of
", milliseconds and other",milliseconds,time,"['time', 'units']","[640, 4991]",", vans and other",vans,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",milliseconds are a type of,vans are a type of
", millenniums and other",millenniums,time,"['time', 'units']","[640, 4991]",", police officers and other",police officers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",millenniums are a type of,police officers are a type of
", nanoseconds and other",nanoseconds,time,"['time', 'units']","[640, 4991]",", mahi mahi and other",mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]",nanoseconds are a type of,mahi mahi are a type of
", eons and other",eons,time,"['time', 'units']","[640, 4991]",", squirrels and other",squirrels,animal,['animals'],[4695],eons are a type of,squirrels are a type of
", uncles and other",uncles,relative,"['relatives', 'family']","[12772, 1641]",", sleet and other",sleet,weather,"['weather', 'natural']","[6193, 3288]",uncles are a type of,sleet is a type of
", aunts and other",aunts,relative,"['relatives', 'family']","[12772, 1641]",", tulips and other",tulips,flower,"['flowers', 'flowering']","[12734, 48573]",aunts are a type of,tulips are a type of
", cousins and other",cousins,relative,"['relatives', 'family']","[12772, 1641]",", lawyers and other",lawyers,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",cousins are a type of,lawyers are a type of
", mothers and other",mothers,relative,"['relatives', 'family']","[12772, 1641]",", thunder and other",thunder,weather,"['weather', 'natural']","[6193, 3288]",mothers are a type of,thunder is a type of
", grandmoms and other",grandmoms,relative,"['relatives', 'family']","[12772, 1641]",", brass knuckles and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",grandmoms are a type of,brass knuckles are a type of
", grandmothers and other",grandmothers,relative,"['relatives', 'family']","[12772, 1641]",", eons and other",eons,time,"['time', 'units']","[640, 4991]",grandmothers are a type of,eons are a type of
", grandfathers and other",grandfathers,relative,"['relatives', 'family']","[12772, 1641]",", treasurers and other",treasurers,politician,"['elected', 'politicians']","[7018, 7602]",grandfathers are a type of,treasurers are a type of
", fathers and other",fathers,relative,"['relatives', 'family']","[12772, 1641]",", palms and other",palms,tree,['trees'],[7150],fathers are a type of,palms are a type of
", granddads and other",granddads,relative,"['relatives', 'family']","[12772, 1641]",", rock & roll and other",rock & roll,music,['music'],[2647],granddads are a type of,rock & roll is a type of
", sisters and other",sisters,relative,"['relatives', 'family']","[12772, 1641]",", coats and other",coats,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",sisters are a type of,coats are a type of
", brethren and other",brethren,relative,"['relatives', 'family']","[12772, 1641]",", dollars and other",dollars,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",brethren are a type of,dollars are a type of
", nieces and other",nieces,relative,"['relatives', 'family']","[12772, 1641]",", cheetahs and other",cheetahs,animal,['animals'],[4695],nieces are a type of,cheetahs are a type of
", nephews and other",nephews,relative,"['relatives', 'family']","[12772, 1641]",", snapper and other",snapper,fish,"['fish', 'fishes']","[5916, 49765]",nephews are a type of,snapper are a type of
", great aunts and other",great aunts,relative,"['relatives', 'family']","[12772, 1641]",", violets and other",violets,flower,"['flowers', 'flowering']","[12734, 48573]",great aunts are a type of,violets are a type of
", grandparents and other",grandparents,relative,"['relatives', 'family']","[12772, 1641]",", generals and other",generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",grandparents are a type of,generals are a type of
", great grandmothers and other",great grandmothers,relative,"['relatives', 'family']","[12772, 1641]",", raspberries and other",raspberries,fruit,"['fruits', 'fruit']","[15921, 8234]",great grandmothers are a type of,raspberries are a type of
", sons and other",sons,relative,"['relatives', 'family']","[12772, 1641]",", chiefs and other",chiefs,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",sons are a type of,chiefs are a type of
", daughters and other",daughters,relative,"['relatives', 'family']","[12772, 1641]",", rabbits and other",rabbits,animal,['animals'],[4695],daughters are a type of,rabbits are a type of
", second cousins and other",second cousins,relative,"['relatives', 'family']","[12772, 1641]",", scarves and other",scarves,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",second cousins are a type of,scarves are a type of
", great grandpas and other",great grandpas,relative,"['relatives', 'family']","[12772, 1641]",", aspens and other",aspens,tree,['trees'],[7150],great grandpas are a type of,aspens are a type of
", great uncles and other",great uncles,relative,"['relatives', 'family']","[12772, 1641]",", sweatshirts and other",sweatshirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",great uncles are a type of,sweatshirts are a type of
", miles and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", soul and other",soul,music,['music'],[2647],miles are a type of,soul is a type of
", meters and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", screws and other",screws,tool,['tools'],[4899],meters are a type of,screws are a type of
", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", planes and other",planes,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",inches are a type of,planes are a type of
", feets and other",feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", hip hop and other",hip hop,music,['music'],[2647],feets are a type of,hip hop is a type of
", kilometers and other",kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", senators and other",senators,politician,"['elected', 'politicians']","[7018, 7602]",kilometers are a type of,senators are a type of
", centimeters and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", ants and other",ants,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",centimeters are a type of,ants are a type of
", yards and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", squash and other",squash,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",yards are a type of,squash is a type of
", millimeters and other",millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", suns and other",suns,flower,"['flowers', 'flowering']","[12734, 48573]",millimeters are a type of,suns are a type of
", decimeters and other",decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", cabs and other",cabs,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",decimeters are a type of,cabs are a type of
", light years and other",light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", sandals and other",sandals,footwear,['footwear'],[43463],light years are a type of,sandals are a type of
", micrometers and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", secretaries of state and other",secretaries of state,politician,"['elected', 'politicians']","[7018, 7602]",micrometers are a type of,secretaries of state are a type of
", nanometers and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",", minnow and other",minnow,fish,"['fish', 'fishes']","[5916, 49765]",nanometers are a type of,minnow are a type of
", sergeants and other",sergeants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", cockroaches and other",cockroaches,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",sergeants are a type of,cockroaches are a type of
", generals and other",generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", brethren and other",brethren,relative,"['relatives', 'family']","[12772, 1641]",generals are a type of,brethren are a type of
", lieutenants and other",lieutenants,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", raspberries and other",raspberries,fruit,"['fruits', 'fruit']","[15921, 8234]",lieutenants are a type of,raspberries are a type of
", captains and other",captains,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", bananas and other",bananas,fruit,"['fruits', 'fruit']","[15921, 8234]",captains are a type of,bananas are a type of
", privates and other",privates,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", drug use and other",drug use,crime,"['crimes', 'crime']","[6741, 4065]",privates are a type of,drug use is a type of
", colonels and other",colonels,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", catfish and other",catfish,fish,"['fish', 'fishes']","[5916, 49765]",colonels are a type of,catfish are a type of
", majors and other",majors,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", guitars and other",guitars,instrument,"['musical', 'instruments']","[10530, 12834]",majors are a type of,guitars are a type of
", corporals and other",corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", cross country and other",cross country,sport,['sports'],[5701],corporals are a type of,cross country is a type of
", officers and other",officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", caves and other",caves,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",officers are a type of,caves are a type of
", commanders and other",commanders,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", rifles and other",rifles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",commanders are a type of,rifles are a type of
", admirals and other",admirals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", watermelons and other",watermelons,fruit,"['fruits', 'fruit']","[15921, 8234]",admirals are a type of,watermelons are a type of
", chiefs and other",chiefs,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", axes and other",axes,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",chiefs are a type of,axes are a type of
", soldiers and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", caves and other",caves,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",soldiers are a type of,caves are a type of
", cadets and other",cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", SUVs and other",SUVs,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",cadets are a type of,SUVs are a type of
", dogs and other",dogs,animal,['animals'],[4695],", mayors and other",mayors,politician,"['elected', 'politicians']","[7018, 7602]",dogs are a type of,mayors are a type of
", cats and other",cats,animal,['animals'],[4695],", nails and other",nails,tool,['tools'],[4899],cats are a type of,nails are a type of
", horses and other",horses,animal,['animals'],[4695],", keyboards and other",keyboards,instrument,"['musical', 'instruments']","[10530, 12834]",horses are a type of,keyboards are a type of
", lions and other",lions,animal,['animals'],[4695],", motorcycles and other",motorcycles,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",lions are a type of,motorcycles are a type of
", bears and other",bears,animal,['animals'],[4695],", dresses and other",dresses,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",bears are a type of,dresses are a type of
", tigers and other",tigers,animal,['animals'],[4695],", potatoes and other",potatoes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",tigers are a type of,potatoes are a type of
", kine and other",kine,animal,['animals'],[4695],", beets and other",beets,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",kine are a type of,beets are a type of
", elephants and other",elephants,animal,['animals'],[4695],", motorcycles and other",motorcycles,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",elephants are a type of,motorcycles are a type of
", deer and other",deer,animal,['animals'],[4695],", tuna and other",tuna,fish,"['fish', 'fishes']","[5916, 49765]",deer are a type of,tuna are a type of
", mice and other",mice,animal,['animals'],[4695],", rulers and other",rulers,tool,['tools'],[4899],mice are a type of,rulers are a type of
", pigs and other",pigs,animal,['animals'],[4695],", assault and other",assault,crime,"['crimes', 'crime']","[6741, 4065]",pigs are a type of,assault is a type of
", rats and other",rats,animal,['animals'],[4695],", officers and other",officers,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",rats are a type of,officers are a type of
", giraffes and other",giraffes,animal,['animals'],[4695],", underwears and other",underwears,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",giraffes are a type of,underwears are a type of
", squirrels and other",squirrels,animal,['animals'],[4695],", screwdrivers and other",screwdrivers,tool,['tools'],[4899],squirrels are a type of,screwdrivers are a type of
", rabbits and other",rabbits,animal,['animals'],[4695],", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",rabbits are a type of,inches are a type of
", goats and other",goats,animal,['animals'],[4695],", ants and other",ants,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",goats are a type of,ants are a type of
", zebras and other",zebras,animal,['animals'],[4695],", flip flops and other",flip flops,footwear,['footwear'],[43463],zebras are a type of,flip flops are a type of
", mooses and other",mooses,animal,['animals'],[4695],", lilies and other",lilies,flower,"['flowers', 'flowering']","[12734, 48573]",mooses are a type of,lilies are a type of
", sheep and other",sheep,animal,['animals'],[4695],", chickens and other",chickens,bird,"['birds', 'bird']","[10087, 6512]",sheep are a type of,chickens are a type of
", cheetahs and other",cheetahs,animal,['animals'],[4695],", nightstands and other",nightstands,furniture,['furniture'],[13091],cheetahs are a type of,nightstands are a type of
", raccoons and other",raccoons,animal,['animals'],[4695],", boxer shortss and other",boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",raccoons are a type of,boxer shortss are a type of
", wolves and other",wolves,animal,['animals'],[4695],", China and other",China,country,"['countries', 'country']","[2678, 1499]",wolves are a type of,China is a type of
", foxes and other",foxes,animal,['animals'],[4695],", willows and other",willows,tree,['trees'],[7150],foxes are a type of,willows are a type of
", hamsters and other",hamsters,animal,['animals'],[4695],", canaries and other",canaries,bird,"['birds', 'bird']","[10087, 6512]",hamsters are a type of,canaries are a type of
", donkeys and other",donkeys,animal,['animals'],[4695],", pesoes and other",pesoes,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",donkeys are a type of,pesoes are a type of
", elk and other",elk,animal,['animals'],[4695],", buss and other",buss,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",elk are a type of,buss are a type of
", lizards and other",lizards,animal,['animals'],[4695],", skateboards and other",skateboards,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]",lizards are a type of,skateboards are a type of
", turtles and other",turtles,animal,['animals'],[4695],", pumps and other",pumps,footwear,['footwear'],[43463],turtles are a type of,pumps are a type of
", chairs and other",chairs,furniture,['furniture'],[13091],", tents and other",tents,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",chairs are a type of,tents are a type of
", tables and other",tables,furniture,['furniture'],[13091],", quarters and other",quarters,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]",tables are a type of,quarters are a type of
", couches and other",couches,furniture,['furniture'],[13091],", lacrosse and other",lacrosse,sport,['sports'],[5701],couches are a type of,lacrosse is a type of
", beds and other",beds,furniture,['furniture'],[13091],", ducks and other",ducks,bird,"['birds', 'bird']","[10087, 6512]",beds are a type of,ducks are a type of
", desks and other",desks,furniture,['furniture'],[13091],", drums and other",drums,instrument,"['musical', 'instruments']","[10530, 12834]",desks are a type of,drums are a type of
", sofas and other",sofas,furniture,['furniture'],[13091],", halibut and other",halibut,fish,"['fish', 'fishes']","[5916, 49765]",sofas are a type of,halibut are a type of
", dressers and other",dressers,furniture,['furniture'],[13091],", drug smuggling and other",drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]",dressers are a type of,drug smuggling is a type of
", loveseats and other",loveseats,furniture,['furniture'],[13091],", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",loveseats are a type of,carpenters are a type of
", coffee tables and other",coffee tables,furniture,['furniture'],[13091],", tape measures and other",tape measures,tool,['tools'],[4899],coffee tables are a type of,tape measures are a type of
", lamps and other",lamps,furniture,['furniture'],[13091],", assault and other",assault,crime,"['crimes', 'crime']","[6741, 4065]",lamps are a type of,assault is a type of
", nightstands and other",nightstands,furniture,['furniture'],[13091],", bluejays and other",bluejays,bird,"['birds', 'bird']","[10087, 6512]",nightstands are a type of,bluejays are a type of
", ottomen and other",ottomen,furniture,['furniture'],[13091],", aspens and other",aspens,tree,['trees'],[7150],ottomen are a type of,aspens are a type of
", recliners and other",recliners,furniture,['furniture'],[13091],", heavy metal and other",heavy metal,music,['music'],[2647],recliners are a type of,heavy metal is a type of
", stools and other",stools,furniture,['furniture'],[13091],", mansions and other",mansions,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]",stools are a type of,mansions are a type of
", end tables and other",end tables,furniture,['furniture'],[13091],", violas and other",violas,instrument,"['musical', 'instruments']","[10530, 12834]",end tables are a type of,violas are a type of
", futons and other",futons,furniture,['furniture'],[13091],", cardinals and other",cardinals,bird,"['birds', 'bird']","[10087, 6512]",futons are a type of,cardinals are a type of
", armoires and other",armoires,furniture,['furniture'],[13091],", brass knuckles and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",armoires are a type of,brass knuckles are a type of
", bookcases and other",bookcases,furniture,['furniture'],[13091],", snapper and other",snapper,fish,"['fish', 'fishes']","[5916, 49765]",bookcases are a type of,snapper are a type of
", cabinets and other",cabinets,furniture,['furniture'],[13091],", golf and other",golf,sport,['sports'],[5701],cabinets are a type of,golf is a type of
", foot stools and other",foot stools,furniture,['furniture'],[13091],", grand theft auto and other",grand theft auto,crime,"['crimes', 'crime']","[6741, 4065]",foot stools are a type of,grand theft auto is a type of
", shelves and other",shelves,furniture,['furniture'],[13091],", generals and other",generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",shelves are a type of,generals are a type of
", apples and other",apples,fruit,"['fruits', 'fruit']","[15921, 8234]",", mothers and other",mothers,relative,"['relatives', 'family']","[12772, 1641]",apples are a type of,mothers are a type of
", oranges and other",oranges,fruit,"['fruits', 'fruit']","[15921, 8234]",", bass and other",bass,fish,"['fish', 'fishes']","[5916, 49765]",oranges are a type of,bass are a type of
", bananas and other",bananas,fruit,"['fruits', 'fruit']","[15921, 8234]",", clouds and other",clouds,weather,"['weather', 'natural']","[6193, 3288]",bananas are a type of,clouds are a type of
", grapes and other",grapes,fruit,"['fruits', 'fruit']","[15921, 8234]",", beds and other",beds,furniture,['furniture'],[13091],grapes are a type of,beds are a type of
", pears and other",pears,fruit,"['fruits', 'fruit']","[15921, 8234]",", jades and other",jades,gem,"['gem', 'gems']","[16840, 23685]",pears are a type of,jades are a type of
", peaches and other",peaches,fruit,"['fruits', 'fruit']","[15921, 8234]",", typhoons and other",typhoons,weather,"['weather', 'natural']","[6193, 3288]",peaches are a type of,typhoons are a type of
", strawberries and other",strawberries,fruit,"['fruits', 'fruit']","[15921, 8234]",", senators and other",senators,politician,"['elected', 'politicians']","[7018, 7602]",strawberries are a type of,senators are a type of
", kiwis and other",kiwis,fruit,"['fruits', 'fruit']","[15921, 8234]",", boxer shortss and other",boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",kiwis are a type of,boxer shortss are a type of
", pineapples and other",pineapples,fruit,"['fruits', 'fruit']","[15921, 8234]",", carpenters and other",carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",pineapples are a type of,carpenters are a type of
", watermelons and other",watermelons,fruit,"['fruits', 'fruit']","[15921, 8234]",", racquetball and other",racquetball,sport,['sports'],[5701],watermelons are a type of,racquetball is a type of
", plums and other",plums,fruit,"['fruits', 'fruit']","[15921, 8234]",", drunk driving and other",drunk driving,crime,"['crimes', 'crime']","[6741, 4065]",plums are a type of,drunk driving is a type of
", grapefruits and other",grapefruits,fruit,"['fruits', 'fruit']","[15921, 8234]",", flounder and other",flounder,fish,"['fish', 'fishes']","[5916, 49765]",grapefruits are a type of,flounder are a type of
", mangoes and other",mangoes,fruit,"['fruits', 'fruit']","[15921, 8234]",", millenniums and other",millenniums,time,"['time', 'units']","[640, 4991]",mangoes are a type of,millenniums are a type of
", cherries and other",cherries,fruit,"['fruits', 'fruit']","[15921, 8234]",", turnips and other",turnips,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",cherries are a type of,turnips are a type of
", lemons and other",lemons,fruit,"['fruits', 'fruit']","[15921, 8234]",", coffee tables and other",coffee tables,furniture,['furniture'],[13091],lemons are a type of,coffee tables are a type of
", blueberries and other",blueberries,fruit,"['fruits', 'fruit']","[15921, 8234]",", secs and other",secs,time,"['time', 'units']","[640, 4991]",blueberries are a type of,secs are a type of
", cantaloupes and other",cantaloupes,fruit,"['fruits', 'fruit']","[15921, 8234]",", mahi mahi and other",mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]",cantaloupes are a type of,mahi mahi are a type of
", raspberries and other",raspberries,fruit,"['fruits', 'fruit']","[15921, 8234]",", t-shirts and other",t-shirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",raspberries are a type of,t-shirts are a type of
", limes and other",limes,fruit,"['fruits', 'fruit']","[15921, 8234]",", tulips and other",tulips,flower,"['flowers', 'flowering']","[12734, 48573]",limes are a type of,tulips are a type of
", tangerines and other",tangerines,fruit,"['fruits', 'fruit']","[15921, 8234]",", piranha and other",piranha,fish,"['fish', 'fishes']","[5916, 49765]",tangerines are a type of,piranha are a type of
", melons and other",melons,fruit,"['fruits', 'fruit']","[15921, 8234]",", oboes and other",oboes,instrument,"['musical', 'instruments']","[10530, 12834]",melons are a type of,oboes are a type of
", nectarines and other",nectarines,fruit,"['fruits', 'fruit']","[15921, 8234]",", bluejays and other",bluejays,bird,"['birds', 'bird']","[10087, 6512]",nectarines are a type of,bluejays are a type of
", papayas and other",papayas,fruit,"['fruits', 'fruit']","[15921, 8234]",", South africa and other",South africa,country,"['countries', 'country']","[2678, 1499]",papayas are a type of,South africa is a type of
", apricots and other",apricots,fruit,"['fruits', 'fruit']","[15921, 8234]",", flip flops and other",flip flops,footwear,['footwear'],[43463],apricots are a type of,flip flops are a type of
", starfruits and other",starfruits,fruit,"['fruits', 'fruit']","[15921, 8234]",", admirals and other",admirals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",starfruits are a type of,admirals are a type of
", guns and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", yards and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]",guns are a type of,yards are a type of
", knives and other",knives,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", keyboards and other",keyboards,instrument,"['musical', 'instruments']","[10530, 12834]",knives are a type of,keyboards are a type of
", swords and other",swords,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", homicide and other",homicide,crime,"['crimes', 'crime']","[6741, 4065]",swords are a type of,homicide is a type of
", bombs and other",bombs,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", chairs and other",chairs,furniture,['furniture'],[13091],bombs are a type of,chairs are a type of
", rifles and other",rifles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", wind and other",wind,weather,"['weather', 'natural']","[6193, 3288]",rifles are a type of,wind is a type of
", maces and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", thunderstorms and other",thunderstorms,weather,"['weather', 'natural']","[6193, 3288]",maces are a type of,thunderstorms are a type of
", axes and other",axes,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", policemen and other",policemen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",axes are a type of,policemen are a type of
", grenades and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", shelves and other",shelves,furniture,['furniture'],[13091],grenades are a type of,shelves are a type of
", missiles and other",missiles,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", businessmen and other",businessmen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]",missiles are a type of,businessmen are a type of
", handguns and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]",", apples and other",apples,fruit,"['fruits', 'fruit']","[15921, 8234]",handguns are a type of,apples are a type of
