clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
" mothers, and other",mothers,relative,"['relatives', 'family']","[22631, 2730]"," skiing, and other",skiing,sport,['sports'],[9028]
" grandmoms, and other",grandmoms,relative,"['relatives', 'family']","[22631, 2730]"," angelfish, and other",angelfish,fish,"['fish', 'fishes']","[5001, 56717]"
" grandmothers, and other",grandmothers,relative,"['relatives', 'family']","[22631, 2730]"," grapefruits, and other",grapefruits,fruit,"['fruits', 'fruit']","[16803, 9471]"
" grandfathers, and other",grandfathers,relative,"['relatives', 'family']","[22631, 2730]"," aircraft carriers, and other",aircraft carriers,boat,"['boats', 'vessels', 'ships', 'boat']","[26321, 21254, 16974, 11390]"
" fathers, and other",fathers,relative,"['relatives', 'family']","[22631, 2730]"," meters, and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"
" granddads, and other",granddads,relative,"['relatives', 'family']","[22631, 2730]"," dandelions, and other",dandelions,flower,"['flowers', 'flowering']","[9148, 54497]"
" sisters, and other",sisters,relative,"['relatives', 'family']","[22631, 2730]"," hockey, and other",hockey,sport,['sports'],[9028]
" brethren, and other",brethren,relative,"['relatives', 'family']","[22631, 2730]"," heels, and other",heels,footwear,['footwear'],[62966]
" nieces, and other",nieces,relative,"['relatives', 'family']","[22631, 2730]"," snow, and other",snow,weather,"['weather', 'natural']","[8957, 4158]"
" nephews, and other",nephews,relative,"['relatives', 'family']","[22631, 2730]"," milliseconds, and other",milliseconds,time,"['time', 'units']","[1069, 7845]"
" great aunts, and other",great aunts,relative,"['relatives', 'family']","[22631, 2730]"," cedars, and other",cedars,tree,['trees'],[8195]
" grandparents, and other",grandparents,relative,"['relatives', 'family']","[22631, 2730]"," football, and other",football,sport,['sports'],[9028]
" great grandmothers, and other",great grandmothers,relative,"['relatives', 'family']","[22631, 2730]"," ostriches, and other",ostriches,bird,"['birds', 'bird']","[13141, 13170]"
" sons, and other",sons,relative,"['relatives', 'family']","[22631, 2730]"," beets, and other",beets,vegetable,"['vegetables', 'vegetable']","[19574, 26771]"
" daughters, and other",daughters,relative,"['relatives', 'family']","[22631, 2730]"," sneakers, and other",sneakers,footwear,['footwear'],[62966]
" second cousins, and other",second cousins,relative,"['relatives', 'family']","[22631, 2730]"," sapphires, and other",sapphires,gem,"['gem', 'gems']","[21737, 48771]"
" great grandpas, and other",great grandpas,relative,"['relatives', 'family']","[22631, 2730]"," dandelions, and other",dandelions,flower,"['flowers', 'flowering']","[9148, 54497]"
" great uncles, and other",great uncles,relative,"['relatives', 'family']","[22631, 2730]"," flounder, and other",flounder,fish,"['fish', 'fishes']","[5001, 56717]"
" miles, and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"," fathers, and other",fathers,relative,"['relatives', 'family']","[22631, 2730]"
" meters, and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"," pike, and other",pike,fish,"['fish', 'fishes']","[5001, 56717]"
" inches, and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"," cleats, and other",cleats,footwear,['footwear'],[62966]
" feets, and other",feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"," daffodils, and other",daffodils,flower,"['flowers', 'flowering']","[9148, 54497]"
" kilometers, and other",kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"," raspberries, and other",raspberries,fruit,"['fruits', 'fruit']","[16803, 9471]"
" centimeters, and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"," ferries, and other",ferries,boat,"['boats', 'vessels', 'ships', 'boat']","[26321, 21254, 16974, 11390]"
" yards, and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"," polo, and other",polo,sport,['sports'],[9028]
" millimeters, and other",millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"," cauliflower, and other",cauliflower,vegetable,"['vegetables', 'vegetable']","[19574, 26771]"
" decimeters, and other",decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"," jeanss, and other",jeanss,clothing,"['clothing', 'clothes', 'garments']","[14328, 12565, 62494]"
" light years, and other",light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"," townhouses, and other",townhouses,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"
" micrometers, and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"," dogwoods, and other",dogwoods,tree,['trees'],[8195]
" nanometers, and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"," futons, and other",futons,furniture,['furniture'],[16241]
" sergeants, and other",sergeants,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," banjoes, and other",banjoes,instrument,"['musical', 'instruments']","[13340, 18159]"
" generals, and other",generals,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," boots, and other",boots,footwear,['footwear'],[62966]
" lieutenants, and other",lieutenants,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," celloes, and other",celloes,instrument,"['musical', 'instruments']","[13340, 18159]"
" captains, and other",captains,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," swimming, and other",swimming,sport,['sports'],[9028]
" privates, and other",privates,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," grapefruits, and other",grapefruits,fruit,"['fruits', 'fruit']","[16803, 9471]"
" colonels, and other",colonels,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," field hockey, and other",field hockey,sport,['sports'],[9028]
" majors, and other",majors,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," celery, and other",celery,vegetable,"['vegetables', 'vegetable']","[19574, 26771]"
" corporals, and other",corporals,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," cedars, and other",cedars,tree,['trees'],[8195]
" officers, and other",officers,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," classical, and other",classical,music,['music'],[4296]
" commanders, and other",commanders,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," Canada, and other",Canada,country,"['countries', 'country']","[5605, 3170]"
" admirals, and other",admirals,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," french horns, and other",french horns,instrument,"['musical', 'instruments']","[13340, 18159]"
" chiefs, and other",chiefs,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," India, and other",India,country,"['countries', 'country']","[5605, 3170]"
" soldiers, and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," rupees, and other",rupees,money,"['currency', 'money', 'currencies']","[18968, 3370, 63835]"
" cadets, and other",cadets,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"," Africa, and other",Africa,country,"['countries', 'country']","[5605, 3170]"
" dogs, and other",dogs,animal,['animals'],[8398]," trout, and other",trout,fish,"['fish', 'fishes']","[5001, 56717]"
" cats, and other",cats,animal,['animals'],[8398]," eagles, and other",eagles,bird,"['birds', 'bird']","[13141, 13170]"
" horses, and other",horses,animal,['animals'],[8398]," nurses, and other",nurses,profession,"['people', 'professionals', 'workers']","[1461, 19097, 8218]"
" lions, and other",lions,animal,['animals'],[8398]," England, and other",England,country,"['countries', 'country']","[5605, 3170]"
" bears, and other",bears,animal,['animals'],[8398]," ducks, and other",ducks,bird,"['birds', 'bird']","[13141, 13170]"
" tigers, and other",tigers,animal,['animals'],[8398]," socks, and other",socks,clothing,"['clothing', 'clothes', 'garments']","[14328, 12565, 62494]"
" kine, and other",kine,animal,['animals'],[8398]," owls, and other",owls,bird,"['birds', 'bird']","[13141, 13170]"
" elephants, and other",elephants,animal,['animals'],[8398]," Afghanistan, and other",Afghanistan,country,"['countries', 'country']","[5605, 3170]"
" deer, and other",deer,animal,['animals'],[8398]," herring, and other",herring,fish,"['fish', 'fishes']","[5001, 56717]"
" mice, and other",mice,animal,['animals'],[8398]," clubs, and other",clubs,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"
" pigs, and other",pigs,animal,['animals'],[8398]," lightning, and other",lightning,weather,"['weather', 'natural']","[8957, 4158]"
" rats, and other",rats,animal,['animals'],[8398]," nurses, and other",nurses,profession,"['people', 'professionals', 'workers']","[1461, 19097, 8218]"
" giraffes, and other",giraffes,animal,['animals'],[8398]," maces, and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"
" squirrels, and other",squirrels,animal,['animals'],[8398]," cleats, and other",cleats,footwear,['footwear'],[62966]
" rabbits, and other",rabbits,animal,['animals'],[8398]," grenades, and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"
" goats, and other",goats,animal,['animals'],[8398]," clubs, and other",clubs,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"
" zebras, and other",zebras,animal,['animals'],[8398]," bookcases, and other",bookcases,furniture,['furniture'],[16241]
" mooses, and other",mooses,animal,['animals'],[8398]," saxophones, and other",saxophones,instrument,"['musical', 'instruments']","[13340, 18159]"
" sheep, and other",sheep,animal,['animals'],[8398]," cabs, and other",cabs,vehicle,"['vehicles', 'transportation', 'transport']","[13092, 16216, 6676]"
" cheetahs, and other",cheetahs,animal,['animals'],[8398]," screwdrivers, and other",screwdrivers,tool,['tools'],[8112]
" raccoons, and other",raccoons,animal,['animals'],[8398]," finches, and other",finches,bird,"['birds', 'bird']","[13141, 13170]"
" wolves, and other",wolves,animal,['animals'],[8398]," perch, and other",perch,fish,"['fish', 'fishes']","[5001, 56717]"
" foxes, and other",foxes,animal,['animals'],[8398]," psychologists, and other",psychologists,profession,"['people', 'professionals', 'workers']","[1461, 19097, 8218]"
" hamsters, and other",hamsters,animal,['animals'],[8398]," nieces, and other",nieces,relative,"['relatives', 'family']","[22631, 2730]"
" donkeys, and other",donkeys,animal,['animals'],[8398]," asparagus, and other",asparagus,vegetable,"['vegetables', 'vegetable']","[19574, 26771]"
" elk, and other",elk,animal,['animals'],[8398]," Portugal, and other",Portugal,country,"['countries', 'country']","[5605, 3170]"
" lizards, and other",lizards,animal,['animals'],[8398]," decades, and other",decades,time,"['time', 'units']","[1069, 7845]"
" turtles, and other",turtles,animal,['animals'],[8398]," trout, and other",trout,fish,"['fish', 'fishes']","[5001, 56717]"
" chairs, and other",chairs,furniture,['furniture'],[16241]," salmon, and other",salmon,fish,"['fish', 'fishes']","[5001, 56717]"
" tables, and other",tables,furniture,['furniture'],[16241]," guns, and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"
" couches, and other",couches,furniture,['furniture'],[16241]," baseball, and other",baseball,sport,['sports'],[9028]
" beds, and other",beds,furniture,['furniture'],[16241]," crickets, and other",crickets,bug,"['insects', 'insect', 'bugs']","[31029, 35312, 30608]"
" desks, and other",desks,furniture,['furniture'],[16241]," kayaks, and other",kayaks,boat,"['boats', 'vessels', 'ships', 'boat']","[26321, 21254, 16974, 11390]"
" sofas, and other",sofas,furniture,['furniture'],[16241]," gloves, and other",gloves,clothing,"['clothing', 'clothes', 'garments']","[14328, 12565, 62494]"
" dressers, and other",dressers,furniture,['furniture'],[16241]," opals, and other",opals,gem,"['gem', 'gems']","[21737, 48771]"
" loveseats, and other",loveseats,furniture,['furniture'],[16241]," mopeds, and other",mopeds,vehicle,"['vehicles', 'transportation', 'transport']","[13092, 16216, 6676]"
" coffee tables, and other",coffee tables,furniture,['furniture'],[16241]," condominiums, and other",condominiums,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"
" lamps, and other",lamps,furniture,['furniture'],[16241]," days, and other",days,time,"['time', 'units']","[1069, 7845]"
" nightstands, and other",nightstands,furniture,['furniture'],[16241]," praying mantis, and other",praying mantis,bug,"['insects', 'insect', 'bugs']","[31029, 35312, 30608]"
" ottomen, and other",ottomen,furniture,['furniture'],[16241]," green beans, and other",green beans,vegetable,"['vegetables', 'vegetable']","[19574, 26771]"
" recliners, and other",recliners,furniture,['furniture'],[16241]," physical therapists, and other",physical therapists,profession,"['people', 'professionals', 'workers']","[1461, 19097, 8218]"
" stools, and other",stools,furniture,['furniture'],[16241]," wolves, and other",wolves,animal,['animals'],[8398]
" end tables, and other",end tables,furniture,['furniture'],[16241]," nectarines, and other",nectarines,fruit,"['fruits', 'fruit']","[16803, 9471]"
" futons, and other",futons,furniture,['furniture'],[16241]," saxophones, and other",saxophones,instrument,"['musical', 'instruments']","[13340, 18159]"
" armoires, and other",armoires,furniture,['furniture'],[16241]," battleships, and other",battleships,boat,"['boats', 'vessels', 'ships', 'boat']","[26321, 21254, 16974, 11390]"
" bookcases, and other",bookcases,furniture,['furniture'],[16241]," condominiums, and other",condominiums,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"
" cabinets, and other",cabinets,furniture,['furniture'],[16241]," soul, and other",soul,music,['music'],[4296]
" foot stools, and other",foot stools,furniture,['furniture'],[16241]," nanoseconds, and other",nanoseconds,time,"['time', 'units']","[1069, 7845]"
" shelves, and other",shelves,furniture,['furniture'],[16241]," tulips, and other",tulips,flower,"['flowers', 'flowering']","[9148, 54497]"
" apples, and other",apples,fruit,"['fruits', 'fruit']","[16803, 9471]"," speeding, and other",speeding,crime,"['crimes', 'crime']","[25552, 12476]"
" oranges, and other",oranges,fruit,"['fruits', 'fruit']","[16803, 9471]"," chiefs, and other",chiefs,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"
" bananas, and other",bananas,fruit,"['fruits', 'fruit']","[16803, 9471]"," Mexico, and other",Mexico,country,"['countries', 'country']","[5605, 3170]"
" grapes, and other",grapes,fruit,"['fruits', 'fruit']","[16803, 9471]"," carp, and other",carp,fish,"['fish', 'fishes']","[5001, 56717]"
" pears, and other",pears,fruit,"['fruits', 'fruit']","[16803, 9471]"," planes, and other",planes,vehicle,"['vehicles', 'transportation', 'transport']","[13092, 16216, 6676]"
" peaches, and other",peaches,fruit,"['fruits', 'fruit']","[16803, 9471]"," hawks, and other",hawks,bird,"['birds', 'bird']","[13141, 13170]"
" strawberries, and other",strawberries,fruit,"['fruits', 'fruit']","[16803, 9471]"," boots, and other",boots,footwear,['footwear'],[62966]
" kiwis, and other",kiwis,fruit,"['fruits', 'fruit']","[16803, 9471]"," pesoes, and other",pesoes,money,"['currency', 'money', 'currencies']","[18968, 3370, 63835]"
" pineapples, and other",pineapples,fruit,"['fruits', 'fruit']","[16803, 9471]"," radishes, and other",radishes,vegetable,"['vegetables', 'vegetable']","[19574, 26771]"
" watermelons, and other",watermelons,fruit,"['fruits', 'fruit']","[16803, 9471]"," measuring sticks, and other",measuring sticks,tool,['tools'],[8112]
" plums, and other",plums,fruit,"['fruits', 'fruit']","[16803, 9471]"," donkeys, and other",donkeys,animal,['animals'],[8398]
" grapefruits, and other",grapefruits,fruit,"['fruits', 'fruit']","[16803, 9471]"," eons, and other",eons,time,"['time', 'units']","[1069, 7845]"
" mangoes, and other",mangoes,fruit,"['fruits', 'fruit']","[16803, 9471]"," ants, and other",ants,bug,"['insects', 'insect', 'bugs']","[31029, 35312, 30608]"
" cherries, and other",cherries,fruit,"['fruits', 'fruit']","[16803, 9471]"," cod, and other",cod,fish,"['fish', 'fishes']","[5001, 56717]"
" lemons, and other",lemons,fruit,"['fruits', 'fruit']","[16803, 9471]"," yards, and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[7845, 13384, 14548, 6075, 30257]"
" blueberries, and other",blueberries,fruit,"['fruits', 'fruit']","[16803, 9471]"," earthquakes, and other",earthquakes,weather,"['weather', 'natural']","[8957, 4158]"
" cantaloupes, and other",cantaloupes,fruit,"['fruits', 'fruit']","[16803, 9471]"," topazs, and other",topazs,gem,"['gem', 'gems']","[21737, 48771]"
" raspberries, and other",raspberries,fruit,"['fruits', 'fruit']","[16803, 9471]"," cruises, and other",cruises,boat,"['boats', 'vessels', 'ships', 'boat']","[26321, 21254, 16974, 11390]"
" limes, and other",limes,fruit,"['fruits', 'fruit']","[16803, 9471]"," keyboards, and other",keyboards,instrument,"['musical', 'instruments']","[13340, 18159]"
" tangerines, and other",tangerines,fruit,"['fruits', 'fruit']","[16803, 9471]"," birches, and other",birches,tree,['trees'],[8195]
" melons, and other",melons,fruit,"['fruits', 'fruit']","[16803, 9471]"," screws, and other",screws,tool,['tools'],[8112]
" nectarines, and other",nectarines,fruit,"['fruits', 'fruit']","[16803, 9471]"," pianoes, and other",pianoes,instrument,"['musical', 'instruments']","[13340, 18159]"
" papayas, and other",papayas,fruit,"['fruits', 'fruit']","[16803, 9471]"," clarinets, and other",clarinets,instrument,"['musical', 'instruments']","[13340, 18159]"
" apricots, and other",apricots,fruit,"['fruits', 'fruit']","[16803, 9471]"," assault, and other",assault,crime,"['crimes', 'crime']","[25552, 12476]"
" starfruits, and other",starfruits,fruit,"['fruits', 'fruit']","[16803, 9471]"," green beans, and other",green beans,vegetable,"['vegetables', 'vegetable']","[19574, 26771]"
" guns, and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," Iran, and other",Iran,country,"['countries', 'country']","[5605, 3170]"
" knives, and other",knives,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," Israel, and other",Israel,country,"['countries', 'country']","[5605, 3170]"
" swords, and other",swords,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," potatoes, and other",potatoes,vegetable,"['vegetables', 'vegetable']","[19574, 26771]"
" bombs, and other",bombs,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," softball, and other",softball,sport,['sports'],[9028]
" rifles, and other",rifles,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," secs, and other",secs,time,"['time', 'units']","[1069, 7845]"
" maces, and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," shacks, and other",shacks,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"
" axes, and other",axes,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," cadets, and other",cadets,soldier,"['officers', 'soldiers', 'military']","[10971, 17431, 8403]"
" grenades, and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," accountants, and other",accountants,profession,"['people', 'professionals', 'workers']","[1461, 19097, 8218]"
" missiles, and other",missiles,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," gymnastics, and other",gymnastics,sport,['sports'],[9028]
" handguns, and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," physical therapists, and other",physical therapists,profession,"['people', 'professionals', 'workers']","[1461, 19097, 8218]"
" brass knuckles, and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," blice, and other",blice,clothing,"['clothing', 'clothes', 'garments']","[14328, 12565, 62494]"
" clubs, and other",clubs,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," dentists, and other",dentists,profession,"['people', 'professionals', 'workers']","[1461, 19097, 8218]"
" nunchucks, and other",nunchucks,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," minivans, and other",minivans,vehicle,"['vehicles', 'transportation', 'transport']","[13092, 16216, 6676]"
" bazookas, and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," racquetball, and other",racquetball,sport,['sports'],[9028]
" blades, and other",blades,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," thunder, and other",thunder,weather,"['weather', 'natural']","[8957, 4158]"
" spears, and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[15875, 17175, 190492]"," horns, and other",horns,instrument,"['musical', 'instruments']","[13340, 18159]"
" presidents, and other",presidents,politician,"['elected', 'politicians']","[17710, 33650]"," cooks, and other",cooks,profession,"['people', 'professionals', 'workers']","[1461, 19097, 8218]"
" senators, and other",senators,politician,"['elected', 'politicians']","[17710, 33650]"," pliers, and other",pliers,tool,['tools'],[8112]
" vice presidents, and other",vice presidents,politician,"['elected', 'politicians']","[17710, 33650]"," praying mantis, and other",praying mantis,bug,"['insects', 'insect', 'bugs']","[31029, 35312, 30608]"
" governors, and other",governors,politician,"['elected', 'politicians']","[17710, 33650]"," wolves, and other",wolves,animal,['animals'],[8398]
" mayors, and other",mayors,politician,"['elected', 'politicians']","[17710, 33650]"," Britain, and other",Britain,country,"['countries', 'country']","[5605, 3170]"
" representatives, and other",representatives,politician,"['elected', 'politicians']","[17710, 33650]"," Russia, and other",Russia,country,"['countries', 'country']","[5605, 3170]"
" treasurers, and other",treasurers,politician,"['elected', 'politicians']","[17710, 33650]"," canaries, and other",canaries,bird,"['birds', 'bird']","[13141, 13170]"
" congressmen, and other",congressmen,politician,"['elected', 'politicians']","[17710, 33650]"," seagulls, and other",seagulls,bird,"['birds', 'bird']","[13141, 13170]"
" congresswomen, and other",congresswomen,politician,"['elected', 'politicians']","[17710, 33650]"," blice, and other",blice,clothing,"['clothing', 'clothes', 'garments']","[14328, 12565, 62494]"
" secretaries of state, and other",secretaries of state,politician,"['elected', 'politicians']","[17710, 33650]"," granddads, and other",granddads,relative,"['relatives', 'family']","[22631, 2730]"
" houses, and other",houses,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"," lawyers, and other",lawyers,profession,"['people', 'professionals', 'workers']","[1461, 19097, 8218]"
" apartments, and other",apartments,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"," snow, and other",snow,weather,"['weather', 'natural']","[8957, 4158]"
" mansions, and other",mansions,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"," coats, and other",coats,clothing,"['clothing', 'clothes', 'garments']","[14328, 12565, 62494]"
" condominiums, and other",condominiums,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"," starfruits, and other",starfruits,fruit,"['fruits', 'fruit']","[16803, 9471]"
" caves, and other",caves,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"," lamps, and other",lamps,furniture,['furniture'],[16241]
" shacks, and other",shacks,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"," banjoes, and other",banjoes,instrument,"['musical', 'instruments']","[13340, 18159]"
" huts, and other",huts,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"," sneakers, and other",sneakers,footwear,['footwear'],[62966]
" tents, and other",tents,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"," suns, and other",suns,flower,"['flowers', 'flowering']","[9148, 54497]"
" dormitories, and other",dormitories,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"," speedboats, and other",speedboats,boat,"['boats', 'vessels', 'ships', 'boat']","[26321, 21254, 16974, 11390]"
" townhouses, and other",townhouses,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"," grandmothers, and other",grandmothers,relative,"['relatives', 'family']","[22631, 2730]"
" trailers, and other",trailers,home,"['housing', 'residential', 'structures']","[12986, 21437, 12225]"," athletes, and other",athletes,profession,"['people', 'professionals', 'workers']","[1461, 19097, 8218]"
