clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
" sisters, and other",sisters,relative,"['relatives', 'family']","[22436, 2773]"," athletes, and other",athletes,profession,"['people', 'professionals', 'workers']","[1673, 13517, 8201]"
" brethren, and other",brethren,relative,"['relatives', 'family']","[22436, 2773]"," blackbirds, and other",blackbirds,bird,"['birds', 'bird']","[13548, 8495]"
" nieces, and other",nieces,relative,"['relatives', 'family']","[22436, 2773]"," diamonds, and other",diamonds,gem,"['gem', 'gems']","[15805, 1087]"
" nephews, and other",nephews,relative,"['relatives', 'family']","[22436, 2773]"," watermelons, and other",watermelons,fruit,"['fruits', 'fruit']","[22334, 11375]"
" great aunts, and other",great aunts,relative,"['relatives', 'family']","[22436, 2773]"," parakeets, and other",parakeets,bird,"['birds', 'bird']","[13548, 8495]"
" grandparents, and other",grandparents,relative,"['relatives', 'family']","[22436, 2773]"," bicycles, and other",bicycles,vehicle,"['vehicles', 'transportation', 'transport']","[12767, 18176, 6977]"
" great grandmothers, and other",great grandmothers,relative,"['relatives', 'family']","[22436, 2773]"," starfruits, and other",starfruits,fruit,"['fruits', 'fruit']","[22334, 11375]"
" sons, and other",sons,relative,"['relatives', 'family']","[22436, 2773]"," miles, and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"
" daughters, and other",daughters,relative,"['relatives', 'family']","[22436, 2773]"," England, and other",England,country,"['countries', 'country']","[6548, 3707]"
" second cousins, and other",second cousins,relative,"['relatives', 'family']","[22436, 2773]"," nanometers, and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"
" great grandpas, and other",great grandpas,relative,"['relatives', 'family']","[22436, 2773]"," moths, and other",moths,bug,"['insects', 'insect', 'bugs']","[17686, 17686, 26222]"
" great uncles, and other",great uncles,relative,"['relatives', 'family']","[22436, 2773]"," liras, and other",liras,money,"['currency', 'money', 'currencies']","[16315, 3213, 1959]"
" miles, and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"," chairs, and other",chairs,furniture,['furniture'],[13157]
" meters, and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"," baseball, and other",baseball,sport,['sports'],[9425]
" inches, and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"," pounds, and other",pounds,money,"['currency', 'money', 'currencies']","[16315, 3213, 1959]"
" feets, and other",feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"," screws, and other",screws,tool,['tools'],[7808]
" kilometers, and other",kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"," subways, and other",subways,vehicle,"['vehicles', 'transportation', 'transport']","[12767, 18176, 6977]"
" centimeters, and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"," bluegrass, and other",bluegrass,music,['music'],[4195]
" yards, and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"," Iran, and other",Iran,country,"['countries', 'country']","[6548, 3707]"
" millimeters, and other",millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"," yachts, and other",yachts,boat,"['boats', 'vessels', 'ships', 'boat']","[20474, 23599, 12064, 9856]"
" decimeters, and other",decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"," lizards, and other",lizards,animal,['animals'],[8990]
" light years, and other",light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"," finches, and other",finches,bird,"['birds', 'bird']","[13548, 8495]"
" micrometers, and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"," tangerines, and other",tangerines,fruit,"['fruits', 'fruit']","[22334, 11375]"
" nanometers, and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"," orchids, and other",orchids,flower,"['flowers', 'flowering']","[12656, 15762]"
" sergeants, and other",sergeants,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," flamingoes, and other",flamingoes,bird,"['birds', 'bird']","[13548, 8495]"
" generals, and other",generals,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," pianoes, and other",pianoes,instrument,"['musical', 'instruments']","[9926, 18705]"
" lieutenants, and other",lieutenants,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," nightstands, and other",nightstands,furniture,['furniture'],[13157]
" captains, and other",captains,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," cherries, and other",cherries,fruit,"['fruits', 'fruit']","[22334, 11375]"
" privates, and other",privates,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," goldfish, and other",goldfish,fish,"['fish', 'fishes']","[8774, 1053]"
" colonels, and other",colonels,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," light years, and other",light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"
" majors, and other",majors,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," ottomen, and other",ottomen,furniture,['furniture'],[13157]
" corporals, and other",corporals,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," drunk driving, and other",drunk driving,crime,"['crimes', 'crime']","[18208, 10079]"
" officers, and other",officers,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," Israel, and other",Israel,country,"['countries', 'country']","[6548, 3707]"
" commanders, and other",commanders,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," buss, and other",buss,vehicle,"['vehicles', 'transportation', 'transport']","[12767, 18176, 6977]"
" admirals, and other",admirals,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," speedboats, and other",speedboats,boat,"['boats', 'vessels', 'ships', 'boat']","[20474, 23599, 12064, 9856]"
" chiefs, and other",chiefs,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," presidents, and other",presidents,politician,"['elected', 'politicians']","[12169, 19362]"
" soldiers, and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," battery, and other",battery,crime,"['crimes', 'crime']","[18208, 10079]"
" cadets, and other",cadets,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"," kidnapping, and other",kidnapping,crime,"['crimes', 'crime']","[18208, 10079]"
" dogs, and other",dogs,animal,['animals'],[8990]," ships, and other",ships,vehicle,"['vehicles', 'transportation', 'transport']","[12767, 18176, 6977]"
" cats, and other",cats,animal,['animals'],[8990]," rugby, and other",rugby,sport,['sports'],[9425]
" horses, and other",horses,animal,['animals'],[8990]," miles, and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"
" lions, and other",lions,animal,['animals'],[8990]," maples, and other",maples,tree,['trees'],[7867]
" bears, and other",bears,animal,['animals'],[8990]," hours, and other",hours,time,"['time', 'units']","[1495, 8775]"
" tigers, and other",tigers,animal,['animals'],[8990]," granddads, and other",granddads,relative,"['relatives', 'family']","[22436, 2773]"
" kine, and other",kine,animal,['animals'],[8990]," subways, and other",subways,vehicle,"['vehicles', 'transportation', 'transport']","[12767, 18176, 6977]"
" elephants, and other",elephants,animal,['animals'],[8990]," battleships, and other",battleships,boat,"['boats', 'vessels', 'ships', 'boat']","[20474, 23599, 12064, 9856]"
" deer, and other",deer,animal,['animals'],[8990]," tennis, and other",tennis,sport,['sports'],[9425]
" mice, and other",mice,animal,['animals'],[8990]," businessmen, and other",businessmen,profession,"['people', 'professionals', 'workers']","[1673, 13517, 8201]"
" pigs, and other",pigs,animal,['animals'],[8990]," fleas, and other",fleas,bug,"['insects', 'insect', 'bugs']","[17686, 17686, 26222]"
" rats, and other",rats,animal,['animals'],[8990]," robbery, and other",robbery,crime,"['crimes', 'crime']","[18208, 10079]"
" giraffes, and other",giraffes,animal,['animals'],[8990]," tangerines, and other",tangerines,fruit,"['fruits', 'fruit']","[22334, 11375]"
" squirrels, and other",squirrels,animal,['animals'],[8990]," hummingbirds, and other",hummingbirds,bird,"['birds', 'bird']","[13548, 8495]"
" rabbits, and other",rabbits,animal,['animals'],[8990]," carp, and other",carp,fish,"['fish', 'fishes']","[8774, 1053]"
" goats, and other",goats,animal,['animals'],[8990]," stools, and other",stools,furniture,['furniture'],[13157]
" zebras, and other",zebras,animal,['animals'],[8990]," aircraft carriers, and other",aircraft carriers,boat,"['boats', 'vessels', 'ships', 'boat']","[20474, 23599, 12064, 9856]"
" mooses, and other",mooses,animal,['animals'],[8990]," grenades, and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"
" sheep, and other",sheep,animal,['animals'],[8990]," Japan, and other",Japan,country,"['countries', 'country']","[6548, 3707]"
" cheetahs, and other",cheetahs,animal,['animals'],[8990]," millenniums, and other",millenniums,time,"['time', 'units']","[1495, 8775]"
" raccoons, and other",raccoons,animal,['animals'],[8990]," flounder, and other",flounder,fish,"['fish', 'fishes']","[8774, 1053]"
" wolves, and other",wolves,animal,['animals'],[8990]," bees, and other",bees,bug,"['insects', 'insect', 'bugs']","[17686, 17686, 26222]"
" foxes, and other",foxes,animal,['animals'],[8990]," rock & roll, and other",rock & roll,music,['music'],[4195]
" hamsters, and other",hamsters,animal,['animals'],[8990]," spears, and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"
" donkeys, and other",donkeys,animal,['animals'],[8990]," diamonds, and other",diamonds,gem,"['gem', 'gems']","[15805, 1087]"
" elk, and other",elk,animal,['animals'],[8990]," elms, and other",elms,tree,['trees'],[7867]
" lizards, and other",lizards,animal,['animals'],[8990]," bluejays, and other",bluejays,bird,"['birds', 'bird']","[13548, 8495]"
" turtles, and other",turtles,animal,['animals'],[8990]," ladybugs, and other",ladybugs,bug,"['insects', 'insect', 'bugs']","[17686, 17686, 26222]"
" chairs, and other",chairs,furniture,['furniture'],[13157]," pounds, and other",pounds,money,"['currency', 'money', 'currencies']","[16315, 3213, 1959]"
" tables, and other",tables,furniture,['furniture'],[13157]," Switzerland, and other",Switzerland,country,"['countries', 'country']","[6548, 3707]"
" couches, and other",couches,furniture,['furniture'],[13157]," measuring sticks, and other",measuring sticks,tool,['tools'],[7808]
" beds, and other",beds,furniture,['furniture'],[13157]," deer, and other",deer,animal,['animals'],[8990]
" desks, and other",desks,furniture,['furniture'],[13157]," wasps, and other",wasps,bug,"['insects', 'insect', 'bugs']","[17686, 17686, 26222]"
" sofas, and other",sofas,furniture,['furniture'],[13157]," donkeys, and other",donkeys,animal,['animals'],[8990]
" dressers, and other",dressers,furniture,['furniture'],[13157]," hats, and other",hats,clothing,"['clothing', 'clothes', 'garments']","[14046, 8923, 6693]"
" loveseats, and other",loveseats,furniture,['furniture'],[13157]," ostriches, and other",ostriches,bird,"['birds', 'bird']","[13548, 8495]"
" coffee tables, and other",coffee tables,furniture,['furniture'],[13157]," mooses, and other",mooses,animal,['animals'],[8990]
" lamps, and other",lamps,furniture,['furniture'],[13157]," generals, and other",generals,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"
" nightstands, and other",nightstands,furniture,['furniture'],[13157]," tepees, and other",tepees,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"
" ottomen, and other",ottomen,furniture,['furniture'],[13157]," suns, and other",suns,flower,"['flowers', 'flowering']","[12656, 15762]"
" recliners, and other",recliners,furniture,['furniture'],[13157]," seagulls, and other",seagulls,bird,"['birds', 'bird']","[13548, 8495]"
" stools, and other",stools,furniture,['furniture'],[13157]," yens, and other",yens,money,"['currency', 'money', 'currencies']","[16315, 3213, 1959]"
" end tables, and other",end tables,furniture,['furniture'],[13157]," secs, and other",secs,time,"['time', 'units']","[1495, 8775]"
" futons, and other",futons,furniture,['furniture'],[13157]," rulers, and other",rulers,tool,['tools'],[7808]
" armoires, and other",armoires,furniture,['furniture'],[13157]," grandfathers, and other",grandfathers,relative,"['relatives', 'family']","[22436, 2773]"
" bookcases, and other",bookcases,furniture,['furniture'],[13157]," marlin, and other",marlin,fish,"['fish', 'fishes']","[8774, 1053]"
" cabinets, and other",cabinets,furniture,['furniture'],[13157]," palms, and other",palms,tree,['trees'],[7867]
" foot stools, and other",foot stools,furniture,['furniture'],[13157]," grandmothers, and other",grandmothers,relative,"['relatives', 'family']","[22436, 2773]"
" shelves, and other",shelves,furniture,['furniture'],[13157]," football, and other",football,sport,['sports'],[9425]
" apples, and other",apples,fruit,"['fruits', 'fruit']","[22334, 11375]"," jades, and other",jades,gem,"['gem', 'gems']","[15805, 1087]"
" oranges, and other",oranges,fruit,"['fruits', 'fruit']","[22334, 11375]"," pearls, and other",pearls,gem,"['gem', 'gems']","[15805, 1087]"
" bananas, and other",bananas,fruit,"['fruits', 'fruit']","[22334, 11375]"," bankers, and other",bankers,profession,"['people', 'professionals', 'workers']","[1673, 13517, 8201]"
" grapes, and other",grapes,fruit,"['fruits', 'fruit']","[22334, 11375]"," cousins, and other",cousins,relative,"['relatives', 'family']","[22436, 2773]"
" pears, and other",pears,fruit,"['fruits', 'fruit']","[22334, 11375]"," dimes, and other",dimes,money,"['currency', 'money', 'currencies']","[16315, 3213, 1959]"
" peaches, and other",peaches,fruit,"['fruits', 'fruit']","[22334, 11375]"," privates, and other",privates,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"
" strawberries, and other",strawberries,fruit,"['fruits', 'fruit']","[22334, 11375]"," willows, and other",willows,tree,['trees'],[7867]
" kiwis, and other",kiwis,fruit,"['fruits', 'fruit']","[22334, 11375]"," nightstands, and other",nightstands,furniture,['furniture'],[13157]
" pineapples, and other",pineapples,fruit,"['fruits', 'fruit']","[22334, 11375]"," aircraft carriers, and other",aircraft carriers,boat,"['boats', 'vessels', 'ships', 'boat']","[20474, 23599, 12064, 9856]"
" watermelons, and other",watermelons,fruit,"['fruits', 'fruit']","[22334, 11375]"," loveseats, and other",loveseats,furniture,['furniture'],[13157]
" plums, and other",plums,fruit,"['fruits', 'fruit']","[22334, 11375]"," pines, and other",pines,tree,['trees'],[7867]
" grapefruits, and other",grapefruits,fruit,"['fruits', 'fruit']","[22334, 11375]"," bazookas, and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"
" mangoes, and other",mangoes,fruit,"['fruits', 'fruit']","[22334, 11375]"," guppy, and other",guppy,fish,"['fish', 'fishes']","[8774, 1053]"
" cherries, and other",cherries,fruit,"['fruits', 'fruit']","[22334, 11375]"," blowfish, and other",blowfish,fish,"['fish', 'fishes']","[8774, 1053]"
" lemons, and other",lemons,fruit,"['fruits', 'fruit']","[22334, 11375]"," measuring sticks, and other",measuring sticks,tool,['tools'],[7808]
" blueberries, and other",blueberries,fruit,"['fruits', 'fruit']","[22334, 11375]"," ferries, and other",ferries,boat,"['boats', 'vessels', 'ships', 'boat']","[20474, 23599, 12064, 9856]"
" cantaloupes, and other",cantaloupes,fruit,"['fruits', 'fruit']","[22334, 11375]"," praying mantis, and other",praying mantis,bug,"['insects', 'insect', 'bugs']","[17686, 17686, 26222]"
" raspberries, and other",raspberries,fruit,"['fruits', 'fruit']","[22334, 11375]"," battleships, and other",battleships,boat,"['boats', 'vessels', 'ships', 'boat']","[20474, 23599, 12064, 9856]"
" limes, and other",limes,fruit,"['fruits', 'fruit']","[22334, 11375]"," tubas, and other",tubas,instrument,"['musical', 'instruments']","[9926, 18705]"
" tangerines, and other",tangerines,fruit,"['fruits', 'fruit']","[22334, 11375]"," orchids, and other",orchids,flower,"['flowers', 'flowering']","[12656, 15762]"
" melons, and other",melons,fruit,"['fruits', 'fruit']","[22334, 11375]"," cardinals, and other",cardinals,bird,"['birds', 'bird']","[13548, 8495]"
" nectarines, and other",nectarines,fruit,"['fruits', 'fruit']","[22334, 11375]"," cymbals, and other",cymbals,instrument,"['musical', 'instruments']","[9926, 18705]"
" papayas, and other",papayas,fruit,"['fruits', 'fruit']","[22334, 11375]"," sycamores, and other",sycamores,tree,['trees'],[7867]
" apricots, and other",apricots,fruit,"['fruits', 'fruit']","[22334, 11375]"," rafts, and other",rafts,boat,"['boats', 'vessels', 'ships', 'boat']","[20474, 23599, 12064, 9856]"
" starfruits, and other",starfruits,fruit,"['fruits', 'fruit']","[22334, 11375]"," mosquitoes, and other",mosquitoes,bug,"['insects', 'insect', 'bugs']","[17686, 17686, 26222]"
" guns, and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," horses, and other",horses,animal,['animals'],[8990]
" knives, and other",knives,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," trailers, and other",trailers,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"
" swords, and other",swords,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," grapes, and other",grapes,fruit,"['fruits', 'fruit']","[22334, 11375]"
" bombs, and other",bombs,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," Italy, and other",Italy,country,"['countries', 'country']","[6548, 3707]"
" rifles, and other",rifles,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," mice, and other",mice,animal,['animals'],[8990]
" maces, and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," accountants, and other",accountants,profession,"['people', 'professionals', 'workers']","[1673, 13517, 8201]"
" axes, and other",axes,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," blice, and other",blice,clothing,"['clothing', 'clothes', 'garments']","[14046, 8923, 6693]"
" grenades, and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," pines, and other",pines,tree,['trees'],[7867]
" missiles, and other",missiles,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," tape measures, and other",tape measures,tool,['tools'],[7808]
" handguns, and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," typhoons, and other",typhoons,weather,"['weather', 'natural']","[8854, 4997]"
" brass knuckles, and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," boxer shortss, and other",boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[14046, 8923, 6693]"
" clubs, and other",clubs,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," tables, and other",tables,furniture,['furniture'],[13157]
" nunchucks, and other",nunchucks,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," piccoloes, and other",piccoloes,instrument,"['musical', 'instruments']","[9926, 18705]"
" bazookas, and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," caterpillars, and other",caterpillars,bug,"['insects', 'insect', 'bugs']","[17686, 17686, 26222]"
" blades, and other",blades,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," limes, and other",limes,fruit,"['fruits', 'fruit']","[22334, 11375]"
" spears, and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[10883, 12148, 12148]"," professors, and other",professors,profession,"['people', 'professionals', 'workers']","[1673, 13517, 8201]"
" presidents, and other",presidents,politician,"['elected', 'politicians']","[12169, 19362]"," cherries, and other",cherries,fruit,"['fruits', 'fruit']","[22334, 11375]"
" senators, and other",senators,politician,"['elected', 'politicians']","[12169, 19362]"," organs, and other",organs,instrument,"['musical', 'instruments']","[9926, 18705]"
" vice presidents, and other",vice presidents,politician,"['elected', 'politicians']","[12169, 19362]"," speedboats, and other",speedboats,boat,"['boats', 'vessels', 'ships', 'boat']","[20474, 23599, 12064, 9856]"
" governors, and other",governors,politician,"['elected', 'politicians']","[12169, 19362]"," gospel, and other",gospel,music,['music'],[4195]
" mayors, and other",mayors,politician,"['elected', 'politicians']","[12169, 19362]"," goats, and other",goats,animal,['animals'],[8990]
" representatives, and other",representatives,politician,"['elected', 'politicians']","[12169, 19362]"," alternative, and other",alternative,music,['music'],[4195]
" treasurers, and other",treasurers,politician,"['elected', 'politicians']","[12169, 19362]"," orchids, and other",orchids,flower,"['flowers', 'flowering']","[12656, 15762]"
" congressmen, and other",congressmen,politician,"['elected', 'politicians']","[12169, 19362]"," dormitories, and other",dormitories,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"
" congresswomen, and other",congresswomen,politician,"['elected', 'politicians']","[12169, 19362]"," breaking and entering, and other",breaking and entering,crime,"['crimes', 'crime']","[18208, 10079]"
" secretaries of state, and other",secretaries of state,politician,"['elected', 'politicians']","[12169, 19362]"," hummingbirds, and other",hummingbirds,bird,"['birds', 'bird']","[13548, 8495]"
" houses, and other",houses,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"," basketball, and other",basketball,sport,['sports'],[9425]
" apartments, and other",apartments,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"," alternative, and other",alternative,music,['music'],[4195]
" mansions, and other",mansions,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"," nanometers, and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8775, 16689, 16848, 6096, 24992]"
" condominiums, and other",condominiums,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"," rainbow trout, and other",rainbow trout,fish,"['fish', 'fishes']","[8774, 1053]"
" caves, and other",caves,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"," privates, and other",privates,soldier,"['officers', 'soldiers', 'military']","[9932, 9764, 6237]"
" shacks, and other",shacks,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"," dressers, and other",dressers,furniture,['furniture'],[13157]
" huts, and other",huts,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"," lemons, and other",lemons,fruit,"['fruits', 'fruit']","[22334, 11375]"
" tents, and other",tents,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"," nieces, and other",nieces,relative,"['relatives', 'family']","[22436, 2773]"
" dormitories, and other",dormitories,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"," tubas, and other",tubas,instrument,"['musical', 'instruments']","[9926, 18705]"
" townhouses, and other",townhouses,home,"['housing', 'residential', 'structures']","[12589, 19118, 12062]"," grandmothers, and other",grandmothers,relative,"['relatives', 'family']","[22436, 2773]"
