1. A precious stone
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(642)		Overall	First		(322)	(150)	(170)
Uncle	0.95	0.10	2.3	4.0	4.2	0.97	0.97	0.91
Aunt(s)	0.93	0.27	2.4	3.4	3.6	0.95	0.93	0.90
Cousin	0.85	0.12	2.9	3.9	5.4	0.85	0.90	0.79
Mom/mother	0.80	0.32	2.4	3.1	3.0	0.80	0.75	0.82
 Mom	0.43	0.22	2.4	2.9	2.6	0.45	0.36	0.44
 Mother	0.37	0.10	2.4	3.5	3.4	0.36	0.39	0.38
Grandma/mother	0.79	0.04	3.7	4.9	5.9	0.80	0.77	0.79
 Grandma(s)	0.41	0.03	3.4	5.0	5.6	0.50	0.27	0.35
 Grandmother	0.38	0.01	3.9	5.0	6.3	0.30	0.49	0.43
 Grandmom	0.01		6.5		6.2	0.00	0.01	0.01
Dad/father	0.77	0.04	1.7	3.2	3.7	0.77	0.72	0.83
 Dad	0.42	0.01	1.5	3.2	3.5	0.44	0.35	0.45
 Father	0.35	0.03	1.9	3.2	4.0	0.33	0.37	0.38
Grandfather/pa	0.74	0.01	3.4	4.8	6.5	0.75	0.72	0.76
 Grandfather	0.36		3.6		6.7	0.29	0.46	0.42
 Grandpa	0.36	0.01	3.2	5.0	6.2	0.45	0.25	0.30
 Granddad	0.02		3.9		6.4	0.01	0.01	0.04
Sister	0.74	0.03	2.1	4.1	5.0	0.75	0.71	0.75
Brother	0.72	0.02	2.5	4.3	5.1	0.72	0.71	0.74
Niece	0.32		3.0		8.0	0.30	0.37	0.32
Nephew(s)	0.30		3.2		7.9	0.28	0.36	0.30
Great aunt	0.09		4.9		8.7	0.07	0.13	0.08
Grandparent(s)	0.08		4.8		5.6	0.08	0.09	0.06
Great grandma/mother	0.08		5.1		9.3	0.05	0.07	0.12
 Great grandma	0.04		5.3		8.6	0.04	0.01	0.06
 Great grandmother	0.04		4.9		10.2	0.02	0.06	0.06
Son	0.08		2.6		8.3	0.09	0.09	0.08
Daughter	0.07		3.2		8.4	0.07	0.07	0.08
Second cousin	0.06		4.7		8.4	0.05	0.07	0.06
Great grandfather/pa	0.05		4.5		9.7	0.04	0.05	0.07
 Great grandfather	0.03		4.6		10.1	0.02	0.03	0.04
 Great grandpa	0.02		4.4		9.2	0.02	0.01	0.03
Great uncle	0.05		3.6		9.6	0.04	0.07	0.04

4. A unit of distance
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(654)		Overall	First		(336)	(150)	(168)
Mile(s)	0.89	0.29	2.9	3.6	3.1	0.90	0.92	0.86
Meter(s)	0.85	0.35	3.1	3.7	2.6	0.89	0.85	0.77
Inch(es)	0.82	0.10	2.9	4.2	3.5	0.85	0.80	0.76
Foot/feet	0.79	0.13	2.9	3.7	3.5	0.82	0.80	0.73
 Foot	0.54	0.07	2.7	3.5	3.5	0.60	0.48	0.47
 Feet	0.25	0.06	3.3	3.9	3.3	0.22	0.32	0.26
Kilometer(s)	0.74	0.04	4.4	6.1	4.3	0.75	0.73	0.74
Centimeter(s)	0.73	0.04	4.8	6.0	4.3	0.74	0.77	0.65
Yard(s)	0.65	0.02	3.4	4.5	4.4	0.64	0.66	0.64
Millimeter(s)	0.45	0.01	4.7	5.3	5.3	0.49	0.45	0.37
Decimeter(s)	0.08		4.7		6.4	0.07	0.08	0.10
Light year(s)	0.05		4.3		6.3	0.05	0.07	0.02
Micrometer(s)	0.02		4.6		5.8	0.01	0.03	0.01
Nanometer(s)	0.02		4.1		5.0	0.01	0.04	0.02

5. A metal
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(697)		Overall	First		(369)	(146)	(182)
Steel	0.62	0.21	4.1	4.8	2.6	0.66	0.59	0.55
Iron	0.57	0.23	3.9	4.4	2.4	0.60	0.55	0.53
Silver	0.55	0.06	3.5	5.3	3.5	0.54	0.55	0.58
Copper	0.53	0.11	4.1	4.4	2.9	0.51	0.53	0.57
Gold	0.53	0.09	3.2	4.3	3.1	0.52	0.50	0.57
Aluminum	0.43	0.08	6.4	7.0	3.3	0.41	0.46	0.44
Platinum	0.17	0.01	5.1	7.1	4.6	0.17	0.17	0.16
Titanium	0.17	0.02	6.0	6.4	4.0	0.22	0.16	0.09
Tin	0.15	0.03	3.8	4.8	3.6	0.14	0.15	0.18
Bronze	0.14	0.01	4.3	5.1	4.3	0.15	0.12	0.14
Nickel	0.13	0.02	4.7	4.8	3.8	0.11	0.21	0.11
Lead	0.10	0.01	3.7	5.1	3.6	0.11	0.10	0.08
Brass	0.09	0.01	4.6	5.6	3.6	0.08	0.05	0.13
Zinc	0.09	0.02	4.3	4.9	3.8	0.08	0.13	0.10

6. A type of reading material
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(647)		Overall	First		(338)	(148)	(161)
Magazine(s)	0.93	0.11	3.6	5.0	2.3	0.92	0.95	0.93
Book(s)	0.92	0.77	3.5	3.6	1.3	0.91	0.94	0.92
Newspaper(s)	0.71	0.04	4.6	5.4	3.2	0.72	0.74	0.65
Novel	0.26	0.04	4.1	5.4	3.5	0.23	0.24	0.35
Journal(s)	0.21		4.6		4.1	0.15	0.39	0.16
Article	0.17		5.2		4.2	0.18	0.16	0.18
Textbook(s)	0.17	0.01	5.3	6.0	4.2	0.23	0.14	0.09
Pamphlet(s)	0.13		6.4		4.2	0.14	0.11	0.12
Internet related	0.09		5.9		4.5	0.09	0.11	0.08
 Internet	0.05		5.1		4.5	0.05	0.05	0.05
 Web site	0.03		6.1		4.6	0.02	0.07	0.02
 Internet article(s)	0.02		8.3		4.4	0.02	0.00	0.01
Paper(s)	0.08		5.3		4.2	0.07	0.07	0.09
Comic (book)	0.06		4.2		4.5	0.06	0.06	0.06
 Comic(s)	0.03		4.0		4.6	0.04	0.03	0.03
 Comic book	0.02		4.4		4.4	0.02	0.03	0.03
Encyclopedia	0.06		6.7		4.4	0.06	0.11	0.03
Essay(s)	0.06		3.9		4.5	0.05	0.03	0.11
Flyer(s)	0.06		5.1		4.7	0.05	0.07	0.06
Letter(s)	0.06		4.3		4.7	0.06	0.07	0.04
Periodical(s)	0.06		5.7		4.1	0.06	0.07	0.03
Short story	0.05		5.5		4.5	0.03	0.05	0.09

7. A military title
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(660)		Overall	First		(333)	(149)	(178)
Sergeant	0.60	0.24	5.5	6.4	2.3	0.59	0.64	0.61
General(s)	0.55	0.21	4.5	5.6	2.4	0.57	0.58	0.48
Lieutenant	0.55	0.09	6.3	7.5	2.9	0.56	0.60	0.48
Captain	0.43	0.15	4.8	5.5	2.5	0.40	0.51	0.44
Private	0.40	0.03	4.0	6.2	3.4	0.43	0.35	0.38
Colonel	0.33	0.08	5.1	5.8	2.6	0.34	0.34	0.31
Major	0.20	0.02	4.1	6.2	3.5	0.21	0.20	0.20
Corporal	0.18	0.01	4.4	6.9	3.4	0.21	0.16	0.15
Officer	0.18	0.05	5.0	5.4	2.9	0.20	0.21	0.13
Commander	0.16	0.03	5.1	7.5	3.3	0.17	0.18	0.11
Admiral	0.09	0.01	4.6	8.0	3.8	0.11	0.07	0.08
Chief	0.08		4.2		3.7	0.07	0.13	0.06
Soldier	0.08	0.01	5.5	8.0	3.7	0.07	0.11	0.09
Cadet	0.06	0.01	3.8	4.5	3.7	0.05	0.11	0.04

8. A four-footed animal
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(703)		Overall	First		(372)	(150)	(181)
Dog(s)	0.98	0.65	3.0	3.5	1.6	0.97	0.98	0.98
Cat(s)	0.97	0.14	1.7	3.2	2.3	0.95	0.97	0.99
Horse(s)	0.52	0.07	3.2	3.8	4.0	0.52	0.52	0.50
Lion(s)	0.41		3.2		5.4	0.42	0.45	0.36
Bear(s)	0.37	0.03	3.1	4.3	5.1	0.42	0.36	0.27
Tiger(s)	0.36	0.01	2.8	5.5	5.7	0.36	0.39	0.34
Cow(s)	0.35	0.02	2.5	4.1	5.0	0.35	0.33	0.38
Elephant(s)	0.28	0.01	4.3	5.2	5.4	0.29	0.27	0.27
Deer	0.23	0.02	3.1	5.1	5.5	0.26	0.21	0.21
Mouse	0.23		3.5		5.4	0.27	0.21	0.17
Pig(s)	0.21	0.01	3.0	3.5	5.5	0.16	0.27	0.27
Rat(s)	0.19		3.0		5.5	0.19	0.21	0.18
Giraffe	0.16		4.4		6.0	0.19	0.13	0.14
Squirrel(s)	0.15		5.4		5.9	0.14	0.17	0.16
Rabbit	0.14		4.4		5.4	0.12	0.11	0.22
Goat	0.13		3.1		5.7	0.14	0.09	0.14
Zebra(s)	0.13		4.5		5.6	0.12	0.14	0.14
Moose	0.11		2.9		6.5	0.15	0.05	0.08
Sheep	0.10		3.0		6.8	0.09	0.13	0.08
Cheetah(s)	0.09		4.0		5.8	0.08	0.13	0.07
Raccoon(s)	0.09		4.9		6.1	0.11	0.09	0.04
Wolf	0.09		3.5		5.8	0.11	0.09	0.06
Fox	0.08		3.6		6.1	0.08	0.10	0.07
Hamster(s)	0.08		5.3		6.2	0.07	0.07	0.11
Donkey(s)	0.07		3.6		5.7	0.06	0.08	0.09
Elk	0.07		2.6		7.0	0.12	0.01	0.01
Lizard	0.06		5.4		5.6	0.05	0.05	0.07
Turtle	0.06		4.5		5.5	0.04	0.07	0.08

9. A type of fabric
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(660)		Overall	First		(346)	(146)	(168)
Cotton	0.96	0.45	3.8	4.6	2.0	0.94	0.96	0.98
Silk	0.70	0.20	3.6	4.4	2.6	0.68	0.68	0.75
Polyester(s)	0.58	0.02	5.4	7.2	3.6	0.59	0.60	0.55
Wool	0.50	0.10	3.8	4.6	3.2	0.48	0.55	0.48
Nylon	0.26	0.02	4.5	5.4	3.8	0.24	0.26	0.30
Rayon	0.19	0.01	4.0	6.1	3.7	0.23	0.16	0.15
Satin	0.17	0.02	3.8	3.7	3.6	0.18	0.17	0.15
Spandex	0.17		5.5		4.8	0.18	0.14	0.18
Denim	0.14	0.01	5.3	5.9	4.3	0.15	0.14	0.11
Leather	0.13	0.01	5.0	3.9	4.5	0.13	0.11	0.14
Linen	0.12	0.02	4.2	5.4	3.4	0.12	0.13	0.13
Fleece	0.11	0.01	5.1	6.2	4.0	0.13	0.11	0.05
Velvet	0.10	0.02	4.6	5.9	3.7	0.10	0.10	0.09
Jean	0.08		4.7		4.3	0.09	0.05	0.08
Suede	0.08	0.01	4.3	5.7	4.1	0.09	0.05	0.10
Cashmere	0.07		5.2		4.0	0.06	0.08	0.07
Cloth	0.06	0.03	5.1	6.8	2.2	0.06	0.08	0.04
Flannel	0.05	0.01	4.9	5.1	3.9	0.07	0.04	0.03
Lace	0.05	0.01	3.0	3.8	4.1	0.04	0.05	0.08
Lycra	0.05		4.3		4.6	0.05	0.07	0.05

10. A color
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(666)		Overall	First		(344)	(150)	(172)
Blue	1.00	0.35	2.2	2.8	2.6	0.99	1.00	1.00
Red	0.96	0.46	1.9	2.4	2.3	0.96	0.97	0.94
Green	0.93	0.07	2.3	2.9	4.0	0.93	0.95	0.90
Yellow	0.92	0.02	2.6	3.9	4.9	0.92	0.96	0.88
Purple	0.83	0.05	3.2	3.6	5.5	0.84	0.79	0.84
Orange	0.82		2.8		5.5	0.80	0.88	0.83
Black	0.77	0.02	2.4	2.8	6.4	0.72	0.80	0.84
White	0.60		2.2		7.1	0.56	0.65	0.64
Pink	0.54		2.7		6.9	0.52	0.49	0.64
Brown	0.40		2.8		7.5	0.37	0.44	0.44
Gray/grey	0.26		2.9		8.3	0.26	0.30	0.23
 Gray	0.16		2.9		8.2	0.11	0.18	0.23
 Grey	0.10		2.8		8.5	0.15	0.12	0.00
Violet	0.20		3.8		7.5	0.22	0.24	0.12
Silver	0.15		3.1		9.1	0.15	0.18	0.14
Gold	0.13		2.1		8.9	0.14	0.14	0.09
Indigo	0.11		3.5		7.7	0.10	0.15	0.10
Magenta	0.11		3.4		8.4	0.13	0.10	0.10
Turquoise	0.09		5.2		8.6	0.08	0.11	0.08
Maroon	0.08		3.4		8.9	0.10	0.08	0.04
Teal	0.08		2.8		8.6	0.05	0.07	0.13
Tan	0.06		2.4		9.2	0.05	0.09	0.06
Aqua	0.05		3.8		8.7	0.04	0.07	0.06
Fuchsia	0.05		3.7		8.3	0.04	0.06	0.06

11. A kitchen utensil
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(653)		Overall	First		(337)	(150)	(166)
Knife(ves)	0.95	0.18	2.9	4.0	2.4	0.95	0.93	0.95
Fork(s)	0.93	0.52	2.8	3.1	1.8	0.91	0.94	0.97
Spoon(s)	0.93	0.20	3.0	4.2	2.5	0.93	0.93	0.95
Spatula(s)	0.55	0.06	4.9	5.4	4.0	0.58	0.47	0.54
Pan(s)	0.22	0.01	2.6	7.2	5.3	0.21	0.22	0.25
Pot(s)	0.20	0.01	2.9	5.0	5.0	0.17	0.25	0.23
Whisk	0.15		4.5		5.1	0.20	0.11	0.08
Blender(s)	0.14		4.2		5.3	0.15	0.13	0.11
Bowl(s)	0.14		3.5		5.7	0.15	0.09	0.16
Ladle	0.14		4.9		4.6	0.17	0.14	0.09
Plate(s)	0.13		3.6		5.5	0.12	0.12	0.16
Cutting board	0.09		6.6		5.5	0.09	0.08	0.08
Tongs	0.08		4.7		5.0	0.07	0.07	0.08
Can opener	0.07		6.8		5.3	0.08	0.08	0.05
Mixer	0.07		4.9		5.5	0.08	0.05	0.08
Strainer/colander	0.07		5.3		5.8	0.07	0.08	0.07
 Strainer	0.06		5.4		5.7	0.05	0.07	0.05
 Colander	0.02		5.2		6.0	0.02	0.01	0.02
Cup(s)	0.06		3.6		6.1	0.05	0.07	0.06
Measuring cup(s)	0.06		6.3		5.6	0.07	0.04	0.04
Stove	0.05		4.1		5.7	0.04	0.05	0.07

12. A building for religious services
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(647)		Overall	First		(331)	(149)	(167)
Church	1.00	0.79	4.5	4.8	1.3	0.99	1.00	1.00
Temple(s)	0.67	0.11	4.2	4.3	2.5	0.70	0.75	0.55
Synagogue(s)	0.54	0.04	5.7	6.0	2.6	0.58	0.58	0.44
Mosque(s)	0.41	0.02	4.8	5.5	2.9	0.41	0.59	0.25
Cathedral(s)	0.20		7.6		3.2	0.22	0.13	0.22
Chapel	0.18	0.02	5.3	5.8	3.1	0.18	0.23	0.16
Monastery	0.07		6.8		3.3	0.06	0.09	0.06
House/home	0.05		6.1		4.1	0.04	0.03	0.08
 House(s)	0.03		6.9		4.0	0.02	0.02	0.04
 Home	0.02		5.2		4.2	0.02	0.01	0.04
Sanctuary	0.05		6.5		3.2	0.04	0.03	0.07

13. A part of speech
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(663)		Overall	First		(368)	(143)	(152)
Noun(s)	0.70	0.36	3.5	4.6	1.8	0.68	0.78	0.68
Verb(s)	0.70	0.24	3.5	5.4	2.1	0.68	0.81	0.65
Adjective(s)	0.56	0.02	4.4	8.3	3.4	0.56	0.64	0.49
Adverb(s)	0.41	0.01	3.8	7.2	4.2	0.39	0.55	0.32
Pronoun(s)	0.36		4.3		4.0	0.33	0.45	0.36
Preposition	0.11	0.01	5.5	7.8	4.4	0.12	0.12	0.09
Conjunction(s)	0.10		5.8		5.2	0.12	0.10	0.07
Subject	0.10	0.01	5.5	9.2	4.2	0.10	0.10	0.09
Word(s)	0.09	0.04	5.3	7.6	2.2	0.09	0.09	0.08
Sentence(s)	0.08	0.02	5.5	10.0	3.3	0.07	0.08	0.09
Participle	0.06		5.5		4.3	0.05	0.10	0.05
Vowel(s)	0.05	0.03	7.2	10.2	2.2	0.05	0.06	0.05

14. An article of furniture
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(700)		Overall	First		(371)	(149)	(180)
Chair(s)	0.90	0.41	3.4	4.2	2.0	0.92	0.92	0.86
Table	0.75	0.05	3.2	4.1	3.5	0.75	0.82	0.68
Couch	0.70	0.31	3.8	4.6	2.3	0.73	0.62	0.69
Bed	0.58	0.03	2.6	3.9	4.2	0.60	0.54	0.56
Desk(s)	0.49	0.05	3.5	4.1	4.0	0.50	0.47	0.49
Sofa	0.32	0.08	3.2	4.5	2.9	0.29	0.39	0.33
Dresser(s)	0.28	0.01	3.9	5.2	5.2	0.30	0.22	0.27
Loveseat(s)	0.26		4.4		4.3	0.23	0.26	0.32
Coffee table	0.19		5.9		5.2	0.19	0.14	0.21
Lamp(s)	0.17		3.7		5.2	0.16	0.23	0.16
Nightstand(s)	0.13		5.0		5.9	0.15	0.06	0.16
Ottoman	0.12		4.9		4.8	0.14	0.10	0.09
Recliner	0.12		4.6		4.8	0.09	0.11	0.20
Stool(s)	0.11		4.1		5.1	0.11	0.11	0.12
End table(s)	0.10		4.4		5.5	0.11	0.05	0.12
Futon	0.08		4.0		4.7	0.11	0.08	0.04
Armoire	0.07		4.5		5.6	0.08	0.07	0.05
Bookshelf/case	0.06		4.6		5.9	0.06	0.10	0.03
 Bookshelf	0.04		4.6		5.9	0.03	0.07	0.02
 Bookcase	0.03		4.4		6.0	0.03	0.03	0.02
Cabinet(s)	0.06		5.6		5.6	0.05	0.10	0.04
Foot rest/stool	0.06		5.7		5.2	0.06	0.08	0.05
 Foot rest	0.03		5.3		5.4	0.03	0.05	0.01
 Foot stool	0.03		6.1		5.0	0.03	0.03	0.04
Shelf(ves)	0.05		4.7		6.1	0.05	0.08	0.02

15. A part of the human body
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(666)		Overall	First		(352)	(150)	(164)
Leg(s)	0.87	0.12	2.0	3.5	3.8	0.86	0.85	0.93
Arm(s)	0.82	0.32	2.5	3.4	3.3	0.82	0.76	0.87
Foot/feet	0.71	0.05	2.2	3.9	5.7	0.71	0.71	0.73
 Foot	0.45	0.04	2.2	3.9	5.1	0.45	0.45	0.45
 Feet	0.27	0.01	2.2	3.9	6.8	0.26	0.26	0.27
Finger(s)	0.67	0.02	2.6	4.1	6.5	0.66	0.63	0.71
Head	0.61	0.13	2.4	3.5	4.4	0.57	0.63	0.71
Toe(s)	0.61	0.01	2.0	4.5	7.5	0.62	0.57	0.64
Eye(s)	0.59	0.04	2.0	3.6	6.3	0.59	0.63	0.56
Hand(s)	0.54	0.10	2.4	3.7	5.1	0.52	0.55	0.57
Nose	0.53	0.04	2.0	3.3	6.3	0.54	0.55	0.49
Ear(s)	0.49	0.03	2.1	3.0	7.1	0.49	0.51	0.47
Mouth	0.38		2.3		7.4	0.37	0.39	0.40
Stomach	0.35		3.4		7.8	0.35	0.39	0.30
Heart	0.27	0.04	2.5	3.7	5.9	0.28	0.25	0.26
Knee(s)	0.26		2.6		8.4	0.27	0.28	0.24
Neck	0.22	0.01	2.3	2.9	7.1	0.23	0.25	0.18
Brain	0.18	0.02	2.7	4.5	5.8	0.19	0.19	0.16
Hair	0.18		2.7		8.6	0.19	0.16	0.17
Elbow(s)	0.17		3.3		8.6	0.16	0.15	0.20
Shoulder(s)	0.17		3.0		7.2	0.18	0.20	0.10
Chest	0.16		2.9		7.3	0.17	0.18	0.12
Back	0.11		2.3		8.7	0.10	0.15	0.10
Butt	0.11		2.7		9.1	0.12	0.13	0.07
Lip(s)	0.11		2.3		8.7	0.09	0.06	0.18
Thigh(s)	0.11		2.9		9.1	0.10	0.14	0.09
Ankle(s)	0.10		2.8		8.5	0.11	0.10	0.08
Face	0.10		2.0		6.0	0.09	0.17	0.05
Liver	0.10		2.8		8.5	0.09	0.13	0.09
Lung(s)	0.10		2.5		6.7	0.11	0.10	0.07
Tongue	0.10	0.01	3.2	4.5	7.6	0.09	0.09	0.12
Teeth	0.07		2.6		9.0	0.07	0.07	0.09
Torso	0.07		2.6		7.0	0.09	0.05	0.03
Wrist(s)	0.07		2.6		9.4	0.08	0.05	0.07
Bone(s)	0.06		2.4		7.5	0.07	0.05	0.05
Penis	0.06	0.01	2.8	4.2	5.1	0.06	0.06	0.05
Breast(s)	0.05	0.01	3.2	3.9	6.9	0.05	0.04	0.05
Hip(s)	0.05		2.9		8.8	0.06	0.07	0.02
Muscle(s)	0.05		3.4		8.1	0.05	0.05	0.04
Nail(s)	0.05		2.7		10.2	0.05	0.06	0.06

16. A fruit
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(655)		Overall	First		(337)	(149)	(169)
Apple(s)	0.95	0.58	2.7	3.1	1.7	0.94	0.97	0.96
Orange	0.86	0.14	3.0	3.8	2.8	0.85	0.81	0.92
Banana(s)	0.71	0.07	3.7	4.9	3.6	0.76	0.66	0.65
Grape(s)	0.52	0.02	3.1	4.3	4.9	0.46	0.59	0.58
Pear(s)	0.50	0.03	2.6	3.0	4.2	0.47	0.50	0.54
Peach	0.40	0.04	3.3	3.4	4.9	0.37	0.47	0.40
Strawberry	0.40	0.04	4.8	6.5	4.9	0.40	0.40	0.39
Kiwi	0.30		3.3		5.7	0.29	0.26	0.35
Pineapple(s)	0.26	0.01	4.9	5.4	5.1	0.25	0.26	0.29
Watermelon	0.24	0.01	3.9	5.1	5.7	0.23	0.28	0.22
Tomato	0.23	0.03	3.9	4.2	4.8	0.21	0.30	0.22
Plum	0.21		3.1		5.6	0.18	0.27	0.20
Grapefruit	0.18		5.0		5.7	0.18	0.17	0.20
Mango(s)	0.18	0.01	3.5	4.0	5.6	0.20	0.19	0.14
Cherry	0.15	0.01	3.1	3.4	5.5	0.14	0.15	0.17
Lemon	0.15		2.7		5.8	0.12	0.16	0.20
Blueberry	0.14		3.7		6.7	0.15	0.14	0.11
Cantaloupe	0.14		4.2		6.4	0.15	0.17	0.11
Raspberry	0.12		4.2		6.5	0.17	0.09	0.05
Lime	0.11		2.5		6.7	0.08	0.12	0.16
Tangerine(s)	0.09		4.3		6.0	0.06	0.08	0.14
Melon(s)	0.08		3.6		6.2	0.08	0.11	0.06
Nectarine(s)	0.06		3.5		6.7	0.07	0.09	0.02
Papaya	0.06	0.01	3.8	4.6	5.7	0.07	0.04	0.05
Apricot(s)	0.05		4.1		6.4	0.06	0.06	0.04
Honeydew (melon)	0.05		4.5		7.1	0.03	0.09	0.04
Star fruit	0.05		4.3		6.0	0.06	0.04	0.04

17. A weapon
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(660)		Overall	First		(338)	(148)	(174)
Gun(s)	0.96	0.69	2.6	2.8	1.4	0.95	0.97	0.98
Knife	0.95	0.23	2.9	3.8	2.0	0.96	0.97	0.93
Sword(s)	0.28	0.02	4.3	3.3	3.8	0.27	0.32	0.26
Bat	0.22		4.1		4.0	0.23	0.22	0.19
Bomb(s)	0.18		4.5		4.6	0.22	0.16	0.13
Fist(s)	0.13		4.7		4.9	0.13	0.11	0.13
Rifle	0.12	0.01	4.6	4.8	3.7	0.10	0.16	0.14
Bow & arrow	0.11		5.8		4.5	0.14	0.11	0.07
 Bow and arrow(s)	0.06		7.3		4.1	0.07	0.05	0.04
 Arrow(s)	0.03		4.4		4.9	0.03	0.02	0.02
 Bow	0.03		4.2		5.0	0.04	0.03	0.01
Rope	0.10		4.7		4.4	0.11	0.09	0.08
Mace	0.09		4.3		4.8	0.11	0.07	0.08
Ax(e)	0.08		4.0		4.9	0.09	0.09	0.06
Grenade(s)	0.08		5.4		4.6	0.10	0.05	0.05
Missile(s)	0.08		4.6		4.8	0.09	0.09	0.05
Pistol/hand gun	0.08	0.02	5.2	5.9	3.3	0.07	0.10	0.09
 Pistol(s)	0.06	0.01	5.3	4.3	3.4	0.06	0.06	0.07
 Handgun	0.02	0.01	5.2	7.9	3.0	0.02	0.04	0.02
Brass knuckle(s)	0.06		7.3		4.4	0.05	0.04	0.09
Club	0.06		4.6		5.0	0.08	0.07	0.02
Hammer	0.06		4.9		4.7	0.05	0.06	0.09
Nunchucks	0.06		6.9		4.5	0.07	0.05	0.05
Stick	0.06		6.1		4.5	0.06	0.04	0.07
Bazooka	0.05		4.4		4.3	0.05	0.05	0.03
Blade(s)	0.05		4.5		4.5	0.03	0.04	0.07
Spear	0.05		4.8		4.7	0.07	0.05	0.03

18. An elective office
Response	Total	First	RT	RT	Rank	UCB	UMCP	UNCG
(645)		Overall	First		(331)	(146)	(168)
President	0.94	0.72	5.3	5.7	1.4	0.93	0.95	0.93
Senator/senate	0.55	0.07	4.1	6.5	2.9	0.59	0.51	0.51
 Senator	0.42	0.06	4.0	6.5	2.9	0.42	0.51	0.37
 Senate	0.13	0.01	4.5	6.4	3.0	0.17	0.00	0.14
Vice president	0.53	0.01	5.1	9.0	2.9	0.47	0.60	0.58
Governor	0.43	0.05	4.6	5.8	3.5	0.42	0.56	0.34
Mayor	0.41	0.05	3.9	5.2	3.5	0.42	0.40	0.42
Secretary	0.27		4.4		3.6	0.24	0.29	0.31
(House of) representatives	0.23	0.01	6.4	12.1	3.8	0.24	0.21	0.23
 Representative	0.16	0.01	6.3	12.4	3.8	0.18	0.18	0.12
 House of representatives	0.07		6.8		3.7	0.06	0.03	0.11
