clean,h1,h2,hypernym,answers,answers_idx,corrupted,c1,c2,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 rubies and gemstones are two types of,rubies,gemstones,gem,"['gem', 'gems']","[16840, 23685]", townhouses and cabins are two types of,townhouses,cabins,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 rubies and amethysts are two types of,rubies,amethysts,gem,"['gem', 'gems']","[16840, 23685]", tulips and sunflowers are two types of,tulips,sunflowers,flower,"['flowers', 'flowering']","[12734, 48573]"
 rubies and opals are two types of,rubies,opals,gem,"['gem', 'gems']","[16840, 23685]", ska and reggae are two types of,ska,reggae,music,['music'],[2647]
 rubies and topazs are two types of,rubies,topazs,gem,"['gem', 'gems']","[16840, 23685]", sailboats and schooners are two types of,sailboats,schooners,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]"
 rubies and garnets are two types of,rubies,garnets,gem,"['gem', 'gems']","[16840, 23685]", heavy metal and ska are two types of,heavy metal,ska,music,['music'],[2647]
 rubies and jades are two types of,rubies,jades,gem,"['gem', 'gems']","[16840, 23685]", cabs and SUVs are two types of,cabs,SUVs,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 rubies and quartzs are two types of,rubies,quartzs,gem,"['gem', 'gems']","[16840, 23685]", blackbirds and canaries are two types of,blackbirds,canaries,bird,"['birds', 'bird']","[10087, 6512]"
 rubies and turquoises are two types of,rubies,turquoises,gem,"['gem', 'gems']","[16840, 23685]", snapper and mahi mahi are two types of,snapper,mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]"
 emeralds and diamonds are two types of,emeralds,diamonds,gem,"['gem', 'gems']","[16840, 23685]", secretaries of state and representatives are two types of,secretaries of state,representatives,politician,"['elected', 'politicians']","[7018, 7602]"
 emeralds and rubies are two types of,emeralds,rubies,gem,"['gem', 'gems']","[16840, 23685]", grasshoppers and crickets are two types of,grasshoppers,crickets,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 emeralds and sapphires are two types of,emeralds,sapphires,gem,"['gem', 'gems']","[16840, 23685]", kiwis and cantaloupes are two types of,kiwis,cantaloupes,fruit,"['fruits', 'fruit']","[15921, 8234]"
 emeralds and pearls are two types of,emeralds,pearls,gem,"['gem', 'gems']","[16840, 23685]", carpenters and dentists are two types of,carpenters,dentists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 emeralds and gemstones are two types of,emeralds,gemstones,gem,"['gem', 'gems']","[16840, 23685]", tsunamis and tidal waves are two types of,tsunamis,tidal waves,weather,"['weather', 'natural']","[6193, 3288]"
 emeralds and amethysts are two types of,emeralds,amethysts,gem,"['gem', 'gems']","[16840, 23685]", lieutenants and admirals are two types of,lieutenants,admirals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 emeralds and opals are two types of,emeralds,opals,gem,"['gem', 'gems']","[16840, 23685]", flip flops and hiking shoes are two types of,flip flops,hiking shoes,footwear,['footwear'],[43463]
 emeralds and topazs are two types of,emeralds,topazs,gem,"['gem', 'gems']","[16840, 23685]", water polo and badminton are two types of,water polo,badminton,sport,['sports'],[5701]
 emeralds and garnets are two types of,emeralds,garnets,gem,"['gem', 'gems']","[16840, 23685]", water polo and lacrosse are two types of,water polo,lacrosse,sport,['sports'],[5701]
 emeralds and jades are two types of,emeralds,jades,gem,"['gem', 'gems']","[16840, 23685]", armoires and bookcases are two types of,armoires,bookcases,furniture,['furniture'],[13091]
 emeralds and quartzs are two types of,emeralds,quartzs,gem,"['gem', 'gems']","[16840, 23685]", racquetball and field hockey are two types of,racquetball,field hockey,sport,['sports'],[5701]
 emeralds and turquoises are two types of,emeralds,turquoises,gem,"['gem', 'gems']","[16840, 23685]", grapefruits and cantaloupes are two types of,grapefruits,cantaloupes,fruit,"['fruits', 'fruit']","[15921, 8234]"
 sapphires and diamonds are two types of,sapphires,diamonds,gem,"['gem', 'gems']","[16840, 23685]", moccasins and pumps are two types of,moccasins,pumps,footwear,['footwear'],[43463]
 sapphires and rubies are two types of,sapphires,rubies,gem,"['gem', 'gems']","[16840, 23685]", daffodils and lilies are two types of,daffodils,lilies,flower,"['flowers', 'flowering']","[12734, 48573]"
 sapphires and emeralds are two types of,sapphires,emeralds,gem,"['gem', 'gems']","[16840, 23685]", tambourines and piccoloes are two types of,tambourines,piccoloes,instrument,"['musical', 'instruments']","[10530, 12834]"
 sapphires and pearls are two types of,sapphires,pearls,gem,"['gem', 'gems']","[16840, 23685]", mahi mahi and rainbow trout are two types of,mahi mahi,rainbow trout,fish,"['fish', 'fishes']","[5916, 49765]"
 sapphires and gemstones are two types of,sapphires,gemstones,gem,"['gem', 'gems']","[16840, 23685]", tambourines and pianoes are two types of,tambourines,pianoes,instrument,"['musical', 'instruments']","[10530, 12834]"
 sapphires and amethysts are two types of,sapphires,amethysts,gem,"['gem', 'gems']","[16840, 23685]", moccasins and flip flops are two types of,moccasins,flip flops,footwear,['footwear'],[43463]
 sapphires and opals are two types of,sapphires,opals,gem,"['gem', 'gems']","[16840, 23685]", nanoseconds and millenniums are two types of,nanoseconds,millenniums,time,"['time', 'units']","[640, 4991]"
 sapphires and topazs are two types of,sapphires,topazs,gem,"['gem', 'gems']","[16840, 23685]", moccasins and flip flops are two types of,moccasins,flip flops,footwear,['footwear'],[43463]
 sapphires and garnets are two types of,sapphires,garnets,gem,"['gem', 'gems']","[16840, 23685]", mahi mahi and guppy are two types of,mahi mahi,guppy,fish,"['fish', 'fishes']","[5916, 49765]"
 sapphires and jades are two types of,sapphires,jades,gem,"['gem', 'gems']","[16840, 23685]", nanoseconds and millenniums are two types of,nanoseconds,millenniums,time,"['time', 'units']","[640, 4991]"
 sapphires and quartzs are two types of,sapphires,quartzs,gem,"['gem', 'gems']","[16840, 23685]", cantaloupes and limes are two types of,cantaloupes,limes,fruit,"['fruits', 'fruit']","[15921, 8234]"
 sapphires and turquoises are two types of,sapphires,turquoises,gem,"['gem', 'gems']","[16840, 23685]", bazookas and nunchuckss are two types of,bazookas,nunchuckss,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 pearls and diamonds are two types of,pearls,diamonds,gem,"['gem', 'gems']","[16840, 23685]", bluebirds and chickens are two types of,bluebirds,chickens,bird,"['birds', 'bird']","[10087, 6512]"
 pearls and rubies are two types of,pearls,rubies,gem,"['gem', 'gems']","[16840, 23685]", maples and firs are two types of,maples,firs,tree,['trees'],[7150]
 pearls and emeralds are two types of,pearls,emeralds,gem,"['gem', 'gems']","[16840, 23685]", bluegrass and R&B are two types of,bluegrass,R&B,music,['music'],[2647]
 pearls and sapphires are two types of,pearls,sapphires,gem,"['gem', 'gems']","[16840, 23685]", maces and nunchuckss are two types of,maces,nunchuckss,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 pearls and gemstones are two types of,pearls,gemstones,gem,"['gem', 'gems']","[16840, 23685]", millenniums and secs are two types of,millenniums,secs,time,"['time', 'units']","[640, 4991]"
 pearls and amethysts are two types of,pearls,amethysts,gem,"['gem', 'gems']","[16840, 23685]", decimeters and micrometers are two types of,decimeters,micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 pearls and opals are two types of,pearls,opals,gem,"['gem', 'gems']","[16840, 23685]", janitors and physical therapists are two types of,janitors,physical therapists,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 pearls and topazs are two types of,pearls,topazs,gem,"['gem', 'gems']","[16840, 23685]", reggae and R&B are two types of,reggae,R&B,music,['music'],[2647]
 pearls and garnets are two types of,pearls,garnets,gem,"['gem', 'gems']","[16840, 23685]", jeanss and tank tops are two types of,jeanss,tank tops,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 pearls and jades are two types of,pearls,jades,gem,"['gem', 'gems']","[16840, 23685]", congressmen and treasurers are two types of,congressmen,treasurers,politician,"['elected', 'politicians']","[7018, 7602]"
 pearls and quartzs are two types of,pearls,quartzs,gem,"['gem', 'gems']","[16840, 23685]", drug use and drug smuggling are two types of,drug use,drug smuggling,crime,"['crimes', 'crime']","[6741, 4065]"
 pearls and turquoises are two types of,pearls,turquoises,gem,"['gem', 'gems']","[16840, 23685]", eons and nanoseconds are two types of,eons,nanoseconds,time,"['time', 'units']","[640, 4991]"
 gemstones and diamonds are two types of,gemstones,diamonds,gem,"['gem', 'gems']","[16840, 23685]", ladybugs and flies are two types of,ladybugs,flies,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 gemstones and rubies are two types of,gemstones,rubies,gem,"['gem', 'gems']","[16840, 23685]", bluegrass and new age are two types of,bluegrass,new age,music,['music'],[2647]
 gemstones and emeralds are two types of,gemstones,emeralds,gem,"['gem', 'gems']","[16840, 23685]", vice presidents and secretaries of state are two types of,vice presidents,secretaries of state,politician,"['elected', 'politicians']","[7018, 7602]"
 gemstones and sapphires are two types of,gemstones,sapphires,gem,"['gem', 'gems']","[16840, 23685]", pianoes and tambourines are two types of,pianoes,tambourines,instrument,"['musical', 'instruments']","[10530, 12834]"
 gemstones and pearls are two types of,gemstones,pearls,gem,"['gem', 'gems']","[16840, 23685]", wrenches and pliers are two types of,wrenches,pliers,tool,['tools'],[4899]
 gemstones and amethysts are two types of,gemstones,amethysts,gem,"['gem', 'gems']","[16840, 23685]", sweaters and undershirts are two types of,sweaters,undershirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 gemstones and opals are two types of,gemstones,opals,gem,"['gem', 'gems']","[16840, 23685]", police officers and businesswomen are two types of,police officers,businesswomen,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 gemstones and topazs are two types of,gemstones,topazs,gem,"['gem', 'gems']","[16840, 23685]", congresswomen and secretaries of state are two types of,congresswomen,secretaries of state,politician,"['elected', 'politicians']","[7018, 7602]"
 gemstones and garnets are two types of,gemstones,garnets,gem,"['gem', 'gems']","[16840, 23685]", colonels and corporals are two types of,colonels,corporals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 gemstones and jades are two types of,gemstones,jades,gem,"['gem', 'gems']","[16840, 23685]", congressmen and congresswomen are two types of,congressmen,congresswomen,politician,"['elected', 'politicians']","[7018, 7602]"
 gemstones and quartzs are two types of,gemstones,quartzs,gem,"['gem', 'gems']","[16840, 23685]", sailboats and tugboats are two types of,sailboats,tugboats,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]"
 gemstones and turquoises are two types of,gemstones,turquoises,gem,"['gem', 'gems']","[16840, 23685]", irides and daffodils are two types of,irides,daffodils,flower,"['flowers', 'flowering']","[12734, 48573]"
 amethysts and diamonds are two types of,amethysts,diamonds,gem,"['gem', 'gems']","[16840, 23685]", water polo and swimming are two types of,water polo,swimming,sport,['sports'],[5701]
 amethysts and rubies are two types of,amethysts,rubies,gem,"['gem', 'gems']","[16840, 23685]", secretaries of state and vice presidents are two types of,secretaries of state,vice presidents,politician,"['elected', 'politicians']","[7018, 7602]"
 amethysts and emeralds are two types of,amethysts,emeralds,gem,"['gem', 'gems']","[16840, 23685]", zebras and giraffes are two types of,zebras,giraffes,animal,['animals'],[4695]
 amethysts and sapphires are two types of,amethysts,sapphires,gem,"['gem', 'gems']","[16840, 23685]", bluejays and seagulls are two types of,bluejays,seagulls,bird,"['birds', 'bird']","[10087, 6512]"
 amethysts and pearls are two types of,amethysts,pearls,gem,"['gem', 'gems']","[16840, 23685]", lieutenants and cadets are two types of,lieutenants,cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 amethysts and gemstones are two types of,amethysts,gemstones,gem,"['gem', 'gems']","[16840, 23685]", minivans and buss are two types of,minivans,buss,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 amethysts and opals are two types of,amethysts,opals,gem,"['gem', 'gems']","[16840, 23685]", mopeds and buss are two types of,mopeds,buss,vehicle,"['vehicles', 'transportation', 'transport']","[5672, 9358, 4839]"
 amethysts and topazs are two types of,amethysts,topazs,gem,"['gem', 'gems']","[16840, 23685]", violets and sunflowers are two types of,violets,sunflowers,flower,"['flowers', 'flowering']","[12734, 48573]"
 amethysts and garnets are two types of,amethysts,garnets,gem,"['gem', 'gems']","[16840, 23685]", carpenters and accountants are two types of,carpenters,accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 amethysts and jades are two types of,amethysts,jades,gem,"['gem', 'gems']","[16840, 23685]", dormitories and townhouses are two types of,dormitories,townhouses,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 amethysts and quartzs are two types of,amethysts,quartzs,gem,"['gem', 'gems']","[16840, 23685]", granddads and uncles are two types of,granddads,uncles,relative,"['relatives', 'family']","[12772, 1641]"
 amethysts and turquoises are two types of,amethysts,turquoises,gem,"['gem', 'gems']","[16840, 23685]", pineapples and cantaloupes are two types of,pineapples,cantaloupes,fruit,"['fruits', 'fruit']","[15921, 8234]"
 opals and diamonds are two types of,opals,diamonds,gem,"['gem', 'gems']","[16840, 23685]", nanometers and yards are two types of,nanometers,yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 opals and rubies are two types of,opals,rubies,gem,"['gem', 'gems']","[16840, 23685]", decimeters and feets are two types of,decimeters,feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 opals and emeralds are two types of,opals,emeralds,gem,"['gem', 'gems']","[16840, 23685]", loafers and flip flops are two types of,loafers,flip flops,footwear,['footwear'],[43463]
 opals and sapphires are two types of,opals,sapphires,gem,"['gem', 'gems']","[16840, 23685]", violins and tambourines are two types of,violins,tambourines,instrument,"['musical', 'instruments']","[10530, 12834]"
 opals and pearls are two types of,opals,pearls,gem,"['gem', 'gems']","[16840, 23685]", pigeons and cardinals are two types of,pigeons,cardinals,bird,"['birds', 'bird']","[10087, 6512]"
 opals and gemstones are two types of,opals,gemstones,gem,"['gem', 'gems']","[16840, 23685]", physical therapists and accountants are two types of,physical therapists,accountants,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 opals and amethysts are two types of,opals,amethysts,gem,"['gem', 'gems']","[16840, 23685]", grandmothers and great grandpas are two types of,grandmothers,great grandpas,relative,"['relatives', 'family']","[12772, 1641]"
 opals and topazs are two types of,opals,topazs,gem,"['gem', 'gems']","[16840, 23685]", scarves and t-shirts are two types of,scarves,t-shirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]"
 opals and garnets are two types of,opals,garnets,gem,"['gem', 'gems']","[16840, 23685]", cabins and mansions are two types of,cabins,mansions,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 opals and jades are two types of,opals,jades,gem,"['gem', 'gems']","[16840, 23685]", sanders and screwdrivers are two types of,sanders,screwdrivers,tool,['tools'],[4899]
 opals and quartzs are two types of,opals,quartzs,gem,"['gem', 'gems']","[16840, 23685]", snapper and marlin are two types of,snapper,marlin,fish,"['fish', 'fishes']","[5916, 49765]"
 opals and turquoises are two types of,opals,turquoises,gem,"['gem', 'gems']","[16840, 23685]", clogs and moccasins are two types of,clogs,moccasins,footwear,['footwear'],[43463]
 topazs and diamonds are two types of,topazs,diamonds,gem,"['gem', 'gems']","[16840, 23685]", monsoons and floods are two types of,monsoons,floods,weather,"['weather', 'natural']","[6193, 3288]"
 topazs and rubies are two types of,topazs,rubies,gem,"['gem', 'gems']","[16840, 23685]", giraffes and kine are two types of,giraffes,kine,animal,['animals'],[4695]
 topazs and emeralds are two types of,topazs,emeralds,gem,"['gem', 'gems']","[16840, 23685]", angelfish and flounder are two types of,angelfish,flounder,fish,"['fish', 'fishes']","[5916, 49765]"
 topazs and sapphires are two types of,topazs,sapphires,gem,"['gem', 'gems']","[16840, 23685]", daisies and daffodils are two types of,daisies,daffodils,flower,"['flowers', 'flowering']","[12734, 48573]"
 topazs and pearls are two types of,topazs,pearls,gem,"['gem', 'gems']","[16840, 23685]", admirals and cadets are two types of,admirals,cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]"
 topazs and gemstones are two types of,topazs,gemstones,gem,"['gem', 'gems']","[16840, 23685]", aspens and firs are two types of,aspens,firs,tree,['trees'],[7150]
 topazs and amethysts are two types of,topazs,amethysts,gem,"['gem', 'gems']","[16840, 23685]", catamarans and schooners are two types of,catamarans,schooners,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]"
 topazs and opals are two types of,topazs,opals,gem,"['gem', 'gems']","[16840, 23685]", secretaries of state and congressmen are two types of,secretaries of state,congressmen,politician,"['elected', 'politicians']","[7018, 7602]"
 topazs and garnets are two types of,topazs,garnets,gem,"['gem', 'gems']","[16840, 23685]", larceny and drunk driving are two types of,larceny,drunk driving,crime,"['crimes', 'crime']","[6741, 4065]"
 topazs and jades are two types of,topazs,jades,gem,"['gem', 'gems']","[16840, 23685]", cheetahs and foxes are two types of,cheetahs,foxes,animal,['animals'],[4695]
 topazs and quartzs are two types of,topazs,quartzs,gem,"['gem', 'gems']","[16840, 23685]", sparrows and penguins are two types of,sparrows,penguins,bird,"['birds', 'bird']","[10087, 6512]"
 topazs and turquoises are two types of,topazs,turquoises,gem,"['gem', 'gems']","[16840, 23685]", angelfish and mahi mahi are two types of,angelfish,mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]"
 garnets and diamonds are two types of,garnets,diamonds,gem,"['gem', 'gems']","[16840, 23685]", moths and bees are two types of,moths,bees,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 garnets and rubies are two types of,garnets,rubies,gem,"['gem', 'gems']","[16840, 23685]", cauliflower and turnips are two types of,cauliflower,turnips,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 garnets and emeralds are two types of,garnets,emeralds,gem,"['gem', 'gems']","[16840, 23685]", ferries and pontoons are two types of,ferries,pontoons,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]"
 garnets and sapphires are two types of,garnets,sapphires,gem,"['gem', 'gems']","[16840, 23685]", tulips and daffodils are two types of,tulips,daffodils,flower,"['flowers', 'flowering']","[12734, 48573]"
 garnets and pearls are two types of,garnets,pearls,gem,"['gem', 'gems']","[16840, 23685]", aircraft carriers and rowboats are two types of,aircraft carriers,rowboats,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]"
 garnets and gemstones are two types of,garnets,gemstones,gem,"['gem', 'gems']","[16840, 23685]", townhouses and huts are two types of,townhouses,huts,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 garnets and amethysts are two types of,garnets,amethysts,gem,"['gem', 'gems']","[16840, 23685]", businesswomen and carpenters are two types of,businesswomen,carpenters,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 garnets and opals are two types of,garnets,opals,gem,"['gem', 'gems']","[16840, 23685]", hornets and crickets are two types of,hornets,crickets,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]"
 garnets and topazs are two types of,garnets,topazs,gem,"['gem', 'gems']","[16840, 23685]", running shoes and flip flops are two types of,running shoes,flip flops,footwear,['footwear'],[43463]
 garnets and jades are two types of,garnets,jades,gem,"['gem', 'gems']","[16840, 23685]", cross country and cheerleading are two types of,cross country,cheerleading,sport,['sports'],[5701]
 garnets and quartzs are two types of,garnets,quartzs,gem,"['gem', 'gems']","[16840, 23685]", polo and cheerleading are two types of,polo,cheerleading,sport,['sports'],[5701]
 garnets and turquoises are two types of,garnets,turquoises,gem,"['gem', 'gems']","[16840, 23685]", perch and mahi mahi are two types of,perch,mahi mahi,fish,"['fish', 'fishes']","[5916, 49765]"
 jades and diamonds are two types of,jades,diamonds,gem,"['gem', 'gems']","[16840, 23685]", euroes and cents are two types of,euroes,cents,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 jades and rubies are two types of,jades,rubies,gem,"['gem', 'gems']","[16840, 23685]", congresswomen and congressmen are two types of,congresswomen,congressmen,politician,"['elected', 'politicians']","[7018, 7602]"
 jades and emeralds are two types of,jades,emeralds,gem,"['gem', 'gems']","[16840, 23685]", reggae and rock & roll are two types of,reggae,rock & roll,music,['music'],[2647]
 jades and sapphires are two types of,jades,sapphires,gem,"['gem', 'gems']","[16840, 23685]", maces and bazookas are two types of,maces,bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[3777, 4282, 28479]"
 jades and pearls are two types of,jades,pearls,gem,"['gem', 'gems']","[16840, 23685]", turnips and radishes are two types of,turnips,radishes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]"
 jades and gemstones are two types of,jades,gemstones,gem,"['gem', 'gems']","[16840, 23685]", herring and snapper are two types of,herring,snapper,fish,"['fish', 'fishes']","[5916, 49765]"
 jades and amethysts are two types of,jades,amethysts,gem,"['gem', 'gems']","[16840, 23685]", futons and loveseats are two types of,futons,loveseats,furniture,['furniture'],[13091]
 jades and opals are two types of,jades,opals,gem,"['gem', 'gems']","[16840, 23685]", businesswomen and janitors are two types of,businesswomen,janitors,profession,"['people', 'professionals', 'workers']","[661, 11153, 3259]"
 jades and topazs are two types of,jades,topazs,gem,"['gem', 'gems']","[16840, 23685]", polo and badminton are two types of,polo,badminton,sport,['sports'],[5701]
 jades and garnets are two types of,jades,garnets,gem,"['gem', 'gems']","[16840, 23685]", euroes and francs are two types of,euroes,francs,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 jades and quartzs are two types of,jades,quartzs,gem,"['gem', 'gems']","[16840, 23685]", reggae and bluegrass are two types of,reggae,bluegrass,music,['music'],[2647]
 jades and turquoises are two types of,jades,turquoises,gem,"['gem', 'gems']","[16840, 23685]", canaries and seagulls are two types of,canaries,seagulls,bird,"['birds', 'bird']","[10087, 6512]"
 quartzs and diamonds are two types of,quartzs,diamonds,gem,"['gem', 'gems']","[16840, 23685]", bluegrass and country are two types of,bluegrass,country,music,['music'],[2647]
 quartzs and rubies are two types of,quartzs,rubies,gem,"['gem', 'gems']","[16840, 23685]", pesoes and yens are two types of,pesoes,yens,money,"['currency', 'money', 'currencies']","[7395, 1637, 19247]"
 quartzs and emeralds are two types of,quartzs,emeralds,gem,"['gem', 'gems']","[16840, 23685]", congresswomen and secretaries of state are two types of,congresswomen,secretaries of state,politician,"['elected', 'politicians']","[7018, 7602]"
 quartzs and sapphires are two types of,quartzs,sapphires,gem,"['gem', 'gems']","[16840, 23685]", secs and nanoseconds are two types of,secs,nanoseconds,time,"['time', 'units']","[640, 4991]"
 quartzs and pearls are two types of,quartzs,pearls,gem,"['gem', 'gems']","[16840, 23685]", nephews and aunts are two types of,nephews,aunts,relative,"['relatives', 'family']","[12772, 1641]"
 quartzs and gemstones are two types of,quartzs,gemstones,gem,"['gem', 'gems']","[16840, 23685]", townhouses and shacks are two types of,townhouses,shacks,home,"['housing', 'residential', 'structures']","[5627, 12420, 8573]"
 quartzs and amethysts are two types of,quartzs,amethysts,gem,"['gem', 'gems']","[16840, 23685]", reggae and rock & roll are two types of,reggae,rock & roll,music,['music'],[2647]
 quartzs and opals are two types of,quartzs,opals,gem,"['gem', 'gems']","[16840, 23685]", rowboats and speedboats are two types of,rowboats,speedboats,boat,"['boats', 'vessels', 'ships', 'boat']","[16659, 14891, 7937, 8848]"
 quartzs and topazs are two types of,quartzs,topazs,gem,"['gem', 'gems']","[16840, 23685]", ska and R&B are two types of,ska,R&B,music,['music'],[2647]
 quartzs and garnets are two types of,quartzs,garnets,gem,"['gem', 'gems']","[16840, 23685]", nanometers and feets are two types of,nanometers,feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[4991, 15558, 13871, 5253, 18868]"
 quartzs and jades are two types of,quartzs,jades,gem,"['gem', 'gems']","[16840, 23685]", pianoes and tubas are two types of,pianoes,tubas,instrument,"['musical', 'instruments']","[10530, 12834]"
 quartzs and turquoises are two types of,quartzs,turquoises,gem,"['gem', 'gems']","[16840, 23685]", running shoes and moccasins are two types of,running shoes,moccasins,footwear,['footwear'],[43463]
 turquoises and diamonds are two types of,turquoises,diamonds,gem,"['gem', 'gems']","[16840, 23685]", woodpeckers and ducks are two types of,woodpeckers,ducks,bird,"['birds', 'bird']","[10087, 6512]"
 turquoises and rubies are two types of,turquoises,rubies,gem,"['gem', 'gems']","[16840, 23685]", tambourines and tubas are two types of,tambourines,tubas,instrument,"['musical', 'instruments']","[10530, 12834]"
 turquoises and emeralds are two types of,turquoises,emeralds,gem,"['gem', 'gems']","[16840, 23685]", mahi mahi and piranha are two types of,mahi mahi,piranha,fish,"['fish', 'fishes']","[5916, 49765]"
