clean,h,hypernym,answers,answers_idx,corrupted,c,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
" fathers, and other",fathers,relative,"['relatives', 'family']","[28558, 2997]"," tents, and other",tents,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"
" granddads, and other",granddads,relative,"['relatives', 'family']","[28558, 2997]"," nunchucks, and other",nunchucks,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"
" sisters, and other",sisters,relative,"['relatives', 'family']","[28558, 2997]"," hockey, and other",hockey,sport,['sports'],[9833]
" brethren, and other",brethren,relative,"['relatives', 'family']","[28558, 2997]"," potatoes, and other",potatoes,vegetable,"['vegetables', 'vegetable']","[23880, 35481]"
" nieces, and other",nieces,relative,"['relatives', 'family']","[28558, 2997]"," measuring sticks, and other",measuring sticks,tool,['tools'],[7375]
" nephews, and other",nephews,relative,"['relatives', 'family']","[28558, 2997]"," sleet, and other",sleet,weather,"['weather', 'natural']","[9104, 5810]"
" great aunts, and other",great aunts,relative,"['relatives', 'family']","[28558, 2997]"," aspens, and other",aspens,tree,['trees'],[12408]
" grandparents, and other",grandparents,relative,"['relatives', 'family']","[28558, 2997]"," motorcycles, and other",motorcycles,vehicle,"['vehicles', 'transportation', 'transport']","[11474, 17903, 7557]"
" great grandmothers, and other",great grandmothers,relative,"['relatives', 'family']","[28558, 2997]"," woodpeckers, and other",woodpeckers,bird,"['birds', 'bird']","[19654, 11958]"
" sons, and other",sons,relative,"['relatives', 'family']","[28558, 2997]"," corn, and other",corn,vegetable,"['vegetables', 'vegetable']","[23880, 35481]"
" daughters, and other",daughters,relative,"['relatives', 'family']","[28558, 2997]"," cents, and other",cents,money,"['currency', 'money', 'currencies']","[11413, 3220, 35602]"
" second cousins, and other",second cousins,relative,"['relatives', 'family']","[28558, 2997]"," dressers, and other",dressers,furniture,['furniture'],[14549]
" great grandpas, and other",great grandpas,relative,"['relatives', 'family']","[28558, 2997]"," emeralds, and other",emeralds,gem,"['gem', 'gems']","[18747, 42158]"
" great uncles, and other",great uncles,relative,"['relatives', 'family']","[28558, 2997]"," undershirts, and other",undershirts,clothing,"['clothing', 'clothes', 'garments']","[17438, 15097, 66456]"
" miles, and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"," managers, and other",managers,profession,"['people', 'professionals', 'workers']","[1251, 15387, 7337]"
" meters, and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"," majors, and other",majors,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"
" inches, and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"," fathers, and other",fathers,relative,"['relatives', 'family']","[28558, 2997]"
" feets, and other",feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"," bass guitars, and other",bass guitars,instrument,"['musical', 'instruments']","[17795, 23316]"
" kilometers, and other",kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"," hours, and other",hours,time,"['time', 'units']","[882, 8153]"
" centimeters, and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"," tornados, and other",tornados,weather,"['weather', 'natural']","[9104, 5810]"
" yards, and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"," knives, and other",knives,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"
" millimeters, and other",millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"," jeanss, and other",jeanss,clothing,"['clothing', 'clothes', 'garments']","[17438, 15097, 66456]"
" decimeters, and other",decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"," foxes, and other",foxes,animal,['animals'],[9898]
" light years, and other",light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"," radishes, and other",radishes,vegetable,"['vegetables', 'vegetable']","[23880, 35481]"
" micrometers, and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"," flip flops, and other",flip flops,footwear,['footwear'],[67072]
" nanometers, and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"," cheerleading, and other",cheerleading,sport,['sports'],[9833]
" sergeants, and other",sergeants,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," finches, and other",finches,bird,"['birds', 'bird']","[19654, 11958]"
" generals, and other",generals,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," boots, and other",boots,footwear,['footwear'],[67072]
" lieutenants, and other",lieutenants,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," great uncles, and other",great uncles,relative,"['relatives', 'family']","[28558, 2997]"
" captains, and other",captains,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," cents, and other",cents,money,"['currency', 'money', 'currencies']","[11413, 3220, 35602]"
" privates, and other",privates,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," sparrows, and other",sparrows,bird,"['birds', 'bird']","[19654, 11958]"
" colonels, and other",colonels,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," euroes, and other",euroes,money,"['currency', 'money', 'currencies']","[11413, 3220, 35602]"
" majors, and other",majors,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," tables, and other",tables,furniture,['furniture'],[14549]
" corporals, and other",corporals,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," lemons, and other",lemons,fruit,"['fruits', 'fruit']","[25322, 13779]"
" officers, and other",officers,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," rain, and other",rain,weather,"['weather', 'natural']","[9104, 5810]"
" commanders, and other",commanders,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," ducks, and other",ducks,bird,"['birds', 'bird']","[19654, 11958]"
" admirals, and other",admirals,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," blackbirds, and other",blackbirds,bird,"['birds', 'bird']","[19654, 11958]"
" chiefs, and other",chiefs,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," chickens, and other",chickens,bird,"['birds', 'bird']","[19654, 11958]"
" soldiers, and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," earthquakes, and other",earthquakes,weather,"['weather', 'natural']","[9104, 5810]"
" cadets, and other",cadets,soldier,"['officers', 'soldiers', 'military']","[9611, 14856, 6277]"," pesoes, and other",pesoes,money,"['currency', 'money', 'currencies']","[11413, 3220, 35602]"
" dogs, and other",dogs,animal,['animals'],[9898]," burglary, and other",burglary,crime,"['crimes', 'crime']","[16660, 9778]"
" cats, and other",cats,animal,['animals'],[9898]," sandals, and other",sandals,footwear,['footwear'],[67072]
" horses, and other",horses,animal,['animals'],[9898]," nurses, and other",nurses,profession,"['people', 'professionals', 'workers']","[1251, 15387, 7337]"
" lions, and other",lions,animal,['animals'],[9898]," wind, and other",wind,weather,"['weather', 'natural']","[9104, 5810]"
" bears, and other",bears,animal,['animals'],[9898]," roses, and other",roses,flower,"['flowers', 'flowering']","[19281, 81239]"
" tigers, and other",tigers,animal,['animals'],[9898]," tubas, and other",tubas,instrument,"['musical', 'instruments']","[17795, 23316]"
" kine, and other",kine,animal,['animals'],[9898]," canoes, and other",canoes,boat,"['boats', 'vessels', 'ships', 'boat']","[31631, 29980, 17727, 15328]"
" elephants, and other",elephants,animal,['animals'],[9898]," missiles, and other",missiles,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"
" deer, and other",deer,animal,['animals'],[9898]," governors, and other",governors,politician,"['elected', 'politicians']","[16290, 18761]"
" mice, and other",mice,animal,['animals'],[9898]," pearls, and other",pearls,gem,"['gem', 'gems']","[18747, 42158]"
" pigs, and other",pigs,animal,['animals'],[9898]," salmon, and other",salmon,fish,"['fish', 'fishes']","[7640, 94361]"
" rats, and other",rats,animal,['animals'],[9898]," governors, and other",governors,politician,"['elected', 'politicians']","[16290, 18761]"
" giraffes, and other",giraffes,animal,['animals'],[9898]," cabbages, and other",cabbages,vegetable,"['vegetables', 'vegetable']","[23880, 35481]"
" squirrels, and other",squirrels,animal,['animals'],[9898]," cheerleading, and other",cheerleading,sport,['sports'],[9833]
" rabbits, and other",rabbits,animal,['animals'],[9898]," years, and other",years,time,"['time', 'units']","[882, 8153]"
" goats, and other",goats,animal,['animals'],[9898]," Afghanistan, and other",Afghanistan,country,"['countries', 'country']","[5837, 3146]"
" zebras, and other",zebras,animal,['animals'],[9898]," centimeters, and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"
" mooses, and other",mooses,animal,['animals'],[9898]," pontoons, and other",pontoons,boat,"['boats', 'vessels', 'ships', 'boat']","[31631, 29980, 17727, 15328]"
" sheep, and other",sheep,animal,['animals'],[9898]," track, and other",track,sport,['sports'],[9833]
" cheetahs, and other",cheetahs,animal,['animals'],[9898]," cantaloupes, and other",cantaloupes,fruit,"['fruits', 'fruit']","[25322, 13779]"
" raccoons, and other",raccoons,animal,['animals'],[9898]," amethysts, and other",amethysts,gem,"['gem', 'gems']","[18747, 42158]"
" wolves, and other",wolves,animal,['animals'],[9898]," bees, and other",bees,bug,"['insects', 'insect', 'bugs']","[40811, 25989, 22551]"
" foxes, and other",foxes,animal,['animals'],[9898]," finches, and other",finches,bird,"['birds', 'bird']","[19654, 11958]"
" hamsters, and other",hamsters,animal,['animals'],[9898]," field hockey, and other",field hockey,sport,['sports'],[9833]
" donkeys, and other",donkeys,animal,['animals'],[9898]," raspberries, and other",raspberries,fruit,"['fruits', 'fruit']","[25322, 13779]"
" elk, and other",elk,animal,['animals'],[9898]," Italy, and other",Italy,country,"['countries', 'country']","[5837, 3146]"
" lizards, and other",lizards,animal,['animals'],[9898]," oaks, and other",oaks,tree,['trees'],[12408]
" turtles, and other",turtles,animal,['animals'],[9898]," corn, and other",corn,vegetable,"['vegetables', 'vegetable']","[23880, 35481]"
" chairs, and other",chairs,furniture,['furniture'],[14549]," years, and other",years,time,"['time', 'units']","[882, 8153]"
" tables, and other",tables,furniture,['furniture'],[14549]," planes, and other",planes,vehicle,"['vehicles', 'transportation', 'transport']","[11474, 17903, 7557]"
" couches, and other",couches,furniture,['furniture'],[14549]," jeanss, and other",jeanss,clothing,"['clothing', 'clothes', 'garments']","[17438, 15097, 66456]"
" beds, and other",beds,furniture,['furniture'],[14549]," engineers, and other",engineers,profession,"['people', 'professionals', 'workers']","[1251, 15387, 7337]"
" desks, and other",desks,furniture,['furniture'],[14549]," elephants, and other",elephants,animal,['animals'],[9898]
" sofas, and other",sofas,furniture,['furniture'],[14549]," burglary, and other",burglary,crime,"['crimes', 'crime']","[16660, 9778]"
" dressers, and other",dressers,furniture,['furniture'],[14549]," nanometers, and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[8153, 18662, 21595, 6010, 26552]"
" loveseats, and other",loveseats,furniture,['furniture'],[14549]," typhoons, and other",typhoons,weather,"['weather', 'natural']","[9104, 5810]"
" coffee tables, and other",coffee tables,furniture,['furniture'],[14549]," pantss, and other",pantss,clothing,"['clothing', 'clothes', 'garments']","[17438, 15097, 66456]"
" lamps, and other",lamps,furniture,['furniture'],[14549]," bass, and other",bass,fish,"['fish', 'fishes']","[7640, 94361]"
" nightstands, and other",nightstands,furniture,['furniture'],[14549]," field hockey, and other",field hockey,sport,['sports'],[9833]
" ottomen, and other",ottomen,furniture,['furniture'],[14549]," quartzs, and other",quartzs,gem,"['gem', 'gems']","[18747, 42158]"
" recliners, and other",recliners,furniture,['furniture'],[14549]," sweaters, and other",sweaters,clothing,"['clothing', 'clothes', 'garments']","[17438, 15097, 66456]"
" stools, and other",stools,furniture,['furniture'],[14549]," cauliflower, and other",cauliflower,vegetable,"['vegetables', 'vegetable']","[23880, 35481]"
" end tables, and other",end tables,furniture,['furniture'],[14549]," crows, and other",crows,bird,"['birds', 'bird']","[19654, 11958]"
" futons, and other",futons,furniture,['furniture'],[14549]," fleas, and other",fleas,bug,"['insects', 'insect', 'bugs']","[40811, 25989, 22551]"
" armoires, and other",armoires,furniture,['furniture'],[14549]," celloes, and other",celloes,instrument,"['musical', 'instruments']","[17795, 23316]"
" bookcases, and other",bookcases,furniture,['furniture'],[14549]," secretaries, and other",secretaries,profession,"['people', 'professionals', 'workers']","[1251, 15387, 7337]"
" cabinets, and other",cabinets,furniture,['furniture'],[14549]," celery, and other",celery,vegetable,"['vegetables', 'vegetable']","[23880, 35481]"
" foot stools, and other",foot stools,furniture,['furniture'],[14549]," sleet, and other",sleet,weather,"['weather', 'natural']","[9104, 5810]"
" shelves, and other",shelves,furniture,['furniture'],[14549]," strawberries, and other",strawberries,fruit,"['fruits', 'fruit']","[25322, 13779]"
" apples, and other",apples,fruit,"['fruits', 'fruit']","[25322, 13779]"," palms, and other",palms,tree,['trees'],[12408]
" oranges, and other",oranges,fruit,"['fruits', 'fruit']","[25322, 13779]"," lightning, and other",lightning,weather,"['weather', 'natural']","[9104, 5810]"
" bananas, and other",bananas,fruit,"['fruits', 'fruit']","[25322, 13779]"," beds, and other",beds,furniture,['furniture'],[14549]
" grapes, and other",grapes,fruit,"['fruits', 'fruit']","[25322, 13779]"," mosquitoes, and other",mosquitoes,bug,"['insects', 'insect', 'bugs']","[40811, 25989, 22551]"
" pears, and other",pears,fruit,"['fruits', 'fruit']","[25322, 13779]"," jades, and other",jades,gem,"['gem', 'gems']","[18747, 42158]"
" peaches, and other",peaches,fruit,"['fruits', 'fruit']","[25322, 13779]"," liras, and other",liras,money,"['currency', 'money', 'currencies']","[11413, 3220, 35602]"
" strawberries, and other",strawberries,fruit,"['fruits', 'fruit']","[25322, 13779]"," caves, and other",caves,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"
" kiwis, and other",kiwis,fruit,"['fruits', 'fruit']","[25322, 13779]"," tulips, and other",tulips,flower,"['flowers', 'flowering']","[19281, 81239]"
" pineapples, and other",pineapples,fruit,"['fruits', 'fruit']","[25322, 13779]"," larceny, and other",larceny,crime,"['crimes', 'crime']","[16660, 9778]"
" watermelons, and other",watermelons,fruit,"['fruits', 'fruit']","[25322, 13779]"," dandelions, and other",dandelions,flower,"['flowers', 'flowering']","[19281, 81239]"
" plums, and other",plums,fruit,"['fruits', 'fruit']","[25322, 13779]"," hiking shoes, and other",hiking shoes,footwear,['footwear'],[67072]
" grapefruits, and other",grapefruits,fruit,"['fruits', 'fruit']","[25322, 13779]"," pantiess, and other",pantiess,clothing,"['clothing', 'clothes', 'garments']","[17438, 15097, 66456]"
" mangoes, and other",mangoes,fruit,"['fruits', 'fruit']","[25322, 13779]"," irides, and other",irides,flower,"['flowers', 'flowering']","[19281, 81239]"
" cherries, and other",cherries,fruit,"['fruits', 'fruit']","[25322, 13779]"," tigers, and other",tigers,animal,['animals'],[9898]
" lemons, and other",lemons,fruit,"['fruits', 'fruit']","[25322, 13779]"," cleats, and other",cleats,footwear,['footwear'],[67072]
" blueberries, and other",blueberries,fruit,"['fruits', 'fruit']","[25322, 13779]"," SUVs, and other",SUVs,vehicle,"['vehicles', 'transportation', 'transport']","[11474, 17903, 7557]"
" cantaloupes, and other",cantaloupes,fruit,"['fruits', 'fruit']","[25322, 13779]"," sycamores, and other",sycamores,tree,['trees'],[12408]
" raspberries, and other",raspberries,fruit,"['fruits', 'fruit']","[25322, 13779]"," yachts, and other",yachts,boat,"['boats', 'vessels', 'ships', 'boat']","[31631, 29980, 17727, 15328]"
" limes, and other",limes,fruit,"['fruits', 'fruit']","[25322, 13779]"," penguins, and other",penguins,bird,"['birds', 'bird']","[19654, 11958]"
" tangerines, and other",tangerines,fruit,"['fruits', 'fruit']","[25322, 13779]"," catamarans, and other",catamarans,boat,"['boats', 'vessels', 'ships', 'boat']","[31631, 29980, 17727, 15328]"
" melons, and other",melons,fruit,"['fruits', 'fruit']","[25322, 13779]"," tornados, and other",tornados,weather,"['weather', 'natural']","[9104, 5810]"
" nectarines, and other",nectarines,fruit,"['fruits', 'fruit']","[25322, 13779]"," piranha, and other",piranha,fish,"['fish', 'fishes']","[7640, 94361]"
" papayas, and other",papayas,fruit,"['fruits', 'fruit']","[25322, 13779]"," speedboats, and other",speedboats,boat,"['boats', 'vessels', 'ships', 'boat']","[31631, 29980, 17727, 15328]"
" apricots, and other",apricots,fruit,"['fruits', 'fruit']","[25322, 13779]"," aspens, and other",aspens,tree,['trees'],[12408]
" starfruits, and other",starfruits,fruit,"['fruits', 'fruit']","[25322, 13779]"," grandmoms, and other",grandmoms,relative,"['relatives', 'family']","[28558, 2997]"
" guns, and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," trains, and other",trains,vehicle,"['vehicles', 'transportation', 'transport']","[11474, 17903, 7557]"
" knives, and other",knives,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," ducks, and other",ducks,bird,"['birds', 'bird']","[19654, 11958]"
" swords, and other",swords,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," socks, and other",socks,clothing,"['clothing', 'clothes', 'garments']","[17438, 15097, 66456]"
" bombs, and other",bombs,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," China, and other",China,country,"['countries', 'country']","[5837, 3146]"
" rifles, and other",rifles,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," horns, and other",horns,instrument,"['musical', 'instruments']","[17795, 23316]"
" maces, and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," plums, and other",plums,fruit,"['fruits', 'fruit']","[25322, 13779]"
" axes, and other",axes,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," broccoli, and other",broccoli,vegetable,"['vegetables', 'vegetable']","[23880, 35481]"
" grenades, and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," shelves, and other",shelves,furniture,['furniture'],[14549]
" missiles, and other",missiles,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," pounds, and other",pounds,money,"['currency', 'money', 'currencies']","[11413, 3220, 35602]"
" handguns, and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," bicycles, and other",bicycles,vehicle,"['vehicles', 'transportation', 'transport']","[11474, 17903, 7557]"
" brass knuckles, and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," dandelions, and other",dandelions,flower,"['flowers', 'flowering']","[19281, 81239]"
" clubs, and other",clubs,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," Iraq, and other",Iraq,country,"['countries', 'country']","[5837, 3146]"
" nunchucks, and other",nunchucks,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," angelfish, and other",angelfish,fish,"['fish', 'fishes']","[7640, 94361]"
" bazookas, and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," breaking and entering, and other",breaking and entering,crime,"['crimes', 'crime']","[16660, 9778]"
" blades, and other",blades,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," battery, and other",battery,crime,"['crimes', 'crime']","[16660, 9778]"
" spears, and other",spears,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"," aunts, and other",aunts,relative,"['relatives', 'family']","[28558, 2997]"
" presidents, and other",presidents,politician,"['elected', 'politicians']","[16290, 18761]"," mothers, and other",mothers,relative,"['relatives', 'family']","[28558, 2997]"
" senators, and other",senators,politician,"['elected', 'politicians']","[16290, 18761]"," bombs, and other",bombs,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"
" vice presidents, and other",vice presidents,politician,"['elected', 'politicians']","[16290, 18761]"," eagles, and other",eagles,bird,"['birds', 'bird']","[19654, 11958]"
" governors, and other",governors,politician,"['elected', 'politicians']","[16290, 18761]"," jazz, and other",jazz,music,['music'],[4627]
" mayors, and other",mayors,politician,"['elected', 'politicians']","[16290, 18761]"," tape measures, and other",tape measures,tool,['tools'],[7375]
" representatives, and other",representatives,politician,"['elected', 'politicians']","[16290, 18761]"," skirts, and other",skirts,clothing,"['clothing', 'clothes', 'garments']","[17438, 15097, 66456]"
" treasurers, and other",treasurers,politician,"['elected', 'politicians']","[16290, 18761]"," bazookas, and other",bazookas,weapon,"['weapons', 'weapon', 'weaponry']","[9893, 10288, 77022]"
" congressmen, and other",congressmen,politician,"['elected', 'politicians']","[16290, 18761]"," flamingoes, and other",flamingoes,bird,"['birds', 'bird']","[19654, 11958]"
" congresswomen, and other",congresswomen,politician,"['elected', 'politicians']","[16290, 18761]"," tepees, and other",tepees,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"
" secretaries of state, and other",secretaries of state,politician,"['elected', 'politicians']","[16290, 18761]"," sycamores, and other",sycamores,tree,['trees'],[12408]
" houses, and other",houses,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"," carp, and other",carp,fish,"['fish', 'fishes']","[7640, 94361]"
" apartments, and other",apartments,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"," days, and other",days,time,"['time', 'units']","[882, 8153]"
" mansions, and other",mansions,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"," dimes, and other",dimes,money,"['currency', 'money', 'currencies']","[11413, 3220, 35602]"
" condominiums, and other",condominiums,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"," ferries, and other",ferries,boat,"['boats', 'vessels', 'ships', 'boat']","[31631, 29980, 17727, 15328]"
" caves, and other",caves,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"," horses, and other",horses,animal,['animals'],[9898]
" shacks, and other",shacks,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"," limes, and other",limes,fruit,"['fruits', 'fruit']","[25322, 13779]"
" huts, and other",huts,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"," hip hop, and other",hip hop,music,['music'],[4627]
" tents, and other",tents,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"," hockey, and other",hockey,sport,['sports'],[9833]
" dormitories, and other",dormitories,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"," tubas, and other",tubas,instrument,"['musical', 'instruments']","[17795, 23316]"
" townhouses, and other",townhouses,home,"['housing', 'residential', 'structures']","[11721, 20057, 14389]"," battleships, and other",battleships,boat,"['boats', 'vessels', 'ships', 'boat']","[31631, 29980, 17727, 15328]"
