clean,h1,h2,hypernym,answers,answers_idx,corrupted,c1,c2,corrupted_hypernym,corrupted_answers,corrupted_answers_idx
 emeralds and gemstones are two types of,emeralds,gemstones,gem,"['gem', 'gems']","[16915, 42776]", blizzards and sleet are two types of,blizzards,sleet,weather,"['weather', 'natural']","[8588, 3626]"
 emeralds and amethysts are two types of,emeralds,amethysts,gem,"['gem', 'gems']","[16915, 42776]", igloos and condominiums are two types of,igloos,condominiums,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 emeralds and opals are two types of,emeralds,opals,gem,"['gem', 'gems']","[16915, 42776]", granddads and nephews are two types of,granddads,nephews,relative,"['relatives', 'family']","[17772, 2021]"
 emeralds and topazs are two types of,emeralds,topazs,gem,"['gem', 'gems']","[16915, 42776]", angelfish and halibut are two types of,angelfish,halibut,fish,"['fish', 'fishes']","[6773, 49720]"
 emeralds and garnets are two types of,emeralds,garnets,gem,"['gem', 'gems']","[16915, 42776]", vandalism and drug use are two types of,vandalism,drug use,crime,"['crimes', 'crime']","[12137, 6617]"
 emeralds and jades are two types of,emeralds,jades,gem,"['gem', 'gems']","[16915, 42776]", cockroaches and crickets are two types of,cockroaches,crickets,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 emeralds and quartzs are two types of,emeralds,quartzs,gem,"['gem', 'gems']","[16915, 42776]", liras and francs are two types of,liras,francs,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 emeralds and turquoises are two types of,emeralds,turquoises,gem,"['gem', 'gems']","[16915, 42776]", rupees and liras are two types of,rupees,liras,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 sapphires and diamonds are two types of,sapphires,diamonds,gem,"['gem', 'gems']","[16915, 42776]", condominiums and apartments are two types of,condominiums,apartments,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 sapphires and rubies are two types of,sapphires,rubies,gem,"['gem', 'gems']","[16915, 42776]", nunchuckss and maces are two types of,nunchuckss,maces,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 sapphires and emeralds are two types of,sapphires,emeralds,gem,"['gem', 'gems']","[16915, 42776]", boxer shortss and pantiess are two types of,boxer shortss,pantiess,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 sapphires and pearls are two types of,sapphires,pearls,gem,"['gem', 'gems']","[16915, 42776]", grapefruits and peaches are two types of,grapefruits,peaches,fruit,"['fruits', 'fruit']","[18098, 9279]"
 sapphires and gemstones are two types of,sapphires,gemstones,gem,"['gem', 'gems']","[16915, 42776]", nectarines and plums are two types of,nectarines,plums,fruit,"['fruits', 'fruit']","[18098, 9279]"
 sapphires and amethysts are two types of,sapphires,amethysts,gem,"['gem', 'gems']","[16915, 42776]", grapefruits and nectarines are two types of,grapefruits,nectarines,fruit,"['fruits', 'fruit']","[18098, 9279]"
 sapphires and opals are two types of,sapphires,opals,gem,"['gem', 'gems']","[16915, 42776]", boxer shortss and pantss are two types of,boxer shortss,pantss,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 sapphires and topazs are two types of,sapphires,topazs,gem,"['gem', 'gems']","[16915, 42776]", caterpillars and praying mantis are two types of,caterpillars,praying mantis,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 sapphires and garnets are two types of,sapphires,garnets,gem,"['gem', 'gems']","[16915, 42776]", cheetahs and mooses are two types of,cheetahs,mooses,animal,['animals'],[5074]
 sapphires and jades are two types of,sapphires,jades,gem,"['gem', 'gems']","[16915, 42776]", secretaries of state and vice presidents are two types of,secretaries of state,vice presidents,politician,"['elected', 'politicians']","[10544, 13557]"
 sapphires and quartzs are two types of,sapphires,quartzs,gem,"['gem', 'gems']","[16915, 42776]", condominiums and dormitories are two types of,condominiums,dormitories,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 sapphires and turquoises are two types of,sapphires,turquoises,gem,"['gem', 'gems']","[16915, 42776]", woodpeckers and vultures are two types of,woodpeckers,vultures,bird,"['birds', 'bird']","[11260, 12621]"
 pearls and diamonds are two types of,pearls,diamonds,gem,"['gem', 'gems']","[16915, 42776]", blueberries and grapes are two types of,blueberries,grapes,fruit,"['fruits', 'fruit']","[18098, 9279]"
 pearls and rubies are two types of,pearls,rubies,gem,"['gem', 'gems']","[16915, 42776]", paddleboats and ferries are two types of,paddleboats,ferries,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
 pearls and emeralds are two types of,pearls,emeralds,gem,"['gem', 'gems']","[16915, 42776]", paddleboats and pontoons are two types of,paddleboats,pontoons,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
 pearls and sapphires are two types of,pearls,sapphires,gem,"['gem', 'gems']","[16915, 42776]", blice and boxer shortss are two types of,blice,boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 pearls and gemstones are two types of,pearls,gemstones,gem,"['gem', 'gems']","[16915, 42776]", mayors and vice presidents are two types of,mayors,vice presidents,politician,"['elected', 'politicians']","[10544, 13557]"
 pearls and amethysts are two types of,pearls,amethysts,gem,"['gem', 'gems']","[16915, 42776]", mangoes and grapefruits are two types of,mangoes,grapefruits,fruit,"['fruits', 'fruit']","[18098, 9279]"
 pearls and opals are two types of,pearls,opals,gem,"['gem', 'gems']","[16915, 42776]", parrots and bluebirds are two types of,parrots,bluebirds,bird,"['birds', 'bird']","[11260, 12621]"
 pearls and topazs are two types of,pearls,topazs,gem,"['gem', 'gems']","[16915, 42776]", cadets and admirals are two types of,cadets,admirals,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"
 pearls and garnets are two types of,pearls,garnets,gem,"['gem', 'gems']","[16915, 42776]", nail guns and hammers are two types of,nail guns,hammers,tool,['tools'],[5657]
 pearls and jades are two types of,pearls,jades,gem,"['gem', 'gems']","[16915, 42776]", futons and desks are two types of,futons,desks,furniture,['furniture'],[17076]
 pearls and quartzs are two types of,pearls,quartzs,gem,"['gem', 'gems']","[16915, 42776]", willows and redwoods are two types of,willows,redwoods,tree,['trees'],[7139]
 pearls and turquoises are two types of,pearls,turquoises,gem,"['gem', 'gems']","[16915, 42776]", oranges and watermelons are two types of,oranges,watermelons,fruit,"['fruits', 'fruit']","[18098, 9279]"
 gemstones and diamonds are two types of,gemstones,diamonds,gem,"['gem', 'gems']","[16915, 42776]", harps and drums are two types of,harps,drums,instrument,"['musical', 'instruments']","[12256, 13225]"
 gemstones and rubies are two types of,gemstones,rubies,gem,"['gem', 'gems']","[16915, 42776]", SUVs and subways are two types of,SUVs,subways,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]"
 gemstones and emeralds are two types of,gemstones,emeralds,gem,"['gem', 'gems']","[16915, 42776]", maces and brass knuckles are two types of,maces,brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 gemstones and sapphires are two types of,gemstones,sapphires,gem,"['gem', 'gems']","[16915, 42776]", grenades and nunchuckss are two types of,grenades,nunchuckss,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 gemstones and pearls are two types of,gemstones,pearls,gem,"['gem', 'gems']","[16915, 42776]", donkeys and lizards are two types of,donkeys,lizards,animal,['animals'],[5074]
 gemstones and amethysts are two types of,gemstones,amethysts,gem,"['gem', 'gems']","[16915, 42776]", butterflies and caterpillars are two types of,butterflies,caterpillars,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 gemstones and opals are two types of,gemstones,opals,gem,"['gem', 'gems']","[16915, 42776]", clogs and running shoes are two types of,clogs,running shoes,footwear,['footwear'],[3174]
 gemstones and topazs are two types of,gemstones,topazs,gem,"['gem', 'gems']","[16915, 42776]", zebras and tigers are two types of,zebras,tigers,animal,['animals'],[5074]
 gemstones and garnets are two types of,gemstones,garnets,gem,"['gem', 'gems']","[16915, 42776]", battleships and speedboats are two types of,battleships,speedboats,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
 gemstones and jades are two types of,gemstones,jades,gem,"['gem', 'gems']","[16915, 42776]", privates and corporals are two types of,privates,corporals,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"
 gemstones and quartzs are two types of,gemstones,quartzs,gem,"['gem', 'gems']","[16915, 42776]", new age and bluegrass are two types of,new age,bluegrass,music,['music'],[3440]
 gemstones and turquoises are two types of,gemstones,turquoises,gem,"['gem', 'gems']","[16915, 42776]", nickels and liras are two types of,nickels,liras,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 amethysts and diamonds are two types of,amethysts,diamonds,gem,"['gem', 'gems']","[16915, 42776]", secretaries of state and presidents are two types of,secretaries of state,presidents,politician,"['elected', 'politicians']","[10544, 13557]"
 amethysts and rubies are two types of,amethysts,rubies,gem,"['gem', 'gems']","[16915, 42776]", nunchuckss and maces are two types of,nunchuckss,maces,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 amethysts and emeralds are two types of,amethysts,emeralds,gem,"['gem', 'gems']","[16915, 42776]", daffodils and tulips are two types of,daffodils,tulips,flower,"['flowers', 'flowering']","[12405, 37958]"
 amethysts and sapphires are two types of,amethysts,sapphires,gem,"['gem', 'gems']","[16915, 42776]", starfruits and cantaloupes are two types of,starfruits,cantaloupes,fruit,"['fruits', 'fruit']","[18098, 9279]"
 amethysts and pearls are two types of,amethysts,pearls,gem,"['gem', 'gems']","[16915, 42776]", nectarines and cherries are two types of,nectarines,cherries,fruit,"['fruits', 'fruit']","[18098, 9279]"
 amethysts and gemstones are two types of,amethysts,gemstones,gem,"['gem', 'gems']","[16915, 42776]", cheetahs and hamsters are two types of,cheetahs,hamsters,animal,['animals'],[5074]
 amethysts and opals are two types of,amethysts,opals,gem,"['gem', 'gems']","[16915, 42776]", woodpeckers and owls are two types of,woodpeckers,owls,bird,"['birds', 'bird']","[11260, 12621]"
 amethysts and topazs are two types of,amethysts,topazs,gem,"['gem', 'gems']","[16915, 42776]", moccasins and flip flops are two types of,moccasins,flip flops,footwear,['footwear'],[3174]
 amethysts and garnets are two types of,amethysts,garnets,gem,"['gem', 'gems']","[16915, 42776]", woodpeckers and hawks are two types of,woodpeckers,hawks,bird,"['birds', 'bird']","[11260, 12621]"
 amethysts and jades are two types of,amethysts,jades,gem,"['gem', 'gems']","[16915, 42776]", mahi mahi and pike are two types of,mahi mahi,pike,fish,"['fish', 'fishes']","[6773, 49720]"
 amethysts and quartzs are two types of,amethysts,quartzs,gem,"['gem', 'gems']","[16915, 42776]", woodpeckers and falcons are two types of,woodpeckers,falcons,bird,"['birds', 'bird']","[11260, 12621]"
 amethysts and turquoises are two types of,amethysts,turquoises,gem,"['gem', 'gems']","[16915, 42776]", bazookas and brass knuckles are two types of,bazookas,brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 opals and diamonds are two types of,opals,diamonds,gem,"['gem', 'gems']","[16915, 42776]", second cousins and fathers are two types of,second cousins,fathers,relative,"['relatives', 'family']","[17772, 2021]"
 opals and rubies are two types of,opals,rubies,gem,"['gem', 'gems']","[16915, 42776]", physical therapists and janitors are two types of,physical therapists,janitors,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
 opals and emeralds are two types of,opals,emeralds,gem,"['gem', 'gems']","[16915, 42776]", redwoods and weeping willows are two types of,redwoods,weeping willows,tree,['trees'],[7139]
 opals and sapphires are two types of,opals,sapphires,gem,"['gem', 'gems']","[16915, 42776]", running shoes and moccasins are two types of,running shoes,moccasins,footwear,['footwear'],[3174]
 opals and pearls are two types of,opals,pearls,gem,"['gem', 'gems']","[16915, 42776]", cardinals and hawks are two types of,cardinals,hawks,bird,"['birds', 'bird']","[11260, 12621]"
 opals and gemstones are two types of,opals,gemstones,gem,"['gem', 'gems']","[16915, 42776]", radishes and turnips are two types of,radishes,turnips,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
 opals and amethysts are two types of,opals,amethysts,gem,"['gem', 'gems']","[16915, 42776]", foxes and cheetahs are two types of,foxes,cheetahs,animal,['animals'],[5074]
 opals and topazs are two types of,opals,topazs,gem,"['gem', 'gems']","[16915, 42776]", plums and apricots are two types of,plums,apricots,fruit,"['fruits', 'fruit']","[18098, 9279]"
 opals and garnets are two types of,opals,garnets,gem,"['gem', 'gems']","[16915, 42776]", reggae and techno are two types of,reggae,techno,music,['music'],[3440]
 opals and jades are two types of,opals,jades,gem,"['gem', 'gems']","[16915, 42776]", cruises and speedboats are two types of,cruises,speedboats,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
 opals and quartzs are two types of,opals,quartzs,gem,"['gem', 'gems']","[16915, 42776]", heavy metal and techno are two types of,heavy metal,techno,music,['music'],[3440]
 opals and turquoises are two types of,opals,turquoises,gem,"['gem', 'gems']","[16915, 42776]", handguns and brass knuckles are two types of,handguns,brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]"
 topazs and diamonds are two types of,topazs,diamonds,gem,"['gem', 'gems']","[16915, 42776]", South africa and Ireland are two types of,South africa,Ireland,country,"['countries', 'country']","[4343, 2586]"
 topazs and rubies are two types of,topazs,rubies,gem,"['gem', 'gems']","[16915, 42776]", carpenters and accountants are two types of,carpenters,accountants,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
 topazs and emeralds are two types of,topazs,emeralds,gem,"['gem', 'gems']","[16915, 42776]", tangerines and raspberries are two types of,tangerines,raspberries,fruit,"['fruits', 'fruit']","[18098, 9279]"
 topazs and sapphires are two types of,topazs,sapphires,gem,"['gem', 'gems']","[16915, 42776]", piranha and mahi mahi are two types of,piranha,mahi mahi,fish,"['fish', 'fishes']","[6773, 49720]"
 topazs and pearls are two types of,topazs,pearls,gem,"['gem', 'gems']","[16915, 42776]", undershirts and pantss are two types of,undershirts,pantss,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 topazs and gemstones are two types of,topazs,gemstones,gem,"['gem', 'gems']","[16915, 42776]", parakeets and owls are two types of,parakeets,owls,bird,"['birds', 'bird']","[11260, 12621]"
 topazs and amethysts are two types of,topazs,amethysts,gem,"['gem', 'gems']","[16915, 42776]", tepees and condominiums are two types of,tepees,condominiums,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 topazs and opals are two types of,topazs,opals,gem,"['gem', 'gems']","[16915, 42776]", nanoseconds and eons are two types of,nanoseconds,eons,time,"['time', 'units']","[673, 5085]"
 topazs and garnets are two types of,topazs,garnets,gem,"['gem', 'gems']","[16915, 42776]", raccoons and turtles are two types of,raccoons,turtles,animal,['animals'],[5074]
 topazs and jades are two types of,topazs,jades,gem,"['gem', 'gems']","[16915, 42776]", zucchini and broccoli are two types of,zucchini,broccoli,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
 topazs and quartzs are two types of,topazs,quartzs,gem,"['gem', 'gems']","[16915, 42776]", angelfish and blowfish are two types of,angelfish,blowfish,fish,"['fish', 'fishes']","[6773, 49720]"
 topazs and turquoises are two types of,topazs,turquoises,gem,"['gem', 'gems']","[16915, 42776]", lilacs and daisies are two types of,lilacs,daisies,flower,"['flowers', 'flowering']","[12405, 37958]"
 garnets and diamonds are two types of,garnets,diamonds,gem,"['gem', 'gems']","[16915, 42776]", irides and roses are two types of,irides,roses,flower,"['flowers', 'flowering']","[12405, 37958]"
 garnets and rubies are two types of,garnets,rubies,gem,"['gem', 'gems']","[16915, 42776]", limes and peaches are two types of,limes,peaches,fruit,"['fruits', 'fruit']","[18098, 9279]"
 garnets and emeralds are two types of,garnets,emeralds,gem,"['gem', 'gems']","[16915, 42776]", privates and sergeants are two types of,privates,sergeants,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]"
 garnets and sapphires are two types of,garnets,sapphires,gem,"['gem', 'gems']","[16915, 42776]", cabins and condominiums are two types of,cabins,condominiums,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 garnets and pearls are two types of,garnets,pearls,gem,"['gem', 'gems']","[16915, 42776]", janitors and businesswomen are two types of,janitors,businesswomen,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]"
 garnets and gemstones are two types of,garnets,gemstones,gem,"['gem', 'gems']","[16915, 42776]", limes and plums are two types of,limes,plums,fruit,"['fruits', 'fruit']","[18098, 9279]"
 garnets and amethysts are two types of,garnets,amethysts,gem,"['gem', 'gems']","[16915, 42776]", dragonflies and caterpillars are two types of,dragonflies,caterpillars,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 garnets and opals are two types of,garnets,opals,gem,"['gem', 'gems']","[16915, 42776]", sweaters and pantss are two types of,sweaters,pantss,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 garnets and topazs are two types of,garnets,topazs,gem,"['gem', 'gems']","[16915, 42776]", tuna and angelfish are two types of,tuna,angelfish,fish,"['fish', 'fishes']","[6773, 49720]"
 garnets and jades are two types of,garnets,jades,gem,"['gem', 'gems']","[16915, 42776]", foxes and squirrels are two types of,foxes,squirrels,animal,['animals'],[5074]
 garnets and quartzs are two types of,garnets,quartzs,gem,"['gem', 'gems']","[16915, 42776]", townhouses and huts are two types of,townhouses,huts,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 garnets and turquoises are two types of,garnets,turquoises,gem,"['gem', 'gems']","[16915, 42776]", typhoons and monsoons are two types of,typhoons,monsoons,weather,"['weather', 'natural']","[8588, 3626]"
 jades and diamonds are two types of,jades,diamonds,gem,"['gem', 'gems']","[16915, 42776]", softball and track are two types of,softball,track,sport,['sports'],[9001]
 jades and rubies are two types of,jades,rubies,gem,"['gem', 'gems']","[16915, 42776]", mansions and shacks are two types of,mansions,shacks,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]"
 jades and emeralds are two types of,jades,emeralds,gem,"['gem', 'gems']","[16915, 42776]", pesoes and rupees are two types of,pesoes,rupees,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 jades and sapphires are two types of,jades,sapphires,gem,"['gem', 'gems']","[16915, 42776]", running shoes and moccasins are two types of,running shoes,moccasins,footwear,['footwear'],[3174]
 jades and pearls are two types of,jades,pearls,gem,"['gem', 'gems']","[16915, 42776]", blueberries and mangoes are two types of,blueberries,mangoes,fruit,"['fruits', 'fruit']","[18098, 9279]"
 jades and gemstones are two types of,jades,gemstones,gem,"['gem', 'gems']","[16915, 42776]", sanders and sandpapers are two types of,sanders,sandpapers,tool,['tools'],[5657]
 jades and amethysts are two types of,jades,amethysts,gem,"['gem', 'gems']","[16915, 42776]", kine and cheetahs are two types of,kine,cheetahs,animal,['animals'],[5074]
 jades and opals are two types of,jades,opals,gem,"['gem', 'gems']","[16915, 42776]", robins and crows are two types of,robins,crows,bird,"['birds', 'bird']","[11260, 12621]"
 jades and topazs are two types of,jades,topazs,gem,"['gem', 'gems']","[16915, 42776]", blice and underwears are two types of,blice,underwears,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 jades and garnets are two types of,jades,garnets,gem,"['gem', 'gems']","[16915, 42776]", dimes and yens are two types of,dimes,yens,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 jades and quartzs are two types of,jades,quartzs,gem,"['gem', 'gems']","[16915, 42776]", reggae and heavy metal are two types of,reggae,heavy metal,music,['music'],[3440]
 jades and turquoises are two types of,jades,turquoises,gem,"['gem', 'gems']","[16915, 42776]", basses and trombones are two types of,basses,trombones,instrument,"['musical', 'instruments']","[12256, 13225]"
 quartzs and diamonds are two types of,quartzs,diamonds,gem,"['gem', 'gems']","[16915, 42776]", turnips and onions are two types of,turnips,onions,vegetable,"['vegetables', 'vegetable']","[15737, 21436]"
 quartzs and rubies are two types of,quartzs,rubies,gem,"['gem', 'gems']","[16915, 42776]", yens and rubles are two types of,yens,rubles,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]"
 quartzs and emeralds are two types of,quartzs,emeralds,gem,"['gem', 'gems']","[16915, 42776]", nieces and great grandmothers are two types of,nieces,great grandmothers,relative,"['relatives', 'family']","[17772, 2021]"
 quartzs and sapphires are two types of,quartzs,sapphires,gem,"['gem', 'gems']","[16915, 42776]", ladybugs and caterpillars are two types of,ladybugs,caterpillars,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 quartzs and pearls are two types of,quartzs,pearls,gem,"['gem', 'gems']","[16915, 42776]", crickets and fleas are two types of,crickets,fleas,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 quartzs and gemstones are two types of,quartzs,gemstones,gem,"['gem', 'gems']","[16915, 42776]", ladybugs and beetles are two types of,ladybugs,beetles,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]"
 quartzs and amethysts are two types of,quartzs,amethysts,gem,"['gem', 'gems']","[16915, 42776]", sweaters and boxer shortss are two types of,sweaters,boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]"
 quartzs and opals are two types of,quartzs,opals,gem,"['gem', 'gems']","[16915, 42776]", blueberries and oranges are two types of,blueberries,oranges,fruit,"['fruits', 'fruit']","[18098, 9279]"
 quartzs and topazs are two types of,quartzs,topazs,gem,"['gem', 'gems']","[16915, 42776]", speedboats and pontoons are two types of,speedboats,pontoons,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
 quartzs and garnets are two types of,quartzs,garnets,gem,"['gem', 'gems']","[16915, 42776]", tidal waves and hurricanes are two types of,tidal waves,hurricanes,weather,"['weather', 'natural']","[8588, 3626]"
 quartzs and jades are two types of,quartzs,jades,gem,"['gem', 'gems']","[16915, 42776]", field hockey and lacrosse are two types of,field hockey,lacrosse,sport,['sports'],[9001]
 quartzs and turquoises are two types of,quartzs,turquoises,gem,"['gem', 'gems']","[16915, 42776]", speedboats and pontoons are two types of,speedboats,pontoons,boat,"['boats', 'vessels', 'ships', 'boat']","[19750, 12671, 11811, 9735]"
 turquoises and diamonds are two types of,turquoises,diamonds,gem,"['gem', 'gems']","[16915, 42776]", french horns and guitars are two types of,french horns,guitars,instrument,"['musical', 'instruments']","[12256, 13225]"
 turquoises and rubies are two types of,turquoises,rubies,gem,"['gem', 'gems']","[16915, 42776]", wrenches and hammers are two types of,wrenches,hammers,tool,['tools'],[5657]
 turquoises and emeralds are two types of,turquoises,emeralds,gem,"['gem', 'gems']","[16915, 42776]", tigers and raccoons are two types of,tigers,raccoons,animal,['animals'],[5074]
