clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2
", sons and other",sons,relative,"['relatives', 'family']","[17772, 2021]",", chickens and other",chickens,bird,"['birds', 'bird']","[11260, 12621]",sons are a type of,chickens are a type of
", daughters and other",daughters,relative,"['relatives', 'family']","[17772, 2021]",", governors and other",governors,politician,"['elected', 'politicians']","[10544, 13557]",daughters are a type of,governors are a type of
", second cousins and other",second cousins,relative,"['relatives', 'family']","[17772, 2021]",", shacks and other",shacks,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",second cousins are a type of,shacks are a type of
", great grandpas and other",great grandpas,relative,"['relatives', 'family']","[17772, 2021]",", undershirts and other",undershirts,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",great grandpas are a type of,undershirts are a type of
", great uncles and other",great uncles,relative,"['relatives', 'family']","[17772, 2021]",", asparagus and other",asparagus,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",great uncles are a type of,asparagus are a type of
", miles and other",miles,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",", tables and other",tables,furniture,['furniture'],[17076],miles are a type of,tables are a type of
", meters and other",meters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",", skiing and other",skiing,sport,['sports'],[9001],meters are a type of,skiing is a type of
", inches and other",inches,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",", milliseconds and other",milliseconds,time,"['time', 'units']","[673, 5085]",inches are a type of,milliseconds are a type of
", feets and other",feets,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",", rainbow trout and other",rainbow trout,fish,"['fish', 'fishes']","[6773, 49720]",feets are a type of,rainbow trout are a type of
", kilometers and other",kilometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",", socks and other",socks,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",kilometers are a type of,socks are a type of
", centimeters and other",centimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",", months and other",months,time,"['time', 'units']","[673, 5085]",centimeters are a type of,months are a type of
", yards and other",yards,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",", potatoes and other",potatoes,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",yards are a type of,potatoes are a type of
", millimeters and other",millimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",", congressmen and other",congressmen,politician,"['elected', 'politicians']","[10544, 13557]",millimeters are a type of,congressmen are a type of
", decimeters and other",decimeters,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",", captains and other",captains,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",decimeters are a type of,captains are a type of
", light years and other",light years,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",", green beans and other",green beans,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",light years are a type of,green beans are a type of
", micrometers and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",", oranges and other",oranges,fruit,"['fruits', 'fruit']","[18098, 9279]",micrometers are a type of,oranges are a type of
", nanometers and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",", limes and other",limes,fruit,"['fruits', 'fruit']","[18098, 9279]",nanometers are a type of,limes are a type of
", sergeants and other",sergeants,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", great grandmothers and other",great grandmothers,relative,"['relatives', 'family']","[17772, 2021]",sergeants are a type of,great grandmothers are a type of
", generals and other",generals,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", diamonds and other",diamonds,gem,"['gem', 'gems']","[16915, 42776]",generals are a type of,diamonds are a type of
", lieutenants and other",lieutenants,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", water polo and other",water polo,sport,['sports'],[9001],lieutenants are a type of,water polo is a type of
", captains and other",captains,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", mooses and other",mooses,animal,['animals'],[5074],captains are a type of,mooses are a type of
", privates and other",privates,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", gymnastics and other",gymnastics,sport,['sports'],[9001],privates are a type of,gymnastics is a type of
", colonels and other",colonels,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", handguns and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",colonels are a type of,handguns are a type of
", majors and other",majors,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", hotels and other",hotels,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",majors are a type of,hotels are a type of
", corporals and other",corporals,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", field hockey and other",field hockey,sport,['sports'],[9001],corporals are a type of,field hockey is a type of
", officers and other",officers,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", assault and other",assault,crime,"['crimes', 'crime']","[12137, 6617]",officers are a type of,assault is a type of
", commanders and other",commanders,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", guns and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",commanders are a type of,guns are a type of
", admirals and other",admirals,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", liras and other",liras,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",admirals are a type of,liras are a type of
", chiefs and other",chiefs,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", hats and other",hats,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",chiefs are a type of,hats are a type of
", soldiers and other",soldiers,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", salmon and other",salmon,fish,"['fish', 'fishes']","[6773, 49720]",soldiers are a type of,salmon are a type of
", cadets and other",cadets,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",", hornets and other",hornets,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]",cadets are a type of,hornets are a type of
", dogs and other",dogs,animal,['animals'],[5074],", Peru and other",Peru,country,"['countries', 'country']","[4343, 2586]",dogs are a type of,Peru is a type of
", cats and other",cats,animal,['animals'],[5074],", cabinets and other",cabinets,furniture,['furniture'],[17076],cats are a type of,cabinets are a type of
", horses and other",horses,animal,['animals'],[5074],", commanders and other",commanders,soldier,"['officers', 'soldiers', 'military']","[6251, 9647, 4668]",horses are a type of,commanders are a type of
", lions and other",lions,animal,['animals'],[5074],", dollars and other",dollars,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",lions are a type of,dollars are a type of
", bears and other",bears,animal,['animals'],[5074],", nails and other",nails,tool,['tools'],[5657],bears are a type of,nails are a type of
", tigers and other",tigers,animal,['animals'],[5074],", spruces and other",spruces,tree,['trees'],[7139],tigers are a type of,spruces are a type of
", kine and other",kine,animal,['animals'],[5074],", moths and other",moths,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]",kine are a type of,moths are a type of
", elephants and other",elephants,animal,['animals'],[5074],", engineers and other",engineers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",elephants are a type of,engineers are a type of
", deer and other",deer,animal,['animals'],[5074],", bees and other",bees,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]",deer are a type of,bees are a type of
", mice and other",mice,animal,['animals'],[5074],", firefighters and other",firefighters,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",mice are a type of,firefighters are a type of
", pigs and other",pigs,animal,['animals'],[5074],", guitars and other",guitars,instrument,"['musical', 'instruments']","[12256, 13225]",pigs are a type of,guitars are a type of
", rats and other",rats,animal,['animals'],[5074],", grapes and other",grapes,fruit,"['fruits', 'fruit']","[18098, 9279]",rats are a type of,grapes are a type of
", giraffes and other",giraffes,animal,['animals'],[5074],", racquetball and other",racquetball,sport,['sports'],[9001],giraffes are a type of,racquetball is a type of
", squirrels and other",squirrels,animal,['animals'],[5074],", drug use and other",drug use,crime,"['crimes', 'crime']","[12137, 6617]",squirrels are a type of,drug use is a type of
", rabbits and other",rabbits,animal,['animals'],[5074],", managers and other",managers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",rabbits are a type of,managers are a type of
", goats and other",goats,animal,['animals'],[5074],", apartments and other",apartments,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",goats are a type of,apartments are a type of
", zebras and other",zebras,animal,['animals'],[5074],", grenades and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",zebras are a type of,grenades are a type of
", mooses and other",mooses,animal,['animals'],[5074],", handguns and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",mooses are a type of,handguns are a type of
", sheep and other",sheep,animal,['animals'],[5074],", clouds and other",clouds,weather,"['weather', 'natural']","[8588, 3626]",sheep are a type of,clouds are a type of
", cheetahs and other",cheetahs,animal,['animals'],[5074],", boxer shortss and other",boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",cheetahs are a type of,boxer shortss are a type of
", raccoons and other",raccoons,animal,['animals'],[5074],", igloos and other",igloos,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",raccoons are a type of,igloos are a type of
", wolves and other",wolves,animal,['animals'],[5074],", heels and other",heels,footwear,['footwear'],[3174],wolves are a type of,heels are a type of
", foxes and other",foxes,animal,['animals'],[5074],", motorcycles and other",motorcycles,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]",foxes are a type of,motorcycles are a type of
", hamsters and other",hamsters,animal,['animals'],[5074],", jeanss and other",jeanss,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",hamsters are a type of,jeanss are a type of
", donkeys and other",donkeys,animal,['animals'],[5074],", nanometers and other",nanometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",donkeys are a type of,nanometers are a type of
", elk and other",elk,animal,['animals'],[5074],", eons and other",eons,time,"['time', 'units']","[673, 5085]",elk are a type of,eons are a type of
", lizards and other",lizards,animal,['animals'],[5074],", arson and other",arson,crime,"['crimes', 'crime']","[12137, 6617]",lizards are a type of,arson is a type of
", turtles and other",turtles,animal,['animals'],[5074],", blueberries and other",blueberries,fruit,"['fruits', 'fruit']","[18098, 9279]",turtles are a type of,blueberries are a type of
", chairs and other",chairs,furniture,['furniture'],[17076],", pounds and other",pounds,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",chairs are a type of,pounds are a type of
", tables and other",tables,furniture,['furniture'],[17076],", jazz and other",jazz,music,['music'],[3440],tables are a type of,jazz is a type of
", couches and other",couches,furniture,['furniture'],[17076],", cherries and other",cherries,fruit,"['fruits', 'fruit']","[18098, 9279]",couches are a type of,cherries are a type of
", beds and other",beds,furniture,['furniture'],[17076],", guns and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",beds are a type of,guns are a type of
", desks and other",desks,furniture,['furniture'],[17076],", bluegrass and other",bluegrass,music,['music'],[3440],desks are a type of,bluegrass is a type of
", sofas and other",sofas,furniture,['furniture'],[17076],", sunflowers and other",sunflowers,flower,"['flowers', 'flowering']","[12405, 37958]",sofas are a type of,sunflowers are a type of
", dressers and other",dressers,furniture,['furniture'],[17076],", pliers and other",pliers,tool,['tools'],[5657],dressers are a type of,pliers are a type of
", loveseats and other",loveseats,furniture,['furniture'],[17076],", South africa and other",South africa,country,"['countries', 'country']","[4343, 2586]",loveseats are a type of,South africa is a type of
", coffee tables and other",coffee tables,furniture,['furniture'],[17076],", congressmen and other",congressmen,politician,"['elected', 'politicians']","[10544, 13557]",coffee tables are a type of,congressmen are a type of
", lamps and other",lamps,furniture,['furniture'],[17076],", cod and other",cod,fish,"['fish', 'fishes']","[6773, 49720]",lamps are a type of,cod are a type of
", nightstands and other",nightstands,furniture,['furniture'],[17076],", orchids and other",orchids,flower,"['flowers', 'flowering']","[12405, 37958]",nightstands are a type of,orchids are a type of
", ottomen and other",ottomen,furniture,['furniture'],[17076],", asparagus and other",asparagus,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",ottomen are a type of,asparagus are a type of
", recliners and other",recliners,furniture,['furniture'],[17076],", loafers and other",loafers,footwear,['footwear'],[3174],recliners are a type of,loafers are a type of
", stools and other",stools,furniture,['furniture'],[17076],", pliers and other",pliers,tool,['tools'],[5657],stools are a type of,pliers are a type of
", end tables and other",end tables,furniture,['furniture'],[17076],", micrometers and other",micrometers,distance,"['units', 'measurement', 'measurements', 'distance', 'distances']","[5085, 6814, 6341, 4181, 13849]",end tables are a type of,micrometers are a type of
", futons and other",futons,furniture,['furniture'],[17076],", saws and other",saws,tool,['tools'],[5657],futons are a type of,saws are a type of
", armoires and other",armoires,furniture,['furniture'],[17076],", tepees and other",tepees,home,"['housing', 'residential', 'structures']","[8039, 16252, 5289]",armoires are a type of,tepees are a type of
", bookcases and other",bookcases,furniture,['furniture'],[17076],", elms and other",elms,tree,['trees'],[7139],bookcases are a type of,elms are a type of
", cabinets and other",cabinets,furniture,['furniture'],[17076],", Africa and other",Africa,country,"['countries', 'country']","[4343, 2586]",cabinets are a type of,Africa is a type of
", foot stools and other",foot stools,furniture,['furniture'],[17076],", brass knuckles and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",foot stools are a type of,brass knuckles are a type of
", shelves and other",shelves,furniture,['furniture'],[17076],", football and other",football,sport,['sports'],[9001],shelves are a type of,football is a type of
", apples and other",apples,fruit,"['fruits', 'fruit']","[18098, 9279]",", thunder and other",thunder,weather,"['weather', 'natural']","[8588, 3626]",apples are a type of,thunder is a type of
", oranges and other",oranges,fruit,"['fruits', 'fruit']","[18098, 9279]",", quartzs and other",quartzs,gem,"['gem', 'gems']","[16915, 42776]",oranges are a type of,quartzs are a type of
", bananas and other",bananas,fruit,"['fruits', 'fruit']","[18098, 9279]",", physical therapists and other",physical therapists,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",bananas are a type of,physical therapists are a type of
", grapes and other",grapes,fruit,"['fruits', 'fruit']","[18098, 9279]",", doctors and other",doctors,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",grapes are a type of,doctors are a type of
", pears and other",pears,fruit,"['fruits', 'fruit']","[18098, 9279]",", uncles and other",uncles,relative,"['relatives', 'family']","[17772, 2021]",pears are a type of,uncles are a type of
", peaches and other",peaches,fruit,"['fruits', 'fruit']","[18098, 9279]",", reggae and other",reggae,music,['music'],[3440],peaches are a type of,reggae is a type of
", strawberries and other",strawberries,fruit,"['fruits', 'fruit']","[18098, 9279]",", reggae and other",reggae,music,['music'],[3440],strawberries are a type of,reggae is a type of
", kiwis and other",kiwis,fruit,"['fruits', 'fruit']","[18098, 9279]",", halibut and other",halibut,fish,"['fish', 'fishes']","[6773, 49720]",kiwis are a type of,halibut are a type of
", pineapples and other",pineapples,fruit,"['fruits', 'fruit']","[18098, 9279]",", pigeons and other",pigeons,bird,"['birds', 'bird']","[11260, 12621]",pineapples are a type of,pigeons are a type of
", watermelons and other",watermelons,fruit,"['fruits', 'fruit']","[18098, 9279]",", centipedes and other",centipedes,bug,"['insects', 'insect', 'bugs']","[22392, 13188, 19775]",watermelons are a type of,centipedes are a type of
", plums and other",plums,fruit,"['fruits', 'fruit']","[18098, 9279]",", snapper and other",snapper,fish,"['fish', 'fishes']","[6773, 49720]",plums are a type of,snapper are a type of
", grapefruits and other",grapefruits,fruit,"['fruits', 'fruit']","[18098, 9279]",", mahi mahi and other",mahi mahi,fish,"['fish', 'fishes']","[6773, 49720]",grapefruits are a type of,mahi mahi are a type of
", mangoes and other",mangoes,fruit,"['fruits', 'fruit']","[18098, 9279]",", robins and other",robins,bird,"['birds', 'bird']","[11260, 12621]",mangoes are a type of,robins are a type of
", cherries and other",cherries,fruit,"['fruits', 'fruit']","[18098, 9279]",", grenades and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",cherries are a type of,grenades are a type of
", lemons and other",lemons,fruit,"['fruits', 'fruit']","[18098, 9279]",", zebras and other",zebras,animal,['animals'],[5074],lemons are a type of,zebras are a type of
", blueberries and other",blueberries,fruit,"['fruits', 'fruit']","[18098, 9279]",", cheerleading and other",cheerleading,sport,['sports'],[9001],blueberries are a type of,cheerleading is a type of
", cantaloupes and other",cantaloupes,fruit,"['fruits', 'fruit']","[18098, 9279]",", boxer shortss and other",boxer shortss,clothing,"['clothing', 'clothes', 'garments']","[14234, 10015, 42179]",cantaloupes are a type of,boxer shortss are a type of
", raspberries and other",raspberries,fruit,"['fruits', 'fruit']","[18098, 9279]",", rupees and other",rupees,money,"['currency', 'money', 'currencies']","[14731, 2583, 39105]",raspberries are a type of,rupees are a type of
", limes and other",limes,fruit,"['fruits', 'fruit']","[18098, 9279]",", violas and other",violas,instrument,"['musical', 'instruments']","[12256, 13225]",limes are a type of,violas are a type of
", tangerines and other",tangerines,fruit,"['fruits', 'fruit']","[18098, 9279]",", racquetball and other",racquetball,sport,['sports'],[9001],tangerines are a type of,racquetball is a type of
", melons and other",melons,fruit,"['fruits', 'fruit']","[18098, 9279]",", radishes and other",radishes,vegetable,"['vegetables', 'vegetable']","[15737, 21436]",melons are a type of,radishes are a type of
", nectarines and other",nectarines,fruit,"['fruits', 'fruit']","[18098, 9279]",", daffodils and other",daffodils,flower,"['flowers', 'flowering']","[12405, 37958]",nectarines are a type of,daffodils are a type of
", papayas and other",papayas,fruit,"['fruits', 'fruit']","[18098, 9279]",", vandalism and other",vandalism,crime,"['crimes', 'crime']","[12137, 6617]",papayas are a type of,vandalism is a type of
", apricots and other",apricots,fruit,"['fruits', 'fruit']","[18098, 9279]",", birches and other",birches,tree,['trees'],[7139],apricots are a type of,birches are a type of
", starfruits and other",starfruits,fruit,"['fruits', 'fruit']","[18098, 9279]",", moccasins and other",moccasins,footwear,['footwear'],[3174],starfruits are a type of,moccasins are a type of
", guns and other",guns,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", shoes and other",shoes,footwear,['footwear'],[3174],guns are a type of,shoes are a type of
", knives and other",knives,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", snow and other",snow,weather,"['weather', 'natural']","[8588, 3626]",knives are a type of,snow is a type of
", swords and other",swords,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", lawyers and other",lawyers,profession,"['people', 'professionals', 'workers']","[952, 12440, 5820]",swords are a type of,lawyers are a type of
", bombs and other",bombs,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", boots and other",boots,footwear,['footwear'],[3174],bombs are a type of,boots are a type of
", rifles and other",rifles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", drums and other",drums,instrument,"['musical', 'instruments']","[12256, 13225]",rifles are a type of,drums are a type of
", maces and other",maces,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", slippers and other",slippers,footwear,['footwear'],[3174],maces are a type of,slippers are a type of
", axes and other",axes,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", shoes and other",shoes,footwear,['footwear'],[3174],axes are a type of,shoes are a type of
", grenades and other",grenades,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", suns and other",suns,flower,"['flowers', 'flowering']","[12405, 37958]",grenades are a type of,suns are a type of
", missiles and other",missiles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", brethren and other",brethren,relative,"['relatives', 'family']","[17772, 2021]",missiles are a type of,brethren are a type of
", handguns and other",handguns,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", bicycles and other",bicycles,vehicle,"['vehicles', 'transportation', 'transport']","[9411, 13120, 4616]",handguns are a type of,bicycles are a type of
", brass knuckles and other",brass knuckles,weapon,"['weapons', 'weapon', 'weaponry']","[8914, 10485, 10485]",", screwdrivers and other",screwdrivers,tool,['tools'],[5657],brass knuckles are a type of,screwdrivers are a type of
