clean,corrupted,label,corrupted_label
" Sadeq Larijani, citizen of"," Prafulla Chandra Ghosh, citizen of",10471,6890
" Sunidhi Chauhan, citizen of"," Niamh Cusack, citizen of",6890,14990
" Masahiko Nishimura, citizen of"," Theodosia Salome Okoh, citizen of",6457,48668
" Dan Bejar, citizen of"," Bernardo Reyes, citizen of",7008,12550
" George William Gordon, citizen of"," Dan Bejar, citizen of",57275,7008
" H. V. Evatt, citizen of"," Vesa Vierikko, citizen of",8494,37355
" Desmond O'Malley, citizen of"," Vidar Busk, citizen of",14990,32603
" Noriyasu Hirata, citizen of"," Jerzy Topolski, citizen of",6457,28702
" Roman Kroitor, citizen of"," Joseph Csaky, citizen of",7008,43876
" Zafar Karachiwala, citizen of"," Shigeki Maruyama, citizen of",6890,6457
" Kazimierz Nycz, citizen of"," Rodolfo Mederos, citizen of",28702,32164
" Abdelhak Achik, citizen of"," Humayun Abdulali, citizen of",59230,6890
" Jens Evensen, citizen of"," Harashima, citizen of",32603,6457
" Svante August Arrhenius, citizen of"," Natallia Solohub, citizen of",24067,70606
" Facundo Bagnis, citizen of"," Yasutaka Nakata, citizen of",32164,6457
" Mike Candys, citizen of"," Carlos Meglia, citizen of",30221,32164
" Zadoc Kahn, citizen of"," Albert Grisar, citizen of",9822,34061
" Hamad bin Khalifa Al Thani, citizen of"," K. R. Gowri Amma, citizen of",43018,6890
" Thiago Soares Alves, citizen of"," F. S. Platou, citizen of",16327,32603
" Mario Monti, citizen of"," Hans Ulrik, citizen of",15704,35440
" Howe Yoon Chong, citizen of"," Eiko Shimamiya, citizen of",21181,6457
" Apollo Milton Obote, citizen of"," Carlos Slim Domit, citizen of",58149,12550
" Yunus Yosfiah, citizen of"," Mohsen Mirdamadi, citizen of",24922,10471
" Rabah Bitat, citizen of"," Lars Halvor Jensen, citizen of",81341,35440
" Mateo Garralda, citizen of"," Tzeni Karezi, citizen of",18157,25431
" Shigeaki Ikeda, citizen of"," Bernardo Houssay, citizen of",6457,32164
" Edita Abdieski, citizen of"," Noriyasu Hirata, citizen of",30221,6457
" Manuel Carrasco, citizen of"," Harashima, citizen of",18157,6457
" Amanz Gressly, citizen of"," Kalanithi Maran, citizen of",30221,6890
" Touraj Daryaee, citizen of"," Mikhail Evstafiev, citizen of",10471,8524
" Abubakari Yakubu, citizen of"," Hanan al-Shaykh, citizen of",48668,40371
" Bertil Lindblad, citizen of"," Qazi Hussain Ahmad, citizen of",24067,17076
" Birendra of Nepal, citizen of"," Hanan al-Shaykh, citizen of",50064,40371
" Henrique Maximiano Coelho Neto, citizen of"," Aleksejs Saramotins, citizen of",16327,79258
" Behar Shtylla, citizen of"," Ashim Ahluwalia, citizen of",95733,6890
" Scott Frandsen, citizen of"," Alain Corneau, citizen of",7008,9822
" Kumiko Ogura, citizen of"," Haruna Ishola, citizen of",6457,29258
" Mahnaz Afkhami, citizen of"," Ikki Kajiwara, citizen of",10471,6457
" Takeshi Urata, citizen of"," Stephen Worobetz, citizen of",6457,7008
" Lukas Ligeti, citizen of"," Carlos Duarte Costa, citizen of",35998,16327
" Bernard Lietaer, citizen of"," Riyu Kosaka, citizen of",34061,6457
" Massimo D'Alema, citizen of"," Shigeki Maruyama, citizen of",15704,6457
" Erwin Wurm, citizen of"," Kalraj Mishra, citizen of",35998,6890
" Mario Aldo Montano, citizen of"," Mateo Garralda, citizen of",15704,18157
" Adelsteen Normann, citizen of"," Facundo Bagnis, citizen of",32603,32164
" Hsieh Cheng-peng, citizen of"," Diosdado Cabello, citizen of",29389,37003
" Thomas Ong, citizen of"," Shanta Kumar, citizen of",21181,6890
" Henriette Caillaux, citizen of"," Bernardo Houssay, citizen of",9822,32164
" Guy Mollet, citizen of"," Nimai Bali, citizen of",9822,6890
" Hanna Krall, citizen of"," Andre Spitzer, citizen of",28702,6921
" Dan Kolov, citizen of"," Mari Hamada, citizen of",59819,6457
" Antonis Samaras, citizen of"," Augustine Ahinful, citizen of",25431,48668
" Gianni Lancia, citizen of"," Apollo Milton Obote, citizen of",15704,58149
" Alan Carvalho, citizen of"," Pavol Demitra, citizen of",16327,81785
" Joanne Malar, citizen of"," Erika Miyoshi, citizen of",7008,6457
" Yasuo Kobayashi, citizen of"," Edita Abdieski, citizen of",6457,30221
" Krisdayanti, citizen of"," Joseph Csaky, citizen of",24922,43876
" Jan Pieter Schotte, citizen of"," Camil Ressu, citizen of",34061,47149
" Blendi Nallbani, citizen of"," Ugo Rondinone, citizen of",95733,30221
" Gabriel Zubeir Wako, citizen of"," Senkichi Taniguchi, citizen of",43554,6457
" Lydie Polfer, citizen of"," Francis Dhanis, citizen of",65971,34061
" Kaka Hathrasi, citizen of"," Koichi Kobayashi, citizen of",6890,6457
" Sukhdev Thapar, citizen of"," Orestis Laskos, citizen of",6890,25431
" Andrea Fischbacher, citizen of"," Henri Maurice Berteaux, citizen of",35998,9822
" Shardad Rohani, citizen of"," Alan Carvalho, citizen of",10471,16327
" Kinji Fukasaku, citizen of"," Juma Ikangaa, citizen of",6457,69894
" Erika Miyoshi, citizen of"," Wasis Diop, citizen of",6457,5476
" Kate Henshaw, citizen of"," Atsunori Inaba, citizen of",29258,6457
" Rainer Fetting, citizen of"," Paolo Chiavenna, citizen of",10057,15704
" Sakichi Toyoda, citizen of"," Bernard Lietaer, citizen of",6457,34061
" Madan Lal, citizen of"," Mario Monti, citizen of",6890,15704
" Maliq Bushati, citizen of"," Mohammad Gharib, citizen of",95733,10471
" Arne Vidar Røed, citizen of"," Kishore Mahbubani, citizen of",32603,21181
" Giovanni Guidetti, citizen of"," Mateo Gil, citizen of",15704,18157
" Ryszard Engelking, citizen of"," Farid Mammadov, citizen of",28702,74577
" Soamsawali, citizen of"," Marc Lavoie, citizen of",30567,7008
" Goffredo Petrassi, citizen of"," Yasuyuki Kase, citizen of",15704,6457
" Paolo Bertoli, citizen of"," Manuel Uribe, citizen of",15704,12550
" Armenians in Turkey, citizen of"," Pop Shalini, citizen of",17442,6890
" Senkichi Taniguchi, citizen of"," Massimo D'Alema, citizen of",6457,15704
" Roisin McGettigan, citizen of"," Idris I of Morocco, citizen of",14990,59230
" Vincenzo Santopadre, citizen of"," Rangsit Prayurasakdi, citizen of",15704,30567
" Tewodros II, citizen of"," Paul Duchesnay, citizen of",60457,9822
" Giorgio Pantano, citizen of"," Kazimierz Nycz, citizen of",15704,28702
" Ian Nepomniachtchi, citizen of"," Matic Osovnikar, citizen of",8524,79317
" Leif Sylvester Petersen, citizen of"," Kimio Yanagisawa, citizen of",35440,6457
" Philippe Leclerc de Hauteclocque, citizen of"," Daniela Iraschko-Stolz, citizen of",9822,35998
" Rubens Barrichello, citizen of"," Randy Raine-Reusch, citizen of",16327,7008
" Paolo Nespoli, citizen of"," Pop Shalini, citizen of",15704,6890
" Jean-Luc Brassard, citizen of"," Johann Wolfgang von Goethe, citizen of",7008,56284
" Alexandre Astruc, citizen of"," Roman Kroitor, citizen of",9822,7008
" Matic Osovnikar, citizen of"," Hoshyar Zebari, citizen of",79317,11340
" Bernardo Reyes, citizen of"," Jorge Rial, citizen of",12550,32164
" Etsushi Toyokawa, citizen of"," Sukhdev Thapar, citizen of",6457,6890
" Per Joar Hansen, citizen of"," Erwin Wurm, citizen of",32603,35998
" Yoshio Shirai, citizen of"," Bimal Jalan, citizen of",6457,6890
" Isser Harel, citizen of"," Vilayat Khan, citizen of",6921,6890
" Paolo Chiavenna, citizen of"," Ana Guevara, citizen of",15704,12550
" Amandus Adamson, citizen of"," Sven Delblanc, citizen of",69462,24067
" Yakubu Gowon, citizen of"," Francis Dhanis, citizen of",29258,34061
" Dilma Rousseff, citizen of"," Isser Harel, citizen of",16327,6921
" Pasi Rautiainen, citizen of"," Konosuke Matsushita, citizen of",37355,6457
" Poonam Sinha, citizen of"," Abdul Malik Pahlawan, citizen of",6890,21139
" Chula Chakrabongse, citizen of"," Ahmad Nadeem Qasmi, citizen of",30567,17076
" Gard Nilssen, citizen of"," Jan Dydak, citizen of",32603,28702
" Francisco Roig, citizen of"," Kenia Sinclair, citizen of",18157,57275
" Max Kade, citizen of"," Fa Ngum, citizen of",10057,96844
" Farid Mammadov, citizen of"," Linor Abargil, citizen of",74577,6921
" Gabriel Axel, citizen of"," Thanh Lam, citizen of",35440,23315
" Arihito Muramatsu, citizen of"," Grzegorz Lato, citizen of",6457,28702
" Randy Raine-Reusch, citizen of"," Yuki Uchida, citizen of",7008,6457
" Albert II of Belgium, citizen of"," Apollo Milton Obote, citizen of",34061,58149
" Adil Abdul-Mahdi, citizen of"," Thiago Soares Alves, citizen of",11340,16327
" Ivry Gitlis, citizen of"," Ion Dragalina, citizen of",6921,47149
" Petri Lindroos, citizen of"," Thierry St-Cyr, citizen of",37355,7008
" Gert Steegmans, citizen of"," Nicola Ghiuselev, citizen of",34061,59819
" Katsuhiko Nagata, citizen of"," Blendi Nallbani, citizen of",6457,95733
" John Treacy, citizen of"," Jorge Rial, citizen of",14990,32164
" Joyce Bamford-Addo, citizen of"," Duiliu Zamfirescu, citizen of",48668,47149
" Stephen Worobetz, citizen of"," Haruna Ishola, citizen of",7008,29258
" Larbi Benbarek, citizen of"," Petri Lindroos, citizen of",9822,37355
" Abolfazl Jalili, citizen of"," Grzegorz Lato, citizen of",10471,28702
" Jonel Perlea, citizen of"," Maria Adelaide Amaral, citizen of",47149,16327
" Agnieszka Osiecka, citizen of"," Prafulla Chandra Ghosh, citizen of",28702,6890
" Kimio Yanagisawa, citizen of"," Abolfazl Jalili, citizen of",6457,10471
" Mario Aerts, citizen of"," Nimai Bali, citizen of",34061,6890
" Randy Bachman, citizen of"," Nicolas Godin, citizen of",7008,9822
" Haruna Ishola, citizen of"," Naimee Coleman, citizen of",29258,14990
" Rokkaku Yoshikata, citizen of"," Shamash-shum-ukin, citizen of",6457,64678
" Kenia Sinclair, citizen of"," Roman Kroitor, citizen of",57275,7008
" Dominic Seiterle, citizen of"," Vidar Busk, citizen of",7008,32603
" Marlene Favela, citizen of"," Ovadia Yosef, citizen of",12550,6921
" Naimee Coleman, citizen of"," Francesco Calogero, citizen of",14990,15704
" Salim Saleh, citizen of"," Per Joar Hansen, citizen of",58149,32603
" Tupeni Baba, citizen of"," Pierre Daye, citizen of",86196,34061
" Go Shiozaki, citizen of"," Diori Hamani, citizen of",6457,20992
" Kunihiko Yasui, citizen of"," Kevin Pauwels, citizen of",6457,34061
" Anthony Warlow, citizen of"," Joseph Csaky, citizen of",8494,43876
" Kensuke Tanabe, citizen of"," Ravi Shankar, citizen of",6457,6890
" Ugo Rondinone, citizen of"," Ritt Bjerregaard, citizen of",30221,35440
" Bruno Putzulu, citizen of"," Namadi Sambo, citizen of",9822,29258
" Kanna Arihara, citizen of"," Ellen Gleditsch, citizen of",6457,32603
" Simon Kvamm, citizen of"," Shanta Kumar, citizen of",35440,6890
" Kristian Levring, citizen of"," Pierre Janssen, citizen of",35440,9822
" Celso Amorim, citizen of"," Mario Aldo Montano, citizen of",16327,15704
" Peggy Nash, citizen of"," Gabriel Axel, citizen of",7008,35440
" Duiliu Zamfirescu, citizen of"," Irakli Alasania, citizen of",47149,16272
" Felice Bonetto, citizen of"," Shadi Sadr, citizen of",15704,10471
" Patrik Jensen, citizen of"," Bille August, citizen of",24067,35440
" Magda Linette, citizen of"," Paolo Nespoli, citizen of",28702,15704
" Jean-Pierre Van Rossem, citizen of"," Massimo D'Alema, citizen of",34061,15704
" Ion Dragalina, citizen of"," Pavol Demitra, citizen of",47149,81785
" Alireza Eftekhari, citizen of"," Potti Sreeramulu, citizen of",10471,6890
" Kishore Mahbubani, citizen of"," Theodosia Salome Okoh, citizen of",21181,48668
" Norma Aleandro, citizen of"," Raheem Shah, citizen of",32164,17076
" Tanvir Mokammel, citizen of"," Katsuhiko Nagata, citizen of",39601,6457
" Suzy Batkovic, citizen of"," Farid Mammadov, citizen of",8494,74577
" Marcin Libicki, citizen of"," Sven Wollter, citizen of",28702,24067
" Ana Guevara, citizen of"," Thomas Hirschhorn, citizen of",12550,30221
" Gustave Flourens, citizen of"," Yasuo Kobayashi, citizen of",9822,6457
" Ken Okuyama, citizen of"," Dominic Seiterle, citizen of",6457,7008
" Marek Niit, citizen of"," Mathieu Bodmer, citizen of",69462,9822
" Ron Cantelon, citizen of"," Moreno Mannini, citizen of",7008,15704
" Phyllis Gotlieb, citizen of"," Svante August Arrhenius, citizen of",7008,24067
" Harumi Inoue, citizen of"," Evan Dimas Darmono, citizen of",6457,24922
" Oladipo Diya, citizen of"," Alfred Gusenbauer, citizen of",29258,35998
" Iiro Rantala, citizen of"," Evan Dimas Darmono, citizen of",37355,24922
" Mars Bonfire, citizen of"," Chespirito, citizen of",7008,12550
" Arvid Lindman, citizen of"," Wasis Diop, citizen of",24067,5476
" Henri Guilbeaux, citizen of"," Mohammad Gharib, citizen of",9822,10471
" Nicola Ghiuselev, citizen of"," Touraj Daryaee, citizen of",59819,10471
" Sirusho, citizen of"," Katy Garbi, citizen of",72630,25431
" Ovadia Yosef, citizen of"," Marlene Favela, citizen of",6921,12550
" Yves Larock, citizen of"," Antonis Samaras, citizen of",30221,25431
" Dino Marcan, citizen of"," Eric Frenzel, citizen of",58311,10057
" Jennifer Heil, citizen of"," Hendrawan, citizen of",7008,24922
" Pop Shalini, citizen of"," Naimee Coleman, citizen of",6890,14990
" Brenda Asnicar, citizen of"," Mehmet Ali Aybar, citizen of",32164,17442
" Bimal Jalan, citizen of"," Lyuben Berov, citizen of",6890,59819
" Audrey Fleurot, citizen of"," Salim Saleh, citizen of",9822,58149
" Daniel Powter, citizen of"," Veronica Lario, citizen of",7008,15704
" David Le Lay, citizen of"," Alejandro Bustillo, citizen of",9822,32164
" Helga Nowotny, citizen of"," Ahmed Ouyahia, citizen of",35998,81341
" Katy Garbi, citizen of"," Carlos Meglia, citizen of",25431,32164
" David Benyamine, citizen of"," Norval Morrisseau, citizen of",9822,7008
" Shigeki Maruyama, citizen of"," Alina Devecerski, citizen of",6457,24067
" Humayun Abdulali, citizen of"," Thorleif Haug, citizen of",6890,32603
" Chittadhar Hridaya, citizen of"," Yusuf bin Alawi bin Abdullah, citizen of",50064,82225
" Sachiko Kobayashi, citizen of"," Amandus Adamson, citizen of",6457,69462
" Paolo Martin, citizen of"," Carol Zhao, citizen of",15704,7008
" Norval Morrisseau, citizen of"," Florent Brard, citizen of",7008,9822
" Evan Dimas Darmono, citizen of"," Isabell Werth, citizen of",24922,10057
" Nancy Drolet, citizen of"," Kim Myhr, citizen of",7008,32603
" Abdul Malik Pahlawan, citizen of"," Larbi Benbarek, citizen of",21139,9822
" Isabell Werth, citizen of"," Paul Duchesnay, citizen of",10057,9822
" Nagendra Singh, citizen of"," Marcus Horan, citizen of",6890,14990
" Jean-Pierre Ferland, citizen of"," Howe Yoon Chong, citizen of",7008,21181
" Bapsi Sidhwa, citizen of"," F. S. Platou, citizen of",17076,32603
" Shadi Sadr, citizen of"," Giuseppe Angeli, citizen of",10471,15704
" Jeet Ganguly, citizen of"," Erwin Wurm, citizen of",6890,35998
" Cian O'Connor, citizen of"," Julius Nwosu, citizen of",14990,29258
" Prasanna, citizen of"," Magnus Carlsen, citizen of",6890,32603
" Espen Knutsen, citizen of"," Marcin Libicki, citizen of",32603,28702
" Manuel Uribe, citizen of"," Hans Magnus Ryan, citizen of",12550,32603
" Narciso Campero, citizen of"," Ryszard Engelking, citizen of",77710,28702
" Arsala Rahmani Daulat, citizen of"," Kishore Mahbubani, citizen of",21139,21181
" Tomoko Kawase, citizen of"," Abune Paulos, citizen of",6457,60457
" Idris I of Morocco, citizen of"," Hilde Marie Kjersem, citizen of",59230,32603
" Kurt Schuschnigg, citizen of"," Go Shiozaki, citizen of",35998,6457
" Ermete Zacconi, citizen of"," Henri Maurice Berteaux, citizen of",15704,9822
" Ashim Ahluwalia, citizen of"," Tanka Prasad Acharya, citizen of",6890,50064
" Alix Perez, citizen of"," Mukul Roy, citizen of",34061,6890
" Frank Hsieh, citizen of"," Arvid Lindman, citizen of",29389,24067
" Mohammad-Nabi Sarbolouki, citizen of"," Arne Vidar Røed, citizen of",10471,32603
" Giuseppe Angeli, citizen of"," Frank Hsieh, citizen of",15704,29389
" Vidar Busk, citizen of"," Nassib Lahoud, citizen of",32603,40371
" Veronica Lario, citizen of"," Randy Bachman, citizen of",15704,7008
" Luis Bacalov, citizen of"," Riyu Kosaka, citizen of",15704,6457
" Madhan Bob, citizen of"," Mateo Gil, citizen of",6890,18157
" Muzaffar Ali, citizen of"," Satoshi Tsumabuki, citizen of",6890,6457
" Henri Maurice Berteaux, citizen of"," Marty Natalegawa, citizen of",9822,24922
" Sola Aoi, citizen of"," Abune Paulos, citizen of",6457,60457
" Mette-Marit, Crown Princess of Norway, citizen of"," Daniela Iraschko-Stolz, citizen of",32603,35998
" Paul Bogle, citizen of"," Pavel Bure, citizen of",57275,8524
" Vincent Kenis, citizen of"," Max Kade, citizen of",34061,10057
" Eiko Shimamiya, citizen of"," Pankaj Udhas, citizen of",6457,6890
" Feng Tianwei, citizen of"," Albert Mathiez, citizen of",21181,9822
" Joe Peschisolido, citizen of"," Petros Voulgaris, citizen of",7008,25431
" Paul Gustav Fischer, citizen of"," Luis Bacalov, citizen of",35440,15704
" Potti Sreeramulu, citizen of"," Masahiko Nishimura, citizen of",6890,6457
" Thierry St-Cyr, citizen of"," Nandan Nilekani, citizen of",7008,6890
" Duvvuri Subbarao, citizen of"," Massimiliano Fuksas, citizen of",6890,15704
" Rajeev Chandrasekhar, citizen of"," Kazimierz Makarczyk, citizen of",6890,28702
" Hans Magnus Ryan, citizen of"," Paul Hammerich, citizen of",32603,35440
" Alina Devecerski, citizen of"," Etsushi Toyokawa, citizen of",24067,6457
" Grzegorz Lato, citizen of"," Hoshyar Zebari, citizen of",28702,11340
" Jean-Paul Akayesu, citizen of"," Arne Vidar Røed, citizen of",79204,32603
" Nassib Lahoud, citizen of"," Thomas Bo Larsen, citizen of",40371,35440
" Pir Mazhar Ul Haq, citizen of"," Leif Sylvester Petersen, citizen of",17076,35440
" Sachimi Iwao, citizen of"," Johann Wolfgang von Goethe, citizen of",6457,56284
" Jorge Enrique Abello, citizen of"," Yakubu Gowon, citizen of",39133,29258
" Julieta Venegas, citizen of"," Yves Mirande, citizen of",12550,9822
" Rosario Flores, citizen of"," Fa Ngum, citizen of",18157,96844
" Sven Delblanc, citizen of"," Moufdi Zakaria, citizen of",24067,81341
" Ahmed Ouyahia, citizen of"," Thorleif Haug, citizen of",81341,32603
" Linor Abargil, citizen of"," Randy Raine-Reusch, citizen of",6921,7008
" Thomas Bo Larsen, citizen of"," Shadi Sadr, citizen of",35440,10471
" Yusuf bin Alawi bin Abdullah, citizen of"," Gopaldas Neeraj, citizen of",82225,6890
" Betiana Blum, citizen of"," Erika Miyoshi, citizen of",32164,6457
" Theodosia Salome Okoh, citizen of"," Mohammad-Nabi Sarbolouki, citizen of",48668,10471
" Awang Hassan, citizen of"," Mars Bonfire, citizen of",28796,7008
" Norimoto Yoda, citizen of"," Magnar Solberg, citizen of",6457,32603
" John Sparrow David Thompson, citizen of"," Yasutaka Nakata, citizen of",7008,6457
" Doychin Vasilev, citizen of"," Jithan Ramesh, citizen of",59819,6890
" Benson Idahosa, citizen of"," Albert Grisar, citizen of",29258,34061
" Vita Semerenko, citizen of"," Julius Nwosu, citizen of",19278,29258
" Martinez de Pasqually, citizen of"," Graciliano Ramos, citizen of",9822,16327
" Zenon Plech, citizen of"," Sakichi Toyoda, citizen of",28702,6457
" Luis Martins de Souza Dantas, citizen of"," Shamash-shum-ukin, citizen of",16327,64678
" Patricia Wartusch, citizen of"," Soamsawali, citizen of",35998,30567
" Shanta Kumar, citizen of"," Paul Bogle, citizen of",6890,57275
" Vilayat Khan, citizen of"," Paolo Nespoli, citizen of",6890,15704
" Maurice De Waele, citizen of"," Jerzy Topolski, citizen of",34061,28702
" Alexey Poltoranin, citizen of"," Orestis Laskos, citizen of",73537,25431
" Mukul Roy, citizen of"," Francisco Goya, citizen of",6890,18157
" Tor Endresen, citizen of"," Gianni Lancia, citizen of",32603,15704
" Luis Llosa, citizen of"," Julius Nwosu, citizen of",48847,29258
" Karl Scheurer, citizen of"," Nicolas Godin, citizen of",30221,9822
" Kalanithi Maran, citizen of"," Idris I of Morocco, citizen of",6890,59230
" Gabriel-Marie Garrone, citizen of"," Anders Fannemel, citizen of",9822,32603
" Ole Ritter, citizen of"," Feng Tianwei, citizen of",35440,21181
" Jo Berger Myhre, citizen of"," Giorgio Pantano, citizen of",32603,15704
" Moufdi Zakaria, citizen of"," Narciso Campero, citizen of",81341,77710
" Marshall Rothstein, citizen of"," Jens Evensen, citizen of",7008,32603
" Francisco Vallejo Pons, citizen of"," Atsunori Inaba, citizen of",18157,6457
" Ikki Kajiwara, citizen of"," Joe Peschisolido, citizen of",6457,7008
" Bimal Roy, citizen of"," Hans Ulrik, citizen of",6890,35440
" Johann Wolfgang von Goethe, citizen of"," Priska Doppmann, citizen of",56284,30221
" Epeli Ganilau, citizen of"," Gabriel-Marie Garrone, citizen of",86196,9822
" Pierre Antonini, citizen of"," Manuel Uribe, citizen of",9822,12550
" Ada Yonath, citizen of"," Sola Aoi, citizen of",6921,6457
" Bronislovas Lubys, citizen of"," Cristina Favre-Moretti, citizen of",71606,30221
" Alfred Gusenbauer, citizen of"," Sugandha Garg, citizen of",35998,6890
" Toke Makinwa, citizen of"," Ahmed Ouyahia, citizen of",29258,81341
" Pasquale Di Sabatino, citizen of"," Georgios Papanikolaou, citizen of",15704,25431
" Victor Pinchuk, citizen of"," Maria Wetterstrand, citizen of",19278,24067
" Andrew Bogut, citizen of"," Kim Myhr, citizen of",8494,32603
" Alain Robert, citizen of"," Tupeni Baba, citizen of",9822,86196
" Qazi Hussain Ahmad, citizen of"," Graciliano Ramos, citizen of",17076,16327
" Chuwit Kamolvisit, citizen of"," Hanan al-Shaykh, citizen of",30567,40371
" Hasibul Hossain, citizen of"," Natallia Solohub, citizen of",39601,70606
" Priyanka Vadra, citizen of"," Ike Ekweremadu, citizen of",6890,29258
" Malick Badiane, citizen of"," Kenta Fukasaku, citizen of",5476,6457
" Emmanuelle Seigner, citizen of"," Tewodros II, citizen of",9822,60457
" Yves Mirande, citizen of"," Abune Paulos, citizen of",9822,60457
" Hoshyar Zebari, citizen of"," Amanz Gressly, citizen of",11340,30221
" Auguste Rodin, citizen of"," Paolo Chiavenna, citizen of",9822,15704
" Ahmad Nadeem Qasmi, citizen of"," Luis Martins de Souza Dantas, citizen of",17076,16327
" Hilde Marie Kjersem, citizen of"," Birendra of Nepal, citizen of",32603,50064
" Patrick Fiori, citizen of"," Anthony Warlow, citizen of",9822,8494
" Andreas Carlsson, citizen of"," Nancy Drolet, citizen of",24067,7008
" Juana Azurduy de Padilla, citizen of"," Vincenzo Santopadre, citizen of",77710,15704
" Fred Urquhart, citizen of"," Pavol Demitra, citizen of",7008,81785
" Pavel Bure, citizen of"," Madan Lal, citizen of",8524,6890
" Assif Tsahar, citizen of"," Jo Berger Myhre, citizen of",6921,32603
" Georgios Papanikolaou, citizen of"," Alireza Eftekhari, citizen of",25431,10471
" Janne Korpi, citizen of"," Maliq Bushati, citizen of",37355,95733
" K. R. Gowri Amma, citizen of"," Rangsit Prayurasakdi, citizen of",6890,30567
" Jan Dydak, citizen of"," Stephen Worobetz, citizen of",28702,7008
" Tarak Ben Ammar, citizen of"," Yoko Moriguchi, citizen of",77935,6457
